DEPARTAMENTO,DIA
CUNDINAMARCA,LUNES
GUAJIRA,LUNES
GUAJIRA,LUNES
GUAJIRA,LUNES
GUAVIARE,LUNES
HUILA,LUNES
HUILA,LUNES
HUILA,LUNES
HUILA,LUNES
MAGDALENA,LUNES
MAGDALENA,LUNES
MAGDALENA,LUNES
MAGDALENA,LUNES
META,LUNES
META,LUNES
META,LUNES
META,LUNES
META,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NARINHO,LUNES
NORTE DE SANTANDER,LUNES
NORTE DE SANTANDER,LUNES
QUINDIO,LUNES
QUINDIO,LUNES
QUINDIO,LUNES
QUINDIO,LUNES
QUINDIO,LUNES
QUINDIO,LUNES
RISARALDA,LUNES
RISARALDA,LUNES
RISARALDA,LUNES
RISARALDA,LUNES
RISARALDA,LUNES
RISARALDA,LUNES
RISARALDA,LUNES
RISARALDA,LUNES
RISARALDA,LUNES
RISARALDA,LUNES
SANTANDER,LUNES
SANTANDER,LUNES
SANTANDER,LUNES
SANTANDER,LUNES
SANTANDER,LUNES
SANTANDER,LUNES
SANTANDER,LUNES
SANTANDER,LUNES
SANTANDER,LUNES
SANTANDER,LUNES
TOLIMA,LUNES
TOLIMA,LUNES
TOLIMA,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
VALLE,LUNES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
QUINDIO,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ANTIOQUIA,MARTES
ATLANTICO,MARTES
ATLANTICO,MARTES
ATLANTICO,MARTES
ATLANTICO,MARTES
ATLANTICO,MARTES
ATLANTICO,MARTES
ATLANTICO,MARTES
ATLANTICO,MARTES
BOYACA,MARTES
BOYACA,MARTES
BOYACA,MARTES
CALDAS,MARTES
CALDAS,MARTES
CALDAS,MARTES
CAQUETA,MARTES
CAQUETA,MARTES
CASANARE,MARTES
CASANARE,MARTES
CASANARE,MARTES
CASANARE,MARTES
CASANARE,MARTES
CASANARE,MARTES
CASANARE,MARTES
CASANARE,MARTES
CAUCA,MARTES
CAUCA,MARTES
CAUCA,MARTES
CAUCA,MARTES
CAUCA,MARTES
CAUCA,MARTES
CORDOBA,MARTES
CORDOBA,MARTES
CORDOBA,MARTES
CUNDINAMARCA,MARTES
CUNDINAMARCA,MARTES
CUNDINAMARCA,MARTES
CUNDINAMARCA,MARTES
CUNDINAMARCA,MARTES
CUNDINAMARCA,MARTES
CUNDINAMARCA,MARTES
CUNDINAMARCA,MARTES
CUNDINAMARCA,MARTES
CUNDINAMARCA,MARTES
CUNDINAMARCA,MARTES
CUNDINAMARCA,MARTES
CUNDINAMARCA,MARTES
GUAJIRA,MARTES
GUAJIRA,MARTES
GUAJIRA,MARTES
GUAJIRA,MARTES
HUILA,MARTES
HUILA,MARTES
HUILA,MARTES
HUILA,MARTES
MAGDALENA,MARTES
MAGDALENA,MARTES
META,MARTES
META,MARTES
META,MARTES
META,MARTES
META,MARTES
META,MARTES
META,MARTES
META,MARTES
META,MARTES
META,MARTES
META,MARTES
META,MARTES
META,MARTES
META,MARTES
META,MARTES
META,MARTES
META,MARTES
NARINHO,MARTES
NARINHO,MARTES
NARINHO,MARTES
NARINHO,MARTES
NARINHO,MARTES
NARINHO,MARTES
NARINHO,MARTES
NARINHO,MARTES
NARINHO,MARTES
NARINHO,MARTES
NARINHO,MARTES
NARINHO,MARTES
NARINHO,MARTES
NARINHO,MARTES
NARINHO,MARTES
NARINHO,MARTES
NORTE DE SANTANDER,MARTES
NORTE DE SANTANDER,MARTES
PUTUMAYO,MARTES
PUTUMAYO,MARTES
QUINDIO,MARTES
QUINDIO,MARTES
QUINDIO,MARTES
QUINDIO,MARTES
QUINDIO,MARTES
QUINDIO,MARTES
RISARALDA,MARTES
RISARALDA,MARTES
RISARALDA,MARTES
RISARALDA,MARTES
RISARALDA,MARTES
RISARALDA,MARTES
RISARALDA,MARTES
RISARALDA,MARTES
SANTANDER,MARTES
SANTANDER,MARTES
SANTANDER,MARTES
SANTANDER,MARTES
SANTANDER,MARTES
TOLIMA,MARTES
TOLIMA,MARTES
TOLIMA,MARTES
TOLIMA,MARTES
TOLIMA,MARTES
TOLIMA,MARTES
TOLIMA,MARTES
TOLIMA,MARTES
TOLIMA,MARTES
TOLIMA,MARTES
TOLIMA,MARTES
TOLIMA,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
VALLE,MARTES
AMAZONAS,MIERCOLES
AMAZONAS,MIERCOLES
