MUNICIPIO,ARMA
VILLAVICENCIO (CT),CONTUNDENTES
VILLAVICENCIO (CT),CONTUNDENTES
VILLAVICENCIO (CT),ARMA BLANCA / CORTOPUNZANTE
VILLAVICENCIO (CT),ARMA BLANCA / CORTOPUNZANTE
IPIALES,ARMA BLANCA / CORTOPUNZANTE
IPIALES,SIN EMPLEO DE ARMAS
PASTO (CT),SIN EMPLEO DE ARMAS
PASTO (CT),SIN EMPLEO DE ARMAS
PASTO (CT),CONTUNDENTES
PASTO (CT),SIN EMPLEO DE ARMAS
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
TUQUERRES,SIN EMPLEO DE ARMAS
CUCUTA (CT),ARMA BLANCA / CORTOPUNZANTE
ARMENIA (CT),ARMA BLANCA / CORTOPUNZANTE
ARMENIA (CT),ARMA DE FUEGO
ARMENIA (CT),ARMA DE FUEGO
ARMENIA (CT),ARMA DE FUEGO
ARMENIA (CT),ARMA DE FUEGO
ARMENIA (CT),LLAVE MAESTRA
ARMENIA (CT),ARMA DE FUEGO
ARMENIA (CT),ARMA BLANCA / CORTOPUNZANTE
QUIMBAYA,SIN EMPLEO DE ARMAS
DOSQUEBRADAS,ARMA BLANCA / CORTOPUNZANTE
PEREIRA (CT),SIN EMPLEO DE ARMAS
PEREIRA (CT),ARMA DE FUEGO
PEREIRA (CT),ARMA BLANCA / CORTOPUNZANTE
PEREIRA (CT),SIN EMPLEO DE ARMAS
PEREIRA (CT),ARMA BLANCA / CORTOPUNZANTE
PEREIRA (CT),ARMA BLANCA / CORTOPUNZANTE
PEREIRA (CT),SIN EMPLEO DE ARMAS
PEREIRA (CT),ESCOPOLAMINA
PEREIRA (CT),ARMA DE FUEGO
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),ARMA DE FUEGO
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),ARMA DE FUEGO
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
FLORIDABLANCA,SIN EMPLEO DE ARMAS
FLORIDABLANCA,CONTUNDENTES
PIEDECUESTA,ARMA BLANCA / CORTOPUNZANTE
SINCELEJO (CT),ARMA BLANCA / CORTOPUNZANTE
SINCELEJO (CT),ARMA DE FUEGO
SINCELEJO (CT),ARMA DE FUEGO
SINCELEJO (CT),ARMA BLANCA / CORTOPUNZANTE
SINCELEJO (CT),ARMA BLANCA / CORTOPUNZANTE
CHAPARRAL,SIN EMPLEO DE ARMAS
ESPINAL,ARMA BLANCA / CORTOPUNZANTE
ESPINAL,SIN EMPLEO DE ARMAS
GUAMO,ARMA DE FUEGO
IBAGUE (CT),CONTUNDENTES
IBAGUE (CT),ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),ESCOPOLAMINA
IBAGUE (CT),ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),SIN EMPLEO DE ARMAS
MELGAR,SIN EMPLEO DE ARMAS
ANDALUCIA,ARMA BLANCA / CORTOPUNZANTE
BUENAVENTURA,ARMA DE FUEGO
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),CONTUNDENTES
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA DE FUEGO
CALI (CT),CONTUNDENTES
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA DE FUEGO
CALI (CT),CONTUNDENTES
CALI (CT),ARMA DE FUEGO
CARTAGO,PALANCAS
JAMUNDI,ARMA BLANCA / CORTOPUNZANTE
PALMIRA,ARMA BLANCA / CORTOPUNZANTE
PALMIRA,ARMA DE FUEGO
PRADERA,SIN EMPLEO DE ARMAS
BELLO,SIN EMPLEO DE ARMAS
COPACABANA,ARMA DE FUEGO
EL SANTUARIO,SIN EMPLEO DE ARMAS
ENVIGADO,ARMA BLANCA / CORTOPUNZANTE
ENVIGADO,ARMA DE FUEGO
ENVIGADO,SIN EMPLEO DE ARMAS
GUARNE,ARMA DE FUEGO
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ESCOPOLAMINA
MEDELLIN (CT),CONTUNDENTES
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
PUERTO BERRIO,SIN EMPLEO DE ARMAS
SABANETA,ARMA BLANCA / CORTOPUNZANTE
SAN LUIS,SIN EMPLEO DE ARMAS
YOLOMBO,ARMA DE FUEGO
ARAUCA (CT),SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),ARMA DE FUEGO
BARRANQUILLA (CT),ARMA DE FUEGO
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),ARMA BLANCA / CORTOPUNZANTE
BARRANQUILLA (CT),ARMA BLANCA / CORTOPUNZANTE
SABANALARGA,ARMA DE FUEGO
SABANALARGA,ARMA DE FUEGO
TUBARA,ARMA DE FUEGO
CARTAGENA (CT),ARMA BLANCA / CORTOPUNZANTE
CARTAGENA (CT),ARMA DE FUEGO
CHIQUINQUIRA,SIN EMPLEO DE ARMAS
GUATEQUE,ARMA DE FUEGO
TUNJA (CT),SIN EMPLEO DE ARMAS
TUNJA (CT),ARMA BLANCA / CORTOPUNZANTE
MANIZALES (CT),ARMA BLANCA / CORTOPUNZANTE
MANIZALES (CT),SIN EMPLEO DE ARMAS
MANIZALES (CT),CONTUNDENTES
MANIZALES (CT),CONTUNDENTES
MANIZALES (CT),CONTUNDENTES
MANIZALES (CT),SIN EMPLEO DE ARMAS
MANIZALES (CT),ARMA BLANCA / CORTOPUNZANTE
MANIZALES (CT),CONTUNDENTES
SAN VICENTE DEL CAGUAN,SIN EMPLEO DE ARMAS
MONTERREY,SIN EMPLEO DE ARMAS
TAURAMENA,ARMA BLANCA / CORTOPUNZANTE
POPAYAN (CT),SIN EMPLEO DE ARMAS
POPAYAN (CT),ARMA BLANCA / CORTOPUNZANTE
PUERTO TEJADA,ARMA DE FUEGO
PUERTO TEJADA,ARMA DE FUEGO
LA PAZ,CONTUNDENTES
VALLEDUPAR (CT),ARMA DE FUEGO
VALLEDUPAR (CT),ARMA DE FUEGO
VALLEDUPAR (CT),ARMA BLANCA / CORTOPUNZANTE
VALLEDUPAR (CT),ARMA BLANCA / CORTOPUNZANTE
VALLEDUPAR (CT),LLAVE MAESTRA
ATRATO,ARMA DE FUEGO
LORICA,ARMA DE FUEGO
MONTERIA (CT),SIN EMPLEO DE ARMAS
MONTERIA (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),CONTUNDENTES
NEIVA (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ESCOPOLAMINA
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
FACATATIVA,SIN EMPLEO DE ARMAS
FACATATIVA,ARMA BLANCA / CORTOPUNZANTE
GIRARDOT,ARMA BLANCA / CORTOPUNZANTE
PACHO,SIN EMPLEO DE ARMAS
ALBANIA,CONTUNDENTES
RIOHACHA (CT),ARMA DE FUEGO
LA PLATA,ARMA BLANCA / CORTOPUNZANTE
NEIVA (CT),SIN EMPLEO DE ARMAS
NEIVA (CT),SIN EMPLEO DE ARMAS
PITALITO,CONTUNDENTES
CIENAGA,ARMA DE FUEGO
SANTA MARTA (CT),SIN EMPLEO DE ARMAS
SANTA MARTA (CT),ARMA BLANCA / CORTOPUNZANTE
SANTA MARTA (CT),CONTUNDENTES
SANTA MARTA (CT),ARMA BLANCA / CORTOPUNZANTE
VILLAVICENCIO (CT),ARMA BLANCA / CORTOPUNZANTE
VILLAVICENCIO (CT),SIN EMPLEO DE ARMAS
VILLAVICENCIO (CT),ARMA BLANCA / CORTOPUNZANTE
VILLAVICENCIO (CT),CONTUNDENTES
VILLAVICENCIO (CT),CONTUNDENTES
VILLAVICENCIO (CT),CONTUNDENTES
VILLAVICENCIO (CT),ARMA BLANCA / CORTOPUNZANTE
VILLAVICENCIO (CT),SIN EMPLEO DE ARMAS
VILLAVICENCIO (CT),ARMA BLANCA / CORTOPUNZANTE
CHACHAGUI,ARMA BLANCA / CORTOPUNZANTE
IPIALES,SIN EMPLEO DE ARMAS
IPIALES,ARMA BLANCA / CORTOPUNZANTE
IPIALES,ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA DE FUEGO
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
OCANHA,ARMA BLANCA / CORTOPUNZANTE
VILLA DEL ROSARIO,SIN EMPLEO DE ARMAS
VILLAGARZON,ARMA DE FUEGO
ARMENIA (CT),ARMA DE FUEGO
ARMENIA (CT),SIN EMPLEO DE ARMAS
CALARCA,ARMA BLANCA / CORTOPUNZANTE
DOSQUEBRADAS,CONTUNDENTES
PEREIRA (CT),ARMA DE FUEGO
PEREIRA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ARMA DE FUEGO
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
FLORIDABLANCA,ARMA BLANCA / CORTOPUNZANTE
GIRON,ARMA BLANCA / CORTOPUNZANTE
GIRON,SIN EMPLEO DE ARMAS
GIRON,ARMA BLANCA / CORTOPUNZANTE
LEBRIJA,ARMA BLANCA / CORTOPUNZANTE
PIEDECUESTA,SIN EMPLEO DE ARMAS
COVENHAS,ARMA DE FUEGO
SAN ONOFRE,ARMA BLANCA / CORTOPUNZANTE
SAN ONOFRE,ARMA BLANCA / CORTOPUNZANTE
SINCELEJO (CT),ARMA DE FUEGO
SINCELEJO (CT),ARMA DE FUEGO
SINCELEJO (CT),ARMA BLANCA / CORTOPUNZANTE
SINCELEJO (CT),SIN EMPLEO DE ARMAS
SINCELEJO (CT),SIN EMPLEO DE ARMAS
SINCELEJO (CT),ARMA BLANCA / CORTOPUNZANTE
SINCELEJO (CT),SIN EMPLEO DE ARMAS
SINCELEJO (CT),SIN EMPLEO DE ARMAS
CHAPARRAL,ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),CONTUNDENTES
IBAGUE (CT),CONTUNDENTES
IBAGUE (CT),SIN EMPLEO DE ARMAS
IBAGUE (CT),ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),SIN EMPLEO DE ARMAS
MELGAR,SIN EMPLEO DE ARMAS
PIEDRAS,CONTUNDENTES
BUENAVENTURA,ARMA DE FUEGO
CALI (CT),CONTUNDENTES
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),CONTUNDENTES
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
DAGUA,SIN EMPLEO DE ARMAS
GUACARI,ARMA BLANCA / CORTOPUNZANTE
GUADALAJARA DE BUGA,ARMA BLANCA / CORTOPUNZANTE
PALMIRA,SIN EMPLEO DE ARMAS
LETICIA (CT),ARMA DE FUEGO
APARTADO,ARMA BLANCA / CORTOPUNZANTE
BELLO,ARMA BLANCA / CORTOPUNZANTE
BELLO,ARMA DE FUEGO
BELLO,ARMA DE FUEGO
CALDAS,ARMA DE FUEGO
COPACABANA,ARMA BLANCA / CORTOPUNZANTE
ENVIGADO,ARMA DE FUEGO
MEDELLIN (CT),CONTUNDENTES
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
ARAUCA (CT),SIN EMPLEO DE ARMAS
ARAUCA (CT),ARMA BLANCA / CORTOPUNZANTE
SARAVENA,SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),ARMA BLANCA / CORTOPUNZANTE
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
BARRANQUILLA (CT),ARMA DE FUEGO
BARRANQUILLA (CT),ARMA DE FUEGO
BARRANQUILLA (CT),ARMA DE FUEGO
BARRANQUILLA (CT),SIN EMPLEO DE ARMAS
MALAMBO,SIN EMPLEO DE ARMAS
SABANALARGA,SIN EMPLEO DE ARMAS
SOLEDAD,ARMA DE FUEGO
CARTAGENA (CT),SIN EMPLEO DE ARMAS
DUITAMA,ARMA BLANCA / CORTOPUNZANTE
TUNJA (CT),ARMA BLANCA / CORTOPUNZANTE
CHINCHINA,ARMA BLANCA / CORTOPUNZANTE
MANIZALES (CT),LLAVE MAESTRA
MANIZALES (CT),ARMA BLANCA / CORTOPUNZANTE
MANIZALES (CT),ARMA BLANCA / CORTOPUNZANTE
FLORENCIA (CT),ARMA DE FUEGO
YOPAL (CT),SIN EMPLEO DE ARMAS
POPAYAN (CT),SIN EMPLEO DE ARMAS
POPAYAN (CT),SIN EMPLEO DE ARMAS
POPAYAN (CT),SIN EMPLEO DE ARMAS
POPAYAN (CT),SIN EMPLEO DE ARMAS
AGUACHICA,ARMA DE FUEGO
BOSCONIA,ARMA DE FUEGO
VALLEDUPAR (CT),ARMA BLANCA / CORTOPUNZANTE
VALLEDUPAR (CT),ARMA DE FUEGO
VALLEDUPAR (CT),ARMA DE FUEGO
VALLEDUPAR (CT),ARMA DE FUEGO
VALLEDUPAR (CT),ARMA DE FUEGO
MONTERIA (CT),ARMA BLANCA / CORTOPUNZANTE
MONTERIA (CT),ARMA BLANCA / CORTOPUNZANTE
MONTERIA (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),CONTUNDENTES
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
BOGOTA D.C. (CT),ARMA BLANCA / CORTOPUNZANTE
BOGOTA D.C. (CT),ARMA DE FUEGO
BOGOTA D.C. (CT),SIN EMPLEO DE ARMAS
FUNZA,ARMA BLANCA / CORTOPUNZANTE
MADRID,ARMA BLANCA / CORTOPUNZANTE
SOACHA,ARMA DE FUEGO
SOACHA,ARMA DE FUEGO
RIOHACHA (CT),ARMA DE FUEGO
RIOHACHA (CT),CONTUNDENTES
RIOHACHA (CT),ARMA BLANCA / CORTOPUNZANTE
RIOHACHA (CT),ARMA BLANCA / CORTOPUNZANTE
RIOHACHA (CT),CONTUNDENTES
SAN JUAN DEL CESAR,ARMA DE FUEGO
SAN JUAN DEL CESAR,ARMA DE FUEGO
SAN JUAN DEL CESAR,ARMA DE FUEGO
CAMPOALEGRE,SIN EMPLEO DE ARMAS
NEIVA (CT),ARMA DE FUEGO
NEIVA (CT),CONTUNDENTES
NEIVA (CT),SIN EMPLEO DE ARMAS
NEIVA (CT),ARMA BLANCA / CORTOPUNZANTE
NEIVA (CT),SIN EMPLEO DE ARMAS
NEIVA (CT),SIN EMPLEO DE ARMAS
NEIVA (CT),SIN EMPLEO DE ARMAS
PITALITO,CONTUNDENTES
PITALITO,CONTUNDENTES
SAN AGUSTIN,CONTUNDENTES
SANTA MARTA (CT),SIN EMPLEO DE ARMAS
SANTA MARTA (CT),SIN EMPLEO DE ARMAS
SANTA MARTA (CT),ARMA DE FUEGO
SANTA MARTA (CT),SIN EMPLEO DE ARMAS
SANTA MARTA (CT),SIN EMPLEO DE ARMAS
SANTA MARTA (CT),SIN EMPLEO DE ARMAS
SANTA MARTA (CT),ARMA DE FUEGO
GRANADA,ARMA BLANCA / CORTOPUNZANTE
GUAMAL,SIN EMPLEO DE ARMAS
VILLAVICENCIO (CT),SIN EMPLEO DE ARMAS
VILLAVICENCIO (CT),ARMA BLANCA / CORTOPUNZANTE
IPIALES,ARMA BLANCA / CORTOPUNZANTE
IPIALES,SIN EMPLEO DE ARMAS
OSPINA,ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),ARMA BLANCA / CORTOPUNZANTE
PASTO (CT),SIN EMPLEO DE ARMAS
PASTO (CT),CONTUNDENTES
CUCUTA (CT),CONTUNDENTES
CUCUTA (CT),SIN EMPLEO DE ARMAS
CUCUTA (CT),SIN EMPLEO DE ARMAS
CUCUTA (CT),SIN EMPLEO DE ARMAS
CUCUTA (CT),SIN EMPLEO DE ARMAS
VILLA DEL ROSARIO,ARMA BLANCA / CORTOPUNZANTE
ARMENIA (CT),SIN EMPLEO DE ARMAS
ARMENIA (CT),SIN EMPLEO DE ARMAS
CALARCA,ARMA BLANCA / CORTOPUNZANTE
DOSQUEBRADAS,ARMA DE FUEGO
PEREIRA (CT),ARMA DE FUEGO
PEREIRA (CT),ARMA DE FUEGO
PEREIRA (CT),SIN EMPLEO DE ARMAS
PEREIRA (CT),ARMA BLANCA / CORTOPUNZANTE
PEREIRA (CT),ARMA BLANCA / CORTOPUNZANTE
PEREIRA (CT),ARMA BLANCA / CORTOPUNZANTE
SAN ANDRES (CT),SIN EMPLEO DE ARMAS
BARRANCABERMEJA,ARMA DE FUEGO
BARRANCABERMEJA,ARMA DE FUEGO
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),SIN EMPLEO DE ARMAS
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
BUCARAMANGA (CT),ARMA BLANCA / CORTOPUNZANTE
FLORIDABLANCA,ARMA BLANCA / CORTOPUNZANTE
FLORIDABLANCA,SIN EMPLEO DE ARMAS
FLORIDABLANCA,SIN EMPLEO DE ARMAS
GIRON,ARMA BLANCA / CORTOPUNZANTE
PIEDECUESTA,ARMA BLANCA / CORTOPUNZANTE
SAN PEDRO,SIN EMPLEO DE ARMAS
SINCELEJO (CT),ARMA DE FUEGO
SINCELEJO (CT),PALANCAS
SINCELEJO (CT),ARMA BLANCA / CORTOPUNZANTE
CHAPARRAL,ARMA BLANCA / CORTOPUNZANTE
ESPINAL,ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),CONTUNDENTES
IBAGUE (CT),LLAVE MAESTRA
IBAGUE (CT),ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),ARMA BLANCA / CORTOPUNZANTE
IBAGUE (CT),SIN EMPLEO DE ARMAS
LERIDA,SIN EMPLEO DE ARMAS
LERIDA,ARMA DE FUEGO
ANDALUCIA,SIN EMPLEO DE ARMAS
BOLIVAR,ARMA DE FUEGO
BUENAVENTURA,SIN EMPLEO DE ARMAS
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CALI (CT),CONTUNDENTES
CALI (CT),SIN EMPLEO DE ARMAS
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA DE FUEGO
CALI (CT),ARMA BLANCA / CORTOPUNZANTE
CANDELARIA,ARMA DE FUEGO
CARTAGO,SIN EMPLEO DE ARMAS
GUADALAJARA DE BUGA,ARMA DE FUEGO
CALDAS,ARMA DE FUEGO
ENVIGADO,CONTUNDENTES
FREDONIA,SIN EMPLEO DE ARMAS
ITAGUI,SIN EMPLEO DE ARMAS
ITAGUI,SIN EMPLEO DE ARMAS
LA ESTRELLA,ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA BLANCA / CORTOPUNZANTE
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),ARMA DE FUEGO
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
MEDELLIN (CT),SIN EMPLEO DE ARMAS
