MUNICIPIO,MARCA
SINCELEJO (CT),SAMSUNG
SINCELEJO (CT),SAMSUNG
SINCELEJO (CT),SAMSUNG
SINCELEJO (CT),SAMSUNG
SINCELEJO (CT),ALCATEL
SINCELEJO (CT),MOTOROLA
SINCELEJO (CT),SAMSUNG
SINCELEJO (CT),ALCATEL
CHAPARRAL,ALCATEL
ESPINAL,ALCATEL
ESPINAL,APPLE
ESPINAL,ALCATEL
HONDA,ALCATEL
HONDA,AVVIO
IBAGUE (CT),SAMSUNG
IBAGUE (CT),HUAWEI
IBAGUE (CT),HUAWEI
IBAGUE (CT),SAMSUNG
CALI (CT),NOKIA
CALI (CT),LG
CALI (CT),NOKIA
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),LG
CALI (CT),SAMSUNG
CALI (CT),LG
CALI (CT),SAMSUNG
CALI (CT),AVVIO
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),ZTE
CALI (CT),SAMSUNG
CALI (CT),OTRA
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),HUAWEI
CALI (CT),APPLE
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
DAGUA,ALCATEL
GUADALAJARA DE BUGA,HUAWEI
GUADALAJARA DE BUGA,MOTOROLA
JAMUNDI,HUAWEI
PALMIRA,SAMSUNG
PALMIRA,SAMSUNG
BELLO,MOTOROLA
BELLO,SAMSUNG
ENVIGADO,HUAWEI
MARINILLA,SAMSUNG
MEDELLIN (CT),APPLE
MEDELLIN (CT),APPLE
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SONY
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
RETIRO,SAMSUNG
RETIRO,APPLE
RIONEGRO,LG
URRAO,SAMSUNG
ARAUCA (CT),SAMSUNG
SARAVENA,SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),ALCATEL
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),-
MALAMBO,HUAWEI
SOLEDAD,MOTOROLA
SOLEDAD,SAMSUNG
SOLEDAD,SAMSUNG
CARTAGENA (CT),SAMSUNG
CARTAGENA (CT),SAMSUNG
CARTAGENA (CT),HUAWEI
MANIZALES (CT),LG
MANIZALES (CT),SAMSUNG
MANIZALES (CT),HUAWEI
SAMANA,ZTE
AGUAZUL,MOTOROLA
AGUAZUL,AVVIO
YOPAL (CT),SAMSUNG
MIRANDA,SAMSUNG
POPAYAN (CT),ALCATEL
POPAYAN (CT),NOKIA
AGUACHICA,SAMSUNG
BOSCONIA,SAMSUNG
BOSCONIA,SAMSUNG
BOSCONIA,BLU
CHIRIGUANA,ALCATEL
CURUMANI,SAMSUNG
VALLEDUPAR (CT),SAMSUNG
VALLEDUPAR (CT),SAMSUNG
MONTELIBANO,MOTOROLA
MONTERIA (CT),ZTE
MONTERIA (CT),-
MONTERIA (CT),-
MONTERIA (CT),SAMSUNG
MONTERIA (CT),-
MONTERIA (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),BLU
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),ASUS
BOGOTA D.C. (CT),-
GIRARDOT,SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),LG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),APPLE
BOGOTA D.C. (CT),APPLE
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
FACATATIVA,NOKIA
GIRARDOT,SAMSUNG
MADRID,SAMSUNG
TENA,NOKIA
ZIPAQUIRA,SAMSUNG
MAICAO,ALCATEL
MAICAO,ALCATEL
RIOHACHA (CT),MOTOROLA
NEIVA (CT),LG
NEIVA (CT),SAMSUNG
NEIVA (CT),HUAWEI
NEIVA (CT),HUAWEI
NEIVA (CT),ZTE
PITALITO,LANIX
PITALITO,APPLE
SAN AGUSTIN,OTRA
CIENAGA,LENOVO
SANTA MARTA (CT),SAMSUNG
SANTA MARTA (CT),SAMSUNG
SANTA MARTA (CT),LG
PUERTO GAITAN,NOKIA
VILLAVICENCIO (CT),ALCATEL
VILLAVICENCIO (CT),APPLE
VILLAVICENCIO (CT),BLU
VILLAVICENCIO (CT),ALCATEL
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),APPLE
VILLAVICENCIO (CT),AZUMI
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),ALCATEL
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),SAMSUNG
IPIALES,SAMSUNG
IPIALES,APPLE
PASTO (CT),SAMSUNG
PASTO (CT),SAMSUNG
PASTO (CT),SAMSUNG
PASTO (CT),SAMSUNG
PASTO (CT),MOTOROLA
TUQUERRES,LENOVO
CUCUTA (CT),LANIX
ARMENIA (CT),SAMSUNG
ARMENIA (CT),SAMSUNG
ARMENIA (CT),SAMSUNG
ARMENIA (CT),SAMSUNG
ARMENIA (CT),ALCATEL
ARMENIA (CT),SAMSUNG
ARMENIA (CT),BLU
ARMENIA (CT),ALCATEL
QUIMBAYA,SAMSUNG
DOSQUEBRADAS,ASUS
PEREIRA (CT),HUAWEI
PEREIRA (CT),HUAWEI
PEREIRA (CT),ASUS
PEREIRA (CT),SAMSUNG
PEREIRA (CT),MOTOROLA
PEREIRA (CT),HUAWEI
PEREIRA (CT),APPLE
PEREIRA (CT),SAMSUNG
PEREIRA (CT),MOTOROLA
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),APPLE
BUCARAMANGA (CT),LENOVO
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),ALCATEL
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),OTRA
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),APPLE
FLORIDABLANCA,-
FLORIDABLANCA,HUAWEI
PIEDECUESTA,MOTOROLA
SINCELEJO (CT),MOTOROLA
SINCELEJO (CT),SAMSUNG
SINCELEJO (CT),HUAWEI
SINCELEJO (CT),ZTE
SINCELEJO (CT),HUAWEI
CHAPARRAL,SAMSUNG
ESPINAL,ALCATEL
ESPINAL,SAMSUNG
GUAMO,SAMSUNG
IBAGUE (CT),NOKIA
IBAGUE (CT),-
IBAGUE (CT),ALCATEL
IBAGUE (CT),SAMSUNG
IBAGUE (CT),OTRA
IBAGUE (CT),SAMSUNG
MELGAR,HUAWEI
ANDALUCIA,SAMSUNG
BUENAVENTURA,LENOVO
CALI (CT),HUAWEI
CALI (CT),NOKIA
CALI (CT),HUAWEI
CALI (CT),SAMSUNG
CALI (CT),APPLE
CALI (CT),MOTOROLA
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),MOTOROLA
CALI (CT),SAMSUNG
CALI (CT),OTRA
CALI (CT),SAMSUNG
CALI (CT),OTRA
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),OTRA
CALI (CT),HUAWEI
CALI (CT),HUAWEI
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CARTAGO,SAMSUNG
JAMUNDI,OTRA
PALMIRA,AVVIO
PALMIRA,SONY
PRADERA,HUAWEI
BELLO,SAMSUNG
COPACABANA,SAMSUNG
EL SANTUARIO,SONY
ENVIGADO,APPLE
ENVIGADO,HUAWEI
ENVIGADO,SAMSUNG
GUARNE,SONY
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),APPLE
MEDELLIN (CT),LENOVO
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),LG
MEDELLIN (CT),AZUMI
MEDELLIN (CT),OTRA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),LG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
PUERTO BERRIO,SAMSUNG
SABANETA,HUAWEI
SAN LUIS,MOTOROLA
YOLOMBO,SAMSUNG
ARAUCA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),NOKIA
BARRANQUILLA (CT),SAMSUNG
SABANALARGA,ASUS
SABANALARGA,SAMSUNG
TUBARA,HUAWEI
CARTAGENA (CT),SAMSUNG
CARTAGENA (CT),MOTOROLA
CHIQUINQUIRA,HUAWEI
GUATEQUE,-
TUNJA (CT),HUAWEI
TUNJA (CT),AZUMI
MANIZALES (CT),ALCATEL
MANIZALES (CT),SAMSUNG
MANIZALES (CT),MOTOROLA
MANIZALES (CT),APPLE
MANIZALES (CT),APPLE
MANIZALES (CT),SAMSUNG
MANIZALES (CT),HUAWEI
MANIZALES (CT),HUAWEI
SAN VICENTE DEL CAGUAN,SAMSUNG
MONTERREY,AVVIO
TAURAMENA,SAMSUNG
POPAYAN (CT),SAMSUNG
POPAYAN (CT),MOTOROLA
PUERTO TEJADA,SAMSUNG
PUERTO TEJADA,SAMSUNG
LA PAZ,ALCATEL
VALLEDUPAR (CT),SAMSUNG
VALLEDUPAR (CT),SAMSUNG
VALLEDUPAR (CT),NOKIA
VALLEDUPAR (CT),MOTOROLA
VALLEDUPAR (CT),SAMSUNG
ATRATO,APPLE
LORICA,AZUMI
MONTERIA (CT),ALCATEL
MONTERIA (CT),MOTOROLA
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),APPLE
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
NEIVA (CT),LENOVO
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),AVVIO
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),LENOVO
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
FACATATIVA,HUAWEI
FACATATIVA,HUAWEI
GIRARDOT,-
PACHO,HUAWEI
ALBANIA,APPLE
RIOHACHA (CT),SAMSUNG
LA PLATA,SAMSUNG
NEIVA (CT),SAMSUNG
NEIVA (CT),MOTOROLA
PITALITO,SAMSUNG
CIENAGA,LENOVO
SANTA MARTA (CT),SAMSUNG
SANTA MARTA (CT),ALCATEL
SANTA MARTA (CT),ALCATEL
SANTA MARTA (CT),HUAWEI
VILLAVICENCIO (CT),MOTOROLA
VILLAVICENCIO (CT),NOKIA
VILLAVICENCIO (CT),ALCATEL
VILLAVICENCIO (CT),ALCATEL
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),SAMSUNG
CHACHAGUI,LG
IPIALES,LG
IPIALES,-
IPIALES,AZUMI
PASTO (CT),HUAWEI
PASTO (CT),HUAWEI
PASTO (CT),SAMSUNG
PASTO (CT),MOTOROLA
PASTO (CT),HUAWEI
PASTO (CT),SAMSUNG
PASTO (CT),HUAWEI
OCANHA,APPLE
VILLA DEL ROSARIO,SAMSUNG
VILLAGARZON,SAMSUNG
ARMENIA (CT),HUAWEI
ARMENIA (CT),SAMSUNG
CALARCA,HUAWEI
DOSQUEBRADAS,LANIX
PEREIRA (CT),HUAWEI
PEREIRA (CT),SAMSUNG
BUCARAMANGA (CT),APPLE
BUCARAMANGA (CT),MOTOROLA
BUCARAMANGA (CT),LG
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),BLU
FLORIDABLANCA,HUAWEI
GIRON,SONY
GIRON,NOKIA
GIRON,APPLE
LEBRIJA,BLU
PIEDECUESTA,HUAWEI
COVENHAS,SAMSUNG
SAN ONOFRE,LANIX
SAN ONOFRE,BLU
SINCELEJO (CT),HUAWEI
SINCELEJO (CT),HUAWEI
SINCELEJO (CT),MOTOROLA
SINCELEJO (CT),MOTOROLA
SINCELEJO (CT),APPLE
SINCELEJO (CT),HUAWEI
SINCELEJO (CT),MOTOROLA
SINCELEJO (CT),MOTOROLA
CHAPARRAL,SAMSUNG
IBAGUE (CT),SAMSUNG
IBAGUE (CT),-
IBAGUE (CT),-
IBAGUE (CT),SAMSUNG
IBAGUE (CT),ALCATEL
IBAGUE (CT),HUAWEI
IBAGUE (CT),LG
IBAGUE (CT),SAMSUNG
MELGAR,-
PIEDRAS,SAMSUNG
BUENAVENTURA,HUAWEI
CALI (CT),LENOVO
CALI (CT),LG
CALI (CT),ALCATEL
CALI (CT),HUAWEI
CALI (CT),LENOVO
CALI (CT),SAMSUNG
CALI (CT),ZTE
CALI (CT),LENOVO
DAGUA,AZUMI
GUACARI,AZUMI
GUADALAJARA DE BUGA,MOTOROLA
PALMIRA,AZUMI
LETICIA (CT),ALCATEL
APARTADO,MOTOROLA
BELLO,MOTOROLA
BELLO,SAMSUNG
BELLO,SAMSUNG
CALDAS,SAMSUNG
COPACABANA,SAMSUNG
ENVIGADO,SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),APPLE
MEDELLIN (CT),AVVIO
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),APPLE
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),HUAWEI
ARAUCA (CT),HUAWEI
ARAUCA (CT),SAMSUNG
SARAVENA,ALCATEL
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),ALCATEL
BARRANQUILLA (CT),OTRA
BARRANQUILLA (CT),HUAWEI
MALAMBO,HUAWEI
SABANALARGA,SAMSUNG
SOLEDAD,HUAWEI
CARTAGENA (CT),APPLE
DUITAMA,HUAWEI
TUNJA (CT),SAMSUNG
CHINCHINA,ALCATEL
MANIZALES (CT),MOTOROLA
MANIZALES (CT),LENOVO
MANIZALES (CT),SAMSUNG
FLORENCIA (CT),SAMSUNG
YOPAL (CT),MOTOROLA
POPAYAN (CT),HUAWEI
POPAYAN (CT),SAMSUNG
POPAYAN (CT),SAMSUNG
POPAYAN (CT),SAMSUNG
AGUACHICA,SAMSUNG
BOSCONIA,SAMSUNG
VALLEDUPAR (CT),SAMSUNG
VALLEDUPAR (CT),SAMSUNG
VALLEDUPAR (CT),APPLE
VALLEDUPAR (CT),NOKIA
VALLEDUPAR (CT),SAMSUNG
MONTERIA (CT),HUAWEI
MONTERIA (CT),SAMSUNG
MONTERIA (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),AVVIO
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),NOKIA
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),APPLE
BOGOTA D.C. (CT),-
FUNZA,ALCATEL
MADRID,MOTOROLA
SOACHA,MOTOROLA
SOACHA,MOTOROLA
RIOHACHA (CT),SAMSUNG
RIOHACHA (CT),SAMSUNG
RIOHACHA (CT),APPLE
RIOHACHA (CT),APPLE
RIOHACHA (CT),SAMSUNG
SAN JUAN DEL CESAR,HUAWEI
SAN JUAN DEL CESAR,SAMSUNG
SAN JUAN DEL CESAR,SONY
CAMPOALEGRE,SAMSUNG
NEIVA (CT),APPLE
NEIVA (CT),SAMSUNG
NEIVA (CT),MOTOROLA
NEIVA (CT),SAMSUNG
NEIVA (CT),MOTOROLA
NEIVA (CT),OTRA
NEIVA (CT),ZTE
PITALITO,SONY
PITALITO,SAMSUNG
SAN AGUSTIN,ALCATEL
SANTA MARTA (CT),SAMSUNG
SANTA MARTA (CT),SONY
SANTA MARTA (CT),SAMSUNG
SANTA MARTA (CT),MOTOROLA
SANTA MARTA (CT),SONY
SANTA MARTA (CT),ALCATEL
SANTA MARTA (CT),SAMSUNG
GRANADA,SAMSUNG
GUAMAL,HUAWEI
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),SAMSUNG
IPIALES,SAMSUNG
IPIALES,AZUMI
OSPINA,SAMSUNG
PASTO (CT),SAMSUNG
PASTO (CT),APPLE
PASTO (CT),SAMSUNG
CUCUTA (CT),SAMSUNG
CUCUTA (CT),SAMSUNG
CUCUTA (CT),SAMSUNG
CUCUTA (CT),SAMSUNG
CUCUTA (CT),SAMSUNG
VILLA DEL ROSARIO,MOTOROLA
ARMENIA (CT),SAMSUNG
ARMENIA (CT),SAMSUNG
CALARCA,HUAWEI
DOSQUEBRADAS,HUAWEI
PEREIRA (CT),SAMSUNG
PEREIRA (CT),LG
PEREIRA (CT),MOTOROLA
PEREIRA (CT),SAMSUNG
PEREIRA (CT),ALCATEL
PEREIRA (CT),SAMSUNG
SAN ANDRES (CT),OTRA
BARRANCABERMEJA,SAMSUNG
BARRANCABERMEJA,SAMSUNG
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),SONY
BUCARAMANGA (CT),SAMSUNG
FLORIDABLANCA,HUAWEI
FLORIDABLANCA,HUAWEI
FLORIDABLANCA,AVVIO
GIRON,SAMSUNG
PIEDECUESTA,SAMSUNG
SAN PEDRO,SAMSUNG
SINCELEJO (CT),ALCATEL
SINCELEJO (CT),SAMSUNG
SINCELEJO (CT),ALCATEL
CHAPARRAL,ALCATEL
ESPINAL,HUAWEI
IBAGUE (CT),MOTOROLA
IBAGUE (CT),SAMSUNG
IBAGUE (CT),SAMSUNG
IBAGUE (CT),SAMSUNG
IBAGUE (CT),NOKIA
LERIDA,SAMSUNG
LERIDA,NOKIA
ANDALUCIA,MOTOROLA
BOLIVAR,ALCATEL
BUENAVENTURA,SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),HUAWEI
CALI (CT),ZTE
CALI (CT),SAMSUNG
CALI (CT),ALCATEL
CALI (CT),LENOVO
CALI (CT),MOTOROLA
CALI (CT),HUAWEI
CALI (CT),HUAWEI
CALI (CT),HUAWEI
CALI (CT),LG
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),-
CALI (CT),SAMSUNG
CALI (CT),SONY
CALI (CT),SAMSUNG
CALI (CT),APPLE
CALI (CT),SAMSUNG
CALI (CT),SAMSUNG
CALI (CT),MOTOROLA
CALI (CT),SONY
CALI (CT),ALCATEL
CALI (CT),LG
CALI (CT),HUAWEI
CALI (CT),SAMSUNG
CALI (CT),APPLE
CALI (CT),SAMSUNG
CANDELARIA,SAMSUNG
CARTAGO,ALCATEL
GUADALAJARA DE BUGA,AZUMI
CALDAS,SAMSUNG
ENVIGADO,MOTOROLA
FREDONIA,HUAWEI
ITAGUI,HUAWEI
ITAGUI,APPLE
LA ESTRELLA,SAMSUNG
MEDELLIN (CT),LG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),APPLE
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),APPLE
MEDELLIN (CT),LENOVO
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),LG
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),-
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),APPLE
MEDELLIN (CT),LENOVO
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),SAMSUNG
PUERTO TRIUNFO,APPLE
RIONEGRO,BLU
SABANETA,SAMSUNG
ARAUCA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
SOLEDAD,SAMSUNG
CARTAGENA (CT),MOTOROLA
FLORENCIA (CT),SAMSUNG
FLORENCIA (CT),AVVIO
FLORENCIA (CT),SAMSUNG
SAN VICENTE DEL CAGUAN,SAMSUNG
TRINIDAD,ALCATEL
YOPAL (CT),HUAWEI
YOPAL (CT),APPLE
POPAYAN (CT),NOKIA
VALLEDUPAR (CT),MOTOROLA
VALLEDUPAR (CT),LG
VALLEDUPAR (CT),SAMSUNG
QUIBDO (CT),ALCATEL
QUIBDO (CT),SAMSUNG
MONTERIA (CT),HUAWEI
MONTERIA (CT),MOTOROLA
MONTERIA (CT),SAMSUNG
MONTERIA (CT),ALCATEL
MONTERIA (CT),-
MONTERIA (CT),HUAWEI
MONTERIA (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),LG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),AVVIO
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),APPLE
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),ASUS
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),LANIX
BOGOTA D.C. (CT),ZTE
BOGOTA D.C. (CT),NOKIA
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),MOTOROLA
BOGOTA D.C. (CT),SAMSUNG
MAICAO,LG
MAICAO,SAMSUNG
RIOHACHA (CT),SAMSUNG
RIOHACHA (CT),SAMSUNG
NEIVA (CT),SAMSUNG
NEIVA (CT),BLU
NEIVA (CT),SAMSUNG
NEIVA (CT),HUAWEI
RIVERA,ALCATEL
EL BANCO,APPLE
SANTA MARTA (CT),ALCATEL
SANTA MARTA (CT),SAMSUNG
ZONA BANANERA,SAMSUNG
VILLAVICENCIO (CT),OTRA
VILLAVICENCIO (CT),ALCATEL
VILLAVICENCIO (CT),LENOVO
PASTO (CT),SAMSUNG
PASTO (CT),LG
PASTO (CT),SAMSUNG
PASTO (CT),HUAWEI
PASTO (CT),SAMSUNG
PASTO (CT),MOTOROLA
CUCUTA (CT),SAMSUNG
CUCUTA (CT),ALCATEL
ARMENIA (CT),ALCATEL
ARMENIA (CT),AZUMI
ARMENIA (CT),ALCATEL
DOSQUEBRADAS,SAMSUNG
DOSQUEBRADAS,LG
DOSQUEBRADAS,-
DOSQUEBRADAS,HUAWEI
LA VIRGINIA,SAMSUNG
PEREIRA (CT),ALCATEL
PEREIRA (CT),NOKIA
PEREIRA (CT),MOTOROLA
SAN ANDRES (CT),APPLE
BARRANCABERMEJA,APPLE
BARRANCABERMEJA,HUAWEI
BARRANCABERMEJA,SAMSUNG
BUCARAMANGA (CT),SAMSUNG
BUCARAMANGA (CT),LG
BUCARAMANGA (CT),BLU
