MUNICIPIO,MARCA
CHIQUINQUIRA,NOKIA
CHIQUINQUIRA,HUAWEI
CHIQUINQUIRA,APPLE
MANIZALES (CT),APPLE
MANIZALES (CT),SAMSUNG
MANIZALES (CT),MOTOROLA
MANIZALES (CT),APPLE
VILLAMARIA,HUAWEI
FLORENCIA (CT),SONY
FLORENCIA (CT),SONY
SAN VICENTE DEL CAGUAN,HUAWEI
TAURAMENA,AVVIO
YOPAL (CT),SAMSUNG
PUERTO TEJADA,SAMSUNG
VALLEDUPAR (CT),SAMSUNG
VALLEDUPAR (CT),SAMSUNG
VALLEDUPAR (CT),SAMSUNG
QUIBDO (CT),ALCATEL
MONTERIA (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),LG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),ALCATEL
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
MAICAO,ALCATEL
MAICAO,SAMSUNG
VILLANUEVA,SAMSUNG
SAN JOSE DEL GUAVIARE (CT),SAMSUNG
GARZON,HUAWEI
NEIVA (CT),SAMSUNG
NEIVA (CT),SAMSUNG
NEIVA (CT),-
SANTA MARTA (CT),HUAWEI
SANTA MARTA (CT),ALCATEL
SANTA MARTA (CT),LANIX
SANTA MARTA (CT),AZUMI
VILLAVICENCIO (CT),ALCATEL
VILLAVICENCIO (CT),APPLE
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),ASUS
VILLAVICENCIO (CT),SAMSUNG
IPIALES,HUAWEI
PASTO (CT),MOTOROLA
PASTO (CT),HUAWEI
PASTO (CT),HUAWEI
PASTO (CT),MOTOROLA
PASTO (CT),LENOVO
PASTO (CT),HUAWEI
PASTO (CT),HUAWEI
PASTO (CT),MOTOROLA
PASTO (CT),SAMSUNG
PASTO (CT),SAMSUNG
PASTO (CT),SAMSUNG
PASTO (CT),HUAWEI
PASTO (CT),HUAWEI
PASTO (CT),SAMSUNG
PASTO (CT),APPLE
PASTO (CT),SAMSUNG
PASTO (CT),SAMSUNG
CUCUTA (CT),SAMSUNG
CUCUTA (CT),SAMSUNG
ARMENIA (CT),ALCATEL
ARMENIA (CT),SAMSUNG
ARMENIA (CT),SAMSUNG
ARMENIA (CT),HUAWEI
QUIMBAYA,ALCATEL
QUIMBAYA,NOKIA
BELEN DE UMBRIA,SAMSUNG
BELEN DE UMBRIA,ALCATEL
BELEN DE UMBRIA,-
DOSQUEBRADAS,ZTE
PEREIRA (CT),SAMSUNG
PEREIRA (CT),APPLE
PEREIRA (CT),ALCATEL
PEREIRA (CT),-
PEREIRA (CT),MOTOROLA
PEREIRA (CT),SAMSUNG
BARRANCABERMEJA,SAMSUNG
BUCARAMANGA (CT),MOTOROLA
BUCARAMANGA (CT),MOTOROLA
BUCARAMANGA (CT),BLU
BUCARAMANGA (CT),BLU
BUCARAMANGA (CT),HUAWEI
BUCARAMANGA (CT),OTRA
BUCARAMANGA (CT),SAMSUNG
FLORIDABLANCA,HUAWEI
FLORIDABLANCA,HUAWEI
ALVARADO,MOTOROLA
CAJAMARCA,SAMSUNG
ESPINAL,SAMSUNG
CALI (CT),HUAWEI
CALI (CT),SAMSUNG
CALI (CT),HUAWEI
CALI (CT),ZTE
CALI (CT),OTRA
CALI (CT),OTRA
CALI (CT),LENOVO
CALI (CT),APPLE
CALI (CT),ALCATEL
CALI (CT),HUAWEI
CALI (CT),APPLE
CALI (CT),APPLE
CALI (CT),SAMSUNG
CALI (CT),NOKIA
CANDELARIA,SAMSUNG
CANDELARIA,SAMSUNG
CANDELARIA,HUAWEI
GUADALAJARA DE BUGA,SAMSUNG
JAMUNDI,APPLE
PALMIRA,ALCATEL
PALMIRA,NOKIA
PALMIRA,LANIX
SEVILLA,AVVIO
BARBOSA,SAMSUNG
BELLO,SAMSUNG
CAUCASIA,SAMSUNG
CISNEROS,MOTOROLA
COPACABANA,APPLE
ITAGUI,SAMSUNG
ITAGUI,NOKIA
ITAGUI,MOTOROLA
ITAGUI,LENOVO
MARINILLA,MOTOROLA
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),MOTOROLA
MEDELLIN (CT),HUAWEI
CALARCA,SAMSUNG
MEDELLIN (CT),LG
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),AVVIO
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),LG
MEDELLIN (CT),ALCATEL
MEDELLIN (CT),HUAWEI
MEDELLIN (CT),SAMSUNG
MEDELLIN (CT),SAMSUNG
RETIRO,SAMSUNG
RIONEGRO,SAMSUNG
RIONEGRO,SAMSUNG
RIONEGRO,SAMSUNG
RIONEGRO,SAMSUNG
SABANETA,SAMSUNG
SANTO DOMINGO,SAMSUNG
SANTO DOMINGO,MOTOROLA
BARRANQUILLA (CT),NOKIA
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),OTRA
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),LG
BARRANQUILLA (CT),SAMSUNG
BARRANQUILLA (CT),SAMSUNG
DUITAMA,SAMSUNG
SOGAMOSO,HUAWEI
TUNJA (CT),SAMSUNG
LA DORADA,HUAWEI
MANIZALES (CT),SAMSUNG
MANIZALES (CT),SAMSUNG
FLORENCIA (CT),APPLE
FLORENCIA (CT),SONY
MANI,SAMSUNG
MANI,SAMSUNG
MANI,AVVIO
MANI,AZUMI
MANI,OTRA
MONTERREY,OTRA
PAZ DE ARIPORO,SAMSUNG
PAZ DE ARIPORO,ALCATEL
PATIA,HUAWEI
POPAYAN (CT),SAMSUNG
POPAYAN (CT),HUAWEI
POPAYAN (CT),SAMSUNG
POPAYAN (CT),SAMSUNG
POPAYAN (CT),BLU
AYAPEL,LANIX
MONTERIA (CT),MOTOROLA
MONTERIA (CT),SAMSUNG
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),HUAWEI
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),-
BOGOTA D.C. (CT),SAMSUNG
BOGOTA D.C. (CT),-
MAICAO,SAMSUNG
RIOHACHA (CT),SAMSUNG
RIOHACHA (CT),SAMSUNG
VILLANUEVA,MOTOROLA
NEIVA (CT),HUAWEI
NEIVA (CT),SAMSUNG
PITALITO,LG
TIMANA,SAMSUNG
SANTA MARTA (CT),MOTOROLA
SANTA MARTA (CT),NOKIA
VILLAVICENCIO (CT),ALCATEL
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),ALCATEL
VILLAVICENCIO (CT),-
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),HUAWEI
VILLAVICENCIO (CT),ALCATEL
VILLAVICENCIO (CT),OTRA
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),APPLE
VILLAVICENCIO (CT),ALCATEL
VILLAVICENCIO (CT),SAMSUNG
VILLAVICENCIO (CT),HUAWEI
