BARRIO,SEXO
BELLO HORIZONTE C-7,MASCULINO
BOMBONA 1 C-10,MASCULINO
CARIBE C-5,FEMENINO
EL RINCON C-16,FEMENINO
SEVILLA  C-4,FEMENINO
GUAYABAL C-15,FEMENINO
GRANADA C-16,FEMENINO
VILLANUEVA C-10,MASCULINO
SANTA CRUZ  C-2,MASCULINO
ESTACION VILLA C-10,FEMENINO
CATALUNHA  C-9,FEMENINO
SEVILLA  C-4,FEMENINO
CARIBE C-5,MASCULINO
EL CHAGUALO C-10,MASCULINO
CARIBE,FEMENINO
SECTOR GALERIA,FEMENINO
EL CARMEN,FEMENINO
BELLA ARENA,MASCULINO
SANTA CRUZ,MASCULINO
LA ARBOLEDA,MASCULINO
LA CRUZ,FEMENINO
VDA. TENERIA,MASCULINO
BARRIO LOS SAUCES,MASCULINO
BARRIO POPULAR,MASCULINO
CENTRO,FEMENINO
CRISTO REY,FEMENINO
CRISTO REY,FEMENINO
LA ESTRELLA,FEMENINO
URAPANES,MASCULINO
LA AMAZONIA,MASCULINO
JORGE ELIECER GAITAN,MASCULINO
VIA PALESTRO,FEMENINO
RAIZAL,FEMENINO
ESPERANZA,MASCULINO
LA ESPERANZA,FEMENINO
MAREIGUA,FEMENINO
LAS FLORES,FEMENINO
LAS FLORES,FEMENINO
EL JARDIN,FEMENINO
LA FLORESTA,MASCULINO
VENECIA E-6,FEMENINO
SUCRE E-2,FEMENINO
EL POA E-11,FEMENINO
LA CATEDRAL E-3,MASCULINO
SANTA FE E-14,MASCULINO
SAN ISIDRO E-4,MASCULINO
LA MACARENA E-3,MASCULINO
SUBA CENTRO E-11,MASCULINO
CHICO NAVARRA E-1,MASCULINO
SUBA CENTRO E-11,MASCULINO
LA PAZ E-3,FEMENINO
SANTA ISABEL E-14,FEMENINO
SUBA CENTRO E-11,FEMENINO
ALTO PRADO,FEMENINO
COLOMBIALIBRE,FEMENINO
EL CENTRO,FEMENINO
BARRIO DIVINO NINHO,FEMENINO
VEREDA CLAROS,FEMENINO
EL VERGEL,FEMENINO
LOS DUJOS,FEMENINO
ENRIQUE OLAYA HERRERA,MASCULINO
REPOSO,FEMENINO
ALCAZARES,MASCULINO
CENTRO HISTORICO,MASCULINO
RODADERO SUR,MASCULINO
CENTRO,FEMENINO
ESTERO,MASCULINO
INDUSTRIAL,FEMENINO
SAN BENITO,MASCULINO
BELLO HORIZONTE,FEMENINO
BENJAMIN HERRERA,MASCULINO
RECUERDO,FEMENINO
CANTARANA,MASCULINO
POTRERILLO,FEMENINO
POTRERILLO,FEMENINO
NUEVO SOL,MASCULINO
CENTRO,MASCULINO
CHAPAL,FEMENINO
CAICEDO ALTO,FEMENINO
AV. ESTUDIANTES,FEMENINO
CHILE,MASCULINO
CENTRO,FEMENINO
POTRERILLO,FEMENINO
MADRIGAL,MASCULINO
NIZA II,FEMENINO
CENTRO,MASCULINO
CENTRO,MASCULINO
AV. CHAMPAGNAT,FEMENINO
BARRIO PRADOS DEL ESTE,MASCULINO
BARRIO EL BOSQUE,FEMENINO
SECTOR CAM,MASCULINO
VERACRUZ,FEMENINO
SECTOR COLISEO DEL CAFE,MASCULINO
MIRAFLORES BAJO,MASCULINO
CIUDADELA EL ENSUENHO,FEMENINO
CIUDADELA EL ENSUENHO,FEMENINO
B. CENTRO,FEMENINO
B. CENTRO,FEMENINO
B. CENTRO,FEMENINO
SECTOR LA POPA,FEMENINO
LA AURORA,FEMENINO
LA AURORA,FEMENINO
PLAZA CIVICA CIUDAD VICTORIA,FEMENINO
SECTOR PLAZA DE BOLIVAR,MASCULINO
SECTOR AVENIDA DEL RIO,MASCULINO
LAS GARZAS,FEMENINO
LA ESPERANZA,MASCULINO
GARCIA ROVIRA,MASCULINO
CABECERA DEL LLANO,MASCULINO
REGADERO NORTE,MASCULINO
TRANSICION V,MASCULINO
DIAMANTE II,FEMENINO
VILLA ROSA,MASCULINO
PIO XII,MASCULINO
EL BOSQUE,FEMENINO
PANORAMA,MASCULINO
VIA PIEDRAS,FEMENINO
CENTRO,FEMENINO
VRDA. DINDALITO,MASCULINO
EL GRAN LIMONAR E17,FEMENINO
NORMANDIA E2,FEMENINO
ALFONSO B. ARAGON E14,FEMENINO
MARIANO RAMOS E16,MASCULINO
EL RETIRO E15,FEMENINO
SANTA ROSA E3,MASCULINO
SANTA TERESITA E2,MASCULINO
SAN PEDRO E3,MASCULINO
VALLADO E15,FEMENINO
SIETE DE AGOSTO E7,MASCULINO
JORGE ISAACS E4,MASCULINO
JORGE ISAACS E4,MASCULINO
SILOE E20,FEMENINO
MARROQUIN I E14,MASCULINO
CALLEJON TIPLE ARRIBA (23-S-4-1),MASCULINO
CANDELARIA (23-1 23-2),MASCULINO
CENTRAL (23-S-2-1),MASCULINO
JORGE ELIECER GAITAN,MASCULINO
LA PRADERA I E24,MASCULINO
ZAMORANO,FEMENINO
CENTRAL,MASCULINO
CENTRAL,MASCULINO
VILLA CLAUDIA,FEMENINO
VDA. POTRERITO,MASCULINO
ZONA CENTRO,MASCULINO
ASOVIVIENDA,FEMENINO
PALMIRA,MASCULINO
VILLANUEVA,FEMENINO
TERRA NOVA,MASCULINO
VDA. LA MARIA,FEMENINO
SAN PIO,MASCULINO
VILLA PAULA,FEMENINO
CENTRO,FEMENINO
LA CANDELARIA C-10,MASCULINO
VILLANUEVA C-10,FEMENINO
LA CANDELARIA C-10,FEMENINO
ZONA CENTRO,MASCULINO
GERONA  C-9,FEMENINO
