BARRIO,SEXO
LOS ANDAQUIES,MASCULINO
VEREDA NUEVA ZELANDA,MASCULINO
SAN MARTIN,MASCULINO
GAIRA TRADICIONAL,MASCULINO
SANTA ELENA,FEMENINO
ALMENDROS,FEMENINO
POSTOBON,MASCULINO
POSTOBON,FEMENINO
MAMATOCO,MASCULINO
CENTRO,MASCULINO
EL RETIRO,MASCULINO
PRIMAVERA,FEMENINO
SESQUICENTENARIO,MASCULINO
TERMINAL TRASPORTES,FEMENINO
RELIQUIA,FEMENINO
AV. LOS MARACOS,FEMENINO
GUAYABAL,FEMENINO
REMANSO,FEMENINO
CENTRO,FEMENINO
MADRIGAL,MASCULINO
ALTAMIRA,MASCULINO
VDA EL PUERTO EL ENCANO,MASCULINO
CAICEDONIA,FEMENINO
SANTA CLARA,MASCULINO
ANGANOY,MASCULINO
VDA SAN FRANCISCO BUESAQUILLO,FEMENINO
VDA SAN FRANCISCO BUESAQUILLO,MASCULINO
NUEVO SOL,FEMENINO
BARRIO CARLOS RAMIREZ PARIS,FEMENINO
CORREGIMIENTO LA LAGUNA,MASCULINO
BARRIO EL HUMILLADERO,FEMENINO
SECTOR CAM,FEMENINO
SECTOR CAM,FEMENINO
ISABELA,FEMENINO
ISABELA,FEMENINO
CAMILO TORRES 1,FEMENINO
LA PRADERA,FEMENINO
GIRASOL,FEMENINO
LA ROSA,FEMENINO
SANTA MONICA,FEMENINO
GAMMA III,FEMENINO
SECTOR PARQUE LA LIBERTAD,FEMENINO
SECTOR GALERIA CENTRAL,FEMENINO
SECTOR PARQUE EL LAGO,MASCULINO
BRASILIA,FEMENINO
GALAN GOMEZ,FEMENINO
LA UNIVERSIDAD,MASCULINO
MEJORAS PUBLICAS,FEMENINO
LA AURORA,FEMENINO
LA JUVENTUD,MASCULINO
SAN FRANCISCO,MASCULINO
CABECERA DEL LLANO,MASCULINO
OLAS II,FEMENINO
LA INDEPENDENCIA,MASCULINO
COLORADOS,MASCULINO
LAGOS II,FEMENINO
CASCO ANTIGUO DE FLORIDABLANCA,MASCULINO
VDA. LOS CAUCHOS,MASCULINO
LOS ROSALES,FEMENINO
EL LLANITO,MASCULINO
EL CENTRO,MASCULINO
EL CENTRO,MASCULINO
AV. LAS PENHITAS,FEMENINO
SAN CARLOS,FEMENINO
PROTECHO (TOPACIO),MASCULINO
ESTACION,FEMENINO
LA CAMPINHA,FEMENINO
VILLA DEL SOL,MASCULINO
SIMON BOLIVAR,FEMENINO
CONDOMINIO LINDAGUA,FEMENINO
VRDA. LA CAJITA,FEMENINO
GUAYAQUIL E9,FEMENINO
EL TREBOL E8,FEMENINO
SAN ANTONIO E3,MASCULINO
LOS ALCAZARES E6,FEMENINO
LOS ALCAZARES E6,FEMENINO
LA MERCED E3,MASCULINO
EL TRONCAL E8,MASCULINO
PRADOS DEL NORTE E2,FEMENINO
LOS ALCAZARES E6,FEMENINO
ALIRIO MORA BELTRAN E14,MASCULINO
ALIRIO MORA BELTRAN E14,MASCULINO
LOS ROBLES E13,MASCULINO
JORGE E. GAITAN (23-1),FEMENINO
URB. PORTAL DE ALAMOS I,FEMENINO
SANTA RITA,FEMENINO
CAIMITOS,MASCULINO
PORVENIR,MASCULINO
RIACHUELOS,FEMENINO
LA CAMILA,FEMENINO
AUTOPISTA NORTE,MASCULINO
LAS VEGAS,MASCULINO
LAS VEGAS,MASCULINO
ZONA CENTRO,MASCULINO
ZONA CENTRO,MASCULINO
JARDIN BOTANICO  C-4,MASCULINO
EL RODEO C-15,FEMENINO
VILLA HERMOSA C-8,MASCULINO
PRADO C-10,MASCULINO
SANTA MARIA DE LOS ANGELES C-14,FEMENINO
BOSTON C-10,FEMENINO
SEVILLA  C-4,FEMENINO
ARANJUEZ  C-4,FEMENINO
GUAYABAL C-15,FEMENINO
LA CANDELARIA C-10,MASCULINO
CARIBE C-5,MASCULINO
CALLE NUEVA C-10,FEMENINO
JESUS NAZARENO C-10,FEMENINO
EL SALVADOR  C-9,FEMENINO
LA CANDELARIA C-10,FEMENINO
ROBLEDO C-7,MASCULINO
CARIBE C-5,MASCULINO
EL POBLADO C-14,MASCULINO
PICACHO C-6,MASCULINO
PEDREGAL C-6,MASCULINO
GUAYABAL C-15,FEMENINO
NOEL C-15,MASCULINO
VILLANUEVA C-10,MASCULINO
TEJELO C-5,FEMENINO
GERONA  C-9,FEMENINO
LA GLORIA C-16,FEMENINO
REBOLO,FEMENINO
LAS ESTRELLAS,FEMENINO
LA SIERRITA,FEMENINO
EL RODEO,FEMENINO
BARRIO FLORIDA UNO,FEMENINO
BARRIO LAS LAJAS,MASCULINO
BARRIO ALTAMIRA,MASCULINO
BARRIO 20 DE JULIO,MASCULINO
LA MANGA,MASCULINO
ESPERANZA,FEMENINO
LOMA DE LA VIRGEN,FEMENINO
LA ESMERALDA,FEMENINO
VEREDA DE TORRES,FEMENINO
SAN JOSE,MASCULINO
VDA SANJON RICO,MASCULINO
VDA SANJON RICO,MASCULINO
VEREDA,FEMENINO
MARIA EUGENIA ALTO,MASCULINO
LOS CORTIJOS,MASCULINO
SUCRE E-2,FEMENINO
LA AURORA II SECTOR E-5,MASCULINO
SAN LUIS E-13,MASCULINO
EL TINTAL E-9,MASCULINO
VILLA MARIA I E-11,MASCULINO
PATIO BONITO I E-8,FEMENINO
BANDERAS E-8,MASCULINO
CANDELARIA III-IV E-19,MASCULINO
CENTRO E-3,MASCULINO
VILLA MAYOR E-15,FEMENINO
SIMON BOLIVAR,-
SUBA CENTRO E-11,MASCULINO
CASTILLA REAL     E-8,MASCULINO
FERROCAJA E-9,FEMENINO
LA CASTELLANA E-12,MASCULINO
CHICO NORTE II E-2,FEMENINO
URB. LA CAMPINHA I SECTOR E-11,MASCULINO
BELLO HORIZONTE E-4,FEMENINO
SANTA MARIA DEL LAGO E-10,FEMENINO
SALITRE PLAZA E-9,MASCULINO
RICAURTE E-14,FEMENINO
TORREMOLINOS E-16,MASCULINO
RESTREPO E-15,FEMENINO
CHAPINERO CENTRAL E-2,MASCULINO
LA FAVORITA E-14,MASCULINO
GRANADA NORTE E-11,MASCULINO
LA SOLEDAD E-13,FEMENINO
EL PORVENIR E-5,MASCULINO
AURES II E-11,MASCULINO
POLO CLUB E-12,FEMENINO
BELLAVISTA ALTA E-5,FEMENINO
CHICO I E-2,MASCULINO
QUIROGA IHS ETAPA E-18,MASCULINO
NARINHO SUR E-4,FEMENINO
PATIO BONITO I E-8,FEMENINO
EL AMPARO E-8,MASCULINO
ZONA INDUSTRIAL LA GRANJA E-9,FEMENINO
OLARTE E-7,FEMENINO
EL VERGEL E-14,MASCULINO
SAN DIEGO E-3,FEMENINO
LUCERO ALTO E-19,MASCULINO
ABRAHAM LINCON E-6,MASCULINO
LA MAGDALENA E-13,FEMENINO
OLAYA E-18,MASCULINO
ANTIGUO COUNTRY E-2,FEMENINO
NORMANDIA E-10,FEMENINO
CANAIMA E-1,FEMENINO
LOS DIOSES,MASCULINO
JOSE D BOSCAN,FEMENINO
LIBERTADOR,MASCULINO
31 DE OCTUBRE,FEMENINO
PUERTA DEL SOL,FEMENINO
CENTRO,MASCULINO
SAN ANTONIO,FEMENINO
LA ESPERANZA,FEMENINO
URBANIZACION CONCEPCION NO. 1-2-3-4-5,MASCULINO
GALICIA,MASCULINO
RODADERO TRADICIONAL,FEMENINO
AEROMAR,MASCULINO
SANTA CECILIA,FEMENINO
LAS FERIAS,FEMENINO
RODEO,FEMENINO
DOS MIL,FEMENINO
BARZAL BAJO,FEMENINO
LLANO LINDO,FEMENINO
VILLA BOLIVAR,-
AY MI LLANURA,FEMENINO
CAMPINHA,MASCULINO
VDA SALADADO,FEMENINO
PANAMERICANO,FEMENINO
LA LOMITA,FEMENINO
CENTRO,FEMENINO
MADRIGAL,MASCULINO
INEM,FEMENINO
SANTA BARBARA,MASCULINO
BARRIO SAN MARTIN,MASCULINO
BARRIO CECI,MASCULINO
BARRIO TUCUNARE,FEMENINO
BARRIO SAN JOSE (EL MERCADO),MASCULINO
BARRIO TACALOA,FEMENINO
CENTRO,FEMENINO
CIUDADELA QUIMBAYA,FEMENINO
LA AVANZADA,MASCULINO
LA AVANZADA,MASCULINO
SECTOR PUENTES DE LA 9A CON 12,MASCULINO
LOS ALPES,MASCULINO
LA REBECA.,MASCULINO
CENTRO (A) PEREIRA,FEMENINO
CENTRO (A) PEREIRA,FEMENINO
INTERMEDIO (V/SANTANA),MASCULINO
BARRIO COCAL,MASCULINO
SECTOR CURVA LA VIRGEN,FEMENINO
EL LLANITO,FEMENINO
EL LLANITO,FEMENINO
EL LLANITO,FEMENINO
SANTA ISABEL,FEMENINO
PLANADA DEL CERRO,FEMENINO
SANTA ISABEL,MASCULINO
NORTE BAJO,FEMENINO
LAGOS DEL CACIQUE,MASCULINO
CENTRO,MASCULINO
ALVAREZ,MASCULINO
EL ROCIO,FEMENINO
CIUDADELA REAL DE MINAS,MASCULINO
LA UNIVERSIDAD,FEMENINO
VILLA LUZ,MASCULINO
LOS ROSALES,MASCULINO
MOLINOS BAJOS,MASCULINO
LOS ROBLES,FEMENINO
ALTOS DE VILLABEL I,-
CASCO ANTIGUO DE FLORIDABLANCA,MASCULINO
LAGOS II,FEMENINO
PORTAL CAMPESTRE,FEMENINO
OLIMPICA CALLE EL CAUCA,FEMENINO
PINAR,MASCULINO
BOTERO,FEMENINO
RESTREPO,FEMENINO
ATOLSURE,FEMENINO
MORAVIA  C-4,FEMENINO
LA POLA,FEMENINO
LOS CHORROS E18,FEMENINO
SAN PASCUAL E3,MASCULINO
LA CASCADA E19,MASCULINO
EL PONDAJE E13,FEMENINO
REPUBLICA ISRAEL E16,MASCULINO
U.R. EL COLISEO E19,MASCULINO
LOS ALCAZARES E6,MASCULINO
POPULAR E4,FEMENINO
POPULAR E4,FEMENINO
LOS ROBLES E13,FEMENINO
SANTA ROSA E3,MASCULINO
MOJICA E15,MASCULINO
LA RIVERA I E6,MASCULINO
ALFONSO B. ARAGON E14,FEMENINO
CHAPINERO E8,MASCULINO
DESEPAZ INVICALI E21,FEMENINO
SIETE DE AGOSTO E7,FEMENINO
SIETE DE AGOSTO E7,FEMENINO
LA FORTALEZA E11,MASCULINO
OLAYA HERRERA E4,MASCULINO
LIBERTAD,FEMENINO
CENTRO,FEMENINO
LA MISERICORDIA,FEMENINO
LA ESPERANZA,FEMENINO
LA ESPERANZA,FEMENINO
CIUDADELA DEL NORTE,FEMENINO
NAVARRA,MASCULINO
LAS BATATAS,MASCULINO
AUTOPISTA NORTE,MASCULINO
VILLAGRANDE,FEMENINO
CENTRO,MASCULINO
BOMBONA 1 C-10,FEMENINO
CENTRO ADMINISTRATIVO C-10,MASCULINO
LA ALPUJARRA C-10,MASCULINO
LA CANDELARIA C-10,FEMENINO
CUARTA BRIGADA C-11,MASCULINO
LA CASTELLANA C-11,MASCULINO
CASTILLA C-5,FEMENINO
LA CANDELARIA C-10,MASCULINO
PERPETUO SOCORRO C-10,FEMENINO
VERSALLES 1 C-3,MASCULINO
LA CANDELARIA C-10,FEMENINO
CENTRO S.C.,MASCULINO
UINIVERSIDAD DE ANTIOQUIA  C-4,FEMENINO
LA CANDELARIA C-10,FEMENINO
SAN DIEGO C-10,FEMENINO
LA CANDELARIA C-10,MASCULINO
LA CANDELARIA C-10,FEMENINO
LA CANDELARIA C-10,FEMENINO
LA CANDELARIA C-10,FEMENINO
CENTRO  S.A.P.,MASCULINO
LA CANDELARIA C-10,FEMENINO
LA CANDELARIA C-10,FEMENINO
SAN DIEGO C-10,MASCULINO
LA CANDELARIA C-10,MASCULINO
ESTACION VILLA C-10,FEMENINO
LAURELES C-11,MASCULINO
LAURELES C-11,FEMENINO
FATIMA C-16,MASCULINO
SANTA ANA,FEMENINO
AVENIDA GALAN HOYO,MASCULINO
AVENIDA GALAN HOYO,MASCULINO
VIRGEN DEL CARMEN,MASCULINO
VDA. LA DOCTORA,MASCULINO
SAN VICENTE,MASCULINO
LAS TORRES,MASCULINO
LA ARBOLEDA,FEMENINO
MANZANARES,FEMENINO
BARRIO SANTA RITA,FEMENINO
CENTRO,MASCULINO
CONCORDIA,FEMENINO
BARRIO SAN JOSE,FEMENINO
CENTRO,FEMENINO
TORASSO,FEMENINO
LOS ANGELES,FEMENINO
LAS FERIAS,FEMENINO
CASIQUIARE,MASCULINO
CENTRO,FEMENINO
LA SAMARIA,MASCULINO
LOS MILAGROS,MASCULINO
LAS FLORES,FEMENINO
VILLA LUZ,MASCULINO
ICHAGUA,MASCULINO
SANTA TERESA,FEMENINO
EL SUCRE,FEMENINO
EL PRADO,FEMENINO
PATIO BONITO I E-8,MASCULINO
TIMIZA CELULA A LOTE RA-2 E-8,FEMENINO
ATAHUALPA E-9,FEMENINO
JUAN REY E-4,FEMENINO
EDUARDO SANTOS E-14,FEMENINO
MINUTO DE DIOS E-10,MASCULINO
VILLA LUZ E-10,MASCULINO
VILLAS DEL MADRIGAL E-10,MASCULINO
MEISSEN E-19,FEMENINO
SUCRE E-3,FEMENINO
PARQUE DE MILENTA II ETAPA E-16,MASCULINO
SAN DIEGO E-3,FEMENINO
GRANADA NORTE E-11,FEMENINO
LA CALLEJA E-1,FEMENINO
PRINCIPE DE BOCHICA E-18,FEMENINO
MINUTO DE DIOS E-10,MASCULINO
LOS LAURELES E-7,FEMENINO
ALAMEDA E-3,MASCULINO
SANTA MATILDE I SECTOR E-16,MASCULINO
PATIO BONITO I E-8,MASCULINO
KASANDRA E-9,FEMENINO
MINUTO DE DIOS E-10,MASCULINO
CHAPINERO NORTE E-2,MASCULINO
SANTA ANA OCCIDENTAL E-1,MASCULINO
CHICO NORTE I E-2,MASCULINO
CIUDAD DE CALI E-8,FEMENINO
RICAURTE E-14,FEMENINO
COLINA LINDA E-11,FEMENINO
SUBA CENTRO E-11,MASCULINO
SANTA MATILDE I SECTOR E-16,MASCULINO
SAMPER MENDOZA E-14,FEMENINO
"CHICO I, II, III",MASCULINO
JORGE ELIECER GAITAN,MASCULINO
JORGE ELIECER GAITAN,MASCULINO
CANDIDO LEGUIZAMO,FEMENINO
LA VIRGINIA,MASCULINO
LA VIRGINIA,MASCULINO
CENTRO,MASCULINO
ALTOS DE BAHIA CONCHA,FEMENINO
VILLA MARBELLA,MASCULINO
LA ESPERANZA,FEMENINO
MONTOYA PAVA,FEMENINO
VILLA JULIA,FEMENINO
JORDAN,FEMENINO
CALAMAR,MASCULINO
LA ESPERANZA IV ETAPA,MASCULINO
CENTENARIO,FEMENINO
SEMINARIO,FEMENINO
CENTRO,FEMENINO
VILLA DE LOS RIOS,MASCULINO
VILLA DE LOS RIOS,MASCULINO
RIO BLANCO,MASCULINO
CHAMBU I,MASCULINO
SANTA MONICA,MASCULINO
EL PILAR,MASCULINO
SANTIAGO,MASCULINO
VILLA ROSARIO,MASCULINO
BARRIO CALLEJON,MASCULINO
BARRIO LA PLAYA,FEMENINO
BARRIO MOLINOS DEL NORTE,FEMENINO
SECTOR VILLA HISTORICA,FEMENINO
LA ESTACION,-
CAFETERO,FEMENINO
CENTRO,FEMENINO
CENTRO,FEMENINO
CENTRO,MASCULINO
SANTA MONICA,MASCULINO
LA PRADERA,MASCULINO
LA BADEA,MASCULINO
SANTA ISABEL 1,FEMENINO
SECTOR PUENTES DE LA 9A CON 12,FEMENINO
CENTRO (B) PEREIRA,FEMENINO
SECTOR PARQUE LA LIBERTAD,FEMENINO
COROCITO,FEMENINO
SECTOR CENTRO,-
FLOWER HILL,FEMENINO
SECTOR COMERCIAL,FEMENINO
PRIMERO DE MAYO,FEMENINO
PROVIVIENDA,MASCULINO
CENTRO,-
CAFE MADRID,MASCULINO
MUTIS,FEMENINO
CENTRO,MASCULINO
LAGOS I,MASCULINO
PALERMO,FEMENINO
CENTRO,-
LA BOMBA,MASCULINO
LA BOMBA,MASCULINO
CENTRO,MASCULINO
ZONA RURAL,MASCULINO
CGTO PUNTA DE BLANCO,MASCULINO
SECTOR PLAZA DE MERCADO ELPAPAYO,MASCULINO
SAN ROQUE,FEMENINO
CENTRO,FEMENINO
ESTACION,MASCULINO
RICAURTE PARTE ALTA,MASCULINO
JORDAN VII ETAPA,FEMENINO
COMBEIMA,MASCULINO
LAS FERIAS,FEMENINO
BELEN,FEMENINO
ARBOLEDA,FEMENINO
VRDA. AMBALA,MASCULINO
VRDA. AMBALA,MASCULINO
SANTA LUCIA,MASCULINO
CENTRO,MASCULINO
VIA CALI - BUENAVENTURA,FEMENINO
LA CAMELIA,FEMENINO
ARANJUEZ E9,FEMENINO
ARANJUEZ E9,FEMENINO
PAMPA LINDA E19,MASCULINO
LEON XIII E11,MASCULINO
SANTA MONICA POPULAR E8,MASCULINO
CALIMA E4,FEMENINO
MARCO FIDEL SUAREZ E4,MASCULINO
SAN PEDRO E3,FEMENINO
LA LIBERTAD E10,FEMENINO
VALLE GRANDE E21,FEMENINO
SAN FERNANDO NUEVO E19,FEMENINO
SAN LUIS II E6,FEMENINO
CGTO GOLONDRINAS E1,MASCULINO
LA HACIENDA E17,FEMENINO
MENGA E2,MASCULINO
MARROQUIN I E14,FEMENINO
EL RETIRO E15,MASCULINO
UNICENTRO CALI E17,FEMENINO
PUERTO NUEVO E7,MASCULINO
PUERTO NUEVO E7,MASCULINO
SIMON BOLIVAR E8,MASCULINO
REPUBLICA ISRAEL E16,FEMENINO
MORICHAL DE COMFANDI E15,MASCULINO
LLERAS RESTREPO E13,MASCULINO
EL ALBERGUE,MASCULINO
LA PRADERA I E24,MASCULINO
CENTRAL,FEMENINO
BOSQUES DE MORELIA,FEMENINO
LLANO GRANDE,MASCULINO
PUERTAS DEL SOL,MASCULINO
VDA. ZARZAL CURAZAO,MASCULINO
SAN MATEO,MASCULINO
VDA. LA RAYA,MASCULINO
LA CANDELARIA C-10,MASCULINO
EDUARDO SANTOS C-13,FEMENINO
LA CANDELARIA C-10,FEMENINO
LA CANDELARIA C-10,MASCULINO
LAS LOMAS 1 C-14,FEMENINO
LA AMERICA C-12,MASCULINO
LA AMERICA C-12,MASCULINO
LA CANDELARIA C-10,FEMENINO
ESTACION VILLA C-10,FEMENINO
EL POBLADO C-14,MASCULINO
PARQUE NORTE C-4,FEMENINO
BOSTON C-10,FEMENINO
LAURELES C-11,MASCULINO
LA PINHUELA  C-4,FEMENINO
PRADO C-10,FEMENINO
ESTACION VILLA C-10,FEMENINO
SAN DIEGO C-10,FEMENINO
CENTRO ADMINISTRATIVO C-10,MASCULINO
ZONA CENTRAL STA. E.,MASCULINO
LAS BRISAS C-5,FEMENINO
LA LADERA C-8,FEMENINO
JARDIN BOTANICO  C-4,MASCULINO
CARLOS E. RESTREPO C-11,FEMENINO
CALLE LARGA,FEMENINO
VIRGEN DEL CARMEN,FEMENINO
SANTA ANA,MASCULINO
BELLAVISTA,FEMENINO
CENTRO,FEMENINO
LOS OLIVOS I,MASCULINO
VILLA SANTOS,FEMENINO
BARRIO MALDONADO,FEMENINO
BARRIO XATIVILLA,FEMENINO
BARRIO LOS AGUSTINOS,FEMENINO
BOMBEROS,MASCULINO
ZONA CENTRO,MASCULINO
PORTAL DE NAZARETH,FEMENINO
CHAPINERO,MASCULINO
RODRIGO TURBAY,FEMENINO
NUEVA COLOMBIA,MASCULINO
BRISAS DEL IGUARO,MASCULINO
BRISAS DEL IGUARO,MASCULINO
BRISAS DEL IGUARO,MASCULINO
CASIMENA,FEMENINO
CENTRO,FEMENINO
GALICIA,FEMENINO
EL MIRADOR,FEMENINO
SANTA HELENA,FEMENINO
NUEVA VIDA,MASCULINO
PARAGUAY,MASCULINO
PARAGUAY,MASCULINO
EL CARMEN,MASCULINO
LA ESPERANZA,FEMENINO
LA NEVADA,FEMENINO
EL CENTRO,-
LOS LACHES E-3,MASCULINO
CONTADOR E-1,MASCULINO
RICAURTE E-14,FEMENINO
URB. EL REMANSO E-16,MASCULINO
EL CODITO E-1,FEMENINO
URB. INDUSTRIAL PENSILVANIA E-16,FEMENINO
VALPARAISO E-4,FEMENINO
EL PINAR E-11,FEMENINO
LOS CEDRITOS E-1,FEMENINO
SAN LUIS E-13,MASCULINO
LA LIBERTAD E-7,FEMENINO
LOS CEDRITOS E-1,MASCULINO
LA CASTELLANA E-12,MASCULINO
TEUSAQUILLO E-13,MASCULINO
BOSA CENTRO E-7,MASCULINO
CHICO NORTE II SECTOR E-1,FEMENINO
EL TUNAL II E-6,MASCULINO
MARLY E-2,MASCULINO
BOSA CENTRO E-7,MASCULINO
LA CANDELARIA E-17,FEMENINO
LA PALESTINA E-9,FEMENINO
BARRANCAS E-1,MASCULINO
SAN MARCOS E-10,MASCULINO
PRADO VERANIEGO E-11,MASCULINO
SAN MARTIN DE LOBA E-4,MASCULINO
LA PORCIUNCULA E-2,FEMENINO
PASADENA ROYAL E-11,MASCULINO
QUIROGA IHS ETAPA E-18,MASCULINO
URB. BELMIRA E-1,FEMENINO
LA GRANJA NORTE E-1,FEMENINO
BOSA CENTRO E-7,FEMENINO
CENTRO FONTIBON E-9,MASCULINO
PIO XII E-8,MASCULINO
URB. LA COLINA CAMPESTRE I SECTOR E-11,MASCULINO
EL TINTAL E-8,FEMENINO
LAS AMERICAS E-8,FEMENINO
URB. LA ALQUERIA E-16,MASCULINO
TURINGIA E-11,MASCULINO
SIERRA MORENA E-19,FEMENINO
PATIO BONITO I E-8,MASCULINO
LAS COLINAS E-18,MASCULINO
TEUSAQUILLO E-13,FEMENINO
RESTREPO E-15,FEMENINO
VILLA MAYOR E-15,FEMENINO
PATIO BONITO I E-8,MASCULINO
QUIRIGUA I E-10,FEMENINO
QUIROGA IHS ETAPA E-18,MASCULINO
TEUSAQUILLO E-13,FEMENINO
GRAN AMERICA E-13,FEMENINO
URB. LA CORUNHA E-19,FEMENINO
CHAPINERO CENTRAL E-2,MASCULINO
SAN VICENTE E-4,FEMENINO
MARIA PAZ E-8,MASCULINO
LA ESTACION E-7,MASCULINO
MAGDALENA,MASCULINO
CIUDAD MONTES,MASCULINO
EL CARMEN,FEMENINO
MATADERO,FEMENINO
CENTRO,MASCULINO
ESTADIO URDANETA,FEMENINO
LOS MARTIRES,FEMENINO
CENTRO,FEMENINO
SAN MARTIN DE PORRES,MASCULINO
MIRA RIO ETAPA III,FEMENINO
LOS LAGOS,MASCULINO
CUNDI,FEMENINO
EL CENTRO LBJA,-
SAN MARTIN,MASCULINO
BETANIA,MASCULINO
OLIVO,MASCULINO
CENTRO HISTORICO,MASCULINO
COREA,FEMENINO
FLORENCIA,MASCULINO
VILLA BOLIVAR,FEMENINO
VILLA BOLIVAR,FEMENINO
SAN FELIPE,FEMENINO
CENTENARIO,FEMENINO
SENDOYA,MASCULINO
BARRIO CARLOS RAMIREZ PARIS,MASCULINO
BARRIO CARLOS PIZARRO,MASCULINO
BARRIO LA CABRERA,MASCULINO
BARRIO JORGE ELIECER GAITAN,FEMENINO
EL SINAI,FEMENINO
SANTANDER,MASCULINO
ARENALES,FEMENINO
SIETE DE AGOSTO,FEMENINO
SANTAFE,FEMENINO
LA CABANHA,MASCULINO
BALCONES DE LA VILLA,FEMENINO
CENTRO (A) PEREIRA,FEMENINO
PLAZA CIVICA CIUDAD VICTORIA,FEMENINO
VILLA ELENA,MASCULINO
CENTRO (A) PEREIRA,FEMENINO
CENTENARIO,FEMENINO
SAN JORGE,FEMENINO
SECTOR COLISEO SAN LUIS,FEMENINO
COLOMBIA,MASCULINO
GALAN GOMEZ,FEMENINO
BOLARQUI,MASCULINO
LA UNIVERSIDAD,FEMENINO
LA UNIVERSIDAD,FEMENINO
LA PALMA,MASCULINO
URB. LOS NARANJOS,MASCULINO
ALTOS DEL CACIQUE,MASCULINO
MINUTO DE DIOS,MASCULINO
ALTAMIRA,FEMENINO
CENTRO,FEMENINO
LA CAMPINHA,FEMENINO
MALECOM,FEMENINO
URB. ALCALA,FEMENINO
BRISAS DE GUATIGUARA,MASCULINO
CGTO. LA MEJIA,MASCULINO
LA BALSA,FEMENINO
LA BALSA,MASCULINO
PORVENIR,FEMENINO
LA CARRERA,MASCULINO
VRDA. CANASTOS,MASCULINO
CENTRO,MASCULINO
VRDA. BETANIA,MASCULINO
EL CARMEN,MASCULINO
RICAURTE PARTE ALTA,MASCULINO
LOS PARRALES,FEMENINO
MACADAMIA,FEMENINO
PRADO I,FEMENINO
YULDAIMA,FEMENINO
PIEDRA PINTADA PARTE ALTA,FEMENINO
CENTRO,MASCULINO
MIROLINDO,MASCULINO
GALAN,MASCULINO
GALAN,MASCULINO
VRDA. VELU,FEMENINO
LA INMACULADA,MASCULINO
EL SENA E5,FEMENINO
JUNIN E9,FEMENINO
EL GRAN LIMONAR E17,MASCULINO
VALLE GRANDE E21,FEMENINO
SAN VICENTE E2,FEMENINO
LOS PORTALES - NUEVO REY E17,MASCULINO
SAN JUAN BOSCO E3,FEMENINO
CANHAVERALES - LOS SAMANES E17,FEMENINO
SAN PASCUAL E3,MASCULINO
SANTA ANITA E17,FEMENINO
ALFONSO LOPEZ II E7,MASCULINO
CAMINO REAL - J BORRERO E19,MASCULINO
LOS CAMBULOS E19,FEMENINO
URBANIZACION LA MERCED E2,FEMENINO
UNICENTRO CALI E17,FEMENINO
PIZAMOS III - LAS DALIAS E21,FEMENINO
LA ESPERANZA E11,MASCULINO
SANTA ANITA E17,FEMENINO
CGTO MONTEBELLO E1,MASCULINO
LOS CAMBULOS E19,FEMENINO
MUNICIPAL (23-1),FEMENINO
SANTA BARBARA,FEMENINO
ALVERNIA,FEMENINO
LAS DELICIAS,MASCULINO
NUEVO ALVERNIA,FEMENINO
SECTOR INDUSTRIAL ACOPI  (25-2),MASCULINO
FLORIDA,FEMENINO
ZONA CENTRO,FEMENINO
LA CABANHITA,MASCULINO
NIQUIA QUITASOL,FEMENINO
CIUDADELA DEL NORTE,MASCULINO
SANTA ANA,FEMENINO
SAN JOSE,MASCULINO
LA CHINCA,MASCULINO
LA CANDELARIA C-10,FEMENINO
LA CANDELARIA C-10,MASCULINO
LA CANDELARIA C-10,FEMENINO
MANILA C-14,MASCULINO
BARRIO COLON C-10,FEMENINO
LA CANDELARIA C-10,MASCULINO
LA CANDELARIA C-10,FEMENINO
SAN BENITO C-10,FEMENINO
PATIO BONITO C-14,MASCULINO
LA CANDELARIA C-10,FEMENINO
LAURELES C-11,MASCULINO
CORAZON DE JESUS C-10,FEMENINO
ROBLEDO C-7,MASCULINO
LOS COLORES C-11,MASCULINO
LA MOTA C-16,MASCULINO
VIA AL MAR S.C.,FEMENINO
LA CANDELARIA C-10,MASCULINO
LA CANDELARIA C-10,MASCULINO
VILLANUEVA C-10,FEMENINO
LA CABANHA,MASCULINO
CENTRO,MASCULINO
EL LIMON,MASCULINO
LOS GIRASOLES,FEMENINO
LAS NIEVES,FEMENINO
CENTRO,MASCULINO
REBOLO,MASCULINO
VILLA ENCANTO,FEMENINO
VILLA ESTRELLA,MASCULINO
SANTA MONICA,FEMENINO
BARRIO LA CONCEPCION,FEMENINO
BARRIO CENTRAL,FEMENINO
LA CASTELLANA,MASCULINO
CENTRO,MASCULINO
CENTRO,FEMENINO
VIA NORCASIA,MASCULINO
LA ENEA,FEMENINO
ARENILLO,MASCULINO
ARENILLO,MASCULINO
SECTOR ANTIGUO TERMINAL,FEMENINO
EL CENTRO,FEMENINO
RINCON DE LA ESTRELLA,FEMENINO
LA VEGA,FEMENINO
SAGRADA FAMILIA,MASCULINO
CENTRO,MASCULINO
LA ESMERALDA,FEMENINO
LA ESTANCIA,FEMENINO
BOLIVAR,MASCULINO
VILLA PAULA,MASCULINO
PORVENIR,FEMENINO
CENTRO,-
PORVENIR III,MASCULINO
LA SABANITA,FEMENINO
CENTRO,FEMENINO
ALTOS DE CONFACESAR,MASCULINO
URB.DON ALBERTO,MASCULINO
PONTEVEDRA,FEMENINO
