BARRIO,MOVILAGRESOR
EL RINCON C-16,A PIE
SEVILLA  C-4,A PIE
GUAYABAL C-15,MOTOCICLETA
GRANADA C-16,A PIE
VILLANUEVA C-10,A PIE
SANTA CRUZ  C-2,A PIE
ESTACION VILLA C-10,A PIE
CATALUNHA  C-9,MOTOCICLETA
SEVILLA  C-4,MOTOCICLETA
CARIBE C-5,A PIE
EL CHAGUALO C-10,A PIE
CARIBE,A PIE
SECTOR GALERIA,A PIE
EL CARMEN,MOTOCICLETA
BELLA ARENA,TRANSPORTE PUBLICO
SANTA CRUZ,A PIE
LA ARBOLEDA,MOTOCICLETA
LA CRUZ,A PIE
VDA. TENERIA,A PIE
BARRIO LOS SAUCES,MOTOCICLETA
BARRIO POPULAR,A PIE
CENTRO,A PIE
CRISTO REY,A PIE
CRISTO REY,A PIE
LA ESTRELLA,A PIE
URAPANES,A PIE
LA AMAZONIA,A PIE
JORGE ELIECER GAITAN,MOTOCICLETA
VIA PALESTRO,A PIE
RAIZAL,A PIE
ESPERANZA,A PIE
LA ESPERANZA,A PIE
MAREIGUA,MOTOCICLETA
LAS FLORES,MOTOCICLETA
LAS FLORES,MOTOCICLETA
EL JARDIN,A PIE
LA FLORESTA,A PIE
VENECIA E-6,A PIE
SUCRE E-2,A PIE
EL POA E-11,TRANSPORTE PUBLICO
LA CATEDRAL E-3,A PIE
SANTA FE E-14,A PIE
SAN ISIDRO E-4,A PIE
LA MACARENA E-3,TRANSPORTE PUBLICO
SUBA CENTRO E-11,A PIE
CHICO NAVARRA E-1,A PIE
SUBA CENTRO E-11,A PIE
LA PAZ E-3,A PIE
SANTA ISABEL E-14,TRANSPORTE PUBLICO
SUBA CENTRO E-11,A PIE
ALTO PRADO,MOTOCICLETA
COLOMBIALIBRE,MOTOCICLETA
EL CENTRO,MOTOCICLETA
BARRIO DIVINO NINHO,A PIE
VEREDA CLAROS,A PIE
EL VERGEL,MOTOCICLETA
LOS DUJOS,MOTOCICLETA
ENRIQUE OLAYA HERRERA,A PIE
REPOSO,A PIE
ALCAZARES,A PIE
CENTRO HISTORICO,A PIE
RODADERO SUR,A PIE
CENTRO,A PIE
ESTERO,A PIE
INDUSTRIAL,A PIE
SAN BENITO,A PIE
BELLO HORIZONTE,A PIE
BENJAMIN HERRERA,A PIE
RECUERDO,MOTOCICLETA
CANTARANA,A PIE
POTRERILLO,MOTOCICLETA
POTRERILLO,MOTOCICLETA
NUEVO SOL,A PIE
CENTRO,A PIE
CHAPAL,MOTOCICLETA
CAICEDO ALTO,A PIE
AV. ESTUDIANTES,MOTOCICLETA
CHILE,A PIE
CENTRO,A PIE
POTRERILLO,A PIE
MADRIGAL,A PIE
NIZA II,A PIE
CENTRO,A PIE
CENTRO,A PIE
AV. CHAMPAGNAT,A PIE
BARRIO PRADOS DEL ESTE,A PIE
BARRIO EL BOSQUE,A PIE
SECTOR CAM,A PIE
VERACRUZ,MOTOCICLETA
SECTOR COLISEO DEL CAFE,A PIE
MIRAFLORES BAJO,A PIE
CIUDADELA EL ENSUENHO,A PIE
CIUDADELA EL ENSUENHO,A PIE
B. CENTRO,A PIE
B. CENTRO,A PIE
B. CENTRO,A PIE
SECTOR LA POPA,A PIE
LA AURORA,BICICLETA
LA AURORA,BICICLETA
PLAZA CIVICA CIUDAD VICTORIA,A PIE
SECTOR PLAZA DE BOLIVAR,A PIE
SECTOR AVENIDA DEL RIO,MOTOCICLETA
LAS GARZAS,MOTOCICLETA
LA ESPERANZA,A PIE
GARCIA ROVIRA,MOTOCICLETA
CABECERA DEL LLANO,A PIE
REGADERO NORTE,TRANSPORTE PUBLICO
TRANSICION V,A PIE
DIAMANTE II,A PIE
VILLA ROSA,A PIE
PIO XII,A PIE
EL BOSQUE,TRANSPORTE PUBLICO
PANORAMA,TRANSPORTE PUBLICO
VIA PIEDRAS,A PIE
CENTRO,A PIE
VRDA. DINDALITO,A PIE
EL GRAN LIMONAR E17,A PIE
NORMANDIA E2,MOTOCICLETA
ALFONSO B. ARAGON E14,BICICLETA
MARIANO RAMOS E16,A PIE
EL RETIRO E15,A PIE
SANTA ROSA E3,A PIE
SANTA TERESITA E2,A PIE
SAN PEDRO E3,A PIE
VALLADO E15,A PIE
SIETE DE AGOSTO E7,MOTOCICLETA
JORGE ISAACS E4,MOTOCICLETA
JORGE ISAACS E4,MOTOCICLETA
SILOE E20,A PIE
MARROQUIN I E14,A PIE
