BARRIO,MOVILAGRESOR
EL PAJONAL,A PIE
ALFONSO LOPEZ,MOTOCICLETA
VILLA PAULA,A PIE
CENTRO,MOTOCICLETA
SAN JOSE,MOTOCICLETA
SINDICAL II ETAPA,A PIE
LA CEIBA,A PIE
MORALES DUQUE,MOTOCICLETA
LA NEVADA,MOTOCICLETA
LA MANUELITA,MOTOCICLETA
SANTA RITA,MOTOCICLETA
KENNEDY,MOTOCICLETA
EL CARMEN,A PIE
LAS DELICIAS,MOTOCICLETA
LA CANDELARIA,A PIE
COLON,A PIE
COLON,A PIE
EL TRIUNFO,A PIE
GRANADA,A PIE
EL PRADO,MOTOCICLETA
ESTADOS UNIDOS   E-8,MOTOCICLETA
SAN ANTONIO NORTE E-1,TRANSPORTE PUBLICO
CENTRO E-3,TRANSPORTE PUBLICO
LOS HAYUELOS E-9,A PIE
BILBAO E-11,A PIE
LAS FERIAS E-10,BICICLETA
GARCES NAVAS E-10,MOTOCICLETA
PRADO VERANIEGO E-11,A PIE
BOSQUE POPULAR E-10,A PIE
PINARES E-4,TRANSPORTE PUBLICO
CAPELLANIA E-9,A PIE
LA CALLEJA E-1,TRANSPORTE PUBLICO
OLARTE E-7,MOTOCICLETA
MARIA PAZ E-8,A PIE
URB. LA COLINA CAMPESTRE I SECTOR E-11,A PIE
BOSA CENTRO E-7,TRANSPORTE PUBLICO
CHAPINERO ALTO E-2,A PIE
PRADO CENTRAL E-11,A PIE
SERAFINA E-4,A PIE
TUNALITO E-6,A PIE
CHAPINERO ALTO E-2,MOTOCICLETA
GUACAMAYAS I-II E-4,A PIE
ALFONSO LOPEZ E-13,A PIE
CARVAJAL E-8,A PIE
SAN AGUSTIN II SECTOR E-18,A PIE
URB. CATALINA E-8,A PIE
SANTAFE III SECTOR E-7,A PIE
SAN BERNARDO E-3,A PIE
QUIROGA IHS ETAPA E-18,A PIE
GUACAMAYAS I-II E-4,A PIE
CENTRO,A PIE
CENTRO,A PIE
SAN MATEO,TRANSPORTE PUBLICO
LOMA LINDA,A PIE
CENDALES,A PIE
TRAMO DE VIA CUATROVIAS - MAICAO,A PIE
CENTRO,A PIE
SAN MARTIN DE PORRES,MOTOCICLETA
SANTA INES,MOTOCICLETA
SAN CARLOS,MOTOCICLETA
CENTRO,BICICLETA
IROTAMA,A PIE
SANTA ANA,TRANSPORTE PUBLICO
SANTA ANA,TRANSPORTE PUBLICO
LUCHA (19 DE ABRIL),MOTOCICLETA
URBANIZACION CONCEPCION NO. 1-2-3-4-5,MOTOCICLETA
CISNE,A PIE
MONTOYA PAVA,A PIE
PORTALES DEL LLANO,A PIE
PORTALES DEL LLANO,A PIE
ANTONIO PINILLA,TRANSPORTE PUBLICO
MANANTIAL,MOTOCICLETA
ANTONIO V/CIO,A PIE
LA SERRANIA,A PIE
BARZAL BAJO,A PIE
FIKUS,MOTOCICLETA
CENTRO,A PIE
SAN CARLOS,MOTOCICLETA
VEGA,MOTOCICLETA
SAN VICENTE,A PIE
LA LAGUNA,A PIE
BENJAMIN HERRERA,A PIE
VILLA CAMPANELA,A PIE
EL ROSARIO,A PIE
CAPUSIGRA,MOTOCICLETA
SANTA MONICA,A PIE
AGUALONGO,A PIE
BARRIO BOSQUES DE PAMPLONITA,A PIE
BARRIO SAN MIGUEL,A PIE
BARRIO LOMA DE BOLIVAR,MOTOCICLETA
BARRIO SANTA CLARA,A PIE
BARRIO EL HUMILLADERO,A PIE
CENTRO,A PIE
CENTRO,A PIE
GRANADA,A PIE
GRANADA,A PIE
LLANITOS DE GUARARA,A PIE
SECTOR CENTRO,A PIE
TORRES DE SAN MATEO,A PIE
PUEBLO NUEVO,MOTOCICLETA
ALTO DE LOS ANGELES,A PIE
RICAURTE,A PIE
LA CONCORDIA,MOTOCICLETA
URB. MANZANARES,TRANSPORTE PUBLICO
PROVENZA,A PIE
BUCARICA,A PIE
POBLADO,A PIE
EL PESEBRE,MOTOCICLETA
HOYO CHIQUITO,A PIE
VRDA  EL LIMON,A PIE
CARTAGENA DE INDIAS,A PIE
CARTAGENA DE INDIAS,A PIE
SAN JUAN,MOTOCICLETA
COLINA,A PIE
OLAYA HERRERA,MOTOCICLETA
PIONEROS,A PIE
VENECIA,MOTOCICLETA
URB. IPANEMA,MOTOCICLETA
FLORENCIA,A PIE
PRADO I,A PIE
CENTRO,MOTOCICLETA
MORAVIA  C-4,A PIE
RINCON DE PIEDRAPINTADA,MOTOCICLETA
RICAURTE PARTE ALTA,A PIE
ESTACION,A PIE
SIMON BOLIVAR,A PIE
JORDAN VII ETAPA,A PIE
LOS MARTIRES,MOTOCICLETA
LA FLORIDA,A PIE
CENTRO,A PIE
SANTA LUCIA,MOTOCICLETA
EL CRISTAL,A PIE
ZONA FRANCA,A PIE
JOSE ANTONIO GALAN,A PIE
CIUDAD CAPRI E17,A PIE
SAN FERNANDO VIEJO E19,MOTOCICLETA
MAYAPAN - LAS VEGAS E17,A PIE
CIUDADELA FLORALIA E6,A PIE
LOS CONQUISTADORES E11,A PIE
URB. COLSEGUROS E19,MOTOCICLETA
NUEVA FLORESTA E12,MOTOCICLETA
NUEVA FLORESTA E12,MOTOCICLETA
NUEVA FLORESTA E12,MOTOCICLETA
SAN PEDRO E3,A PIE
DIAMANTE E13,MOTOCICLETA
CANHAVERALES - LOS SAMANES E17,MOTOCICLETA
ARBOLEDAS E2,A PIE
VALLE GRANDE E21,MOTOCICLETA
SAN NICOLAS E3,A PIE
PRIMERO DE MAYO E17,A PIE
SAN PASCUAL E3,A PIE
LA HACIENDA E17,A PIE
VERSALLES E2,A PIE
EL VERGEL E13,A PIE
PRADOS DEL SUR E18,A PIE
MELENDEZ E18,A PIE
FLORA INDUSTRIAL E4,MOTOCICLETA
SAN ANTONIO E3,MOTOCICLETA
SAN ANTONIO E3,MOTOCICLETA
LA FLORA E2,MOTOCICLETA
SANTA MONICA RESIDENCIAL E2,MOTOCICLETA
SANTA MONICA RESIDENCIAL E2,MOTOCICLETA
CENTRAL (23-S-2-1),A PIE
CENTRO,A PIE
LOS MANGOS,BICICLETA
PORTALES DEL RECREO,MOTOCICLETA
PORTALES DEL RECREO,MOTOCICLETA
ALAMEDA,A PIE
EL PRADO,A PIE
CGTO MULALO E25,MOTOCICLETA
EL DUCANO,MOTOCICLETA
VILLA DE LA MODELO,A PIE
VILLAGRANDE,TRANSPORTE PUBLICO
EL PORTAL,A PIE
MESA,A PIE
SIMON BOLIVAR,A PIE
SANTA MARIA DE LOS ANGELES C-14,A PIE
PRADO C-10,MOTOCICLETA
LA CANDELARIA C-10,A PIE
BOSTON C-10,A PIE
BARRIO COLOMBIA C-14,A PIE
SANTA FE C-15,A PIE
JUAN XXIII - LA QUIEBRA C-13,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
EL POBLADO C-14,A PIE
GIRARDOT C-5,MOTOCICLETA
LA COLINA C-15,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
HECTOR ABAD GOMEZ C-5,TRANSPORTE PUBLICO
TEJELO C-5,A PIE
CALLE NUEVA C-10,A PIE
SAN JAVIER 1 C-13,A PIE
SECTOR LA POLA,A PIE
BALCONES,A PIE
EL PARAISO,MOTOCICLETA
LAS ESTRELLAS,TRANSPORTE PUBLICO
LOS ANDES,A PIE
CHIQUINQUIRA,A PIE
LOS NOGALES,A PIE
MONTECARLO,MOTOCICLETA
VEREDA EL CARMEN,A PIE
LOS ALMENDROS,A PIE
COSTA HERMOSA,A PIE
POLICARPA,MOTOCICLETA
EL RECREO,MOTOCICLETA
BARRIO POPULAR,A PIE
LOS ROSALES,A PIE
BARRIO MALDONADO,A PIE
BARRIO CENTRO,A PIE
CIUDADELA HABITACIONAL SIGLO XXI,A PIE
BRISAS DEL HACHA,A PIE
COLOMBIA I ETAPA,MOTOCICLETA
LA ESMERALDA,A PIE
MORINDA,MOTOCICLETA
MORINDA,MOTOCICLETA
MORINDA,MOTOCICLETA
CENTRO,A PIE
OLAYA HERRERA,A PIE
LA POPA,MOTOCICLETA
LA POPA,MOTOCICLETA
CASIMIRO MASTRE,A PIE
LA GRANJA,A PIE
LOS CACIQUES,MOTOCICLETA
URBINA,MOTOCICLETA
6 DE MARZO,A PIE
BANDERAS E-8,TRANSPORTE PUBLICO
TURINGA SUBA E-11,A PIE
ENTRERIOS E-12,BICICLETA
AZUCENA SECTOR EL TRIANGULO E-7,A PIE
URB. PASTRANA E-8,A PIE
BRITALIA E-11,A PIE
URB. CASA LINDA E-19,A PIE
NUEVA GRANADA E-2,MOTOCICLETA
PATIO BONITO I E-8,A PIE
MURILLO TORO E-18,A PIE
LAS AMERICAS E-8,A PIE
RESTREPO E-15,A PIE
LAS DELICIAS   E-8,A PIE
VEINTE DE JULIO E-4,A PIE
BANDERAS E-8,A PIE
SAN LUIS E-13,A PIE
EL CENTENARIO E-18,A PIE
DIANA TURBAY E-18,A PIE
LLANO GRANDE E-8,A PIE
FLANDES E-9,TRANSPORTE PUBLICO
VILLA MAYOR E-15,MOTOCICLETA
LA SOLEDAD E-13,TRANSPORTE PUBLICO
CHAPINERO CENTRAL E-2,A PIE
CIUDAD KENNEDY CENTRAL E-8,A PIE
EL TRIUNFO E-8,A PIE
EL TUNAL II E-6,A PIE
PERDOMO E-19,A PIE
LA PORCIUNCULA E-2,A PIE
MONTEVIDEO E-9,A PIE
LAS CRUCES E-3,A PIE
PRADO VERANIEGO E-11,A PIE
CLASS E-8,A PIE
GORGONZOLA E-16,A PIE
LOMBARDIA II E-11,A PIE
SAN MARTIN E-3,A PIE
GRANADA E-2,MOTOCICLETA
TUNALITO E-6,A PIE
VER.ROZO,A PIE
CIUDAD VERDE,A PIE
CENTRO,A PIE
ALGARRA,A PIE
CENTRO,A PIE
ABAJO,MOTOCICLETA
ARRIBA,MOTOCICLETA
SAN FRANCISCO,MOTOCICLETA
VILLA BEATRIZ,MOTOCICLETA
OROZUS,A PIE
PANAMA,A PIE
LA ORQUIDEA,A PIE
EL PENHON,A PIE
VILLA URBE,A PIE
TIMANCO,MOTOCICLETA
LAS GRANJAS,MOTOCICLETA
LAS FERIAS,MOTOCICLETA
ALCAZARES,A PIE
PARQUE,MOTOCICLETA
CENTRO,MOTOCICLETA
MANZANARES,A PIE
COREA,TRANSPORTE PUBLICO
GAIRA TRADICIONAL,MOTOCICLETA
EL TERRIRORIAL,MOTOCICLETA
OLIVO,A PIE
COOPERATIVO,MOTOCICLETA
COMUNEROS,A PIE
VEREDA VANGUARDIA,A PIE
NUEVO HORIZONTE,MOTOCICLETA
CENTRO,A PIE
VILLA LORENA,A PIE
ANTONIO PINILLA,TRANSPORTE PUBLICO
DOS MIL,A PIE
SANTA FE,A PIE
SANTA FE,A PIE
SAN FERNANDO,A PIE
ESTADIO LIBERTAD,MOTOCICLETA
ALAMEDA I,A PIE
CARACHA,MOTOCICLETA
NIZA I,A PIE
CENTRO,A PIE
FATIMA,MOTOCICLETA
MIRAFLORES I,MOTOCICLETA
CENTRO,A PIE
VILLAFLOR II,A PIE
URBANIZACION METROPOLIS,MOTOCICLETA
BARRIO SAN MIGUEL,A PIE
BARRIO CENTRO,MOTOCICLETA
BARRIO GUAIMARAL,MOTOCICLETA
EL CENTRO,A PIE
PARQUE CONSTITUCION,A PIE
ACACIAS,A PIE
SECTOR PLANES DEL INGENIO,MOTOCICLETA
SANTA MONICA,A PIE
SAN JORGE,A PIE
ALAMOS,A PIE
SECTOR CENTRO COMERCIAL LA 14,MOTOCICLETA
SECTOR PUENTES DE LA 9A CON 12,TRANSPORTE PUBLICO
B. COLOMBIA I,MOTOCICLETA
BARRIO SARIE BAY,A PIE
VDA. CAMPO 5,MOTOCICLETA
PROVENZA,MOTOCICLETA
MUTIS,MOTOCICLETA
MUTIS,MOTOCICLETA
BOLIVAR,MOTOCICLETA
RICAURTE,A PIE
EL PRADO,MOTOCICLETA
LA AURORA,A PIE
ZAPAMANGA I,MOTOCICLETA
URB. VILLA MARCELA,A PIE
CGTO CHOCHO,MOTOCICLETA
URB. IPANEMA,TRANSPORTE PUBLICO
MAGDALENA,A PIE
CADIZ,A PIE
MIRAMAR,A PIE
TOPACIO,A PIE
LAS MARGARITAS,MOTOCICLETA
VARIANTE (ZONA NORTE),A PIE
JORDAN IX ETAPA,A PIE
PUEBLO NUEVO,A PIE
AMBALA,A PIE
CENTRO,A PIE
EL RETIRO E15,A PIE
CIUDADELA CONFANDI E17,MOTOCICLETA
EL PRADO E11,MOTOCICLETA
SAN VICENTE E2,A PIE
SAN FERNANDO VIEJO E19,A PIE
OBRERO E9,A PIE
REPUBLICA ISRAEL E16,A PIE
CIUDADELA CONFANDI E17,A PIE
LA LIBERTAD E10,MOTOCICLETA
CIUDADELA CONFANDI E17,A PIE
URB. CIUDAD JARDIN E22,A PIE
MARROQUIN I E14,BICICLETA
LA BASE E8,MOTOCICLETA
CHAMPAGNAT E19,A PIE
LLANO VERDE E15,A PIE
PRADOS DEL NORTE E2,A PIE
LOS ROBLES E13,A PIE
3 DE JULIO E19,A PIE
EL LIDO E19,MOTOCICLETA
MORICHAL DE COMFANDI E15,MOTOCICLETA
LOS LIDERES E21,A PIE
DOCE DE OCTUBRE,MOTOCICLETA
EL PRINCIPE,MOTOCICLETA
PRADO,A PIE
PANAMERICANO,A PIE
LA CABANHA,A PIE
SIMON BOLIVAR,A PIE
EL PORTAL,A PIE
PONTEVEDRA,BICICLETA
LA MAGNOLIA,A PIE
VILLAGRANDE,A PIE
CENTRO,A PIE
SANTA MARIA # 1,A PIE
LAURELES C-11,A PIE
SAN BENITO C-10,A PIE
LAURELES C-11,A PIE
CARLOS E. RESTREPO C-11,A PIE
BUENOS AIRES  C-9,A PIE
GUAYABAL C-15,A PIE
LA CANDELARIA C-10,A PIE
LA AGUACATALA C-14,A PIE
CRISTO REY C-15,A PIE
FATIMA C-16,MOTOCICLETA
LA CANDELARIA C-10,A PIE
SEVILLA  C-4,A PIE
LA FRANCIA  C-2,A PIE
LAURELES C-11,MOTOCICLETA
SAN BENITO C-10,A PIE
SURAMERICANA C-11,A PIE
SAN BENITO C-10,A PIE
ESTACION VILLA C-10,A PIE
ZONA CENTRO,A PIE
MANUEL RESTREPO,MOTOCICLETA
7 DE AGOSTO,A PIE
20 DE JULIO,A PIE
BUENA ESPERANZA,MOTOCICLETA
LA SIERRITA,A PIE
CIUDADELA 20 DE JULIO,MOTOCICLETA
CENTRO,A PIE
EL MANGUITO,A PIE
EL CONCORDE,MOTOCICLETA
BOCAGRANDE,A PIE
CENTRO,A PIE
BARRIO LAS DELICIAS,A PIE
CENTRO,A PIE
BARRIO EL CAMPIN,A PIE
CIUDADELA HABITACIONAL SIGLO XXI,A PIE
TACARIMENA BAJA,A PIE
MATAMOROS,MOTOCICLETA
ALFONSO LOPEZ,A PIE
CENTRO,A PIE
CENTRO,A PIE
LA PRIMAVERA,MOTOCICLETA
LA DIVINA PASTORA,MOTOCICLETA
RURAL,A PIE
12 DE OCTUBRE,MOTOCICLETA
12 DE OCTUBRE,MOTOCICLETA
SAN MARTIN,MOTOCICLETA
DANGON,MOTOCICLETA
LOS CORTIJOS,MOTOCICLETA
ARIZONA,MOTOCICLETA
MONSERRATE,A PIE
EL LAGUITO,A PIE
NUEVA ESPERANZA,A PIE
JUAN XVIII,MOTOCICLETA
SAN CRISTOBAL,MOTOCICLETA
LAS AMERICAS,A PIE
CGTO CABULLA,MOTOCICLETA
URB. LA CORUNHA E-19,A PIE
URB. TOBERIN E-1,A PIE
LA CAPUCHINA E-3,A PIE
ESTADOS UNIDOS   E-8,A PIE
AEROPUERTO EL DORADO,A PIE
CAPELLANIA E-9,VEHICULO
PRADO VERANIEGO E-11,A PIE
PATIO BONITO I E-8,A PIE
URB. CARIMAGUA I SECTOR E-8,BICICLETA
CASTILLA REAL     E-8,BICICLETA
ASOVIVIR E-7,A PIE
POLICARPA SALAVARRIETA E-15,TRANSPORTE PUBLICO
URB. INDUSTRIAL PENSILVANIA E-16,A PIE
BERLIN SUBA E-11,A PIE
ALCAZARES E-12,A PIE
URB. SANTANDER E-15,TRANSPORTE PUBLICO
BOSQUES DEL PORTAL E-11,A PIE
VILLA XIMENA E-6,MOTOCICLETA
CIUDAD JARDIN SUR E-15,A PIE
BOSA CENTRO E-7,TRANSPORTE PUBLICO
BACHUE E-10,TRANSPORTE PUBLICO
BOSQUE POPULAR E-10,A PIE
MARLY E-2,A PIE
EL SALITRE E-13,A PIE
CIUDAD JARDIN SUR E-15,A PIE
PORTAL DEL RINCON E-18,MOTOCICLETA
HIPOTECHO OCCIDENTAL E-8,TRANSPORTE PUBLICO
LAS AGUAS E-17,A PIE
LOMBARDIA II E-11,MOTOCICLETA
EL CORTIJO E-10,A PIE
LA INDEPENDENCIA E-7,A PIE
PROTECHO BOGOTA II ETAPA I E-19,A PIE
CENTRO,A PIE
LA FAVORITA E-14,A PIE
BERLIN,A PIE
VILLA NUEVA,MOTOCICLETA
LA DESPENSA,A PIE
SAN MATEO,A PIE
EL ALTICO,A PIE
CENTRO,MOTOCICLETA
ALTICO,A PIE
EL CORTIJO,A PIE
LA TOMA,A PIE
MANSIONES DEL NORTE,A PIE
LA GAITANA,A PIE
ZONA INDUSTRIAL,A PIE
TIMANCO,MOTOCICLETA
LAS DELICIAS,A PIE
LA PRADERA,A PIE
26 DE JULIO,A PIE
LA MANGA,A PIE
GAIRA TRADICIONAL,A PIE
TAGANGA,A PIE
7 DE AGOSTO,A PIE
CENTRO,A PIE
LA ROCHELA,MOTOCICLETA
PORVENIR,A PIE
SANTA FE,BICICLETA
JORDAN,A PIE
VENECIA,A PIE
SAN ALBANO,A PIE
PARQUE INFANTIL,MOTOCICLETA
LAS LAJAS,MOTOCICLETA
ANGANOY,A PIE
AVENIDA COLOMBIA NORMANDIA,MOTOCICLETA
SANTA FE,MOTOCICLETA
MERCEDARIO,A PIE
SAN JUAN DE DIOS,MOTOCICLETA
LAS ACASIAS,MOTOCICLETA
EL CARMEN,A PIE
BARRIO SAN RAFAEL,A PIE
BARRIO EL LLANO ECHAVEZ,MOTOCICLETA
CENTRO,A PIE
LA CABANHA,A PIE
SECTOR CAM,A PIE
SECTOR CAM,A PIE
CENTRO,A PIE
EL CAM,MOTOCICLETA
LA SOLEDAD,A PIE
LA SOLEDAD,A PIE
BOMBAY,A PIE
SECTOR PUENTES DE LA 9A CON 12,A PIE
SECTOR CENTRO COMERCIAL LA 14,A PIE
SECTOR CENTRO COMERCIAL LA 14,TRANSPORTE PUBLICO
B. BETANIA I,A PIE
B. SAN VICENTE DE PAUL,A PIE
COLOMBIA,MOTOCICLETA
COLOMBIA,MOTOCICLETA
COLOMBIA,MOTOCICLETA
EL PARNASO,A PIE
LOS PINOS,A PIE
JORGE ELIECER GAITAN,MOTOCICLETA
PROVENZA,MOTOCICLETA
GIRARDOT,A PIE
GIRARDOT,A PIE
TERRAZAS,MOTOCICLETA
CABECERA DEL LLANO,A PIE
CENTRO,A PIE
CENTRO,A PIE
BOLARQUI,MOTOCICLETA
GRANADA,A PIE
KENNEDY,A PIE
LA TRINIDAD,A PIE
EL LIMONCITO,A PIE
LA CUMBRE,A PIE
CENTRO P/TA,A PIE
SAN ANTONIO,VEHICULO
QUINTA GRANADA,A PIE
LOS CUROS,MOTOCICLETA
LA POPA,A PIE
CENTRO,A PIE
20 DE JULIO,MOTOCICLETA
AV. LA PAZ CALLE 33,A PIE
BOLIVAR,A PIE
LAS AMERICAS,MOTOCICLETA
BELARCAZAR,MOTOCICLETA
CENTRO,A PIE
BELLAVISTA,A PIE
URBANIZACION LA FLORA E2,MOTOCICLETA
EL PENHON E3,A PIE
EL PENHON E3,A PIE
PARQUE DE LA CANHA E7,MOTOCICLETA
LAS QUINTAS DE DON SIMON E17,MOTOCICLETA
LAS QUINTAS DE DON SIMON E17,MOTOCICLETA
URB. CIUDAD JARDIN E22,MOTOCICLETA
ALFONSO LOPEZ III E7,MOTOCICLETA
EL GUABAL E10,MOTOCICLETA
PRADOS DEL NORTE E2,TRANSPORTE PUBLICO
JORGE ELIECER GAITAN E6,A PIE
LA PLAYA E17,MOTOCICLETA
COLSEGUROS ANDES E10,A PIE
CHAMPAGNAT E19,A PIE
EL CALVARIO E3,A PIE
LA ADRIANITA E24,A PIE
VIA AMAGA,VEHICULO
ZONA CENTRO,A PIE
MIRAFLOR,MOTOCICLETA
LAS VEGAS,MOTOCICLETA
EL PORTAL,A PIE
SALVATORIANOS,A PIE
BOSTON C-10,MOTOCICLETA
CORAZON DE JESUS C-10,A PIE
LA CANDELARIA C-10,A PIE
CALLE NUEVA C-10,MOTOCICLETA
EL RINCON C-16,MOTOCICLETA
ESTACION VILLA C-10,TRANSPORTE PUBLICO
ESTACION VILLA C-10,A PIE
CALLE NUEVA C-10,MOTOCICLETA
SURAMERICANA C-11,A PIE
LA CANDELARIA C-10,A PIE
CARACOLI S.C.,A PIE
EL POBLADO C-14,MOTOCICLETA
MANILA C-14,TRANSPORTE PUBLICO
EL CUCARACHO C-7,MOTOCICLETA
HECTOR ABAD GOMEZ C-5,A PIE
VEINTE DE JULIO C-13,A PIE
CASTILLA C-5,A PIE
LA CANDELARIA C-10,A PIE
PERPETUO SOCORRO C-10,A PIE
GUAYAQUIL C-10,A PIE
LA CANDELARIA C-10,A PIE
LIMONAR 1  S.A.P.,A PIE
VILLANUEVA C-10,MOTOCICLETA
ESTACION VILLA C-10,A PIE
CUATRO ESQUINAS,A PIE
CALLE DEL BANCO,A PIE
CALLE NUEVA,A PIE
LAS BRISAS DE SATENA,A PIE
CAMPO ALEGRE,TRANSPORTE PUBLICO
CAMPO ALEGRE,TRANSPORTE PUBLICO
OLAYA,MOTOCICLETA
GARDENIAS,A PIE
CENTRO,BICICLETA
CIUDADELA 20 DE JULIO,A PIE
BARRANQUILLITA,A PIE
BELLAVISTA,A PIE
CAMILO TORRES,A PIE
PARQUE PRINCIPAL,A PIE
CENTRO,A PIE
BARRIO ASIS,A PIE
CAMELIA,A PIE
BARRIO JAZMIN,A PIE
VDA.SANTAGUEDA,A PIE
ABBAS TURBAY,MOTOCICLETA
EL EMPEDRADO,MOTOCICLETA
LA ESMERALDA,MOTOCICLETA
CHAPINERO,MOTOCICLETA
SAN JOSE CENTRO,A PIE
VALLE MESA,A PIE
EL JARDIN,A PIE
LA GLORIA,A PIE
SANTA TERESA,MOTOCICLETA
SANTA CATALINA E-8,A PIE
VENECIA E-6,A PIE
URB. CENTRO INDUSTRIAL E-16,TRANSPORTE PUBLICO
VILLAS DE GRANADA E-10,A PIE
MANDALAY SEGUNDO SECTOR E-8,MOTOCICLETA
LISBOA E-11,A PIE
EL PORVENIR E-7,A PIE
GUACAMAYAS I-II E-4,A PIE
LA ESTANZUELA E-14,A PIE
EL AMPARO E-8,BICICLETA
QUIROGA IHS ETAPA E-18,A PIE
URB. INDUSTRIAL PENSILVANIA E-16,TRANSPORTE PUBLICO
QUINTA CAMACHO E-2,A PIE
QUIROGA IHS ETAPA E-18,A PIE
URB. MALIBU E-11,A PIE
EL LISTON E-14,MOTOCICLETA
POLO CLUB E-12,TRANSPORTE PUBLICO
BOCHICA E-10,BICICLETA
CENTRO E-3,A PIE
PINAR DE LOS ALAMOS E-10,TRANSPORTE PUBLICO
TEUSAQUILLO E-13,A PIE
EL RUBI E-9,A PIE
LA CONCORDIA E-17,A PIE
URB. CASTILLA E-8,A PIE
FONTIBON CENTRO E-9,A PIE
URB. EL TUNAL E-6,A PIE
SAN JOSE SPRING E-11,A PIE
ALQUERIA LA FRAGUA E-8,A PIE
LOS PIJAOS E-18,A PIE
URB. EL SALITRE E-13,A PIE
LA VICTORIA E-4,A PIE
CHAPINERO CENTRAL E-2,BICICLETA
PALOQUEMAO E-14,A PIE
VERGEL E-8,A PIE
SAN MARTIN E-3,A PIE
EL RINCON E-11,A PIE
SAN ANTONIO E-7,BICICLETA
SANTANDER E-9,A PIE
CANDELARIA III-IV E-19,A PIE
URB. RIONEGRO E-12,A PIE
SANTA INES E-3,A PIE
SAN MATEO,TRANSPORTE PUBLICO
TERREROS,TRANSPORTE PUBLICO
PARAISO,MOTOCICLETA
SIMON MEJIA,A PIE
EL CENTRO,A PIE
BARRIO EL CENTRO,A PIE
BARRIO LA GRANJA,A PIE
BARRIO LA GRANJA,A PIE
NUEVO HORIZONTE,A PIE
CENTRO,MOTOCICLETA
MANZANARES,A PIE
CANAIMA,MOTOCICLETA
SANTA INES,MOTOCICLETA
VENTILADOR,A PIE
LOS MARTIRES,MOTOCICLETA
GUAJIRA,A PIE
VILLA BETEL,BICICLETA
URBANIZACION CONCEPCION NO. 1-2-3-4-5,MOTOCICLETA
SANTA ELENA,A PIE
BASTIDAS,A PIE
LAS DELICIAS,MOTOCICLETA
LAS DELICIAS,MOTOCICLETA
PARQUE,MOTOCICLETA
ALMENDROS,A PIE
LIBERTADOR,MOTOCICLETA
EL PRADO,A PIE
POPULAR,A PIE
LA ROCHELA,A PIE
LA ROSITA,MOTOCICLETA
CANAGUAY,A PIE
TEUSACA,MOTOCICLETA
VILLA MARIA,A PIE
MACARENA,A PIE
PARAISO,A PIE
SANTA INES,A PIE
CIUDAD SALITRE,A PIE
BRISAS DEL GUATIQUIA,A PIE
VILLA SUAREZ,A PIE
CENTRO,A PIE
CENTENARIO,A PIE
ALTOS DE LA COLINA,MOTOCICLETA
SAN IGNACIO,A PIE
PANORAMICO I ETAPA,A PIE
POTRERILLO,A PIE
ROSALES II,A PIE
PLAZA SUAREZ,A PIE
INVASION LAS DELICIAS,A PIE
BARRIO LATINO,TRANSPORTE PUBLICO
BARRIO SIGLO XXI,MOTOCICLETA
CORREGIMIENTO LA PARADA,A PIE
AV. SAN FRANCISCO,A PIE
BOLIVAR,A PIE
TRES ESQUINAS,A PIE
SAN JOSE,MOTOCICLETA
VDA.BONANZA,MOTOCICLETA
SAN FERNANDO C.7,A PIE
CENTRO (A) PEREIRA,MOTOCICLETA
CIRCUNVALAR,A PIE
LA GLORIETA,A PIE
INTERMEDIO (V/SANTANA),A PIE
SECTOR PARQUE LA LIBERTAD,TRANSPORTE PUBLICO
SECTOR PARQUE LA LIBERTAD,TRANSPORTE PUBLICO
CERRITOS,MOTOCICLETA
EL PRADO,A PIE
LA UNIVERSIDAD,A PIE
GIRARDOT,A PIE
CABECERA DEL LLANO,TRANSPORTE PUBLICO
URB. LOS NARANJOS,A PIE
CALDAS,TRANSPORTE PUBLICO
LA CUMBRE,A PIE
LAGOS III,A PIE
EL PALENQUE,MOTOCICLETA
SAN MARCOS,A PIE
NUEVA COLOMBIA,A PIE
SECTOR SALIDA A BETULIA,MOTOCICLETA
LA GRAN COLOMBIA,A PIE
EL SOCORRO,MOTOCICLETA
6 DE ENERO,A PIE
PLAZA MAJAGUAL,A PIE
LAS BRISAS,A PIE
CENTRO,A PIE
CENTRO,A PIE
LA POLA,MOTOCICLETA
BELEN,A PIE
BELEN,A PIE
CENTRO,A PIE
CIUDADELA COMUNITARIA,A PIE
SICOMORO,A PIE
EL JARDIN,MOTOCICLETA
URBANO TENORIO,A PIE
URB. TEQUENDAMA E19,A PIE
EL CEDRO E19,MOTOCICLETA
PRADOS DE ORIENTE E11,BICICLETA
SAN LUIS E6,MOTOCICLETA
VERSALLES E2,A PIE
CAMINO REAL - J BORRERO E19,A PIE
EL GRAN LIMONAR E17,MOTOCICLETA
ALFONSO LOPEZ III E7,A PIE
LA LUISA E19,A PIE
LA ALIANZA E4,A PIE
LILI E17,MOTOCICLETA
EUCARISTICO E19,A PIE
FENALCO KENNEDY E12,A PIE
LOS NARANJOS I E14,MOTOCICLETA
SAN VICENTE E2,MOTOCICLETA
CIUDADELA DEL RIO E21,A PIE
GUAYAQUIL E9,TRANSPORTE PUBLICO
