BARRIO,ARMA
BARRIO MODELO I,ARMA BLANCA / CORTOPUNZANTE
BARRIO SCHOOL HOUSE,ARMA BLANCA / CORTOPUNZANTE
VILLA ROSA,ARMA BLANCA / CORTOPUNZANTE
EL CENTRO BOLIVAR,ARMA BLANCA / CORTOPUNZANTE
DIAMANTE II,CONTUNDENTES
EL PABLON,SIN EMPLEO DE ARMAS
POBLADO,ARMA BLANCA / CORTOPUNZANTE
TEJAR,ARMA BLANCA / CORTOPUNZANTE
SAN FRANCISCO P/TA,ARMA BLANCA / CORTOPUNZANTE
LA COLINA CAMPESTRE,ARMA BLANCA / CORTOPUNZANTE
CERROS DEL MEDITERRANEO,SIN EMPLEO DE ARMAS
EL CENTRO,ARMA BLANCA / CORTOPUNZANTE
CENTRO,ARMA BLANCA / CORTOPUNZANTE
VARIANTE (ZONA NORTE),SIN EMPLEO DE ARMAS
VARIANTE (ZONA NORTE),SIN EMPLEO DE ARMAS
LOS TUNJOS,SIN EMPLEO DE ARMAS
MODELIA,SIN EMPLEO DE ARMAS
LOS TUNJOS,SIN EMPLEO DE ARMAS
CENTRO,ARMA DE FUEGO
BELLAVISTA,ARMA BLANCA / CORTOPUNZANTE
LOS ANDES E5,ARMA DE FUEGO
LOS COMUNEROS I E15,SIN EMPLEO DE ARMAS
SUCRE E9,ARMA BLANCA / CORTOPUNZANTE
SAN FERNANDO VIEJO E19,SIN EMPLEO DE ARMAS
ALFONSO LOPEZ I E7,ARMA DE FUEGO
SANTA FE E8,ARMA DE FUEGO
U.R. SANTIAGO DE CALI E19,SIN EMPLEO DE ARMAS
EL RETIRO E15,ARMA BLANCA / CORTOPUNZANTE
EL REMANSO E21,ARMA BLANCA / CORTOPUNZANTE
EL VERGEL E13,ARMA DE FUEGO
URB. POBLADO CAMPESTRE (23-S-6-3),SIN EMPLEO DE ARMAS
CGTO EL LAURO (23-1),ARMA DE FUEGO
CORREGIMIENTO DE GUABITAS,SIN EMPLEO DE ARMAS
EL DEPARTAMENTAL,SIN EMPLEO DE ARMAS
RECREO,ARMA DE FUEGO
CINCUENTENARIO,SIN EMPLEO DE ARMAS
URBANIZACION BUENOS AIRES,ARMA DE FUEGO
URBANIZACION BUENOS AIRES,ARMA DE FUEGO
NUEVO FARFAN,SIN EMPLEO DE ARMAS
NUEVO FATIMA,SIN EMPLEO DE ARMAS
ARROYOHONDO ZONA INDUSTRIAL (25-2),SIN EMPLEO DE ARMAS
BELALCAZAR E25,CONTUNDENTES
SAN PEDRO,SIN EMPLEO DE ARMAS
VDA. TABLAZO HATILLO,ARMA BLANCA / CORTOPUNZANTE
EL CONGOLO,SIN EMPLEO DE ARMAS
ACEVEDO,ARMA DE FUEGO
CIUDADELA DEL NORTE,ARMA DE FUEGO
PRIMAVERA,ARMA DE FUEGO
EL DORADO,SIN EMPLEO DE ARMAS
VDA. SIERRA MORENA,ARMA DE FUEGO
BELLAVISTA,ARMA DE FUEGO
SURAMERICANA C-11,SIN EMPLEO DE ARMAS
ESTACION VILLA C-10,ARMA BLANCA / CORTOPUNZANTE
PARQUE NORTE C-4,ARMA BLANCA / CORTOPUNZANTE
CASTILLA C-5,ARMA DE FUEGO
EL CHAGUALO C-10,ARMA BLANCA / CORTOPUNZANTE
LA FLORIDA C-14,SIN EMPLEO DE ARMAS
PALENQUE 1 C-7,SIN EMPLEO DE ARMAS
BARRIO CAYCEDO C-9,ARMA DE FUEGO
BELLO HORIZONTE C-7,ARMA DE FUEGO
BOMBONA 1 C-10,SIN EMPLEO DE ARMAS
CARIBE C-5,SIN EMPLEO DE ARMAS
EL RINCON C-16,SIN EMPLEO DE ARMAS
