BARRIO,ARMA
SAN FELIPE,SIN EMPLEO DE ARMAS
SAN ANDRESITO,ARMA BLANCA / CORTOPUNZANTE
CENTRO,SIN EMPLEO DE ARMAS
BARRIO 28 DE FEBRERO,SIN EMPLEO DE ARMAS
BARRIO CENTRO,CONTUNDENTES
BARRIO LOS COMUNEROS,ARMA BLANCA / CORTOPUNZANTE
BARRIO LA PLAYA,CONTUNDENTES
PROVITEC,SIN EMPLEO DE ARMAS
LA ESTACION,ARMA DE FUEGO
CAMPESTRE D,ARMA BLANCA / CORTOPUNZANTE
CENTRO (A) PEREIRA,SIN EMPLEO DE ARMAS
SECTOR PLAZA DE BOLIVAR,SIN EMPLEO DE ARMAS
SECTOR AV 30 AGO ENTRE CL 48 Y 54,ARMA DE FUEGO
SANTA TERESITA,SIN EMPLEO DE ARMAS
MATECANHA,CONTUNDENTES
SAN FERNANDO,SIN EMPLEO DE ARMAS
SECTOR PARQUE LA LIBERTAD,ARMA BLANCA / CORTOPUNZANTE
TIERRADENTRO,ARMA DE FUEGO
20 DE AGOSTO,SIN EMPLEO DE ARMAS
TORCOROMA,ARMA BLANCA / CORTOPUNZANTE
GALAN GOMEZ,ARMA BLANCA / CORTOPUNZANTE
VDA. RIO DE ORO,ARMA BLANCA / CORTOPUNZANTE
GRANADA,ARMA BLANCA / CORTOPUNZANTE
BOLIVAR,SIN EMPLEO DE ARMAS
BOLIVAR,SIN EMPLEO DE ARMAS
SAN ALONSO,ARMA BLANCA / CORTOPUNZANTE
CASCO ANTIGUO DE FLORIDABLANCA,SIN EMPLEO DE ARMAS
BUCARICA,LLAVE MAESTRA
CASCO ANTIGUO DE FLORIDABLANCA,SIN EMPLEO DE ARMAS
LAGOS II,ARMA BLANCA / CORTOPUNZANTE
LOS ROSALES,ARMA BLANCA / CORTOPUNZANTE
BELLAVISTA,SIN EMPLEO DE ARMAS
LA CUMBRE,ARMA BLANCA / CORTOPUNZANTE
LA CUMBRE,SIN EMPLEO DE ARMAS
EL CENTRO,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
CADIZ,ARMA DE FUEGO
JARDIN SANTANDER,ARMA BLANCA / CORTOPUNZANTE
CENTRO,SIN EMPLEO DE ARMAS
INTERLAKEN,ARMA DE FUEGO
PACANDE,ARMA BLANCA / CORTOPUNZANTE
CENTRO,ARMA BLANCA / CORTOPUNZANTE
LA INDEPENDENCIA E11,ARMA DE FUEGO
CIUDAD CAPRI E17,CONTUNDENTES
RICARDO BALCAZAR E13,ARMA BLANCA / CORTOPUNZANTE
PRIMAVERA E11,CONTUNDENTES
ALFONSO B. ARAGON E14,ARMA DE FUEGO
SAN NICOLAS E3,SIN EMPLEO DE ARMAS
DEPARTAMENTAL E10,ARMA DE FUEGO
EL DORADO E10,ARMA BLANCA / CORTOPUNZANTE
EL SENA E5,ARMA DE FUEGO
SANTA ELENA E10,SIN EMPLEO DE ARMAS
TERRON COLORADO E1,SIN EMPLEO DE ARMAS
OLIMPICO E10,ARMA BLANCA / CORTOPUNZANTE
SAN VICENTE E2,SIN EMPLEO DE ARMAS
VERSALLES E2,SIN EMPLEO DE ARMAS
LOS GUAYACANES E5,ARMA DE FUEGO
LOS GUADUALES E6,ARMA BLANCA / CORTOPUNZANTE
COLSEGUROS ANDES E10,ARMA DE FUEGO
ANTONIO NARINHO E16,ARMA DE FUEGO
EUCARISTICO E19,SIN EMPLEO DE ARMAS
MORICHAL DE COMFANDI E15,ARMA BLANCA / CORTOPUNZANTE
CIUDADELA DEL RIO E21,CONTUNDENTES
EUCARISTICO E19,CONTUNDENTES
NAPOLES E18,ARMA DE FUEGO
SAN FERNANDO VIEJO E19,CONTUNDENTES
PIZAMOS I E21,ARMA DE FUEGO
SAN PEDRO E3,SIN EMPLEO DE ARMAS
MOJICA E15,SIN EMPLEO DE ARMAS
VEREDA CAMPO ALEGRE,ARMA BLANCA / CORTOPUNZANTE
EL CARMELO,SIN EMPLEO DE ARMAS
CORREGIMIENTO LA DOLORES,PALANCAS
SAN PEDRO,ARMA DE FUEGO
RECREO,ARMA BLANCA / CORTOPUNZANTE
MIRRINHAO,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
CGTO ACOPI E25,CONTUNDENTES
CIUDAD NIQUIA,CONTUNDENTES
ZONA CENTRO,ARMA DE FUEGO
AUTOPISTA NORTE,ARMA DE FUEGO
ALCALA,ARMA BLANCA / CORTOPUNZANTE
LAS ORQUIDEAS,SIN EMPLEO DE ARMAS
SANTA MARIA # 1,ARMA DE FUEGO
ZONA INDUSTRIAL #1,SIN EMPLEO DE ARMAS
LA PILARICA C-7,ARMA DE FUEGO
VILLA HERMOSA C-8,ARMA DE FUEGO
LAURELES C-11,ARMA DE FUEGO
TRICENTENARIO C-5,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
SIMON BOLIVAR C-12,ARMA DE FUEGO
TRICENTENARIO C-5,ARMA DE FUEGO
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
GUAYAQUIL C-10,SIN EMPLEO DE ARMAS
BOLIVARIANA C-11,ARMA DE FUEGO
BELEN C-16,ARMA BLANCA / CORTOPUNZANTE
EL RODEO C-15,ARMA BLANCA / CORTOPUNZANTE
ARANJUEZ  C-4,ARMA DE FUEGO
BOSTON C-10,ARMA BLANCA / CORTOPUNZANTE
CALLE NUEVA C-10,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
NUEVA VILLA DE ABURRA C-16,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LLANADITAS C-8,ARMA BLANCA / CORTOPUNZANTE
SAN PEDRO  C-4,SIN EMPLEO DE ARMAS
ASTORGA C-14,ARMA BLANCA / CORTOPUNZANTE
PALERMO  C-4,ARMA BLANCA / CORTOPUNZANTE
EL POBLADO C-14,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
GUAYAQUIL C-10,ARMA BLANCA / CORTOPUNZANTE
EL VELODROMO C-11,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LAURELES C-11,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
VILLANUEVA C-10,SIN EMPLEO DE ARMAS
JESUS NAZARENO C-10,SIN EMPLEO DE ARMAS
MANRIQUE 1  C-4,SIN EMPLEO DE ARMAS
LA PEREIRA,ARMA DE FUEGO
PRADO,SIN EMPLEO DE ARMAS
SAN SALVADOR,ARMA DE FUEGO
BELLA ARENA,ARMA DE FUEGO
LA SIERRA,ARMA DE FUEGO
CENTRO,CONTUNDENTES
VILLA ANGELITA,SIN EMPLEO DE ARMAS
VDA. LOS CAGUISES,ARMA DE FUEGO
SOLANO,ARMA BLANCA / CORTOPUNZANTE
SANTOS,ARMA BLANCA / CORTOPUNZANTE
CERVANTES,CONTUNDENTES
BARRIO SAN JOSE,ARMA BLANCA / CORTOPUNZANTE
LA AMAZONIA,ARMA DE FUEGO
LA AMISTAD,SIN EMPLEO DE ARMAS
EL FICAL,SIN EMPLEO DE ARMAS
ARRAYANES DEL OCCIDENTE,SIN EMPLEO DE ARMAS
ALFONSO LOPEZ,ARMA BLANCA / CORTOPUNZANTE
LA ESMERALDA,ARMA BLANCA / CORTOPUNZANTE
BOLIVAR,SIN EMPLEO DE ARMAS
CENTRO,SIN EMPLEO DE ARMAS
LA LADERA,ARMA BLANCA / CORTOPUNZANTE
CENTRO,ARMA DE FUEGO
VEREDA,ARMA DE FUEGO
CRISTO REY,SIN EMPLEO DE ARMAS
SILENCIO,ARMA BLANCA / CORTOPUNZANTE
SAN FELIPE,SIN EMPLEO DE ARMAS
PASTRANA BORRERO,ARMA BLANCA / CORTOPUNZANTE
LA PRADERA,CONTUNDENTES
LA PRADERA,CONTUNDENTES
LA CASTELLANA,SIN EMPLEO DE ARMAS
SAMPER MENDOZA E-14,SIN EMPLEO DE ARMAS
TECHO  E-8,SIN EMPLEO DE ARMAS
DIANA TURBAY E-18,ARMA BLANCA / CORTOPUNZANTE
EL RECREO E-7,ARMA BLANCA / CORTOPUNZANTE
CLASS E-8,ARMA BLANCA / CORTOPUNZANTE
EL PARAISO E-7,ARMA DE FUEGO
GRAN COLOMBIANO E-8,SIN EMPLEO DE ARMAS
LAS NIEVES E-3,SIN EMPLEO DE ARMAS
RINCON DE BOYACA E-11,SIN EMPLEO DE ARMAS
MONTEVIDEO E-9,SIN EMPLEO DE ARMAS
EL CENTENARIO E-18,ARMA BLANCA / CORTOPUNZANTE
LA FAVORITA E-14,SIN EMPLEO DE ARMAS
RINCON DEL CHICO E-1,ARMA BLANCA / CORTOPUNZANTE
LA CAPUCHINA E-3,ARMA BLANCA / CORTOPUNZANTE
PALESTINA E-7,ARMA BLANCA / CORTOPUNZANTE
SANTA LIBRADA E-5,ARMA BLANCA / CORTOPUNZANTE
SAN DIEGO E-3,ARMA BLANCA / CORTOPUNZANTE
LAS AGUAS E-17,CONTUNDENTES
CHAPINERO NORTE E-2,CONTUNDENTES
LAS FERIAS E-10,SIN EMPLEO DE ARMAS
LAGO GAITAN E-2,ARMA BLANCA / CORTOPUNZANTE
CARVAJAL E-8,SIN EMPLEO DE ARMAS
VEINTE DE JULIO E-4,ARMA BLANCA / CORTOPUNZANTE
CHICO I E-2,ARMA BLANCA / CORTOPUNZANTE
MEISSEN E-19,CONTUNDENTES
TEUSAQUILLO E-13,SIN EMPLEO DE ARMAS
LA CANDELARIA E-3,CONTUNDENTES
LOURDES E-2,SIN EMPLEO DE ARMAS
VICTORIA II SECTOR E-4,ARMA BLANCA / CORTOPUNZANTE
NUEVO TIMIZA E-8,SIN EMPLEO DE ARMAS
CONJUNTO RESIDENCIAL MIRAFLORES E-11,SIN EMPLEO DE ARMAS
URB. ACAPULCO E-19,SIN EMPLEO DE ARMAS
SANTA LIBRADA E-5,SIN EMPLEO DE ARMAS
NICOLAS DE FEDERMAN E-13,SIN EMPLEO DE ARMAS
SAN CRISTOBAL E-4,ARMA BLANCA / CORTOPUNZANTE
SANTA ANA OCCIDENTAL E-1,SIN EMPLEO DE ARMAS
URB. LA GUACA E-16,CONTUNDENTES
SANTA TERESITA E-13,ARMA BLANCA / CORTOPUNZANTE
VILLEMAR E-9,SIN EMPLEO DE ARMAS
SANTA FE E-14,ARMA BLANCA / CORTOPUNZANTE
EL GRECO E-13,ARMA BLANCA / CORTOPUNZANTE
URB. MADELENA I Y II SECTOR E-19,ARMA BLANCA / CORTOPUNZANTE
MOLINOS DEL SUR E-18,SIN EMPLEO DE ARMAS
URB. RIONEGRO E-12,SIN EMPLEO DE ARMAS
CENTRO,ARMA BLANCA / CORTOPUNZANTE
EFRAIN MEDINA,ARMA DE FUEGO
ALMIRANTE PADILLA,ARMA DE FUEGO
ARRIBA,ARMA DE FUEGO
BUENOS AIRES,SIN EMPLEO DE ARMAS
NAZARETH,ARMA DE FUEGO
ENCENILLO,ARMA BLANCA / CORTOPUNZANTE
LA ORQUIDEA,ARMA BLANCA / CORTOPUNZANTE
VILLA CECILIA,CONTUNDENTES
VILLA CECILIA,CONTUNDENTES
CENTRO,SIN EMPLEO DE ARMAS
PORVENIR,ARMA BLANCA / CORTOPUNZANTE
VIA LOS CONTENEDORES,ARMA DE FUEGO
VIA LOS CONTENEDORES,ARMA DE FUEGO
SANTA INES,ARMA DE FUEGO
MARIA EUGENIA,SIN EMPLEO DE ARMAS
JARDIN,ARMA DE FUEGO
LOS FUNDADORES,ARMA DE FUEGO
PESCAITO,ARMA DE FUEGO
VILLA BELLA,SIN EMPLEO DE ARMAS
CHIMILA 1-2,ARMA DE FUEGO
SAN FRANCISCO,ARMA DE FUEGO
SAN FRANCISCO,ARMA DE FUEGO
ZONA MERCADO,SIN EMPLEO DE ARMAS
SAN FRANCISCO,ARMA DE FUEGO
CENTRO,LLAVE MAESTRA
DONHA LUZ,SIN EMPLEO DE ARMAS
ACACIAS,ARMA BLANCA / CORTOPUNZANTE
AY MI LLANURA,CONTUNDENTES
CANTARRANA I,ARMA BLANCA / CORTOPUNZANTE
BOCHICA,CONTUNDENTES
PARAISO,CONTUNDENTES
PUENES,ARMA BLANCA / CORTOPUNZANTE
PANORAMICO II,ARMA BLANCA / CORTOPUNZANTE
AV. LAS AMERICAS,ARMA BLANCA / CORTOPUNZANTE
PANADERIA,ARMA BLANCA / CORTOPUNZANTE
SAN ANDRES,ARMA BLANCA / CORTOPUNZANTE
SAN JUDAS,SIN EMPLEO DE ARMAS
BARRIO LOS PINOS,SIN EMPLEO DE ARMAS
BARRIO AGUAS CALIENTES,SIN EMPLEO DE ARMAS
BARRIO SANTA CRUZ,SIN EMPLEO DE ARMAS
ACACIAS,ARMA BLANCA / CORTOPUNZANTE
LA ARBOLEDA,ARMA BLANCA / CORTOPUNZANTE
LA ARBOLEDA,ARMA BLANCA / CORTOPUNZANTE
LAS CAMELIAS,ARMA BLANCA / CORTOPUNZANTE
SANTA MONICA,ARMA DE FUEGO
SANTA MONICA,ARMA DE FUEGO
SANTA MONICA,ARMA DE FUEGO
LA BADEA,ARMA DE FUEGO
LAS VEGAS,ARMA DE FUEGO
LA PRADERA,SIN EMPLEO DE ARMAS
SECTOR MERCASA,ARMA BLANCA / CORTOPUNZANTE
CENTRO (A) PEREIRA,SIN EMPLEO DE ARMAS
CENTRO (A) PEREIRA,SIN EMPLEO DE ARMAS
CENTRO (A) PEREIRA,SIN EMPLEO DE ARMAS
CENTRO (A) PEREIRA,SIN EMPLEO DE ARMAS
CUBA V-8,SIN EMPLEO DE ARMAS
SECTOR AV 30 AGO ENTRE CL 37 Y 41,SIN EMPLEO DE ARMAS
CENTRO (A) PEREIRA,SIN EMPLEO DE ARMAS
SECTOR PARQUE LA LIBERTAD,SIN EMPLEO DE ARMAS
SECTOR PARQUE LA LIBERTAD,SIN EMPLEO DE ARMAS
SECTOR PARQUE LA LIBERTAD,SIN EMPLEO DE ARMAS
SECTOR PARQUE LA LIBERTAD,SIN EMPLEO DE ARMAS
CENTRO (A) PEREIRA,SIN EMPLEO DE ARMAS
PLANADA DEL CERRO,ARMA BLANCA / CORTOPUNZANTE
SAN ALONSO,CONTUNDENTES
COLORADOS,SIN EMPLEO DE ARMAS
INV. VILLAS DEL GIRARDOT,ARMA DE FUEGO
CENTRO,SIN EMPLEO DE ARMAS
LAGOS DEL CACIQUE,ARMA BLANCA / CORTOPUNZANTE
MUTIS,SIN EMPLEO DE ARMAS
ALTAMIRA,SIN EMPLEO DE ARMAS
ANDALUCIA,ARMA BLANCA / CORTOPUNZANTE
RIVERA DEL RIO,SIN EMPLEO DE ARMAS
SAN CARLOS,ARMA DE FUEGO
VDA. GUATIGUARA,SIN EMPLEO DE ARMAS
SANTUARIO,SIN EMPLEO DE ARMAS
VIVEROS,ARMA BLANCA / CORTOPUNZANTE
CENTENARIO,ARMA DE FUEGO
CENTENARIO,ARMA DE FUEGO
GALARZA,ARMA BLANCA / CORTOPUNZANTE
SANTOFIMIO,SIN EMPLEO DE ARMAS
GALAN,ARMA BLANCA / CORTOPUNZANTE
EL TRIUNFO,SIN EMPLEO DE ARMAS
SAN PEDRO CLAVER E11,ARMA BLANCA / CORTOPUNZANTE
LOS CAMBULOS E19,ARMA DE FUEGO
SANTA ANITA E17,ARMA DE FUEGO
JUNIN E9,ARMA DE FUEGO
EL POBLADO I E13,ARMA BLANCA / CORTOPUNZANTE
BELLAVISTA E19,CONTUNDENTES
BELLAVISTA E19,CONTUNDENTES
EL LIDO E19,ARMA DE FUEGO
TERRON COLORADO E1,SIN EMPLEO DE ARMAS
LOS LIBERTADORES E3,ARMA DE FUEGO
VILLA DEL PRADO - EL GUABITO E5,ARMA BLANCA / CORTOPUNZANTE
RODRIGO LARA BONILLA E13,ARMA DE FUEGO
SAN JOAQUIN E17,ARMA BLANCA / CORTOPUNZANTE
SANTA ELENA E10,SIN EMPLEO DE ARMAS
SANTA ROSA E3,ARMA BLANCA / CORTOPUNZANTE
SAN VICENTE E2,ARMA BLANCA / CORTOPUNZANTE
SINDICAL E12,ARMA BLANCA / CORTOPUNZANTE
LOS COMUNEROS I E15,SIN EMPLEO DE ARMAS
CAMINO REAL - J BORRERO E19,ARMA DE FUEGO
COLSEGUROS ANDES E10,ARMA BLANCA / CORTOPUNZANTE
SAN VICENTE E2,SIN EMPLEO DE ARMAS
BUENOS AIRES E18,ARMA DE FUEGO
ALFEREZ REAL E18,ARMA DE FUEGO
FONAVIEMCALI E6,ARMA DE FUEGO
CGTO SAN JOAQUIN (23-S-4-1),ARMA DE FUEGO
URB. POBLADO CAMPESTRE (23-S-6-3),ARMA DE FUEGO
CGTO JUANCHITO,ARMA BLANCA / CORTOPUNZANTE
REPUBLICA DE FRANCIA,ARMA DE FUEGO
LAS TINAJAS,ARMA BLANCA / CORTOPUNZANTE
EL CARMELO,SIN EMPLEO DE ARMAS
MATEO,ARMA BLANCA / CORTOPUNZANTE
LAS PLAYAS,CONTUNDENTES
ALTAVISTA,SIN EMPLEO DE ARMAS
PILSEN,ARMA DE FUEGO
SAN FERNANDO,ESCOPOLAMINA
SANTA MARIA # 1,SIN EMPLEO DE ARMAS
BARILOCHE,SIN EMPLEO DE ARMAS
BARILOCHE,SIN EMPLEO DE ARMAS
BARILOCHE,SIN EMPLEO DE ARMAS
ESTACION VILLA C-10,ARMA BLANCA / CORTOPUNZANTE
SAN BENITO C-10,SIN EMPLEO DE ARMAS
POPULAR 1 C-1,ARMA BLANCA / CORTOPUNZANTE
BARRIO COLON C-10,SIN EMPLEO DE ARMAS
SEVILLA  C-4,SIN EMPLEO DE ARMAS
VILLANUEVA C-10,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
CENTRO  S.A.P.,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
ENCISO C-8,SIN EMPLEO DE ARMAS
CAMPO VALDES 2 C-3,ARMA DE FUEGO
SIMON BOLIVAR C-12,ARMA DE FUEGO
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
BARRIO COLOMBIA C-14,ARMA BLANCA / CORTOPUNZANTE
EL RAIZAL  C-3,SIN EMPLEO DE ARMAS
MORAVIA  C-4,ARMA DE FUEGO
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
EL CHAGUALO C-10,ARMA BLANCA / CORTOPUNZANTE
SANTO DOMINGO  1 C-1,ESCOPOLAMINA
EL POBLADO C-14,ESCOPOLAMINA
EL POBLADO C-14,ESCOPOLAMINA
EL POBLADO C-14,SIN EMPLEO DE ARMAS
EL POBLADO C-14,SIN EMPLEO DE ARMAS
SAN JOAQUIN C-11,ARMA BLANCA / CORTOPUNZANTE
PARQUE NORTE C-4,ARMA BLANCA / CORTOPUNZANTE
ESTACION VILLA C-10,ARMA BLANCA / CORTOPUNZANTE
LA CANDELARIA C-10,ARMA DE FUEGO
SAN JOAQUIN C-11,ARMA BLANCA / CORTOPUNZANTE
TENCHE C-15,ARMA DE FUEGO
MIRANDA  C-4,ARMA DE FUEGO
LA CANDELARIA C-10,ARMA BLANCA / CORTOPUNZANTE
LAURELES C-11,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
EL DIAMANTE C-7,ARMA DE FUEGO
ESTACION VILLA C-10,SIN EMPLEO DE ARMAS
CONQUISTADORES C-11,SIN EMPLEO DE ARMAS
BELEN C-16,ARMA BLANCA / CORTOPUNZANTE
BARRIO COLOMBIA C-14,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
ASTORGA C-14,SIN EMPLEO DE ARMAS
LA CANDELARIA C-10,SIN EMPLEO DE ARMAS
CUATRO ESQUINAS,ARMA BLANCA / CORTOPUNZANTE
LA ALACENA,SIN EMPLEO DE ARMAS
LA ALACENA,SIN EMPLEO DE ARMAS
SANTA MONICA,ARMA BLANCA / CORTOPUNZANTE
LUCERO,ARMA DE FUEGO
SANTA ANA,SIN EMPLEO DE ARMAS
LA CONCEPCION,SIN EMPLEO DE ARMAS
COLOMBIA,SIN EMPLEO DE ARMAS
LA CONCEPCION,SIN EMPLEO DE ARMAS
EL BOSQUE,ARMA DE FUEGO
EL KENNEDY,ARMA DE FUEGO
LAS TORRES,SIN EMPLEO DE ARMAS
LA CONCEPCION,SIN EMPLEO DE ARMAS
SANTA ANA,SIN EMPLEO DE ARMAS
SIAPE,ARMA BLANCA / CORTOPUNZANTE
LA CONCEPCION,SIN EMPLEO DE ARMAS
MODELO,ARMA BLANCA / CORTOPUNZANTE
LA CONCEPCION,SIN EMPLEO DE ARMAS
VILLA CAMPESTRE,ARMA DE FUEGO
SOLEDAD 2000,ARMA BLANCA / CORTOPUNZANTE
VILLA LAS MORAS,ARMA DE FUEGO
LAS PALMERAS,ARMA DE FUEGO
VDA. CENTRO,CONTUNDENTES
VDA. PLAN DE LA ESCUELA,ARMA BLANCA / CORTOPUNZANTE
BARRIO SAN IGNACIO,SIN EMPLEO DE ARMAS
METROPOLIS,SIN EMPLEO DE ARMAS
METROPOLIS,SIN EMPLEO DE ARMAS
BAJO PRADO,ARMA BLANCA / CORTOPUNZANTE
CENTRO,ARMA BLANCA / CORTOPUNZANTE
ABBAS TURBAY,ARMA BLANCA / CORTOPUNZANTE
LOS ANGELES,ARMA BLANCA / CORTOPUNZANTE
CIUDADELA HABITACIONAL SIGLO XXI,SIN EMPLEO DE ARMAS
PAOMARE,ARMA BLANCA / CORTOPUNZANTE
EL CENTRO,SIN EMPLEO DE ARMAS
ESPERANZA,ARMA BLANCA / CORTOPUNZANTE
PROVIVIENDA,ARMA BLANCA / CORTOPUNZANTE
JUAN PABLO SEGUNDO,SIN EMPLEO DE ARMAS
VILLA DOCENTE,ARMA BLANCA / CORTOPUNZANTE
CHAPINERO,ARMA DE FUEGO
LAS AMERICAS,ARMA DE FUEGO
VDA BOCAS DEL PALO,SIN EMPLEO DE ARMAS
OBAPO,ARMA DE FUEGO
YESCA GRANDE,ARMA BLANCA / CORTOPUNZANTE
CHUCHURUBI,ARMA DE FUEGO
EDMUNDO LÒPEZ,ARMA DE FUEGO
EDMUNDO LÒPEZ,ARMA BLANCA / CORTOPUNZANTE
COLON,ARMA BLANCA / CORTOPUNZANTE
LA JULIA,LLAVE MAESTRA
SAN JOSE SUR E-18,SIN EMPLEO DE ARMAS
VILLA DE LOS ALPES E-4,SIN EMPLEO DE ARMAS
LA URIBE E-1,SIN EMPLEO DE ARMAS
LA ESTANCIA E-7,ARMA BLANCA / CORTOPUNZANTE
SANTA LIBRADA E-5,ARMA BLANCA / CORTOPUNZANTE
EL PINAR E-11,ARMA BLANCA / CORTOPUNZANTE
EL PINO E-11,SIN EMPLEO DE ARMAS
VILLA DEL RINCON E-11,SIN EMPLEO DE ARMAS
ALQUERIA LA FRAGUA E-8,ARMA BLANCA / CORTOPUNZANTE
VERACRUZ E-3,ARMA BLANCA / CORTOPUNZANTE
TINTALITO E-8,ARMA BLANCA / CORTOPUNZANTE
CENTENARIO E-9,ARMA DE FUEGO
SAN BENITO E-6,ARMA BLANCA / CORTOPUNZANTE
SAN FELIPE E-12,SIN EMPLEO DE ARMAS
CIUDAD SALITRE II E-13,SIN EMPLEO DE ARMAS
MARLY E-2,SIN EMPLEO DE ARMAS
BELLA ESTANCIA E-19,SIN EMPLEO DE ARMAS
BOSQUE POPULAR E-10,ARMA DE FUEGO
EL RECREO E-7,SIN EMPLEO DE ARMAS
ARBOLEDA E-7,SIN EMPLEO DE ARMAS
CARVAJAL E-8,ARMA BLANCA / CORTOPUNZANTE
EL RETIRO E-2,SIN EMPLEO DE ARMAS
CHAPINERO CENTRAL E-2,ARMA BLANCA / CORTOPUNZANTE
VILLA NOHORA E-7,ARMA BLANCA / CORTOPUNZANTE
URB. SAN PATRICIO E-1,SIN EMPLEO DE ARMAS
QUINTA CAMACHO E-2,SIN EMPLEO DE ARMAS
OLAYA E-18,ARMA BLANCA / CORTOPUNZANTE
CASA DE TEJA E-19,ARMA BLANCA / CORTOPUNZANTE
MARTIRES E-14,ARMA BLANCA / CORTOPUNZANTE
SANTA LUCIA E-18,ARMA BLANCA / CORTOPUNZANTE
ALCALA  E-11,ARMA BLANCA / CORTOPUNZANTE
EL AMPARO E-8,ARMA DE FUEGO
ANTIGUO COUNTRY E-2,SIN EMPLEO DE ARMAS
URB. INDUSTRIAL PENSILVANIA E-16,SIN EMPLEO DE ARMAS
LAS AMERICAS E-8,SIN EMPLEO DE ARMAS
SAN FRANCISCO,CONTUNDENTES
VILLA ALEXANDER,ARMA DE FUEGO
LA FLORESTA,ARMA DE FUEGO
LOS NOGALES,ARMA BLANCA / CORTOPUNZANTE
EL ACUEDUCTO,ARMA BLANCA / CORTOPUNZANTE
ALAMOS NORTE,SIN EMPLEO DE ARMAS
CENTRO,CONTUNDENTES
CENTRO,CONTUNDENTES
CENTRO,CONTUNDENTES
CENTRO,CONTUNDENTES
CENTRO,CONTUNDENTES
MANZANARES,SIN EMPLEO DE ARMAS
TAGANGA,SIN EMPLEO DE ARMAS
VILLA MARBELLA,ARMA BLANCA / CORTOPUNZANTE
PESCAITO,SIN EMPLEO DE ARMAS
LUIS CARLOS GALAN,ARMA DE FUEGO
CUNDI,CONTUNDENTES
PROGRESO,SIN EMPLEO DE ARMAS
LA ESPERANZA VI ETAPA,CONTUNDENTES
CENTRO,SIN EMPLEO DE ARMAS
JORDAN,ARMA DE FUEGO
SAN JORGE,ARMA BLANCA / CORTOPUNZANTE
EL BUQUE,ARMA BLANCA / CORTOPUNZANTE
EL EMPORIO,SIN EMPLEO DE ARMAS
BOLIVAR,ARMA BLANCA / CORTOPUNZANTE
GOLGOTA,ARMA BLANCA / CORTOPUNZANTE
CENTRO,ARMA DE FUEGO
CENTRO,CONTUNDENTES
VEREDA LA CALDERA,ARMA DE FUEGO
OBRERO,CONTUNDENTES
CENTRO,ARMA BLANCA / CORTOPUNZANTE
JERUSALEN,ARMA BLANCA / CORTOPUNZANTE
SAN FERNANDO,ARMA DE FUEGO
PARQUE BOLIVAR,CONTUNDENTES
MIRAFLORES I,ARMA BLANCA / CORTOPUNZANTE
CONJUNTO CERRADO EL TESORO,ARMA DE FUEGO
BARRIO BELEN,ARMA DE FUEGO
BARRIO LA PLAZUELA,SIN EMPLEO DE ARMAS
VDA. LAS TOLDAS,ARMA DE FUEGO
BOYACA,ARMA DE FUEGO
PALMA DE CERA,ARMA BLANCA / CORTOPUNZANTE
VDA. LA CIMA,SIN EMPLEO DE ARMAS
SECTOR PARQUE LA LIBERTAD,ARMA BLANCA / CORTOPUNZANTE
SECTOR PARQUE EL LAGO,ARMA BLANCA / CORTOPUNZANTE
VDA. MORELIA,ARMA DE FUEGO
SECTOR PLAZA DE BOLIVAR,ARMA DE FUEGO
COLOMBIA,SIN EMPLEO DE ARMAS
RAFAEL RANGEL,SIN EMPLEO DE ARMAS
PUEBLO NUEVO,SIN EMPLEO DE ARMAS
CENTRO,ARMA BLANCA / CORTOPUNZANTE
GIRARDOT,SIN EMPLEO DE ARMAS
LA CONCORDIA,ARMA DE FUEGO
LA CONCORDIA,SIN EMPLEO DE ARMAS
