BARRIO,EDAD
VDA. TABLAZO HATILLO,ADULTO
EL CONGOLO,ADULTOJOVEN
ACEVEDO,ADULTOJOVEN
CIUDADELA DEL NORTE,ADULTOJOVEN
PRIMAVERA,ADULTO
EL DORADO,ANCIANO
VDA. SIERRA MORENA,ADULTOJOVEN
BELLAVISTA,ADULTO
SURAMERICANA C-11,ADULTO
ESTACION VILLA C-10,ADULTOJOVEN
PARQUE NORTE C-4,ADULTOMAYOR
CASTILLA C-5,ADULTOMAYOR
EL CHAGUALO C-10,ADULTO
LA FLORIDA C-14,ADULTO
PALENQUE 1 C-7,ADULTOJOVEN
BARRIO CAYCEDO C-9,ADULTO
BELLO HORIZONTE C-7,ADULTO
BOMBONA 1 C-10,ADULTOMAYOR
CARIBE C-5,ADULTOJOVEN
EL RINCON C-16,ADULTOJOVEN
SEVILLA  C-4,ADULTOJOVEN
GUAYABAL C-15,ADULTOJOVEN
GRANADA C-16,ADULTOJOVEN
VILLANUEVA C-10,ADULTO
SANTA CRUZ  C-2,ADULTO
ESTACION VILLA C-10,ADULTO
CATALUNHA  C-9,ADULTOMAYOR
SEVILLA  C-4,ADULTOJOVEN
CARIBE C-5,ADULTOJOVEN
EL CHAGUALO C-10,ADOLESCENTE
CARIBE,ADULTOJOVEN
SECTOR GALERIA,ADULTO
EL CARMEN,ADULTOJOVEN
BELLA ARENA,ADULTOJOVEN
SANTA CRUZ,ADULTO
LA ARBOLEDA,ADULTO
LA CRUZ,ADULTOJOVEN
VDA. TENERIA,ADULTOMAYOR
BARRIO LOS SAUCES,ADULTOJOVEN
BARRIO POPULAR,ADULTOJOVEN
CENTRO,ADULTO
CRISTO REY,ADULTOJOVEN
CRISTO REY,ADULTOJOVEN
LA ESTRELLA,ADULTOMAYOR
URAPANES,ADULTOJOVEN
LA AMAZONIA,ADULTO
JORGE ELIECER GAITAN,ADULTOJOVEN
VIA PALESTRO,ADULTOJOVEN
RAIZAL,ADULTO
ESPERANZA,ADULTO
LA ESPERANZA,ADULTOJOVEN
MAREIGUA,ADULTOMAYOR
LAS FLORES,ADULTO
LAS FLORES,ADULTO
EL JARDIN,ADULTOJOVEN
LA FLORESTA,ADULTOJOVEN
VENECIA E-6,ADULTO
SUCRE E-2,ADULTOJOVEN
EL POA E-11,ADULTOJOVEN
LA CATEDRAL E-3,ADULTOJOVEN
SANTA FE E-14,ADULTOJOVEN
SAN ISIDRO E-4,ADULTOJOVEN
LA MACARENA E-3,ADULTOJOVEN
SUBA CENTRO E-11,ADULTO
CHICO NAVARRA E-1,ADULTO
SUBA CENTRO E-11,ADULTOMAYOR
LA PAZ E-3,ADULTOMAYOR
SANTA ISABEL E-14,ADULTOJOVEN
SUBA CENTRO E-11,ADULTOMAYOR
ALTO PRADO,ADULTOJOVEN
COLOMBIALIBRE,ADULTO
EL CENTRO,ADULTOJOVEN
BARRIO DIVINO NINHO,ADOLESCENTE
VEREDA CLAROS,ADULTOMAYOR
EL VERGEL,ADULTOJOVEN
LOS DUJOS,ADULTO
ENRIQUE OLAYA HERRERA,ADULTOJOVEN
REPOSO,ADULTO
ALCAZARES,ADULTOJOVEN
CENTRO HISTORICO,ADULTOMAYOR
RODADERO SUR,ADULTOJOVEN
CENTRO,ADULTOJOVEN
ESTERO,ADULTOJOVEN
INDUSTRIAL,ADULTOJOVEN
SAN BENITO,ADULTO
BELLO HORIZONTE,ADULTO
BENJAMIN HERRERA,ADULTO
RECUERDO,ADULTO
CANTARANA,ADULTO
POTRERILLO,ADULTOJOVEN
POTRERILLO,ADULTOJOVEN
NUEVO SOL,ADULTO
CENTRO,ADULTOMAYOR
CHAPAL,ADULTO
CAICEDO ALTO,ADULTO
AV. ESTUDIANTES,ADULTOJOVEN
CHILE,ADULTOJOVEN
CENTRO,ADULTOMAYOR
POTRERILLO,ADULTO
MADRIGAL,ANCIANO
NIZA II,ADULTO
CENTRO,ADULTO
CENTRO,ADULTOJOVEN
AV. CHAMPAGNAT,ADULTOJOVEN
BARRIO PRADOS DEL ESTE,ADULTO
BARRIO EL BOSQUE,ADULTOJOVEN
SECTOR CAM,ADULTOJOVEN
VERACRUZ,ADOLESCENTE
SECTOR COLISEO DEL CAFE,ADULTOJOVEN
MIRAFLORES BAJO,ADULTOMAYOR
CIUDADELA EL ENSUENHO,ADULTOMAYOR
CIUDADELA EL ENSUENHO,ADULTOMAYOR
B. CENTRO,ADULTO
B. CENTRO,ADULTO
B. CENTRO,ADULTO
SECTOR LA POPA,ADULTO
LA AURORA,ADULTOJOVEN
LA AURORA,ADULTOJOVEN
PLAZA CIVICA CIUDAD VICTORIA,ADULTO
SECTOR PLAZA DE BOLIVAR,ADULTO
SECTOR AVENIDA DEL RIO,ADULTO
LAS GARZAS,ADULTO
LA ESPERANZA,ADULTOJOVEN
GARCIA ROVIRA,ADULTO
CABECERA DEL LLANO,ADULTOJOVEN
REGADERO NORTE,ADULTO
TRANSICION V,ADULTO
DIAMANTE II,ADULTOJOVEN
VILLA ROSA,ADULTOJOVEN
PIO XII,ADULTOJOVEN
EL BOSQUE,ADULTOMAYOR
PANORAMA,ADULTOMAYOR
VIA PIEDRAS,ADULTOMAYOR
CENTRO,ADULTO
VRDA. DINDALITO,ADULTOMAYOR
EL GRAN LIMONAR E17,ADULTOJOVEN
NORMANDIA E2,ADULTOJOVEN
ALFONSO B. ARAGON E14,ADULTO
MARIANO RAMOS E16,ADULTO
EL RETIRO E15,ADULTOJOVEN
SANTA ROSA E3,ADULTOJOVEN
SANTA TERESITA E2,ADULTO
SAN PEDRO E3,ADULTOJOVEN
VALLADO E15,ADULTOJOVEN
SIETE DE AGOSTO E7,ANCIANO
JORGE ISAACS E4,ADULTO
JORGE ISAACS E4,ADULTO
