BARRIO,EDAD
LAS MARGARITAS E-8,ADULTOJOVEN
SANTA RITA,ADOLESCENTE
SERREZUELITA,ADULTOMAYOR
SANTA ISABEL,ADULTOJOVEN
SAN MARTIN,ADULTO
SANTA ISABEL,ADULTO
SANTA INES,ADULTOJOVEN
CRISTO REY,ADULTO
FRANCISCO DE PAULA SANTANDER,ADULTOJOVEN
VILLA MARBELLA,ADULTOMAYOR
ASOVIVIENDAS,ADULTOMAYOR
7 DE AGOSTO,ADULTO
7 DE AGOSTO,ADULTO
VENCEDORES,ADULTO
GUATAPE,ADULTOJOVEN
GUATAPE,ADULTOJOVEN
KIRPA,ADULTOMAYOR
COVISAN,ADULTO
URBANIZACION LAS COLINAS,ADULTO
OBRERO,ADULTOJOVEN
ALFONSO LOPEZ,ADOLESCENTE
PRADOS DEL SUR,ADULTOJOVEN
CORREGIMIENTO SANTANDER,ADULTOMAYOR
BARIO LA RIVIERA,ADULTOJOVEN
CONJUNTO CERRADO EL TESORO,ADULTO
BARRIO QUINTA BOSCH,ADULTOJOVEN
LA ESTACION,ADULTO
ALAMEDA,ADULTOMAYOR
SECTOR COLISEO SAN LUIS,ADULTOJOVEN
CENTRO,ADULTO
NAPOLES,ADULTOMAYOR
NAPOLES,ADULTOMAYOR
CABECERA DEL LLANO,ADOLESCENTE
BOLARQUI,ADULTOJOVEN
EL BOSQUE,ADULTOJOVEN
SANTA FE,ADULTOJOVEN
VDA. GUATIGUARA,ADULTOJOVEN
PUERTA ROJA,ADULTOJOVEN
CENTRO,ADULTOMAYOR
SANTA CATALINA,ADULTO
EL MAIZAL,OTRA
7 DE AGOSTO,ADULTO
LOS FUNDADORES,ADULTOJOVEN
CENTRO,ADULTOMAYOR
EL CARMEN,ADULTOMAYOR
LA FRANCIA,ADULTO
ARKANIZA,ADULTOMAYOR
LA GAVIOTA,ADULTOJOVEN
VILLA ARKADIA,ADULTOJOVEN
VILLA HOLANDA,ADULTOJOVEN
CENTRO,ADULTOJOVEN
GALAN,ADULTOJOVEN
PARAISO,ADULTOMAYOR
PANAMERICANO,ADULTOJOVEN
INDEPENDENCIA,ADULTOJOVEN
VALLE GRANDE E21,ADULTOJOVEN
CAMINO REAL - J BORRERO E19,ADULTO
SAN FERNANDO VIEJO E19,ADULTOJOVEN
ALFONSO LOPEZ I E7,ADULTOJOVEN
EL CALVARIO E3,ADULTOJOVEN
EL CALVARIO E3,ADULTO
3 DE JULIO E19,ADULTOJOVEN
12 DE OCTUBRE E12,ADULTOJOVEN
URB. MILITAR E19,ADULTOMAYOR
LILI E17,ADULTOJOVEN
VALLE GRANDE E21,ADULTO
URB. CIUDAD JARDIN E22,ADULTOMAYOR
LA LUISA E19,ADULTO
LA MERCED E3,ADULTOJOVEN
SAN LUIS II E6,ADULTO
SAN LUIS II E6,ADULTO
FENALCO KENNEDY E12,ADULTOJOVEN
PAMPA LINDA E19,ADULTOJOVEN
SANTA ROSA E3,ADULTOJOVEN
EL TRONCAL E8,ADULTOJOVEN
CGTO VILLAGORGONA,ADULTO
SAN JUANITO,ADULTO
COLOMBIA,ADULTO
RECREO,ADULTOJOVEN
COLOMBIA,ADULTO
ARTURO BUENO,ADULTO
BARRIO NUEVO,ADULTOJOVEN
ALCALA,ADULTOJOVEN
LAS VEGAS,ADULTOJOVEN
PIEDRAS BLANCAS,ADULTO
CHAPARRAL,ADULTO
CENTRO,OTRA
VDA. LA BERMEJALA,ADULTOJOVEN
PARQUE NORTE C-4,ADULTO
CRISTO REY C-15,ADULTO
ESTACION VILLA C-10,ADULTOJOVEN
SAN ISIDRO  C-4,ADULTOJOVEN
LA CANDELARIA C-10,OTRA
SURAMERICANA C-11,ANCIANO
SEVILLA  C-4,ADULTOJOVEN
GRANIZAL C-1,ADULTO
SANTA FE C-15,ADULTOMAYOR
LA CANDELARIA C-10,ADULTOJOVEN
CALAZANS C-12,ADULTOJOVEN
LAURELES C-11,ADULTOJOVEN
JARDIN BOTANICO  C-4,ADULTOJOVEN
GUAYABAL C-15,ADULTO
BARRIO COLON C-10,ADULTO
GUAYABAL C-15,ADULTOJOVEN
SAN BENITO C-10,ADULTOMAYOR
LOS ALPES C-16,ADULTOJOVEN
GRANIZAL C-1,ADULTOMAYOR
EL POBLADO C-14,ADULTOJOVEN
SAN JOAQUIN C-11,ADULTO
MANILA C-14,ADULTO
PRADO C-10,ADULTOJOVEN
CARIBE C-5,ADULTOJOVEN
SAN JAVIER 1 C-13,ADULTOJOVEN
SAN ANTONIO,ANCIANO
URBANIZACION VILLA LUZ,ADOLESCENTE
SANTA ANA,ADOLESCENTE
EVARISTO SURDIZ,OTRA
BOSTON,ANCIANO
CENTRO,ADULTO
REBOLO,OTRA
REBOLO,OTRA
BOSTON,ADOLESCENTE
CENTRO,ADULTO
LA PROVIDENCIA,ADULTOJOVEN
ALMIRANTE COLON,ADULTOMAYOR
BARRIO CENTRO,ADULTOJOVEN
VDA. PENHAS BLANCAS,ADULTO
DIVINO NINHO,ADULTO
BARRIO CANAPRO,ADULTO
NOGALES,ADULTOJOVEN
BARRIO LOS AGUSTINOS,ANCIANO
VIA TRONCAL DEL HACHA,ADULTO
EL CENTRO,ADULTOMAYOR
LOS ANGELES,ADOLESCENTE
SANTA TERESA,ANCIANO
LA XIMENA,ANCIANO
JOSE MARIA OBANDO,ADOLESCENTE
CAMILO TORRES,ADULTOMAYOR
LA ESPERANZA,ADULTOJOVEN
LA ESPERANZA,ADULTOJOVEN
BELEN,ADULTO
CENTRO,ADULTOJOVEN
1º DE MAYO,ADULTOMAYOR
NUEVO MILENIO,ADULTO
ANTIGUO COUNTRY E-2,ADULTO
GUACAMAYAS III E-4,ADULTO
QUINTA CAMACHO E-2,ADULTOJOVEN
CHAPINERO ALTO E-2,ADOLESCENTE
LA GAITANA E-11,ADULTO
RICAURTE E-14,ADULTO
SALAZAR GOMEZ E-16,ADULTOMAYOR
SANTA CECILIA E-9,ADULTOJOVEN
MODELIA E-9,ADULTO
ALTOS DEL POBLADO E-4,ADULTOJOVEN
CHAPINERO NORTE E-2,ADULTOJOVEN
URB. MARSELLA E-8,ADULTOJOVEN
EL ESPARTILLAL E-2,ADULTO
LOS CEDRITOS E-1,ADULTOMAYOR
LAS ORQUIDEAS E-1,ADULTOJOVEN
MARCELA E-10,ADULTOJOVEN
RICAURTE E-14,ADULTOJOVEN
MOLINOS DEL SUR E-18,ADULTOJOVEN
SAN MIGUEL BAJO E-4,ADULTO
LA PERLA ORIENTAL E-1,ADULTO
URB. LA COLINA CAMPESTRE I SECTOR E-11,ADULTOJOVEN
GALERIAS E-13,ADULTO
URB. LA ALQUERIA E-16,ADULTO
NAVARRA E-1,ADULTO
VILLA ELISA E-11,ADULTOJOVEN
FLORESTA SUR E-8,ADULTOJOVEN
12 DE OCTUBRE E-12,ADULTOJOVEN
VILLA AMALIA E-10,ADULTOJOVEN
EDUARDO SANTOS E-14,ADULTOMAYOR
EL VERGEL E-8,ADULTOJOVEN
LOS LAURELES E-7,ADULTOMAYOR
CANDELARIA III-IV E-19,ADULTOJOVEN
SAN ANTONIO,ADULTOJOVEN
SAN MATEO,ADULTO
JOSE D BOSCAN,ADULTO
ALAMOS NORTE,ADULTO
LA PAZ,ADULTO
BELLO HORIZONTE,ADULTO
URBANIZACION CONCEPCION NO. 1-2-3-4-5,ADULTO
PLAYA SALGUERO,ADULTO
RIVERA DEL RIO,ADULTO
HACARITAMA,ADULTO
JORDAN,ADULTOJOVEN
BRISAS DEL GUATIQUIA,ADULTOMAYOR
SANTA FE,OTRA
CENTRO,ADULTOJOVEN
SAN FELIPE,ADULTOMAYOR
BELLA VISTA,ADULTO
CENTRO,ADULTOMAYOR
SAN FELIPE,ADULTOJOVEN
SAN ANDRESITO,ADULTO
CENTRO,ADULTOJOVEN
BARRIO 28 DE FEBRERO,ADULTOJOVEN
BARRIO CENTRO,ADULTO
BARRIO LOS COMUNEROS,ADULTOJOVEN
BARRIO LA PLAYA,ADULTO
PROVITEC,ADULTOMAYOR
LA ESTACION,ADULTOJOVEN
CAMPESTRE D,ADULTOJOVEN
CENTRO (A) PEREIRA,ADULTOJOVEN
SECTOR PLAZA DE BOLIVAR,ANCIANO
SECTOR AV 30 AGO ENTRE CL 48 Y 54,ADULTOJOVEN
SANTA TERESITA,OTRA
MATECANHA,ADULTOJOVEN
SAN FERNANDO,ADULTOJOVEN
SECTOR PARQUE LA LIBERTAD,ADULTOJOVEN
TIERRADENTRO,ADULTO
20 DE AGOSTO,ADULTOJOVEN
TORCOROMA,ADULTOJOVEN
GALAN GOMEZ,ADULTOMAYOR
VDA. RIO DE ORO,ADULTO
GRANADA,ADULTOMAYOR
BOLIVAR,ADULTO
BOLIVAR,ADULTO
SAN ALONSO,ADULTO
CASCO ANTIGUO DE FLORIDABLANCA,ADULTOJOVEN
BUCARICA,ADULTOMAYOR
CASCO ANTIGUO DE FLORIDABLANCA,ADULTOMAYOR
LAGOS II,ADULTOJOVEN
LOS ROSALES,ADULTO
BELLAVISTA,ADULTO
LA CUMBRE,ADULTO
LA CUMBRE,ADOLESCENTE
EL CENTRO,OTRA
CENTRO,ADULTOJOVEN
CADIZ,ADULTOJOVEN
JARDIN SANTANDER,ADULTO
CENTRO,ADULTOMAYOR
INTERLAKEN,ADULTO
PACANDE,ADULTO
CENTRO,OTRA
LA INDEPENDENCIA E11,ADULTOJOVEN
CIUDAD CAPRI E17,ADULTO
RICARDO BALCAZAR E13,ADULTO
PRIMAVERA E11,ANCIANO
ALFONSO B. ARAGON E14,ADULTOJOVEN
SAN NICOLAS E3,ANCIANO
DEPARTAMENTAL E10,ADULTOJOVEN
EL DORADO E10,ADULTO
EL SENA E5,ADULTOJOVEN
SANTA ELENA E10,ANCIANO
TERRON COLORADO E1,ADULTO
OLIMPICO E10,ADULTOJOVEN
SAN VICENTE E2,ADULTOJOVEN
VERSALLES E2,ADULTO
LOS GUAYACANES E5,ADULTOJOVEN
LOS GUADUALES E6,ADULTOJOVEN
COLSEGUROS ANDES E10,ADULTOJOVEN
ANTONIO NARINHO E16,ADULTOJOVEN
EUCARISTICO E19,ADULTOMAYOR
MORICHAL DE COMFANDI E15,ADULTOJOVEN
CIUDADELA DEL RIO E21,ADULTOJOVEN
EUCARISTICO E19,ADULTOJOVEN
NAPOLES E18,ADULTOMAYOR
SAN FERNANDO VIEJO E19,ADULTO
PIZAMOS I E21,ADULTOJOVEN
SAN PEDRO E3,ADULTOMAYOR
MOJICA E15,ADULTOJOVEN
VEREDA CAMPO ALEGRE,ADULTOMAYOR
EL CARMELO,ADULTOMAYOR
CORREGIMIENTO LA DOLORES,OTRA
SAN PEDRO,ADULTOJOVEN
RECREO,ADOLESCENTE
MIRRINHAO,ADULTOJOVEN
CENTRO,ADULTOJOVEN
CGTO ACOPI E25,ADULTO
CIUDAD NIQUIA,ADULTOMAYOR
ZONA CENTRO,ADULTO
AUTOPISTA NORTE,ADULTOJOVEN
ALCALA,ADULTOJOVEN
LAS ORQUIDEAS,ADULTO
SANTA MARIA # 1,ADULTOJOVEN
ZONA INDUSTRIAL #1,ANCIANO
LA PILARICA C-7,ADULTOMAYOR
VILLA HERMOSA C-8,ADULTO
LAURELES C-11,ANCIANO
TRICENTENARIO C-5,ADULTOJOVEN
LA CANDELARIA C-10,ADULTO
SIMON BOLIVAR C-12,ADULTO
TRICENTENARIO C-5,ADULTO
LA CANDELARIA C-10,ADULTOJOVEN
LA CANDELARIA C-10,ADULTO
LA CANDELARIA C-10,ADOLESCENTE
GUAYAQUIL C-10,ADULTOMAYOR
BOLIVARIANA C-11,ADULTOMAYOR
BELEN C-16,ADULTOJOVEN
EL RODEO C-15,ADULTOJOVEN
ARANJUEZ  C-4,ADULTOJOVEN
BOSTON C-10,ADULTOJOVEN
CALLE NUEVA C-10,ADULTO
LA CANDELARIA C-10,ADULTO
NUEVA VILLA DE ABURRA C-16,ADULTO
LA CANDELARIA C-10,ANCIANO
LLANADITAS C-8,ADULTO
SAN PEDRO  C-4,ADULTOJOVEN
ASTORGA C-14,ADULTOJOVEN
PALERMO  C-4,ADULTOJOVEN
EL POBLADO C-14,ADULTOJOVEN
LA CANDELARIA C-10,ADULTOJOVEN
GUAYAQUIL C-10,ADULTO
EL VELODROMO C-11,ADULTOMAYOR
LA CANDELARIA C-10,ADULTOJOVEN
LAURELES C-11,ADULTO
LA CANDELARIA C-10,ADULTOJOVEN
VILLANUEVA C-10,ADULTOJOVEN
JESUS NAZARENO C-10,ADULTO
MANRIQUE 1  C-4,ADULTO
LA PEREIRA,ADULTO
PRADO,ADULTO
SAN SALVADOR,ADULTO
BELLA ARENA,ADULTO
LA SIERRA,ADULTOMAYOR
CENTRO,ADULTOMAYOR
VILLA ANGELITA,ADULTOMAYOR
VDA. LOS CAGUISES,ADULTOJOVEN
SOLANO,ADULTOJOVEN
SANTOS,ADULTOJOVEN
CERVANTES,ADULTOMAYOR
BARRIO SAN JOSE,ADULTOJOVEN
LA AMAZONIA,ADULTO
LA AMISTAD,ADULTOMAYOR
EL FICAL,ADULTO
ARRAYANES DEL OCCIDENTE,ADULTO
ALFONSO LOPEZ,ADULTOJOVEN
LA ESMERALDA,ADULTO
BOLIVAR,ADULTOJOVEN
CENTRO,ADULTOMAYOR
LA LADERA,NINHO
CENTRO,ADULTO
VEREDA,ADULTOJOVEN
CRISTO REY,ADULTOMAYOR
SILENCIO,ADULTOMAYOR
SAN FELIPE,ADULTO
PASTRANA BORRERO,ADULTOJOVEN
LA PRADERA,ADULTO
LA PRADERA,ADULTO
LA CASTELLANA,ADULTOJOVEN
SAMPER MENDOZA E-14,ADULTOJOVEN
TECHO  E-8,ADULTO
DIANA TURBAY E-18,ADULTOJOVEN
EL RECREO E-7,ADULTOJOVEN
CLASS E-8,ADULTOJOVEN
EL PARAISO E-7,ADULTO
GRAN COLOMBIANO E-8,ADULTO
LAS NIEVES E-3,ADULTOJOVEN
RINCON DE BOYACA E-11,ADOLESCENTE
MONTEVIDEO E-9,ADULTO
EL CENTENARIO E-18,ADULTOMAYOR
LA FAVORITA E-14,ADULTOMAYOR
RINCON DEL CHICO E-1,ADULTO
LA CAPUCHINA E-3,ADULTOJOVEN
PALESTINA E-7,ADULTO
SANTA LIBRADA E-5,ADULTO
SAN DIEGO E-3,ADULTOJOVEN
LAS AGUAS E-17,ADULTO
CHAPINERO NORTE E-2,ADULTOJOVEN
LAS FERIAS E-10,ADULTOJOVEN
LAGO GAITAN E-2,ADULTOJOVEN
CARVAJAL E-8,ADULTOMAYOR
VEINTE DE JULIO E-4,ADULTO
CHICO I E-2,ADULTOJOVEN
MEISSEN E-19,ADULTOJOVEN
TEUSAQUILLO E-13,ADULTO
LA CANDELARIA E-3,ADULTO
LOURDES E-2,ADULTOJOVEN
VICTORIA II SECTOR E-4,ADULTO
NUEVO TIMIZA E-8,ADOLESCENTE
CONJUNTO RESIDENCIAL MIRAFLORES E-11,ADOLESCENTE
URB. ACAPULCO E-19,ADULTOJOVEN
SANTA LIBRADA E-5,ADULTOJOVEN
NICOLAS DE FEDERMAN E-13,ADULTOJOVEN
SAN CRISTOBAL E-4,ADULTOMAYOR
SANTA ANA OCCIDENTAL E-1,ANCIANO
URB. LA GUACA E-16,ADULTOJOVEN
SANTA TERESITA E-13,ADULTOJOVEN
VILLEMAR E-9,ADULTOJOVEN
SANTA FE E-14,ADULTOJOVEN
EL GRECO E-13,ADOLESCENTE
URB. MADELENA I Y II SECTOR E-19,ANCIANO
MOLINOS DEL SUR E-18,ADULTO
URB. RIONEGRO E-12,ADULTO
CENTRO,ADULTOJOVEN
EFRAIN MEDINA,ADULTOJOVEN
ALMIRANTE PADILLA,ADULTO
ARRIBA,ADULTOJOVEN
BUENOS AIRES,ADULTOJOVEN
NAZARETH,ADULTOJOVEN
ENCENILLO,ADULTOJOVEN
LA ORQUIDEA,ADOLESCENTE
VILLA CECILIA,ADULTOMAYOR
VILLA CECILIA,ADULTOMAYOR
CENTRO,ADULTOJOVEN
PORVENIR,ADULTOMAYOR
VIA LOS CONTENEDORES,OTRA
VIA LOS CONTENEDORES,OTRA
SANTA INES,ADULTOJOVEN
MARIA EUGENIA,ANCIANO
JARDIN,ADULTOMAYOR
LOS FUNDADORES,ADULTOJOVEN
PESCAITO,ADULTOJOVEN
VILLA BELLA,ADULTO
CHIMILA 1-2,ADULTO
SAN FRANCISCO,ADULTOJOVEN
SAN FRANCISCO,ADULTOJOVEN
ZONA MERCADO,ADOLESCENTE
SAN FRANCISCO,ADULTO
CENTRO,ADULTO
DONHA LUZ,ADULTO
ACACIAS,ADULTOJOVEN
AY MI LLANURA,ADULTO
CANTARRANA I,ADULTOJOVEN
BOCHICA,ADULTOJOVEN
PARAISO,ADULTO
PUENES,ADOLESCENTE
PANORAMICO II,ADULTOJOVEN
AV. LAS AMERICAS,ADULTOJOVEN
PANADERIA,ADULTOJOVEN
SAN ANDRES,ADULTOJOVEN
SAN JUDAS,ADULTOJOVEN
BARRIO LOS PINOS,ADULTO
BARRIO AGUAS CALIENTES,ADOLESCENTE
BARRIO SANTA CRUZ,ADULTOMAYOR
ACACIAS,ADULTOJOVEN
LA ARBOLEDA,ADULTOJOVEN
LA ARBOLEDA,ADULTOJOVEN
LAS CAMELIAS,ADULTO
SANTA MONICA,ANCIANO
SANTA MONICA,ANCIANO
SANTA MONICA,ANCIANO
LA BADEA,ADULTO
LAS VEGAS,ADULTOJOVEN
LA PRADERA,ADULTO
SECTOR MERCASA,ADULTOJOVEN
CENTRO (A) PEREIRA,OTRA
CENTRO (A) PEREIRA,OTRA
CENTRO (A) PEREIRA,OTRA
CENTRO (A) PEREIRA,OTRA
CUBA V-8,ADULTOJOVEN
SECTOR AV 30 AGO ENTRE CL 37 Y 41,ADULTO
CENTRO (A) PEREIRA,ADULTOMAYOR
SECTOR PARQUE LA LIBERTAD,OTRA
SECTOR PARQUE LA LIBERTAD,OTRA
SECTOR PARQUE LA LIBERTAD,OTRA
SECTOR PARQUE LA LIBERTAD,OTRA
CENTRO (A) PEREIRA,OTRA
PLANADA DEL CERRO,ADULTOMAYOR
SAN ALONSO,OTRA
COLORADOS,ADULTO
INV. VILLAS DEL GIRARDOT,ADULTOJOVEN
CENTRO,ADULTOMAYOR
LAGOS DEL CACIQUE,ADULTOMAYOR
MUTIS,ADULTO
ALTAMIRA,ADULTO
ANDALUCIA,ADULTO
RIVERA DEL RIO,ADULTO
SAN CARLOS,ADULTO
VDA. GUATIGUARA,ADULTOJOVEN
SANTUARIO,ADULTOJOVEN
VIVEROS,ADULTO
CENTENARIO,ADULTO
CENTENARIO,ADULTO
GALARZA,ADULTO
SANTOFIMIO,ADULTOMAYOR
GALAN,ADOLESCENTE
EL TRIUNFO,ADULTOJOVEN
SAN PEDRO CLAVER E11,ADULTO
LOS CAMBULOS E19,ADULTO
SANTA ANITA E17,ADULTO
JUNIN E9,ADULTO
EL POBLADO I E13,ADULTO
BELLAVISTA E19,ADULTO
BELLAVISTA E19,ADULTO
EL LIDO E19,ADULTOJOVEN
TERRON COLORADO E1,ADULTO
LOS LIBERTADORES E3,ADOLESCENTE
VILLA DEL PRADO - EL GUABITO E5,ADULTOJOVEN
RODRIGO LARA BONILLA E13,ADULTOJOVEN
SAN JOAQUIN E17,ADULTOMAYOR
SANTA ELENA E10,ADULTO
SANTA ROSA E3,ADULTOJOVEN
SAN VICENTE E2,ADULTOJOVEN
SINDICAL E12,ADULTOJOVEN
LOS COMUNEROS I E15,ADULTOJOVEN
CAMINO REAL - J BORRERO E19,ADULTOMAYOR
COLSEGUROS ANDES E10,ADULTOJOVEN
SAN VICENTE E2,ADULTOMAYOR
BUENOS AIRES E18,ADULTOJOVEN
ALFEREZ REAL E18,ADOLESCENTE
FONAVIEMCALI E6,ADULTOJOVEN
CGTO SAN JOAQUIN (23-S-4-1),ADULTOMAYOR
URB. POBLADO CAMPESTRE (23-S-6-3),ADULTO
CGTO JUANCHITO,ADULTOJOVEN
REPUBLICA DE FRANCIA,ADULTO
LAS TINAJAS,ADULTO
EL CARMELO,ADULTOJOVEN
MATEO,ADULTO
LAS PLAYAS,ADULTO
ALTAVISTA,ADULTO
PILSEN,ADULTOJOVEN
SAN FERNANDO,ADULTOMAYOR
SANTA MARIA # 1,ADULTOJOVEN
BARILOCHE,ADULTO
BARILOCHE,ADULTO
BARILOCHE,ADULTO
ESTACION VILLA C-10,ADULTO
SAN BENITO C-10,ADULTOMAYOR
POPULAR 1 C-1,ADULTOJOVEN
BARRIO COLON C-10,ADULTOJOVEN
SEVILLA  C-4,ADULTO
VILLANUEVA C-10,ADULTO
LA CANDELARIA C-10,ADULTOJOVEN
LA CANDELARIA C-10,ADULTOJOVEN
LA CANDELARIA C-10,ADULTOMAYOR
CENTRO  S.A.P.,ADULTOJOVEN
LA CANDELARIA C-10,ANCIANO
LA CANDELARIA C-10,ADULTO
ENCISO C-8,ADULTOMAYOR
CAMPO VALDES 2 C-3,ADULTOJOVEN
SIMON BOLIVAR C-12,ADULTOMAYOR
LA CANDELARIA C-10,ADULTO
BARRIO COLOMBIA C-14,ADULTOJOVEN
EL RAIZAL  C-3,ADULTO
MORAVIA  C-4,ADULTOMAYOR
LA CANDELARIA C-10,ADULTOJOVEN
EL CHAGUALO C-10,ADULTO
SANTO DOMINGO  1 C-1,ADULTOJOVEN
EL POBLADO C-14,ADULTOMAYOR
EL POBLADO C-14,ADULTOJOVEN
EL POBLADO C-14,ADULTOJOVEN
EL POBLADO C-14,ADULTOJOVEN
SAN JOAQUIN C-11,ADULTOMAYOR
PARQUE NORTE C-4,ADULTOJOVEN
ESTACION VILLA C-10,ADULTOJOVEN
LA CANDELARIA C-10,ADULTOJOVEN
SAN JOAQUIN C-11,ADULTO
TENCHE C-15,ADULTO
MIRANDA  C-4,ADULTOMAYOR
LA CANDELARIA C-10,ADULTOJOVEN
LAURELES C-11,ADULTO
LA CANDELARIA C-10,ADULTOJOVEN
LA CANDELARIA C-10,ADULTOJOVEN
EL DIAMANTE C-7,ADULTOJOVEN
ESTACION VILLA C-10,ADOLESCENTE
CONQUISTADORES C-11,ADULTO
BELEN C-16,ADULTOJOVEN
BARRIO COLOMBIA C-14,ADULTOJOVEN
LA CANDELARIA C-10,ADULTO
ASTORGA C-14,ADULTOJOVEN
LA CANDELARIA C-10,ANCIANO
CUATRO ESQUINAS,ADULTO
LA ALACENA,ADULTO
LA ALACENA,ADULTO
SANTA MONICA,ADULTOJOVEN
LUCERO,ADULTO
SANTA ANA,ADULTO
LA CONCEPCION,ADULTOJOVEN
COLOMBIA,ADULTOJOVEN
LA CONCEPCION,OTRA
EL BOSQUE,ADULTOJOVEN
EL KENNEDY,ADULTOJOVEN
LAS TORRES,ADULTOJOVEN
LA CONCEPCION,ADULTOJOVEN
SANTA ANA,ADOLESCENTE
SIAPE,ADULTOJOVEN
LA CONCEPCION,ADULTOJOVEN
MODELO,ADULTOMAYOR
LA CONCEPCION,ADULTOJOVEN
VILLA CAMPESTRE,ADULTO
SOLEDAD 2000,ADULTOJOVEN
VILLA LAS MORAS,ADOLESCENTE
LAS PALMERAS,ADULTO
VDA. CENTRO,ADULTOMAYOR
VDA. PLAN DE LA ESCUELA,ADULTOJOVEN
BARRIO SAN IGNACIO,ADULTO
METROPOLIS,ADULTO
METROPOLIS,ADULTO
BAJO PRADO,ADOLESCENTE
CENTRO,ANCIANO
ABBAS TURBAY,ADULTOJOVEN
LOS ANGELES,ADULTO
CIUDADELA HABITACIONAL SIGLO XXI,ADULTO
PAOMARE,ADULTOJOVEN
EL CENTRO,ADULTOMAYOR
ESPERANZA,ADULTOMAYOR
PROVIVIENDA,ADULTOJOVEN
JUAN PABLO SEGUNDO,ADULTO
VILLA DOCENTE,ADULTOJOVEN
CHAPINERO,ADULTO
LAS AMERICAS,ADULTOJOVEN
VDA BOCAS DEL PALO,ADULTOMAYOR
OBAPO,ADULTOMAYOR
YESCA GRANDE,ADULTO
CHUCHURUBI,ADULTO
EDMUNDO LÒPEZ,ADULTO
EDMUNDO LÒPEZ,ADULTOJOVEN
COLON,ADULTO
LA JULIA,ADULTO
SAN JOSE SUR E-18,ADULTO
VILLA DE LOS ALPES E-4,ADULTOJOVEN
LA URIBE E-1,ADULTOJOVEN
LA ESTANCIA E-7,ADULTO
SANTA LIBRADA E-5,ADULTO
EL PINAR E-11,ADULTOMAYOR
EL PINO E-11,ADULTOJOVEN
VILLA DEL RINCON E-11,ADULTOJOVEN
ALQUERIA LA FRAGUA E-8,ADULTOJOVEN
VERACRUZ E-3,ADULTOJOVEN
TINTALITO E-8,ADULTO
CENTENARIO E-9,ADULTO
SAN BENITO E-6,ADULTO
SAN FELIPE E-12,ADULTO
CIUDAD SALITRE II E-13,ADULTO
MARLY E-2,ADULTO
BELLA ESTANCIA E-19,ADULTO
BOSQUE POPULAR E-10,ADULTOJOVEN
EL RECREO E-7,ADULTOJOVEN
ARBOLEDA E-7,ADULTOJOVEN
CARVAJAL E-8,ADULTOJOVEN
EL RETIRO E-2,ADULTO
CHAPINERO CENTRAL E-2,ADULTOJOVEN
VILLA NOHORA E-7,ADULTO
URB. SAN PATRICIO E-1,ADULTOJOVEN
QUINTA CAMACHO E-2,ADULTOJOVEN
OLAYA E-18,ADULTOMAYOR
CASA DE TEJA E-19,ADULTO
MARTIRES E-14,ADULTO
SANTA LUCIA E-18,ADULTOJOVEN
ALCALA  E-11,ADULTOJOVEN
EL AMPARO E-8,ADULTOJOVEN
ANTIGUO COUNTRY E-2,ADULTOJOVEN
URB. INDUSTRIAL PENSILVANIA E-16,ADULTO
LAS AMERICAS E-8,ADULTOJOVEN
SAN FRANCISCO,ADULTOJOVEN
VILLA ALEXANDER,ADULTOJOVEN
LA FLORESTA,ADULTOJOVEN
LOS NOGALES,ADULTOJOVEN
EL ACUEDUCTO,ADULTOMAYOR
ALAMOS NORTE,ADULTOMAYOR
CENTRO,OTRA
CENTRO,OTRA
CENTRO,OTRA
CENTRO,OTRA
CENTRO,OTRA
MANZANARES,ADULTOMAYOR
TAGANGA,ADULTO
VILLA MARBELLA,ADULTOJOVEN
PESCAITO,ADULTOMAYOR
LUIS CARLOS GALAN,ADULTO
CUNDI,ADULTOJOVEN
PROGRESO,ADULTO
LA ESPERANZA VI ETAPA,ADULTO
CENTRO,ADULTOJOVEN
JORDAN,ADULTO
SAN JORGE,ADOLESCENTE
EL BUQUE,ADULTOJOVEN
EL EMPORIO,ADULTOJOVEN
BOLIVAR,ADULTO
GOLGOTA,ADULTOJOVEN
CENTRO,ADULTO
CENTRO,ADULTOMAYOR
VEREDA LA CALDERA,ADULTOJOVEN
OBRERO,ADULTO
CENTRO,ADULTOMAYOR
JERUSALEN,ADULTO
SAN FERNANDO,ADULTO
PARQUE BOLIVAR,ADULTO
MIRAFLORES I,ADULTO
CONJUNTO CERRADO EL TESORO,ADULTOJOVEN
BARRIO BELEN,ADULTOJOVEN
BARRIO LA PLAZUELA,ADULTOJOVEN
VDA. LAS TOLDAS,ADULTO
BOYACA,ANCIANO
PALMA DE CERA,ADULTO
VDA. LA CIMA,ADULTO
SECTOR PARQUE LA LIBERTAD,ADULTO
SECTOR PARQUE EL LAGO,ADULTOJOVEN
VDA. MORELIA,ADULTOJOVEN
SECTOR PLAZA DE BOLIVAR,ADULTOJOVEN
COLOMBIA,ADULTO
RAFAEL RANGEL,ADULTO
PUEBLO NUEVO,ADULTOMAYOR
CENTRO,ADULTO
GIRARDOT,ADULTOMAYOR
LA CONCORDIA,ADULTO
LA CONCORDIA,ADULTO
CABECERA DEL LLANO,ADULTOJOVEN
CABECERA DEL LLANO,ADULTOJOVEN
CABECERA DEL LLANO,ANCIANO
EL PRADO,ADULTOJOVEN
PANORAMA,ADULTOMAYOR
