MUNICIPIO,SEXO
LURUACO,MASCULINO
SOLEDAD,MASCULINO
TURBACO,FEMENINO
CHIQUINQUIRA,MASCULINO
CHIQUINQUIRA,MASCULINO
CHIQUINQUIRA,MASCULINO
MANIZALES (CT),FEMENINO
MANIZALES (CT),FEMENINO
MANIZALES (CT),FEMENINO
MANIZALES (CT),FEMENINO
VILLAMARIA,MASCULINO
FLORENCIA (CT),MASCULINO
FLORENCIA (CT),MASCULINO
SAN VICENTE DEL CAGUAN,FEMENINO
TAURAMENA,FEMENINO
YOPAL (CT),MASCULINO
PUERTO TEJADA,FEMENINO
VALLEDUPAR (CT),FEMENINO
VALLEDUPAR (CT),FEMENINO
VALLEDUPAR (CT),FEMENINO
QUIBDO (CT),FEMENINO
MONTERIA (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
MAICAO,FEMENINO
MAICAO,FEMENINO
VILLANUEVA,FEMENINO
SAN JOSE DEL GUAVIARE (CT),FEMENINO
GARZON,FEMENINO
NEIVA (CT),FEMENINO
NEIVA (CT),FEMENINO
NEIVA (CT),MASCULINO
SANTA MARTA (CT),FEMENINO
SANTA MARTA (CT),MASCULINO
SANTA MARTA (CT),MASCULINO
SANTA MARTA (CT),MASCULINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),MASCULINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),MASCULINO
VILLAVICENCIO (CT),FEMENINO
IPIALES,MASCULINO
PASTO (CT),FEMENINO
PASTO (CT),MASCULINO
PASTO (CT),FEMENINO
PASTO (CT),FEMENINO
PASTO (CT),MASCULINO
PASTO (CT),MASCULINO
PASTO (CT),FEMENINO
PASTO (CT),FEMENINO
PASTO (CT),FEMENINO
PASTO (CT),MASCULINO
PASTO (CT),FEMENINO
PASTO (CT),FEMENINO
PASTO (CT),MASCULINO
PASTO (CT),FEMENINO
PASTO (CT),MASCULINO
PASTO (CT),MASCULINO
PASTO (CT),FEMENINO
CUCUTA (CT),MASCULINO
CUCUTA (CT),FEMENINO
ARMENIA (CT),MASCULINO
ARMENIA (CT),FEMENINO
ARMENIA (CT),MASCULINO
ARMENIA (CT),MASCULINO
QUIMBAYA,FEMENINO
QUIMBAYA,FEMENINO
BELEN DE UMBRIA,FEMENINO
BELEN DE UMBRIA,FEMENINO
BELEN DE UMBRIA,FEMENINO
DOSQUEBRADAS,FEMENINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),MASCULINO
PEREIRA (CT),MASCULINO
PEREIRA (CT),FEMENINO
BARRANCABERMEJA,MASCULINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),MASCULINO
FLORIDABLANCA,FEMENINO
FLORIDABLANCA,MASCULINO
