MUNICIPIO,SEXO
NEIVA (CT),MASCULINO
NEIVA (CT),MASCULINO
NEIVA (CT),MASCULINO
NEIVA (CT),FEMENINO
PITALITO,MASCULINO
PITALITO,MASCULINO
PITALITO,FEMENINO
PITALITO,MASCULINO
ARIGUANI,MASCULINO
FUNDACION,FEMENINO
SANTA MARTA (CT),FEMENINO
SANTA MARTA (CT),FEMENINO
SANTA MARTA (CT),FEMENINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),MASCULINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),FEMENINO
IPIALES,FEMENINO
PASTO (CT),FEMENINO
PASTO (CT),FEMENINO
PASTO (CT),FEMENINO
PASTO (CT),MASCULINO
PASTO (CT),FEMENINO
PASTO (CT),MASCULINO
PASTO (CT),FEMENINO
PUPIALES,MASCULINO
CUCUTA (CT),MASCULINO
CUCUTA (CT),MASCULINO
CUCUTA (CT),FEMENINO
CUCUTA (CT),FEMENINO
MOCOA (CT),MASCULINO
MOCOA (CT),MASCULINO
ARMENIA (CT),MASCULINO
ARMENIA (CT),MASCULINO
ARMENIA (CT),MASCULINO
ARMENIA (CT),FEMENINO
DOSQUEBRADAS,FEMENINO
MARSELLA,MASCULINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),MASCULINO
PEREIRA (CT),MASCULINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),FEMENINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),FEMENINO
FLORIDABLANCA,FEMENINO
FLORIDABLANCA,FEMENINO
FLORIDABLANCA,MASCULINO
GIRON,MASCULINO
GIRON,MASCULINO
GIRON,MASCULINO
PIEDECUESTA,FEMENINO
PIEDECUESTA,MASCULINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),FEMENINO
IBAGUE (CT),FEMENINO
IBAGUE (CT),FEMENINO
IBAGUE (CT),FEMENINO
LIBANO,FEMENINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
JAMUNDI,MASCULINO
PALMIRA,MASCULINO
PALMIRA,MASCULINO
PALMIRA,FEMENINO
PALMIRA,FEMENINO
SEVILLA,MASCULINO
TULUA,MASCULINO
YUMBO,MASCULINO
YUMBO,MASCULINO
LETICIA (CT),FEMENINO
ANORI,MASCULINO
BELLO,FEMENINO
CAUCASIA,FEMENINO
ENTRERRIOS,MASCULINO
ENVIGADO,MASCULINO
ENVIGADO,FEMENINO
ENVIGADO,MASCULINO
ENVIGADO,MASCULINO
ENVIGADO,MASCULINO
ENVIGADO,MASCULINO
ENVIGADO,MASCULINO
ITAGUI,FEMENINO
LA ESTRELLA,FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
RETIRO,MASCULINO
RIONEGRO,MASCULINO
RIONEGRO,MASCULINO
SABANETA,FEMENINO
SABANETA,FEMENINO
SANTAFE DE ANTIOQUIA,FEMENINO
SANTAFE DE ANTIOQUIA,FEMENINO
SANTAFE DE ANTIOQUIA,MASCULINO
ARAUCA (CT),FEMENINO
BARRANQUILLA (CT),MASCULINO
BARRANQUILLA (CT),MASCULINO
BARRANQUILLA (CT),FEMENINO
BARRANQUILLA (CT),MASCULINO
MALAMBO,MASCULINO
MALAMBO,MASCULINO
PIOJO,MASCULINO
CARTAGENA (CT),MASCULINO
HATILLO DE LOBA,FEMENINO
HATILLO DE LOBA,FEMENINO
SAN PABLO,MASCULINO
SAN PABLO,MASCULINO
SAN PABLO,MASCULINO
DUITAMA,FEMENINO
PAIPA,MASCULINO
SOGAMOSO,MASCULINO
SOGAMOSO,FEMENINO
TUNJA (CT),FEMENINO
VILLA DE LEYVA,FEMENINO
CHINCHINA,MASCULINO
CHINCHINA,FEMENINO
MANIZALES (CT),FEMENINO
MANIZALES (CT),MASCULINO
MANIZALES (CT),MASCULINO
PALESTINA,FEMENINO
FLORENCIA (CT),FEMENINO
FLORENCIA (CT),FEMENINO
FLORENCIA (CT),FEMENINO
VILLANUEVA,MASCULINO
POPAYAN (CT),FEMENINO
POPAYAN (CT),MASCULINO
AGUACHICA,-
AGUACHICA,-
QUIBDO (CT),MASCULINO
QUIBDO (CT),MASCULINO
QUIBDO (CT),MASCULINO
MONTERIA (CT),FEMENINO
MONTERIA (CT),MASCULINO
PURISIMA,FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
MAICAO,MASCULINO
RIOHACHA (CT),-
RIOHACHA (CT),-
ALTAMIRA,FEMENINO
NEIVA (CT),MASCULINO
NEIVA (CT),MASCULINO
NEIVA (CT),MASCULINO
SANTA MARTA (CT),FEMENINO
SANTA MARTA (CT),FEMENINO
SANTA MARTA (CT),MASCULINO
SANTA MARTA (CT),FEMENINO
SANTA MARTA (CT),FEMENINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),MASCULINO
VILLAVICENCIO (CT),MASCULINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),MASCULINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),FEMENINO
IPIALES,FEMENINO
IPIALES,FEMENINO
PASTO (CT),FEMENINO
PASTO (CT),MASCULINO
CUCUTA (CT),FEMENINO
CUCUTA (CT),FEMENINO
OCANHA,FEMENINO
MOCOA (CT),MASCULINO
ARMENIA (CT),MASCULINO
ARMENIA (CT),MASCULINO
ARMENIA (CT),FEMENINO
ARMENIA (CT),MASCULINO
MONTENEGRO,MASCULINO
SALENTO,FEMENINO
DOSQUEBRADAS,MASCULINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),MASCULINO
PEREIRA (CT),MASCULINO
PEREIRA (CT),MASCULINO
SAN ANDRES (CT),FEMENINO
BARRANCABERMEJA,FEMENINO
BARRANCABERMEJA,MASCULINO
BARRANCABERMEJA,MASCULINO
BARRANCABERMEJA,FEMENINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),MASCULINO
IBAGUE (CT),FEMENINO
BUCARAMANGA (CT),MASCULINO
FLORIDABLANCA,FEMENINO
FLORIDABLANCA,FEMENINO
FLORIDABLANCA,MASCULINO
GIRON,FEMENINO
GIRON,FEMENINO
GIRON,MASCULINO
GIRON,MASCULINO
PIEDECUESTA,FEMENINO
COROZAL,FEMENINO
SINCELEJO (CT),FEMENINO
SINCELEJO (CT),FEMENINO
SUCRE,FEMENINO
CHAPARRAL,MASCULINO
ESPINAL,MASCULINO
FLANDES,FEMENINO
GUAMO,FEMENINO
GUAMO,MASCULINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),FEMENINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),FEMENINO
IBAGUE (CT),MASCULINO
MARIQUITA,MASCULINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
PALMIRA,FEMENINO
PALMIRA,FEMENINO
PALMIRA,MASCULINO
YUMBO,MASCULINO
BELLO,MASCULINO
BELLO,FEMENINO
BELLO,MASCULINO
COPACABANA,MASCULINO
COPACABANA,MASCULINO
EL CARMEN DE VIBORAL,MASCULINO
EL SANTUARIO,MASCULINO
ENVIGADO,FEMENINO
ENVIGADO,FEMENINO
ITAGUI,MASCULINO
ITAGUI,MASCULINO
ITAGUI,FEMENINO
LA CEJA,MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
PENHOL,MASCULINO
YARUMAL,FEMENINO
BARRANQUILLA (CT),MASCULINO
BARRANQUILLA (CT),MASCULINO
BARRANQUILLA (CT),MASCULINO
BARRANQUILLA (CT),MASCULINO
GALAPA,MASCULINO
CARTAGENA (CT),MASCULINO
DUITAMA,MASCULINO
VENTAQUEMADA,MASCULINO
MANIZALES (CT),MASCULINO
MANIZALES (CT),MASCULINO
MANIZALES (CT),MASCULINO
MANIZALES (CT),MASCULINO
PALESTINA,FEMENINO
FLORENCIA (CT),MASCULINO
YOPAL (CT),MASCULINO
YOPAL (CT),MASCULINO
GUACHENE,MASCULINO
POPAYAN (CT),FEMENINO
POPAYAN (CT),MASCULINO
POPAYAN (CT),FEMENINO
POPAYAN (CT),FEMENINO
POPAYAN (CT),FEMENINO
SANTANDER DE QUILICHAO,MASCULINO
BOSCONIA,-
BOSCONIA,-
VALLEDUPAR (CT),MASCULINO
VALLEDUPAR (CT),MASCULINO
VALLEDUPAR (CT),MASCULINO
VALLEDUPAR (CT),FEMENINO
MONTERIA (CT),FEMENINO
MONTERIA (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
FACATATIVA,MASCULINO
FONSECA,MASCULINO
MAICAO,MASCULINO
MAICAO,FEMENINO
MAICAO,MASCULINO
MANAURE,MASCULINO
CALI (CT),FEMENINO
RIOHACHA (CT),MASCULINO
RIOHACHA (CT),FEMENINO
RIOHACHA (CT),MASCULINO
LA PLATA,FEMENINO
NEIVA (CT),MASCULINO
NEIVA (CT),FEMENINO
NEIVA (CT),FEMENINO
NEIVA (CT),FEMENINO
NEIVA (CT),MASCULINO
CIENAGA,MASCULINO
SANTA MARTA (CT),FEMENINO
SANTA MARTA (CT),MASCULINO
ZONA BANANERA,MASCULINO
FUENTE DE ORO,FEMENINO
VILLAVICENCIO (CT),MASCULINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),MASCULINO
IPIALES,MASCULINO
IPIALES,MASCULINO
PASTO (CT),FEMENINO
PASTO (CT),FEMENINO
PASTO (CT),FEMENINO
SAN ANDRES DE TUMACO,FEMENINO
SAN ANDRES DE TUMACO,MASCULINO
CUCUTA (CT),FEMENINO
CUCUTA (CT),-
CUCUTA (CT),FEMENINO
OCANHA,FEMENINO
ARMENIA (CT),FEMENINO
ARMENIA (CT),-
ARMENIA (CT),MASCULINO
CALARCA,FEMENINO
DOSQUEBRADAS,FEMENINO
PEREIRA (CT),FEMENINO
SAN ANDRES (CT),FEMENINO
SAN ANDRES (CT),FEMENINO
SAN ANDRES (CT),FEMENINO
BARBOSA,MASCULINO
BARBOSA,MASCULINO
BARRANCABERMEJA,FEMENINO
BARRANCABERMEJA,FEMENINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),MASCULINO
FLORIDABLANCA,FEMENINO
FLORIDABLANCA,FEMENINO
PIEDECUESTA,FEMENINO
PIEDECUESTA,MASCULINO
COROZAL,MASCULINO
SAN ONOFRE,MASCULINO
SINCELEJO (CT),MASCULINO
ESPINAL,MASCULINO
IBAGUE (CT),FEMENINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),MASCULINO
MARIQUITA,FEMENINO
MARIQUITA,FEMENINO
MARIQUITA,FEMENINO
BUENAVENTURA,MASCULINO
BUENAVENTURA,FEMENINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),-
CALI (CT),-
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
JAMUNDI,MASCULINO
JAMUNDI,MASCULINO
PALMIRA,MASCULINO
PALMIRA,MASCULINO
PRADERA,MASCULINO
PUERTO CARRENHO (CT),FEMENINO
DON MATIAS,MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),-
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
RIONEGRO,MASCULINO
RIONEGRO,FEMENINO
RIONEGRO,FEMENINO
YONDO,MASCULINO
YONDO,MASCULINO
ARAUCA (CT),FEMENINO
TAME,FEMENINO
BARRANQUILLA (CT),MASCULINO
BARRANQUILLA (CT),-
PUERTO COLOMBIA,MASCULINO
ARJONA,-
CARTAGENA (CT),MASCULINO
DUITAMA,FEMENINO
DUITAMA,MASCULINO
SOGAMOSO,FEMENINO
MANIZALES (CT),FEMENINO
FLORENCIA (CT),FEMENINO
FLORENCIA (CT),FEMENINO
FLORENCIA (CT),FEMENINO
FLORENCIA (CT),FEMENINO
FLORENCIA (CT),FEMENINO
FLORENCIA (CT),MASCULINO
YOPAL (CT),MASCULINO
GUACHENE,FEMENINO
POPAYAN (CT),MASCULINO
POPAYAN (CT),FEMENINO
BOSCONIA,MASCULINO
LA JAGUA DE IBIRICO,-
VALLEDUPAR (CT),MASCULINO
VALLEDUPAR (CT),MASCULINO
VALLEDUPAR (CT),-
MONTERIA (CT),FEMENINO
MONTERIA (CT),MASCULINO
MONTERIA (CT),MASCULINO
MONTERIA (CT),-
MONTERIA (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
TOCAIMA,MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
SOACHA,FEMENINO
SOACHA,FEMENINO
RIOHACHA (CT),-
LA PLATA,MASCULINO
LA PLATA,MASCULINO
NEIVA (CT),FEMENINO
NEIVA (CT),FEMENINO
NEIVA (CT),FEMENINO
NEIVA (CT),FEMENINO
NEIVA (CT),FEMENINO
PITALITO,FEMENINO
CIENAGA,MASCULINO
SANTA MARTA (CT),MASCULINO
SANTA MARTA (CT),FEMENINO
SANTA MARTA (CT),FEMENINO
ACACIAS,FEMENINO
GRANADA,MASCULINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),MASCULINO
VILLAVICENCIO (CT),FEMENINO
GUACHUCAL,FEMENINO
PASTO (CT),FEMENINO
PASTO (CT),MASCULINO
SAN ANDRES DE TUMACO,MASCULINO
CUCUTA (CT),FEMENINO
CUCUTA (CT),FEMENINO
CUCUTA (CT),MASCULINO
CUCUTA (CT),FEMENINO
OCANHA,FEMENINO
MOCOA (CT),FEMENINO
PEREIRA (CT),MASCULINO
PEREIRA (CT),MASCULINO
PEREIRA (CT),MASCULINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),MASCULINO
BARRANCABERMEJA,FEMENINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),FEMENINO
BUCARAMANGA (CT),MASCULINO
BUCARAMANGA (CT),FEMENINO
FLORIDABLANCA,FEMENINO
FLORIDABLANCA,MASCULINO
FLORIDABLANCA,MASCULINO
MALAGA,MASCULINO
PIEDECUESTA,MASCULINO
SINCELEJO (CT),MASCULINO
ESPINAL,FEMENINO
ESPINAL,MASCULINO
ESPINAL,MASCULINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),FEMENINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),FEMENINO
IBAGUE (CT),MASCULINO
IBAGUE (CT),MASCULINO
ROVIRA,MASCULINO
ANDALUCIA,MASCULINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),MASCULINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CALI (CT),FEMENINO
CANDELARIA,MASCULINO
CANDELARIA,MASCULINO
FLORIDA,FEMENINO
PALMIRA,FEMENINO
PALMIRA,FEMENINO
YUMBO,MASCULINO
BARBOSA,MASCULINO
BELLO,MASCULINO
BELLO,MASCULINO
BELLO,MASCULINO
BELLO,MASCULINO
ENVIGADO,MASCULINO
GUARNE,MASCULINO
ITAGUI,FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),MASCULINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
MEDELLIN (CT),FEMENINO
BARRANQUILLA (CT),MASCULINO
BARRANQUILLA (CT),MASCULINO
BARRANQUILLA (CT),FEMENINO
BARRANQUILLA (CT),MASCULINO
MONTERIA (CT),FEMENINO
BARRANQUILLA (CT),FEMENINO
SOLEDAD,MASCULINO
SOLEDAD,MASCULINO
CARTAGENA (CT),FEMENINO
CARTAGENA (CT),MASCULINO
MOMPOS,MASCULINO
MOMPOS,FEMENINO
DUITAMA,FEMENINO
SOGAMOSO,FEMENINO
TUNJA (CT),FEMENINO
MANIZALES (CT),FEMENINO
MANIZALES (CT),MASCULINO
FLORENCIA (CT),FEMENINO
YOPAL (CT),FEMENINO
POPAYAN (CT),MASCULINO
POPAYAN (CT),FEMENINO
POPAYAN (CT),FEMENINO
POPAYAN (CT),FEMENINO
POPAYAN (CT),FEMENINO
POPAYAN (CT),MASCULINO
SANTANDER DE QUILICHAO,FEMENINO
SANTANDER DE QUILICHAO,MASCULINO
MONTERIA (CT),FEMENINO
MONTERIA (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),MASCULINO
BOGOTA D.C. (CT),FEMENINO
SOACHA,MASCULINO
MAICAO,MASCULINO
NEIVA (CT),FEMENINO
NEIVA (CT),FEMENINO
NEIVA (CT),MASCULINO
NEIVA (CT),MASCULINO
NEIVA (CT),MASCULINO
NEIVA (CT),FEMENINO
PALESTINA,MASCULINO
PITALITO,FEMENINO
SANTA MARTA (CT),FEMENINO
SANTA MARTA (CT),FEMENINO
SANTA MARTA (CT),MASCULINO
SANTA MARTA (CT),MASCULINO
ACACIAS,FEMENINO
ACACIAS,MASCULINO
ACACIAS,MASCULINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),FEMENINO
VILLAVICENCIO (CT),MASCULINO
VILLAVICENCIO (CT),MASCULINO
PASTO (CT),MASCULINO
PASTO (CT),MASCULINO
PASTO (CT),MASCULINO
PASTO (CT),MASCULINO
PASTO (CT),FEMENINO
PASTO (CT),MASCULINO
CUCUTA (CT),FEMENINO
CUCUTA (CT),MASCULINO
ARMENIA (CT),FEMENINO
ARMENIA (CT),MASCULINO
CALARCA,FEMENINO
DOSQUEBRADAS,FEMENINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),MASCULINO
PEREIRA (CT),MASCULINO
PEREIRA (CT),MASCULINO
PEREIRA (CT),MASCULINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),FEMENINO
PEREIRA (CT),FEMENINO
