BARRIO,MOVILVICTIMA
SANTA ISABEL,A PIE
PLANADA DEL CERRO,MOTOCICLETA
SANTA ISABEL,A PIE
NORTE BAJO,MOTOCICLETA
LAGOS DEL CACIQUE,A PIE
CENTRO,A PIE
ALVAREZ,A PIE
EL ROCIO,A PIE
CIUDADELA REAL DE MINAS,A PIE
LA UNIVERSIDAD,A PIE
VILLA LUZ,A PIE
LOS ROSALES,A PIE
MOLINOS BAJOS,A PIE
LOS ROBLES,A PIE
ALTOS DE VILLABEL I,A PIE
CASCO ANTIGUO DE FLORIDABLANCA,A PIE
LAGOS II,A PIE
PORTAL CAMPESTRE,A PIE
OLIMPICA CALLE EL CAUCA,A PIE
PINAR,MOTOCICLETA
BOTERO,A PIE
RESTREPO,A PIE
ATOLSURE,A PIE
MORAVIA  C-4,A PIE
LA POLA,A PIE
LOS CHORROS E18,A PIE
SAN PASCUAL E3,A PIE
LA CASCADA E19,A PIE
EL PONDAJE E13,A PIE
REPUBLICA ISRAEL E16,A PIE
U.R. EL COLISEO E19,A PIE
LOS ALCAZARES E6,A PIE
POPULAR E4,MOTOCICLETA
POPULAR E4,MOTOCICLETA
LOS ROBLES E13,A PIE
SANTA ROSA E3,A PIE
MOJICA E15,A PIE
LA RIVERA I E6,A PIE
ALFONSO B. ARAGON E14,A PIE
CHAPINERO E8,A PIE
DESEPAZ INVICALI E21,A PIE
SIETE DE AGOSTO E7,A PIE
SIETE DE AGOSTO E7,A PIE
LA FORTALEZA E11,MOTOCICLETA
OLAYA HERRERA E4,BICICLETA
LIBERTAD,A PIE
CENTRO,A PIE
LA MISERICORDIA,A PIE
LA ESPERANZA,A PIE
LA ESPERANZA,A PIE
CIUDADELA DEL NORTE,A PIE
NAVARRA,A PIE
LAS BATATAS,MOTOCICLETA
AUTOPISTA NORTE,A PIE
VILLAGRANDE,A PIE
CENTRO,A PIE
BOMBONA 1 C-10,A PIE
CENTRO ADMINISTRATIVO C-10,A PIE
LA ALPUJARRA C-10,A PIE
LA CANDELARIA C-10,A PIE
CUARTA BRIGADA C-11,MOTOCICLETA
LA CASTELLANA C-11,A PIE
CASTILLA C-5,A PIE
LA CANDELARIA C-10,TRANSPORTE PUBLICO
PERPETUO SOCORRO C-10,A PIE
VERSALLES 1 C-3,A PIE
LA CANDELARIA C-10,A PIE
CENTRO S.C.,VEHICULO
UINIVERSIDAD DE ANTIOQUIA  C-4,A PIE
LA CANDELARIA C-10,A PIE
SAN DIEGO C-10,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
CENTRO  S.A.P.,VEHICULO
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
SAN DIEGO C-10,VEHICULO
LA CANDELARIA C-10,A PIE
ESTACION VILLA C-10,A PIE
LAURELES C-11,VEHICULO
LAURELES C-11,VEHICULO
FATIMA C-16,A PIE
SANTA ANA,A PIE
AVENIDA GALAN HOYO,A PIE
AVENIDA GALAN HOYO,A PIE
VIRGEN DEL CARMEN,A PIE
VDA. LA DOCTORA,VEHICULO
SAN VICENTE,A PIE
LAS TORRES,A PIE
LA ARBOLEDA,A PIE
MANZANARES,A PIE
BARRIO SANTA RITA,A PIE
CENTRO,A PIE
CONCORDIA,MOTOCICLETA
BARRIO SAN JOSE,VEHICULO
CENTRO,A PIE
TORASSO,A PIE
LOS ANGELES,A PIE
LAS FERIAS,A PIE
CASIQUIARE,A PIE
CENTRO,A PIE
LA SAMARIA,A PIE
LOS MILAGROS,MOTOCICLETA
LAS FLORES,A PIE
VILLA LUZ,A PIE
ICHAGUA,A PIE
SANTA TERESA,A PIE
EL SUCRE,A PIE
EL PRADO,A PIE
PATIO BONITO I E-8,TRANSPORTE PUBLICO
TIMIZA CELULA A LOTE RA-2 E-8,A PIE
ATAHUALPA E-9,A PIE
JUAN REY E-4,A PIE
EDUARDO SANTOS E-14,A PIE
MINUTO DE DIOS E-10,A PIE
VILLA LUZ E-10,A PIE
VILLAS DEL MADRIGAL E-10,A PIE
MEISSEN E-19,TRANSPORTE PUBLICO
SUCRE E-3,A PIE
PARQUE DE MILENTA II ETAPA E-16,A PIE
SAN DIEGO E-3,A PIE
GRANADA NORTE E-11,A PIE
LA CALLEJA E-1,A PIE
PRINCIPE DE BOCHICA E-18,A PIE
MINUTO DE DIOS E-10,A PIE
LOS LAURELES E-7,A PIE
ALAMEDA E-3,A PIE
SANTA MATILDE I SECTOR E-16,A PIE
PATIO BONITO I E-8,A PIE
KASANDRA E-9,A PIE
MINUTO DE DIOS E-10,A PIE
CHAPINERO NORTE E-2,A PIE
SANTA ANA OCCIDENTAL E-1,A PIE
CHICO NORTE I E-2,A PIE
CIUDAD DE CALI E-8,A PIE
RICAURTE E-14,A PIE
COLINA LINDA E-11,A PIE
SUBA CENTRO E-11,A PIE
SANTA MATILDE I SECTOR E-16,A PIE
SAMPER MENDOZA E-14,TRANSPORTE PUBLICO
"CHICO I, II, III",A PIE
JORGE ELIECER GAITAN,A PIE
JORGE ELIECER GAITAN,A PIE
CANDIDO LEGUIZAMO,A PIE
LA VIRGINIA,A PIE
LA VIRGINIA,A PIE
CENTRO,A PIE
ALTOS DE BAHIA CONCHA,TRANSPORTE PUBLICO
VILLA MARBELLA,A PIE
LA ESPERANZA,A PIE
MONTOYA PAVA,A PIE
VILLA JULIA,A PIE
JORDAN,A PIE
CALAMAR,A PIE
LA ESPERANZA IV ETAPA,A PIE
CENTENARIO,A PIE
SEMINARIO,TRANSPORTE PUBLICO
CENTRO,A PIE
VILLA DE LOS RIOS,A PIE
VILLA DE LOS RIOS,A PIE
RIO BLANCO,A PIE
CHAMBU I,A PIE
SANTA MONICA,A PIE
EL PILAR,TRANSPORTE PUBLICO
SANTIAGO,TRANSPORTE PUBLICO
VILLA ROSARIO,A PIE
BARRIO CALLEJON,A PIE
BARRIO LA PLAYA,A PIE
BARRIO MOLINOS DEL NORTE,A PIE
SECTOR VILLA HISTORICA,A PIE
LA ESTACION,A PIE
CAFETERO,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
SANTA MONICA,A PIE
LA PRADERA,A PIE
LA BADEA,A PIE
SANTA ISABEL 1,A PIE
SECTOR PUENTES DE LA 9A CON 12,A PIE
CENTRO (B) PEREIRA,A PIE
SECTOR PARQUE LA LIBERTAD,A PIE
COROCITO,A PIE
SECTOR CENTRO,A PIE
FLOWER HILL,VEHICULO
SECTOR COMERCIAL,A PIE
PRIMERO DE MAYO,A PIE
PROVIVIENDA,A PIE
CENTRO,A PIE
CAFE MADRID,A PIE
MUTIS,A PIE
CENTRO,A PIE
LAGOS I,A PIE
PALERMO,A PIE
CENTRO,A PIE
LA BOMBA,TRANSPORTE PUBLICO
LA BOMBA,TRANSPORTE PUBLICO
CENTRO,TRANSPORTE PUBLICO
ZONA RURAL,TRANSPORTE PUBLICO
CGTO PUNTA DE BLANCO,A PIE
SECTOR PLAZA DE MERCADO ELPAPAYO,VEHICULO
SAN ROQUE,A PIE
CENTRO,A PIE
ESTACION,A PIE
RICAURTE PARTE ALTA,A PIE
JORDAN VII ETAPA,A PIE
COMBEIMA,A PIE
LAS FERIAS,A PIE
BELEN,TRANSPORTE PUBLICO
ARBOLEDA,A PIE
VRDA. AMBALA,MOTOCICLETA
VRDA. AMBALA,MOTOCICLETA
SANTA LUCIA,A PIE
CENTRO,A PIE
VIA CALI - BUENAVENTURA,A PIE
LA CAMELIA,A PIE
ARANJUEZ E9,A PIE
ARANJUEZ E9,A PIE
PAMPA LINDA E19,A PIE
LEON XIII E11,A PIE
SANTA MONICA POPULAR E8,A PIE
CALIMA E4,A PIE
MARCO FIDEL SUAREZ E4,A PIE
SAN PEDRO E3,MOTOCICLETA
LA LIBERTAD E10,A PIE
VALLE GRANDE E21,A PIE
SAN FERNANDO NUEVO E19,A PIE
SAN LUIS II E6,A PIE
CGTO GOLONDRINAS E1,A PIE
LA HACIENDA E17,TRANSPORTE PUBLICO
MENGA E2,A PIE
MARROQUIN I E14,A PIE
EL RETIRO E15,A PIE
UNICENTRO CALI E17,A PIE
PUERTO NUEVO E7,A PIE
PUERTO NUEVO E7,A PIE
SIMON BOLIVAR E8,MOTOCICLETA
REPUBLICA ISRAEL E16,MOTOCICLETA
MORICHAL DE COMFANDI E15,MOTOCICLETA
LLERAS RESTREPO E13,A PIE
EL ALBERGUE,VEHICULO
LA PRADERA I E24,A PIE
CENTRAL,MOTOCICLETA
BOSQUES DE MORELIA,A PIE
LLANO GRANDE,VEHICULO
PUERTAS DEL SOL,A PIE
VDA. ZARZAL CURAZAO,A PIE
SAN MATEO,A PIE
VDA. LA RAYA,A PIE
LA CANDELARIA C-10,A PIE
EDUARDO SANTOS C-13,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
LAS LOMAS 1 C-14,A PIE
LA AMERICA C-12,A PIE
LA AMERICA C-12,A PIE
LA CANDELARIA C-10,A PIE
ESTACION VILLA C-10,A PIE
EL POBLADO C-14,A PIE
PARQUE NORTE C-4,A PIE
BOSTON C-10,A PIE
LAURELES C-11,A PIE
LA PINHUELA  C-4,A PIE
PRADO C-10,A PIE
ESTACION VILLA C-10,A PIE
SAN DIEGO C-10,A PIE
CENTRO ADMINISTRATIVO C-10,A PIE
ZONA CENTRAL STA. E.,A PIE
LAS BRISAS C-5,A PIE
LA LADERA C-8,A PIE
JARDIN BOTANICO  C-4,A PIE
CARLOS E. RESTREPO C-11,A PIE
CALLE LARGA,A PIE
VIRGEN DEL CARMEN,A PIE
SANTA ANA,A PIE
BELLAVISTA,A PIE
CENTRO,TRANSPORTE PUBLICO
LOS OLIVOS I,A PIE
VILLA SANTOS,A PIE
BARRIO MALDONADO,A PIE
BARRIO XATIVILLA,A PIE
BARRIO LOS AGUSTINOS,A PIE
BOMBEROS,A PIE
ZONA CENTRO,A PIE
PORTAL DE NAZARETH,MOTOCICLETA
CHAPINERO,A PIE
RODRIGO TURBAY,A PIE
NUEVA COLOMBIA,A PIE
BRISAS DEL IGUARO,A PIE
BRISAS DEL IGUARO,A PIE
BRISAS DEL IGUARO,A PIE
CASIMENA,A PIE
CENTRO,A PIE
GALICIA,A PIE
EL MIRADOR,A PIE
SANTA HELENA,A PIE
NUEVA VIDA,A PIE
PARAGUAY,VEHICULO
PARAGUAY,VEHICULO
EL CARMEN,A PIE
LA ESPERANZA,A PIE
LA NEVADA,A PIE
EL CENTRO,A PIE
LOS LACHES E-3,TRANSPORTE PUBLICO
CONTADOR E-1,A PIE
RICAURTE E-14,A PIE
URB. EL REMANSO E-16,A PIE
EL CODITO E-1,A PIE
URB. INDUSTRIAL PENSILVANIA E-16,A PIE
VALPARAISO E-4,A PIE
EL PINAR E-11,A PIE
LOS CEDRITOS E-1,A PIE
SAN LUIS E-13,A PIE
LA LIBERTAD E-7,TRANSPORTE PUBLICO
LOS CEDRITOS E-1,A PIE
LA CASTELLANA E-12,TRANSPORTE PUBLICO
TEUSAQUILLO E-13,A PIE
BOSA CENTRO E-7,A PIE
CHICO NORTE II SECTOR E-1,A PIE
EL TUNAL II E-6,A PIE
MARLY E-2,A PIE
BOSA CENTRO E-7,A PIE
LA CANDELARIA E-17,A PIE
LA PALESTINA E-9,A PIE
BARRANCAS E-1,A PIE
SAN MARCOS E-10,A PIE
PRADO VERANIEGO E-11,TRANSPORTE PUBLICO
SAN MARTIN DE LOBA E-4,A PIE
LA PORCIUNCULA E-2,A PIE
PASADENA ROYAL E-11,A PIE
QUIROGA IHS ETAPA E-18,A PIE
URB. BELMIRA E-1,A PIE
LA GRANJA NORTE E-1,A PIE
BOSA CENTRO E-7,A PIE
CENTRO FONTIBON E-9,A PIE
PIO XII E-8,VEHICULO
URB. LA COLINA CAMPESTRE I SECTOR E-11,TRANSPORTE PUBLICO
EL TINTAL E-8,A PIE
LAS AMERICAS E-8,TRANSPORTE PUBLICO
URB. LA ALQUERIA E-16,A PIE
TURINGIA E-11,A PIE
SIERRA MORENA E-19,A PIE
PATIO BONITO I E-8,A PIE
LAS COLINAS E-18,A PIE
TEUSAQUILLO E-13,A PIE
RESTREPO E-15,A PIE
VILLA MAYOR E-15,A PIE
PATIO BONITO I E-8,A PIE
QUIRIGUA I E-10,A PIE
QUIROGA IHS ETAPA E-18,A PIE
TEUSAQUILLO E-13,A PIE
GRAN AMERICA E-13,A PIE
URB. LA CORUNHA E-19,A PIE
CHAPINERO CENTRAL E-2,A PIE
SAN VICENTE E-4,A PIE
MARIA PAZ E-8,A PIE
LA ESTACION E-7,A PIE
MAGDALENA,A PIE
CIUDAD MONTES,MOTOCICLETA
EL CARMEN,A PIE
MATADERO,A PIE
CENTRO,A PIE
ESTADIO URDANETA,MOTOCICLETA
LOS MARTIRES,A PIE
CENTRO,A PIE
SAN MARTIN DE PORRES,A PIE
MIRA RIO ETAPA III,A PIE
LOS LAGOS,A PIE
CUNDI,A PIE
EL CENTRO LBJA,A PIE
SAN MARTIN,A PIE
BETANIA,A PIE
OLIVO,A PIE
CENTRO HISTORICO,A PIE
COREA,A PIE
FLORENCIA,A PIE
VILLA BOLIVAR,VEHICULO
VILLA BOLIVAR,VEHICULO
SAN FELIPE,A PIE
CENTENARIO,A PIE
SENDOYA,A PIE
BARRIO CARLOS RAMIREZ PARIS,A PIE
BARRIO CARLOS PIZARRO,MOTOCICLETA
BARRIO LA CABRERA,A PIE
BARRIO JORGE ELIECER GAITAN,A PIE
EL SINAI,A PIE
SANTANDER,A PIE
ARENALES,A PIE
SIETE DE AGOSTO,A PIE
SANTAFE,A PIE
LA CABANHA,A PIE
BALCONES DE LA VILLA,A PIE
CENTRO (A) PEREIRA,VEHICULO
PLAZA CIVICA CIUDAD VICTORIA,A PIE
VILLA ELENA,MOTOCICLETA
CENTRO (A) PEREIRA,A PIE
CENTENARIO,A PIE
SAN JORGE,A PIE
SECTOR COLISEO SAN LUIS,A PIE
COLOMBIA,A PIE
GALAN GOMEZ,A PIE
BOLARQUI,VEHICULO
LA UNIVERSIDAD,A PIE
LA UNIVERSIDAD,TRANSPORTE PUBLICO
LA PALMA,MOTOCICLETA
URB. LOS NARANJOS,A PIE
ALTOS DEL CACIQUE,A PIE
MINUTO DE DIOS,A PIE
ALTAMIRA,A PIE
CENTRO,A PIE
LA CAMPINHA,A PIE
MALECOM,A PIE
URB. ALCALA,A PIE
BRISAS DE GUATIGUARA,MOTOCICLETA
CGTO. LA MEJIA,A PIE
LA BALSA,A PIE
LA BALSA,A PIE
PORVENIR,A PIE
LA CARRERA,MOTOCICLETA
VRDA. CANASTOS,A PIE
CENTRO,A PIE
VRDA. BETANIA,A PIE
EL CARMEN,A PIE
RICAURTE PARTE ALTA,A PIE
LOS PARRALES,A PIE
MACADAMIA,A PIE
PRADO I,A PIE
YULDAIMA,A PIE
PIEDRA PINTADA PARTE ALTA,A PIE
CENTRO,VEHICULO
MIROLINDO,A PIE
GALAN,A PIE
GALAN,A PIE
VRDA. VELU,A PIE
LA INMACULADA,A PIE
EL SENA E5,A PIE
JUNIN E9,A PIE
EL GRAN LIMONAR E17,A PIE
VALLE GRANDE E21,A PIE
SAN VICENTE E2,A PIE
LOS PORTALES - NUEVO REY E17,A PIE
SAN JUAN BOSCO E3,A PIE
CANHAVERALES - LOS SAMANES E17,A PIE
SAN PASCUAL E3,A PIE
SANTA ANITA E17,A PIE
ALFONSO LOPEZ II E7,A PIE
CAMINO REAL - J BORRERO E19,VEHICULO
LOS CAMBULOS E19,A PIE
URBANIZACION LA MERCED E2,MOTOCICLETA
UNICENTRO CALI E17,A PIE
PIZAMOS III - LAS DALIAS E21,VEHICULO
LA ESPERANZA E11,A PIE
SANTA ANITA E17,MOTOCICLETA
CGTO MONTEBELLO E1,A PIE
LOS CAMBULOS E19,VEHICULO
MUNICIPAL (23-1),A PIE
SANTA BARBARA,A PIE
ALVERNIA,MOTOCICLETA
LAS DELICIAS,A PIE
NUEVO ALVERNIA,A PIE
SECTOR INDUSTRIAL ACOPI  (25-2),VEHICULO
FLORIDA,A PIE
ZONA CENTRO,A PIE
LA CABANHITA,A PIE
NIQUIA QUITASOL,A PIE
CIUDADELA DEL NORTE,A PIE
SANTA ANA,A PIE
SAN JOSE,MOTOCICLETA
LA CHINCA,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
MANILA C-14,TRANSPORTE PUBLICO
BARRIO COLON C-10,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
SAN BENITO C-10,A PIE
PATIO BONITO C-14,A PIE
LA CANDELARIA C-10,A PIE
LAURELES C-11,VEHICULO
CORAZON DE JESUS C-10,A PIE
ROBLEDO C-7,A PIE
LOS COLORES C-11,TRANSPORTE PUBLICO
LA MOTA C-16,A PIE
VIA AL MAR S.C.,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
VILLANUEVA C-10,A PIE
LA CABANHA,A PIE
CENTRO,VEHICULO
EL LIMON,A PIE
LOS GIRASOLES,A PIE
LAS NIEVES,TRANSPORTE PUBLICO
CENTRO,A PIE
REBOLO,A PIE
VILLA ENCANTO,A PIE
VILLA ESTRELLA,A PIE
SANTA MONICA,A PIE
BARRIO LA CONCEPCION,A PIE
BARRIO CENTRAL,A PIE
LA CASTELLANA,A PIE
CENTRO,A PIE
CENTRO,A PIE
VIA NORCASIA,VEHICULO
LA ENEA,A PIE
ARENILLO,A PIE
ARENILLO,A PIE
SECTOR ANTIGUO TERMINAL,A PIE
EL CENTRO,A PIE
RINCON DE LA ESTRELLA,A PIE
LA VEGA,A PIE
SAGRADA FAMILIA,A PIE
CENTRO,TRANSPORTE PUBLICO
LA ESMERALDA,TRANSPORTE PUBLICO
LA ESTANCIA,A PIE
BOLIVAR,A PIE
VILLA PAULA,VEHICULO
PORVENIR,A PIE
CENTRO,A PIE
PORVENIR III,MOTOCICLETA
LA SABANITA,A PIE
CENTRO,A PIE
ALTOS DE CONFACESAR,A PIE
URB.DON ALBERTO,A PIE
PONTEVEDRA,A PIE
FUNDADORES,A PIE
FUNDADORES,A PIE
LA NEVADA,A PIE
MUCHA JAGUA,A PIE
LA GRANJA,A PIE
TEUSAQUILLO E-13,A PIE
TEUSAQUILLO E-13,A PIE
LA PERSEVERANCIA E-3,A PIE
PATIO BONITO I E-8,TRANSPORTE PUBLICO
NICOLAS DE FEDERMAN E-13,A PIE
AURES I-II E-11,A PIE
DIANA TURBAY E-18,A PIE
ANTONIA SANTOS E-7,A PIE
URB. LA ALDEA E-9,TRANSPORTE PUBLICO
GUSTAVO RESTREPO E-18,A PIE
PIO XII E-8,A PIE
OLAYA E-18,A PIE
SANTA TERESITA E-13,A PIE
RESTREPO E-15,A PIE
MARIA PAZ E-8,TRANSPORTE PUBLICO
LA ESTACION E-7,A PIE
SAN MARTIN E-7,A PIE
ANTIGUO COUNTRY E-2,A PIE
BACHUE E-10,A PIE
LA SOLEDAD E-13,A PIE
CARVAJAL E-8,A PIE
EL CARMEN E-9,A PIE
LA PORCIUNCULA E-2,A PIE
SANTA CATALINA E-8,A PIE
URB. MAZUREN I SECTOR E-11,A PIE
CHAPINERO CENTRAL E-2,A PIE
SANTA INES E-3,A PIE
UNICENTRO E-1,A PIE
RICAURTE E-14,A PIE
MINUTO DE DIOS E-10,A PIE
MINUTO DE DIOS E-10,A PIE
URB. MONTES I SECTOR E-16,A PIE
CONTADOR E-1,A PIE
MARIA PAZ E-8,A PIE
URB. MAZUREN I SECTOR E-11,A PIE
ABRAHAM LINCON E-6,A PIE
MODELIA E-9,TRANSPORTE PUBLICO
SAN FRANCISCO E-19,A PIE
BELLO HORIZONTE E-4,A PIE
MUZU E-6,TRANSPORTE PUBLICO
ACEVEDO TEJADA E-13,A PIE
MANUELITA II SECTOR E-11,A PIE
URB. MARSELLA E-8,A PIE
SUCRE,A PIE
20 DE JULIO,A PIE
CENTRO,A PIE
ALTO EMAYA,A PIE
LAS AMERICAS,A PIE
CENTRAL,A PIE
VIA FUNDACION-LOMA DEL BALSAMO,VEHICULO
RIVERA DEL RIO,VEHICULO
GAIRA CENTRO,A PIE
SAN MARTIN,VEHICULO
LA PAZ,VEHICULO
COREA,MOTOCICLETA
LA CANGREJERA (SECTOR),A PIE
TAGANGA,A PIE
OLIVO,A PIE
VILLA OLIMPICA,A PIE
CAMPINHA,A PIE
ANTONIO PINILLA,A PIE
CENTRO,A PIE
EL EMPORIO,A PIE
MANANTIAL,A PIE
BARZAL BAJO,VEHICULO
CAMILO TORRES,A PIE
SAN MARCOS,A PIE
SAN FELIPE,A PIE
BOLIVAR,VEHICULO
MIRAFLORES I,A PIE
SAN IGNACIO,A PIE
BARRIO LOS MOTILONES,A PIE
BARRIO PRADOS DEL NORTE,A PIE
BARRIO LOS COMUNEROS,A PIE
BARRIO LOS PINOS,A PIE
BARRIO LA LIBERTAD,A PIE
BARRIO QUINTA ORIENTAL,A PIE
EL RECREO,A PIE
LA ALAMBRA,A PIE
LIMONAR,A PIE
SANTANDER,TRANSPORTE PUBLICO
URBANIZACION PARQUES PAPIRO,A PIE
URBANIZACION PARQUES PAPIRO,A PIE
SECTOR PARQUE EL LAGO,A PIE
SECTOR PARQUE EL LAGO,A PIE
SAN LUIS GONZAGA,VEHICULO
SAN LUIS GONZAGA,VEHICULO
SAN LUIS GONZAGA,VEHICULO
SANTA TERESITA,A PIE
ALAMOS,A PIE
B. SAMARIA II,A PIE
EL CENTRO,A PIE
EL DORADO,A PIE
CABECERA DEL LLANO,A PIE
LA AURORA,A PIE
CAMPO HERMOSO,A PIE
LA AURORA,A PIE
CABECERA DEL LLANO,A PIE
LAGOS II,A PIE
CANHAVERAL,A PIE
SANTA CRUZ,A PIE
LOS CANEYES,A PIE
ELOY VALENZUELA,A PIE
LA CANTERA,A PIE
CABECERA DEL LLANO P/TA,A PIE
CASERIO CALLE NUEVA,MOTOCICLETA
CASERIO CALLE NUEVA,MOTOCICLETA
DULCE NOMBRE,A PIE
CIUDADELA UNIVERSITARIA,A PIE
HCDA. MOLLONES,A PIE
JOSE MARIA MELO,A PIE
JOSE MARIA MELO,A PIE
VALCANES,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
MACARENA ALTA,A PIE
SAN RAFAEL,A PIE
ONORIO MORENO,A PIE
AVENIDA PORTUARIA,A PIE
LAUREANO GOMEZ E15,A PIE
TERRON COLORADO E1,VEHICULO
ALFONSO LOPEZ II E7,A PIE
PRADOS DEL NORTE E2,A PIE
SANTA ANITA E17,A PIE
EL INGENIO E17,A PIE
U.R. EL COLISEO E19,A PIE
EL PENHON E3,A PIE
PARCELACIONES PANCE E22,A PIE
SAN FERNANDO NUEVO E19,A PIE
LA FLORA E2,A PIE
LAUREANO GOMEZ E15,A PIE
GRANADA E2,A PIE
LA INDEPENDENCIA E11,A PIE
ALFONSO LOPEZ III E7,A PIE
PRIMERO DE MAYO E17,VEHICULO
LOS CAMBULOS E19,MOTOCICLETA
PRADOS DEL NORTE E2,A PIE
OLIMPICO E10,A PIE
SANTA ROSA E3,A PIE
VERSALLES E2,A PIE
LILI E17,A PIE
EL RETIRO E15,A PIE
JULIO RINCON E12,A PIE
EL POBLADO I E13,A PIE
SANTA MONICA POPULAR E8,A PIE
JOSE M. MARROQUIN II E14,TRANSPORTE PUBLICO
ALFONSO B. ARAGON E14,A PIE
BELISARIO CAICEDO E20,A PIE
URB CERROS DE PUERTO ASIS,MOTOCICLETA
LA PRADERA I E24,A PIE
COLOMBIA,A PIE
LA EMILIA,VEHICULO
LAS DELICIAS,A PIE
ESPIRITU SANTO,A PIE
ZONA CENTRO,A PIE
LA FLORIDA,A PIE
LA PAZ,A PIE
SANTA MARIA # 3,A PIE
LA QUEBRADITA,A PIE
EL POBLADO C-14,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
LAS GRANJAS  C-3,A PIE
SANTA LUCIA C-12,A PIE
FATIMA C-16,VEHICULO
AURES C-7,A PIE
EL DIAMANTE 2 C-14,A PIE
CARIBE C-5,A PIE
VILLANUEVA C-10,TRANSPORTE PUBLICO
BARRIO COLON C-10,A PIE
SAN BENITO C-10,MOTOCICLETA
SHELLMAR C-15,A PIE
CASTILLA C-5,A PIE
LA CANDELARIA C-10,A PIE
SAN BENITO C-10,TRANSPORTE PUBLICO
BELEN C-16,A PIE
ESTACION VILLA C-10,A PIE
VILLANUEVA C-10,A PIE
ESTACION VILLA C-10,A PIE
CARLOS E. RESTREPO C-11,A PIE
PATIO BONITO C-14,A PIE
PRADO C-10,A PIE
VIA SANTA ELENA  C-9,A PIE
LA CANDELARIA C-10,A PIE
SAN DIEGO C-10,A PIE
20 DE JULIO,A PIE
EL SANTUARIO,A PIE
SAN ROQUE,TRANSPORTE PUBLICO
CENTRO,A PIE
SAN FRANCISCO,A PIE
POR FIN,A PIE
EL BOSQUE,A PIE
CENTRO,A PIE
VILLA DEL CARMEN 1 ETAPA,A PIE
EL ROSARIO,A PIE
CENTRO,A PIE
ALTOS DE LOS ROBLES VIP,A PIE
SOLEDAD 2000,A PIE
ALAMEDA LA VICTORIA,A PIE
BARRIO CENTRAL,A PIE
EL PROGRESO,A PIE
SALESIANO,A PIE
SALESIANO,A PIE
LAS MARGARITAS,A PIE
ALTA SUIZA,A PIE
ABBAS TURBAY,A PIE
VILLA BENILDA,A PIE
BELLO HORIZONTE,A PIE
LOS GARCEROS,A PIE
VILLA BENILDA,A PIE
ANTONIO NARINHO,A PIE
SANTA LIBRADA,A PIE
CAMILO TORRES,A PIE
LA ESMERALDA,A PIE
EL EMPEDRADO,TRANSPORTE PUBLICO
LA ESTANCIA,A PIE
CENTRO,A PIE
LOS CORTIJOS,A PIE
COSTA DE ORO,A PIE
LA RIVERA,MOTOCICLETA
MONTEVERDE,MOTOCICLETA
GARZONES 6 DE MARZO,VEHICULO
LA SOLEDAD E-13,A PIE
LA ALAMEDA E-3,A PIE
CASTILLA LA NUEVA E-8,A PIE
DOCE DE OCTUBRE E-12,TRANSPORTE PUBLICO
LA SOLEDAD E-13,A PIE
SAN DIEGO E-3,A PIE
VERACRUZ E-3,A PIE
NUEVA GRANADA E-7,A PIE
AURES II E-11,A PIE
TIMIZA CELULA A LOTE RA-2 E-8,TRANSPORTE PUBLICO
QUIRIGUA I E-10,A PIE
RICAURTE E-14,A PIE
LA CONEJERA II ETAPA E-11,A PIE
URB. GALICIA E-19,A PIE
BUENA VISTA E-1,A PIE
CATALUNHA E-2,A PIE
POLICARPA SALAVARRIETA E-15,A PIE
SUCRE E-2,TRANSPORTE PUBLICO
CIUDAD KENNEDY CENTRAL E-8,A PIE
SAN ANDRES   E-8,A PIE
LA ESMERALDA E-13,A PIE
LOMBARDIA II E-11,VEHICULO
MARLY E-2,A PIE
QUESADA E-13,A PIE
LAS MARGARITAS E-8,A PIE
EL UVAL E-5,A PIE
PUERTA DE TEJA E-9,A PIE
BOSA E-7,A PIE
NUEVA VILLEMAR E-9,A PIE
ALCAZAR DE SUBA E-11,A PIE
MODELIA E-9,A PIE
BACHUE E-10,A PIE
QUESADA E-13,TRANSPORTE PUBLICO
SANTA LUCIA E-18,TRANSPORTE PUBLICO
URB. MARSELLA E-8,MOTOCICLETA
LOS HAYUELOS E-9,TRANSPORTE PUBLICO
CHAPINERO ALTO E-2,A PIE
SUCRE E-2,TRANSPORTE PUBLICO
TEUSAQUILLO E-13,A PIE
SANTA INES E-3,TRANSPORTE PUBLICO
SAN FRANCISCO NORTE E-11,TRANSPORTE PUBLICO
SANTA LUCIA,BICICLETA
EL CARMEN,A PIE
VER. PANAMA,A PIE
LOS OLIVOS,A PIE
CIUDADELA EL DIVI DIVI,A PIE
