BARRIO,MOVILVICTIMA
CARIBE,A PIE
SECTOR GALERIA,A PIE
EL CARMEN,A PIE
BELLA ARENA,TRANSPORTE PUBLICO
SANTA CRUZ,A PIE
LA ARBOLEDA,A PIE
LA CRUZ,A PIE
VDA. TENERIA,A PIE
BARRIO LOS SAUCES,A PIE
BARRIO POPULAR,A PIE
CENTRO,A PIE
CRISTO REY,A PIE
CRISTO REY,A PIE
LA ESTRELLA,A PIE
URAPANES,A PIE
LA AMAZONIA,A PIE
JORGE ELIECER GAITAN,A PIE
VIA PALESTRO,A PIE
RAIZAL,A PIE
ESPERANZA,A PIE
LA ESPERANZA,A PIE
MAREIGUA,MOTOCICLETA
LAS FLORES,A PIE
LAS FLORES,A PIE
EL JARDIN,A PIE
LA FLORESTA,A PIE
VENECIA E-6,A PIE
SUCRE E-2,A PIE
EL POA E-11,TRANSPORTE PUBLICO
LA CATEDRAL E-3,A PIE
SANTA FE E-14,A PIE
SAN ISIDRO E-4,A PIE
LA MACARENA E-3,TRANSPORTE PUBLICO
SUBA CENTRO E-11,A PIE
CHICO NAVARRA E-1,A PIE
SUBA CENTRO E-11,A PIE
LA PAZ E-3,A PIE
SANTA ISABEL E-14,TRANSPORTE PUBLICO
SUBA CENTRO E-11,A PIE
ALTO PRADO,MOTOCICLETA
COLOMBIALIBRE,A PIE
EL CENTRO,A PIE
BARRIO DIVINO NINHO,A PIE
VEREDA CLAROS,A PIE
EL VERGEL,A PIE
LOS DUJOS,A PIE
ENRIQUE OLAYA HERRERA,MOTOCICLETA
REPOSO,A PIE
ALCAZARES,A PIE
CENTRO HISTORICO,A PIE
RODADERO SUR,A PIE
CENTRO,A PIE
ESTERO,A PIE
INDUSTRIAL,A PIE
SAN BENITO,A PIE
BELLO HORIZONTE,A PIE
BENJAMIN HERRERA,A PIE
RECUERDO,A PIE
CANTARANA,A PIE
POTRERILLO,A PIE
POTRERILLO,A PIE
NUEVO SOL,A PIE
CENTRO,A PIE
CHAPAL,A PIE
CAICEDO ALTO,A PIE
AV. ESTUDIANTES,A PIE
CHILE,A PIE
CENTRO,A PIE
POTRERILLO,A PIE
MADRIGAL,A PIE
NIZA II,A PIE
CENTRO,A PIE
CENTRO,A PIE
AV. CHAMPAGNAT,A PIE
BARRIO PRADOS DEL ESTE,A PIE
BARRIO EL BOSQUE,A PIE
SECTOR CAM,A PIE
VERACRUZ,A PIE
SECTOR COLISEO DEL CAFE,A PIE
MIRAFLORES BAJO,A PIE
CIUDADELA EL ENSUENHO,A PIE
CIUDADELA EL ENSUENHO,A PIE
B. CENTRO,A PIE
B. CENTRO,A PIE
B. CENTRO,A PIE
SECTOR LA POPA,A PIE
LA AURORA,A PIE
LA AURORA,A PIE
PLAZA CIVICA CIUDAD VICTORIA,A PIE
SECTOR PLAZA DE BOLIVAR,A PIE
SECTOR AVENIDA DEL RIO,MOTOCICLETA
LAS GARZAS,MOTOCICLETA
LA ESPERANZA,A PIE
GARCIA ROVIRA,A PIE
CABECERA DEL LLANO,A PIE
REGADERO NORTE,TRANSPORTE PUBLICO
TRANSICION V,TRANSPORTE PUBLICO
DIAMANTE II,A PIE
VILLA ROSA,A PIE
PIO XII,A PIE
EL BOSQUE,TRANSPORTE PUBLICO
PANORAMA,VEHICULO
VIA PIEDRAS,VEHICULO
CENTRO,A PIE
VRDA. DINDALITO,A PIE
EL GRAN LIMONAR E17,A PIE
NORMANDIA E2,VEHICULO
ALFONSO B. ARAGON E14,A PIE
MARIANO RAMOS E16,A PIE
EL RETIRO E15,A PIE
SANTA ROSA E3,A PIE
SANTA TERESITA E2,A PIE
SAN PEDRO E3,A PIE
VALLADO E15,A PIE
SIETE DE AGOSTO E7,A PIE
JORGE ISAACS E4,VEHICULO
JORGE ISAACS E4,VEHICULO
SILOE E20,A PIE
MARROQUIN I E14,A PIE
CALLEJON TIPLE ARRIBA (23-S-4-1),A PIE
CANDELARIA (23-1 23-2),A PIE
CENTRAL (23-S-2-1),A PIE
JORGE ELIECER GAITAN,A PIE
LA PRADERA I E24,A PIE
ZAMORANO,A PIE
CENTRAL,A PIE
CENTRAL,A PIE
VILLA CLAUDIA,A PIE
VDA. POTRERITO,TRANSPORTE PUBLICO
ZONA CENTRO,A PIE
ASOVIVIENDA,A PIE
PALMIRA,A PIE
VILLANUEVA,VEHICULO
TERRA NOVA,A PIE
VDA. LA MARIA,A PIE
SAN PIO,A PIE
VILLA PAULA,A PIE
CENTRO,A PIE
LA CANDELARIA C-10,A PIE
VILLANUEVA C-10,A PIE
LA CANDELARIA C-10,A PIE
ZONA CENTRO,A PIE
GERONA  C-9,A PIE
LA MILAGROSA  C-9,A PIE
HECTOR ABAD GOMEZ C-5,VEHICULO
CRISTO REY C-15,A PIE
BARRIO COLOMBIA C-14,A PIE
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
LAURELES C-11,A PIE
LOS ANGELES C-10,A PIE
EL POBLADO C-14,A PIE
BOYACA C-5,MOTOCICLETA
LA CANDELARIA C-10,A PIE
CARIBE C-5,VEHICULO
ESTACION VILLA C-10,A PIE
ESTACION VILLA C-10,A PIE
AMANECERES,A PIE
CAMPO ALEGRE,TRANSPORTE PUBLICO
LLANOGRANDE,A PIE
RINCON DE SAN ANTONIO,A PIE
RIO ABAJO,A PIE
CERAMICA,A PIE
SAN MIGUEL,TRANSPORTE PUBLICO
SAN MIGUEL,TRANSPORTE PUBLICO
CARRIZAL,A PIE
VILLAS DE LA CORDIALIDAD,VEHICULO
VILLAS DE LA CORDIALIDAD,VEHICULO
BOSTON,TRANSPORTE PUBLICO
EL SANTUARIO,A PIE
REBOLO,A PIE
PASADENA,A PIE
BOSTON,VEHICULO
SAN JOSE,A PIE
CENTRO,A PIE
BARRIO SANTA BARBARA,A PIE
CENTRO,A PIE
BARRIO LOS AGUSTINOS,A PIE
BARRIO CHIPRE,A PIE
CIUDADELA HABITACIONAL SIGLO XXI,A PIE
LA LIBERTAD,MOTOCICLETA
ALGARROBO,A PIE
ALGARROBO,A PIE
ALGARROBO,A PIE
ALGARROBO,A PIE
ALGARROBO,A PIE
CENTRO,A PIE
LA FRAGUA,A PIE
LA FRAGUA,A PIE
POSTOBON,A PIE
SOLIDARIDAD,A PIE
ALAMEDA,A PIE
VILLA DOCENTE,A PIE
CHAMPAGNHA,A PIE
RETIRO BAJO,A PIE
EL CENTRO,A PIE
VEREDA BESITO VOLADO,MOTOCICLETA
VIA MONTERIA -PLANETA RICA,A PIE
URB. LA COLINA CAMPESTRE I SECTOR E-11,TRANSPORTE PUBLICO
CHAPINERO NORTE E-2,TRANSPORTE PUBLICO
CHAPINERO NORTE E-2,A PIE
CHAPINERO NORTE E-2,A PIE
ALQUERIA LA FRAGUA E-8,A PIE
NICOLAS DE FEDERMAN E-13,A PIE
GUSTAVO RESTREPO E-18,A PIE
VENECIA E-6,TRANSPORTE PUBLICO
CHICO NORTE II SECTOR E-1,A PIE
SAN ANTONIO E-15,A PIE
EL RINCON E-11,A PIE
LOS CEDRITOS E-1,TRANSPORTE PUBLICO
VILLA MAYOR E-15,VEHICULO
CENTRO,A PIE
31 DE OCTUBRE,A PIE
31 DE OCTUBRE,A PIE
EL CENTRO,A PIE
QUIRINAL,A PIE
LAS  MERCEDES,MOTOCICLETA
CENTRO,A PIE
VEREDA MATEO RICO,A PIE
CENTRO HISTORICO,A PIE
CENTRO HISTORICO,A PIE
CENTRO,A PIE
MONTECARLO,MOTOCICLETA
BRISAS DEL GUATIQUIA,MOTOCICLETA
CENTRO,A PIE
LA ESPERANZA,A PIE
VILLA MELIDA,A PIE
CANAAN,A PIE
LA ESMERALDA,A PIE
CENTRO,A PIE
CENTRO,A PIE
PIAMONTE,A PIE
CENTRO,A PIE
CENTRO,A PIE
MONTECARLO,A PIE
GAVIOTAS,A PIE
CENTRO,A PIE
VEREDA APIAY,VEHICULO
20 DE JULIO,A PIE
CENTRO,A PIE
SAN FELIPE,A PIE
CENTRO,A PIE
20 DE JULIO,A PIE
20 DE JULIO,A PIE
CENTRO,A PIE
OBRERO,A PIE
SANTANDER,A PIE
CENTRO,A PIE
EMILIO BOTERO,A PIE
SAN ANDRES,A PIE
CENTRO,A PIE
CENTRO,A PIE
PANORAMICO I ETAPA,A PIE
CENTRO,A PIE
BARRIO CALLEJON,A PIE
BARRIO BELLAVISTA,A PIE
SUBESTACION SAN JUAN DE VILLALOBOS,A PIE
EL CENTRO,A PIE
NUEVA ARMENIA,A PIE
ACACIAS,A PIE
BOSQUES DE PINARES,A PIE
CENTRO,A PIE
BUENOS AIRES,A PIE
SAGUANES,A PIE
SAN DIEGO,A PIE
BAYRON GAVIRIA,A PIE
TURIN,A PIE
VDA. EL MANZANO,A PIE
SANTA TERESITA,A PIE
SECTOR PARQUE EL LAGO,A PIE
ALFONSO LOPEZ,A PIE
B. SAN FRANCISCO,A PIE
GALAN GOMEZ,A PIE
NARINHO,VEHICULO
NARINHO,VEHICULO
CENTRO,A PIE
CLAVERIANO,VEHICULO
RONDON,A PIE
ASOBETANIA,A PIE
VILLA ANGELICA,A PIE
KENEDY,A PIE
CENTRO,A PIE
JARDIN II ETAPA,A PIE
JORDAN MUTIFAMILIARES,A PIE
ONZAGA,A PIE
LA MANSION,A PIE
KENEDY,A PIE
MACARENA ALTA,A PIE
EL JORDAN,A PIE
LOS LAGOS E13,A PIE
MORICHAL DE COMFANDI E15,A PIE
SAN LUIS E6,TRANSPORTE PUBLICO
CRISTOBAL COLON E10,A PIE
PARCELACIONES PANCE E22,A PIE
ALAMEDA E9,A PIE
PARCELACIONES PANCE E22,A PIE
ALFONSO BARBERENA E12,A PIE
EL INGENIO E17,A PIE
ALFONSO B. ARAGON E14,A PIE
SAN FERNANDO VIEJO E19,A PIE
EL SENA E5,A PIE
PARCELACIONES PANCE E22,MOTOCICLETA
PRIMERO DE MAYO E17,A PIE
PANAMERICANO (23-2),A PIE
VIA CENCAR - AEREOPUERTO,MOTOCICLETA
FRANCISCANOS,A PIE
LAS DELICIAS,A PIE
VIA YUMBO DAPA (25-8),A PIE
VIA YUMBO DAPA (25-8),A PIE
BELALCAZAR E25,A PIE
SIMON BOLIVAR,A PIE
CENTRO (LETICIA),A PIE
PARQUE PRINCIPAL,A PIE
LA MADERA,A PIE
SANTA MARIA # 3,A PIE
LA CIUDADELA,A PIE
LA CIUDADELA,A PIE
CAMPO VALDES 1  C-4,A PIE
LA CANDELARIA C-10,A PIE
ARANJUEZ  C-4,TRANSPORTE PUBLICO
BARRIO COLOMBIA C-14,A PIE
CERRO EL VOLADOR C-7,A PIE
ENCISO C-8,VEHICULO
PROGRESO 2 C-6,A PIE
VILLANUEVA C-10,A PIE
PRADO C-10,A PIE
SEVILLA  C-4,A PIE
EL DIAMANTE C-7,A PIE
LA PINHUELA  C-4,A PIE
EL TESORO C-14,TRANSPORTE PUBLICO
CONQUISTADORES C-11,VEHICULO
LAURELES C-11,A PIE
PRADO C-10,MOTOCICLETA
LA CASTELLANA C-11,VEHICULO
LA CANDELARIA C-10,VEHICULO
MANILA C-14,A PIE
NARANJAL C-11,A PIE
PRADO C-10,A PIE
SEVILLA  C-4,A PIE
LA CANDELARIA C-10,A PIE
BOMBONA 1 C-10,VEHICULO
SEVILLA  C-4,A PIE
REMANSOS,A PIE
TABLAZO,A PIE
TABLAZO,A PIE
LAS CABANHAS,A PIE
EL ROSARIO,A PIE
LA VICTORIA,A PIE
CENTRO,A PIE
7 DE ABRIL,A PIE
CENTRO,BICICLETA
VDA. RESGUARDO,A PIE
PLAZA DE TOROS,TRANSPORTE PUBLICO
ONDAS DE OTUN,A PIE
FUNDADORES,A PIE
ARBOLEDA,A PIE
CENTRO,A PIE
SECTOR EL CABLE,A PIE
EL PORVENIR,A PIE
LA VEGA,MOTOCICLETA
RICAURTE,A PIE
TORASSO,A PIE
TORASSO,A PIE
CENTRO,A PIE
OLAYA HERRERA,A PIE
EL CARMEN,A PIE
FERIA GANADERA,VEHICULO
ZONA MINERA,A PIE
JULIO FIGUEROA VILLA,MOTOCICLETA
VEREDA SANTA ANA,A PIE
LAS AGUAS E-17,A PIE
URB. PALENQUE E-8,A PIE
TEUSAQUILLO E-13,VEHICULO
VILLA NELLY E-8,TRANSPORTE PUBLICO
GALERIAS E-13,A PIE
LA MACARENA E-3,A PIE
PASADENA ROYAL E-11,A PIE
LA CASTELLANA E-12,A PIE
LA CASTELLANA E-12,A PIE
CIUDAD JARDIN SUR E-15,A PIE
BILBAO E-11,A PIE
ESTADOS UNIDOS   E-8,TRANSPORTE PUBLICO
IBERIA E-11,TRANSPORTE PUBLICO
CHICO NORTE I E-2,A PIE
SUBA CENTRO E-11,A PIE
GUSTAVO RESTREPO E-18,A PIE
EL PLAYON - LA PLAYITA III E-18,TRANSPORTE PUBLICO
ENTRERIOS E-12,A PIE
QUIRIGUA I E-10,A PIE
"LA SOLEDAD, SAN JOSE NORTE E-10",A PIE
BOSQUES DE SAN JOSE E-18,A PIE
VILLA CLEMENCIA E-7,A PIE
EL RECREO E-7,A PIE
LAS MARGARITAS E-7,TRANSPORTE PUBLICO
CENTRO,A PIE
CENTRO,A PIE
EL CARMEN,A PIE
EL CARMEN,A PIE
LA VICTORIA,A PIE
RAFAEL AZUERO MANCHOLA,A PIE
LUIS CARLOS GALAN ETAPA I,A PIE
ENRIQUE OLAYA HERRERA,VEHICULO
VILLA MELIDA,A PIE
RELIQUIA,A PIE
BARZAL BAJO,A PIE
DONHA LUZ,A PIE
REMANSO,VEHICULO
