BARRIO,MARCA
EL RINCON C-16,SAMSUNG
SEVILLA  C-4,LENOVO
GUAYABAL C-15,SAMSUNG
GRANADA C-16,APPLE
VILLANUEVA C-10,HUAWEI
SANTA CRUZ  C-2,HUAWEI
ESTACION VILLA C-10,ZTE
CATALUNHA  C-9,HUAWEI
SEVILLA  C-4,SAMSUNG
CARIBE C-5,NOKIA
EL CHAGUALO C-10,MOTOROLA
CARIBE,SAMSUNG
SECTOR GALERIA,SAMSUNG
EL CARMEN,-
BELLA ARENA,MOTOROLA
SANTA CRUZ,HUAWEI
LA ARBOLEDA,SAMSUNG
LA CRUZ,SAMSUNG
VDA. TENERIA,NOKIA
BARRIO LOS SAUCES,HUAWEI
BARRIO POPULAR,APPLE
CENTRO,APPLE
CRISTO REY,SAMSUNG
CRISTO REY,MOTOROLA
LA ESTRELLA,APPLE
URAPANES,HUAWEI
LA AMAZONIA,SONY
JORGE ELIECER GAITAN,SONY
VIA PALESTRO,HUAWEI
RAIZAL,AVVIO
ESPERANZA,SAMSUNG
LA ESPERANZA,SAMSUNG
MAREIGUA,SAMSUNG
LAS FLORES,SAMSUNG
LAS FLORES,SAMSUNG
EL JARDIN,ALCATEL
LA FLORESTA,SAMSUNG
VENECIA E-6,-
SUCRE E-2,LG
EL POA E-11,-
LA CATEDRAL E-3,-
SANTA FE E-14,ALCATEL
SAN ISIDRO E-4,-
LA MACARENA E-3,-
SUBA CENTRO E-11,-
CHICO NAVARRA E-1,-
SUBA CENTRO E-11,-
LA PAZ E-3,-
SANTA ISABEL E-14,SAMSUNG
SUBA CENTRO E-11,-
ALTO PRADO,ALCATEL
COLOMBIALIBRE,SAMSUNG
EL CENTRO,SAMSUNG
BARRIO DIVINO NINHO,SAMSUNG
VEREDA CLAROS,HUAWEI
EL VERGEL,SAMSUNG
LOS DUJOS,SAMSUNG
ENRIQUE OLAYA HERRERA,-
REPOSO,HUAWEI
ALCAZARES,ALCATEL
CENTRO HISTORICO,LANIX
RODADERO SUR,AZUMI
CENTRO,ALCATEL
ESTERO,APPLE
INDUSTRIAL,HUAWEI
SAN BENITO,ASUS
BELLO HORIZONTE,SAMSUNG
BENJAMIN HERRERA,HUAWEI
RECUERDO,MOTOROLA
CANTARANA,HUAWEI
POTRERILLO,HUAWEI
POTRERILLO,MOTOROLA
NUEVO SOL,LENOVO
CENTRO,HUAWEI
CHAPAL,HUAWEI
CAICEDO ALTO,MOTOROLA
AV. ESTUDIANTES,SAMSUNG
CHILE,SAMSUNG
CENTRO,SAMSUNG
POTRERILLO,HUAWEI
MADRIGAL,HUAWEI
NIZA II,SAMSUNG
CENTRO,APPLE
CENTRO,SAMSUNG
AV. CHAMPAGNAT,SAMSUNG
BARRIO PRADOS DEL ESTE,SAMSUNG
BARRIO EL BOSQUE,SAMSUNG
SECTOR CAM,ALCATEL
VERACRUZ,SAMSUNG
SECTOR COLISEO DEL CAFE,SAMSUNG
MIRAFLORES BAJO,HUAWEI
CIUDADELA EL ENSUENHO,ALCATEL
CIUDADELA EL ENSUENHO,NOKIA
B. CENTRO,SAMSUNG
B. CENTRO,ALCATEL
B. CENTRO,-
SECTOR LA POPA,ZTE
LA AURORA,SAMSUNG
LA AURORA,APPLE
PLAZA CIVICA CIUDAD VICTORIA,ALCATEL
SECTOR PLAZA DE BOLIVAR,-
SECTOR AVENIDA DEL RIO,MOTOROLA
LAS GARZAS,SAMSUNG
LA ESPERANZA,SAMSUNG
GARCIA ROVIRA,MOTOROLA
CABECERA DEL LLANO,MOTOROLA
REGADERO NORTE,BLU
TRANSICION V,BLU
DIAMANTE II,HUAWEI
VILLA ROSA,OTRA
PIO XII,SAMSUNG
EL BOSQUE,HUAWEI
PANORAMA,HUAWEI
VIA PIEDRAS,MOTOROLA
