BARRIO,MARCA
SAN JORGE,SAMSUNG
SECTOR COLISEO SAN LUIS,APPLE
COLOMBIA,SAMSUNG
GALAN GOMEZ,AVVIO
BOLARQUI,MOTOROLA
LA UNIVERSIDAD,HUAWEI
LA UNIVERSIDAD,HUAWEI
LA PALMA,SAMSUNG
URB. LOS NARANJOS,SONY
ALTOS DEL CACIQUE,MOTOROLA
MINUTO DE DIOS,SAMSUNG
ALTAMIRA,SAMSUNG
CENTRO,SAMSUNG
LA CAMPINHA,SAMSUNG
MALECOM,HUAWEI
URB. ALCALA,LG
BRISAS DE GUATIGUARA,LG
CGTO. LA MEJIA,SAMSUNG
LA BALSA,HUAWEI
LA BALSA,HUAWEI
PORVENIR,LG
LA CARRERA,SAMSUNG
VRDA. CANASTOS,NOKIA
CENTRO,ALCATEL
VRDA. BETANIA,HUAWEI
EL CARMEN,SAMSUNG
RICAURTE PARTE ALTA,SAMSUNG
LOS PARRALES,LG
MACADAMIA,LG
PRADO I,HUAWEI
YULDAIMA,-
PIEDRA PINTADA PARTE ALTA,HUAWEI
CENTRO,MOTOROLA
MIROLINDO,APPLE
GALAN,HUAWEI
GALAN,NOKIA
VRDA. VELU,NOKIA
LA INMACULADA,-
EL SENA E5,MOTOROLA
JUNIN E9,HUAWEI
EL GRAN LIMONAR E17,MOTOROLA
VALLE GRANDE E21,SAMSUNG
SAN VICENTE E2,HUAWEI
LOS PORTALES - NUEVO REY E17,HUAWEI
SAN JUAN BOSCO E3,HUAWEI
CANHAVERALES - LOS SAMANES E17,AVVIO
SAN PASCUAL E3,SAMSUNG
SANTA ANITA E17,HUAWEI
ALFONSO LOPEZ II E7,MOTOROLA
CAMINO REAL - J BORRERO E19,SAMSUNG
LOS CAMBULOS E19,APPLE
URBANIZACION LA MERCED E2,SAMSUNG
UNICENTRO CALI E17,SAMSUNG
PIZAMOS III - LAS DALIAS E21,MOTOROLA
LA ESPERANZA E11,MOTOROLA
SANTA ANITA E17,SAMSUNG
CGTO MONTEBELLO E1,SAMSUNG
LOS CAMBULOS E19,SAMSUNG
MUNICIPAL (23-1),SAMSUNG
SANTA BARBARA,-
ALVERNIA,NOKIA
LAS DELICIAS,SAMSUNG
NUEVO ALVERNIA,SAMSUNG
SECTOR INDUSTRIAL ACOPI  (25-2),SAMSUNG
FLORIDA,BLU
ZONA CENTRO,HUAWEI
LA CABANHITA,-
NIQUIA QUITASOL,SAMSUNG
CIUDADELA DEL NORTE,SAMSUNG
SANTA ANA,HUAWEI
SAN JOSE,ALCATEL
LA CHINCA,MOTOROLA
LA CANDELARIA C-10,ZTE
LA CANDELARIA C-10,SAMSUNG
LA CANDELARIA C-10,MOTOROLA
MANILA C-14,SAMSUNG
BARRIO COLON C-10,HUAWEI
LA CANDELARIA C-10,SAMSUNG
LA CANDELARIA C-10,SAMSUNG
SAN BENITO C-10,SAMSUNG
PATIO BONITO C-14,HUAWEI
LA CANDELARIA C-10,SAMSUNG
LAURELES C-11,-
CORAZON DE JESUS C-10,SAMSUNG
ROBLEDO C-7,MOTOROLA
LOS COLORES C-11,MOTOROLA
LA MOTA C-16,SAMSUNG
VIA AL MAR S.C.,LG
LA CANDELARIA C-10,MOTOROLA
LA CANDELARIA C-10,ALCATEL
VILLANUEVA C-10,ALCATEL
LA CABANHA,SAMSUNG
CENTRO,LENOVO
EL LIMON,APPLE
LOS GIRASOLES,MOTOROLA
LAS NIEVES,HUAWEI
CENTRO,HUAWEI
REBOLO,ALCATEL
VILLA ENCANTO,SAMSUNG
VILLA ESTRELLA,LG
SANTA MONICA,APPLE
BARRIO LA CONCEPCION,NOKIA
BARRIO CENTRAL,SAMSUNG
LA CASTELLANA,SONY
CENTRO,ASUS
CENTRO,SAMSUNG
VIA NORCASIA,ALCATEL
LA ENEA,SAMSUNG
ARENILLO,SAMSUNG
ARENILLO,APPLE
SECTOR ANTIGUO TERMINAL,SAMSUNG
EL CENTRO,SAMSUNG
RINCON DE LA ESTRELLA,SAMSUNG
LA VEGA,LENOVO
SAGRADA FAMILIA,HUAWEI
CENTRO,SAMSUNG
LA ESMERALDA,OTRA
LA ESTANCIA,SAMSUNG
BOLIVAR,AVVIO
VILLA PAULA,SAMSUNG
PORVENIR,SAMSUNG
CENTRO,HUAWEI
PORVENIR III,SAMSUNG
LA SABANITA,SAMSUNG
CENTRO,MOTOROLA
ALTOS DE CONFACESAR,SAMSUNG
URB.DON ALBERTO,SAMSUNG
PONTEVEDRA,SAMSUNG
FUNDADORES,SAMSUNG
FUNDADORES,LG
LA NEVADA,MOTOROLA
MUCHA JAGUA,AVVIO
LA GRANJA,HUAWEI
TEUSAQUILLO E-13,APPLE
TEUSAQUILLO E-13,HUAWEI
LA PERSEVERANCIA E-3,-
PATIO BONITO I E-8,-
NICOLAS DE FEDERMAN E-13,SAMSUNG
AURES I-II E-11,-
DIANA TURBAY E-18,SAMSUNG
ANTONIA SANTOS E-7,ALCATEL
URB. LA ALDEA E-9,-
GUSTAVO RESTREPO E-18,SAMSUNG
PIO XII E-8,-
OLAYA E-18,SAMSUNG
SANTA TERESITA E-13,-
RESTREPO E-15,-
MARIA PAZ E-8,-
LA ESTACION E-7,SAMSUNG
SAN MARTIN E-7,-
ANTIGUO COUNTRY E-2,APPLE
BACHUE E-10,HUAWEI
LA SOLEDAD E-13,MOTOROLA
CARVAJAL E-8,-
EL CARMEN E-9,-
LA PORCIUNCULA E-2,-
SANTA CATALINA E-8,HUAWEI
URB. MAZUREN I SECTOR E-11,HUAWEI
CHAPINERO CENTRAL E-2,LG
SANTA INES E-3,SAMSUNG
UNICENTRO E-1,-
RICAURTE E-14,SAMSUNG
MINUTO DE DIOS E-10,HUAWEI
MINUTO DE DIOS E-10,-
URB. MONTES I SECTOR E-16,-
CONTADOR E-1,HUAWEI
MARIA PAZ E-8,HUAWEI
URB. MAZUREN I SECTOR E-11,SAMSUNG
ABRAHAM LINCON E-6,ALCATEL
MODELIA E-9,SAMSUNG
SAN FRANCISCO E-19,SAMSUNG
BELLO HORIZONTE E-4,-
MUZU E-6,HUAWEI
ACEVEDO TEJADA E-13,SAMSUNG
MANUELITA II SECTOR E-11,-
URB. MARSELLA E-8,MOTOROLA
SUCRE,SAMSUNG
20 DE JULIO,SAMSUNG
CENTRO,AVVIO
ALTO EMAYA,SAMSUNG
LAS AMERICAS,HUAWEI
CENTRAL,SAMSUNG
VIA FUNDACION-LOMA DEL BALSAMO,HUAWEI
RIVERA DEL RIO,NOKIA
GAIRA CENTRO,MOTOROLA
SAN MARTIN,SAMSUNG
LA PAZ,SAMSUNG
COREA,OTRA
LA CANGREJERA (SECTOR),HUAWEI
TAGANGA,APPLE
OLIVO,SAMSUNG
VILLA OLIMPICA,SAMSUNG
CAMPINHA,SAMSUNG
ANTONIO PINILLA,SAMSUNG
CENTRO,LG
EL EMPORIO,SONY
MANANTIAL,SAMSUNG
BARZAL BAJO,SAMSUNG
CAMILO TORRES,ALCATEL
SAN MARCOS,SAMSUNG
SAN FELIPE,HUAWEI
BOLIVAR,LG
MIRAFLORES I,SAMSUNG
SAN IGNACIO,SAMSUNG
BARRIO LOS MOTILONES,SAMSUNG
BARRIO PRADOS DEL NORTE,LG
BARRIO LOS COMUNEROS,SAMSUNG
BARRIO LOS PINOS,HUAWEI
BARRIO LA LIBERTAD,SAMSUNG
BARRIO QUINTA ORIENTAL,HUAWEI
EL RECREO,LANIX
LA ALAMBRA,HUAWEI
LIMONAR,MOTOROLA
SANTANDER,LENOVO
URBANIZACION PARQUES PAPIRO,SAMSUNG
URBANIZACION PARQUES PAPIRO,APPLE
SECTOR PARQUE EL LAGO,SAMSUNG
SECTOR PARQUE EL LAGO,HUAWEI
SAN LUIS GONZAGA,SAMSUNG
SAN LUIS GONZAGA,SAMSUNG
SAN LUIS GONZAGA,MOTOROLA
SANTA TERESITA,MOTOROLA
ALAMOS,SAMSUNG
B. SAMARIA II,ALCATEL
EL CENTRO,SAMSUNG
EL DORADO,SAMSUNG
CABECERA DEL LLANO,SAMSUNG
LA AURORA,APPLE
CAMPO HERMOSO,HUAWEI
LA AURORA,SAMSUNG
CABECERA DEL LLANO,SAMSUNG
LAGOS II,-
CANHAVERAL,HUAWEI
SANTA CRUZ,SAMSUNG
LOS CANEYES,HUAWEI
ELOY VALENZUELA,SAMSUNG
LA CANTERA,LG
CABECERA DEL LLANO P/TA,LG
CASERIO CALLE NUEVA,ALCATEL
CASERIO CALLE NUEVA,LG
DULCE NOMBRE,MOTOROLA
CIUDADELA UNIVERSITARIA,SAMSUNG
HCDA. MOLLONES,SAMSUNG
JOSE MARIA MELO,APPLE
JOSE MARIA MELO,LENOVO
VALCANES,ALCATEL
CENTRO,HUAWEI
CENTRO,HUAWEI
CENTRO,-
MACARENA ALTA,HUAWEI
SAN RAFAEL,HUAWEI
ONORIO MORENO,AVVIO
AVENIDA PORTUARIA,LG
LAUREANO GOMEZ E15,MOTOROLA
TERRON COLORADO E1,APPLE
ALFONSO LOPEZ II E7,NOKIA
PRADOS DEL NORTE E2,ALCATEL
SANTA ANITA E17,APPLE
EL INGENIO E17,SAMSUNG
U.R. EL COLISEO E19,SAMSUNG
EL PENHON E3,ALCATEL
PARCELACIONES PANCE E22,APPLE
SAN FERNANDO NUEVO E19,LG
LA FLORA E2,APPLE
LAUREANO GOMEZ E15,SAMSUNG
GRANADA E2,SAMSUNG
LA INDEPENDENCIA E11,SAMSUNG
ALFONSO LOPEZ III E7,NOKIA
PRIMERO DE MAYO E17,SAMSUNG
LOS CAMBULOS E19,SAMSUNG
PRADOS DEL NORTE E2,SAMSUNG
OLIMPICO E10,ZTE
SANTA ROSA E3,SAMSUNG
VERSALLES E2,SONY
LILI E17,SONY
EL RETIRO E15,NOKIA
JULIO RINCON E12,HUAWEI
EL POBLADO I E13,HUAWEI
SANTA MONICA POPULAR E8,SAMSUNG
JOSE M. MARROQUIN II E14,MOTOROLA
ALFONSO B. ARAGON E14,LG
BELISARIO CAICEDO E20,AVVIO
URB CERROS DE PUERTO ASIS,SAMSUNG
LA PRADERA I E24,SAMSUNG
COLOMBIA,SAMSUNG
LA EMILIA,MOTOROLA
LAS DELICIAS,SAMSUNG
ESPIRITU SANTO,SAMSUNG
ZONA CENTRO,HUAWEI
LA FLORIDA,SAMSUNG
LA PAZ,SAMSUNG
SANTA MARIA # 3,HUAWEI
LA QUEBRADITA,LG
EL POBLADO C-14,OTRA
LA CANDELARIA C-10,APPLE
LA CANDELARIA C-10,HUAWEI
LAS GRANJAS  C-3,MOTOROLA
SANTA LUCIA C-12,HUAWEI
FATIMA C-16,SAMSUNG
AURES C-7,MOTOROLA
EL DIAMANTE 2 C-14,APPLE
CARIBE C-5,SAMSUNG
VILLANUEVA C-10,HUAWEI
BARRIO COLON C-10,SAMSUNG
SAN BENITO C-10,SAMSUNG
SHELLMAR C-15,HUAWEI
CASTILLA C-5,HUAWEI
LA CANDELARIA C-10,OTRA
SAN BENITO C-10,BLU
BELEN C-16,HUAWEI
ESTACION VILLA C-10,HUAWEI
VILLANUEVA C-10,HUAWEI
ESTACION VILLA C-10,ALCATEL
CARLOS E. RESTREPO C-11,LENOVO
PATIO BONITO C-14,OTRA
PRADO C-10,LENOVO
VIA SANTA ELENA  C-9,HUAWEI
LA CANDELARIA C-10,OTRA
SAN DIEGO C-10,APPLE
20 DE JULIO,SAMSUNG
EL SANTUARIO,SAMSUNG
SAN ROQUE,SAMSUNG
CENTRO,HUAWEI
SAN FRANCISCO,ASUS
POR FIN,HUAWEI
EL BOSQUE,MOTOROLA
CENTRO,SAMSUNG
VILLA DEL CARMEN 1 ETAPA,SAMSUNG
EL ROSARIO,HUAWEI
CENTRO,SAMSUNG
ALTOS DE LOS ROBLES VIP,MOTOROLA
SOLEDAD 2000,SAMSUNG
ALAMEDA LA VICTORIA,HUAWEI
BARRIO CENTRAL,HUAWEI
EL PROGRESO,SONY
SALESIANO,SAMSUNG
SALESIANO,SONY
LAS MARGARITAS,ALCATEL
ALTA SUIZA,SAMSUNG
ABBAS TURBAY,HUAWEI
VILLA BENILDA,AVVIO
BELLO HORIZONTE,HUAWEI
LOS GARCEROS,-
VILLA BENILDA,SAMSUNG
ANTONIO NARINHO,HUAWEI
SANTA LIBRADA,MOTOROLA
CAMILO TORRES,NOKIA
LA ESMERALDA,NOKIA
EL EMPEDRADO,SAMSUNG
LA ESTANCIA,APPLE
CENTRO,HUAWEI
LOS CORTIJOS,SAMSUNG
COSTA DE ORO,MOTOROLA
LA RIVERA,SAMSUNG
MONTEVERDE,SAMSUNG
GARZONES 6 DE MARZO,MOTOROLA
LA SOLEDAD E-13,HUAWEI
LA ALAMEDA E-3,-
CASTILLA LA NUEVA E-8,-
DOCE DE OCTUBRE E-12,MOTOROLA
LA SOLEDAD E-13,-
SAN DIEGO E-3,-
VERACRUZ E-3,-
NUEVA GRANADA E-7,-
AURES II E-11,-
TIMIZA CELULA A LOTE RA-2 E-8,LG
QUIRIGUA I E-10,SAMSUNG
RICAURTE E-14,MOTOROLA
LA CONEJERA II ETAPA E-11,MOTOROLA
URB. GALICIA E-19,HUAWEI
BUENA VISTA E-1,-
CATALUNHA E-2,-
POLICARPA SALAVARRIETA E-15,-
SUCRE E-2,-
CIUDAD KENNEDY CENTRAL E-8,-
SAN ANDRES   E-8,-
LA ESMERALDA E-13,SAMSUNG
LOMBARDIA II E-11,SAMSUNG
MARLY E-2,LENOVO
QUESADA E-13,-
LAS MARGARITAS E-8,SAMSUNG
EL UVAL E-5,LENOVO
PUERTA DE TEJA E-9,-
BOSA E-7,-
NUEVA VILLEMAR E-9,SAMSUNG
ALCAZAR DE SUBA E-11,HUAWEI
MODELIA E-9,SONY
BACHUE E-10,SAMSUNG
QUESADA E-13,-
SANTA LUCIA E-18,SAMSUNG
URB. MARSELLA E-8,-
LOS HAYUELOS E-9,SAMSUNG
CHAPINERO ALTO E-2,APPLE
SUCRE E-2,-
TEUSAQUILLO E-13,MOTOROLA
SANTA INES E-3,SAMSUNG
SAN FRANCISCO NORTE E-11,HUAWEI
SANTA LUCIA,HUAWEI
EL CARMEN,ALCATEL
VER. PANAMA,ALCATEL
LOS OLIVOS,SAMSUNG
CIUDADELA EL DIVI DIVI,HUAWEI
CENTRO,SONY
CENTRO,MOTOROLA
CENTRO,ALCATEL
LOS ALMENDROS,MOTOROLA
CIUDADELA ACROPOLIS,SAMSUNG
QUIRINAL,APPLE
LARA BONILLA,ALCATEL
LARA BONILLA,LG
LOS LAGOS,AVVIO
LARA BONILLA,HUAWEI
VIA LOS CONTENEDORES,HUAWEI
CENTRO (C-1),SAMSUNG
TAGANGA,HUAWEI
TAGANGA,NOKIA
CUNDI,SAMSUNG
NUEVO MAIZARO,LG
CENTRO,ASUS
VENCEDORES,SAMSUNG
LA GRAMA,SAMSUNG
LA GRAMA,APPLE
GAITAN,ALCATEL
BELLA VISTA,LENOVO
SANTIAGO,MOTOROLA
CENTRO,MOTOROLA
SAN FELIPE,LG
PARQUE INFANTIL,SAMSUNG
LOS DOS PUENTES,-
POTRERILLO,ALCATEL
CENTRO,SAMSUNG
EL BOSQUE,ALCATEL
BARRIO CLARET,HUAWEI
BARRIO MARIA AUXILIADORA,SAMSUNG
BARRIO PARAMO,MOTOROLA
BARRIO LOMA DE BOLIVAR,SAMSUNG
CENTRO,NOKIA
VDA. PUEBLO VIEJO,SAMSUNG
LA GRECIA,NOKIA
SECTOR CENTRO COMERCIAL MOCAWA,MOTOROLA
SECTOR COLISEO DEL CAFE,OTRA
PLAZA DE BOLIVAR,SAMSUNG
GALAXIA,SAMSUNG
CIUDADELA POPULAR,SAMSUNG
SECTOR PARQUE LA LIBERTAD,SAMSUNG
MONTELIBANO,SAMSUNG
CENTRO (A) PEREIRA,SAMSUNG
RAFAEL URIBE I,HUAWEI
LA PAZ CENTRO,HUAWEI
COROCITO,AZUMI
SAN FRANCISCO,SONY
CENTRO,HUAWEI
CABECERA DEL LLANO,ZTE
DIAMANTE II,ALCATEL
CIUDADELA REAL DE MINAS,SAMSUNG
CIUDADELA REAL DE MINAS,SAMSUNG
COMUNEROS,SAMSUNG
LA CUMBRE,SAMSUNG
VALVERDI,SAMSUNG
CANHAVERAL,-
ALTOS DE ARENALES,HUAWEI
VDA. ACAPULCO,SAMSUNG
VDA. ACAPULCO,MOTOROLA
JUNIN,SAMSUNG
PASEO DEL PUENTE,HUAWEI
LIMONAR V SECTOR,SAMSUNG
JORDAN ARRAYANES,SAMSUNG
KENEDY,NOKIA
CENTRO,OTRA
SAN SIMON PARTE BAJA,SAMSUNG
CENTRO,APPLE
EL LIDO E19,ASUS
SANTA ANITA E17,MOTOROLA
COMPARTIR E21,SAMSUNG
COMPARTIR E21,ALCATEL
SAN JUDAS TADEO I E10,ALCATEL
TORRES DE CONFANDI E5,SAMSUNG
LOS ROBLES E13,SAMSUNG
MARCO FIDEL SUAREZ E4,SAMSUNG
SANTANDER E4,MOTOROLA
EL LIDO E19,SAMSUNG
CALIMIO DESEPAZ E21,SONY
EL TREBOL E8,SAMSUNG
PRADOS DEL NORTE E2,LG
LOS ALCAZARES E6,SAMSUNG
VILLA DEL PRADO - EL GUABITO E5,SAMSUNG
MANZANARES E4,SAMSUNG
SAN VICENTE E2,SAMSUNG
SAN NICOLAS E3,SAMSUNG
CANHAVERALES - LOS SAMANES E17,MOTOROLA
GUACHINTE (24-S-01),SAMSUNG
RIVERA ESCOBAR,LENOVO
CENTRAL,SAMSUNG
VERSALLES,ALCATEL
VERSALLES,AVVIO
URIBE URIBE,HUAWEI
VEREDA LA RIVERA.,APPLE
SECTOR INDUSTRIAL ACOPI  (25-2),SAMSUNG
SECTOR INDUSTRIAL ACOPI  (25-2),ALCATEL
GAITAN,SAMSUNG
LA CASITA,HUAWEI
PARQUE NORTE C-4,HUAWEI
EL PAJONAL,SAMSUNG
PARQUE PRINCIPAL,HUAWEI
EL TRIANON,MOTOROLA
OBRERO,MOTOROLA
CHINGUI,SAMSUNG
SAN JOSE,SAMSUNG
ZUNHIGA,APPLE
EL PORTAL,SAMSUNG
LOMA DE LAS BRUJAS,APPLE
MONTE VERDE,HUAWEI
SAN AGUSTIN,SAMSUNG
LA CANDELARIA C-10,SONY
CARIBE C-5,ALCATEL
SAN BERNARDO C-16,LENOVO
CRISTO REY C-15,SAMSUNG
LA AGUACATALA C-14,MOTOROLA
SANTA LUCIA C-12,SAMSUNG
TRICENTENARIO C-5,LG
LA ALPUJARRA C-10,HUAWEI
SEVILLA  C-4,SAMSUNG
LA CANDELARIA C-10,SAMSUNG
LOS ANGELES C-10,HUAWEI
LA CANDELARIA C-10,HUAWEI
PRADO C-10,HUAWEI
SAN BENITO C-10,MOTOROLA
CASTILLA C-5,SAMSUNG
LA CANDELARIA C-10,SAMSUNG
SANTA FE C-15,SAMSUNG
SURAMERICANA C-11,APPLE
BUENOS AIRES  C-9,ASUS
SANTA FE C-15,SAMSUNG
TENCHE C-15,SAMSUNG
PICACHO C-6,HUAWEI
EL PLAN,NOKIA
SAN ANTONIO,MOTOROLA
SANTA ANA,HUAWEI
VDA. PAN DE AZUCAR,SAMSUNG
VIRGEN DEL CARMEN,SAMSUNG
QUEBRADA SECA,SAMSUNG
QUEBRADA SECA,APPLE
QUEBRADA SECA,HUAWEI
MIRAMAR,OTRA
CIUDADELA 20 DE JULIO,MOTOROLA
LAS NIEVES,-
BOSTON,HUAWEI
CHIQUINQUIRA,SAMSUNG
SAN ANTONIO,HUAWEI
SAN ANTONIO,HUAWEI
ZONA RURAL,ALCATEL
TORICES,SAMSUNG
SECTOR EL CARMEN,ALCATEL
SECTOR EL CARMEN,ALCATEL
VDA. TRES BOCAS,SAMSUNG
VDA. TRES BOCAS,SAMSUNG
VDA. TRES BOCAS,HUAWEI
EL BOSQUE,SAMSUNG
PABLO SOLANO,SAMSUNG
LOS ARRAYANES,SAMSUNG
SAN MARTIN,ZTE
BARRIO PRADOS DE SAN LUIS,SAMSUNG
VDA. EL ROBLE,APPLE
EL NEPAL,SAMSUNG
CENTRO,APPLE
LA LEONORA,SAMSUNG
CENTRO,AVVIO
CENTRO,APPLE
VDA.SANTAGUEDA,APPLE
TRANSPORTADORES,SAMSUNG
TRANSPORTADORES,HUAWEI
VILLA MILEIDY,LG
FUNDADORES,MOTOROLA
JORGE ELIECER GAITAN,SAMSUNG
LA ESMERALDA,HUAWEI
BOSQUE,NOKIA
CENTRO,HUAWEI
NINHO JESUS,SAMSUNG
YESCA GRANDE,HUAWEI
YESQUITA,ALCATEL
LA GRANJA,SAMSUNG
EL MORA,APPLE
CG ARROYO HONDO,ALCATEL
EL TUNAL II E-6,-
GRAN YOMASA E-5,HUAWEI
LAS MARGARITAS E-1,SAMSUNG
LA ESTANCIA E-19,-
SOCIEGO E-4,-
VOTO NACIONAL E-14,OTRA
EL PATIO III SECTOR E-8,AVVIO
DIANA TURBAY E-18,-
TECHO  E-8,-
TINTAL    E-8,-
SAN AGUSTIN II SECTOR E-18,LENOVO
SAMPER MENDOZA E-14,-
EL RINCON E-11,-
OLAYA E-18,-
BANDERAS E-8,HUAWEI
LAGO GAITAN E-2,-
MINUTO DE DIOS E-10,-
SAN CRISTOBAL NORTE E-1,-
PATIO BONITO I E-8,-
SAN DIEGO E-3,SONY
SANTA ISABEL E-14,SAMSUNG
CHAPINERO CENTRAL E-2,-
ALAMEDA E-3,LG
QUIROGA IHS ETAPA E-18,MOTOROLA
GALAN E-16,-
DONITH VERGARA,ALCATEL
31 DE OCTUBRE,SAMSUNG
31 DE OCTUBRE,OTRA
CENTRO,SAMSUNG
ALTICO,OTRA
CENTRO,LG
LOS COLORES,MOTOROLA
GAIRA CENTRO,SAMSUNG
RODADERO SUR,HUAWEI
ALCAZARES,MOTOROLA
RODADERO SUR,SAMSUNG
MARIA EUGENIA,SAMSUNG
VALLES DE ARAGON,SAMSUNG
DONHA LUZ,LG
LA ESPERANZA VII ETAPA,OTRA
BARZAL BAJO,NOKIA
BOCHICA,LG
VILLA DEL SOL,SAMSUNG
VILLA DEL SOL,SAMSUNG
SAN FERNANDO,NOKIA
AVENIDA PANAMERICANA,SAMSUNG
SAN CARLOS,HUAWEI
CENTRO,ALCATEL
IDEMA,MOTOROLA
BARRIO EL LLANO,SAMSUNG
BARRIO BELEN,HUAWEI
BARRIO VILLA PARAISO,SAMSUNG
VILLA DEL RIO,SAMSUNG
LA UNION,MOTOROLA
SIMON BOLIVAR,OTRA
GALAN,SAMSUNG
LAS BRISAS,SAMSUNG
LOS ROBLES,HUAWEI
LA FLORESTA,NOKIA
SANTA ISABEL 1,SAMSUNG
SECTOR PARQUE LA LIBERTAD,SONY
TRAVESURAS-LA CHURRIA,NOKIA
VILLAVICENCIO,SAMSUNG
SECTOR AVENIDA CIRCUNVALAR,SAMSUNG
SECTOR PARQUE EL LAGO,SAMSUNG
BARRIO LA UNION,HUAWEI
VILLARELIS I,HUAWEI
LA FLORESTA,MOTOROLA
LA FLORESTA,MOTOROLA
GALAN GOMEZ,SAMSUNG
BUCARAMANGA,SAMSUNG
MEJORAS PUBLICAS,LG
CENTRO,SAMSUNG
LA UNIVERSIDAD,SONY
CENTRO,HUAWEI
INV. CLUB CHIMITA,SAMSUNG
LA JOYA,HUAWEI
EL CARMEN,SONY
LA INMACULADA,SAMSUNG
ZAPAMANGA V,MOTOROLA
VILLABEL,-
VILLAS DE SAN FRANCISCO,SAMSUNG
CIUDADELA NUEVO GIRON,LG
ALTOS DEL CARRIZAL,LANIX
ELOY VALENZUELA,SAMSUNG
ALDEA BAJA,SAMSUNG
CENTRO P/TA,APPLE
LOS ALAMOS,APPLE
CENTRO,HUAWEI
20 DE ENERO,SAMSUNG
PLAZA NUEVA,ALCATEL
CENTRO,HUAWEI
ENTRE RIOS,HUAWEI
ESPERANZA,LANIX
VRDA. LA ISLA,SAMSUNG
VRDA. LA ISLA,SAMSUNG
BELARCAZAR,SAMSUNG
RICAURTE PARTE BAJA,SAMSUNG
LAS PALMAS,SAMSUNG
CENTRO,SAMSUNG
BOYACA,SAMSUNG
CENTRO,HUAWEI
URB. MILITAR E19,LENOVO
ANTONIO NARINHO E16,MOTOROLA
CALYPSO E13,ZTE
VILLA DEL PRADO - EL GUABITO E5,HUAWEI
GUILLERMO VALENCIA E4,MOTOROLA
ALFONSO LOPEZ I E7,SONY
PRIMERO DE MAYO E17,HUAWEI
LOS CHORROS E18,LG
ALFONSO LOPEZ I E7,AVVIO
CIUDAD CORDOBA E15,LG
MARACAIBO E11,AVVIO
PAMPA LINDA E19,MOTOROLA
MARROQUIN I E14,SAMSUNG
SAN VICENTE E2,HUAWEI
ANTONIO NARINHO E16,NOKIA
EVARISTO GARCIA E4,HUAWEI
ALFONSO LOPEZ II E7,HUAWEI
ALAMEDA E9,SAMSUNG
LOS CHORROS E18,HUAWEI
SANTA ANITA E17,HUAWEI
TEJARES - CRISTALES E19,APPLE
EL JARDIN E11,NOKIA
VERSALLES,HUAWEI
ZAMORANO,HUAWEI
MANTE CLARO (ROZO),ALCATEL
ARROYOHONDO ZONA INDUSTRIAL (25-2),HUAWEI
SAN JOSE OBRERO,ZTE
LA CABANHA,SAMSUNG
EL CARMELO,SAMSUNG
VDA. QUEBRADA ARRIBA,SAMSUNG
VDA. QUEBRADA ARRIBA,MOTOROLA
BOQUERON,ALCATEL
AUTOPISTA MEDELLIN - BOGOTA,HUAWEI
EL PORTAL,SAMSUNG
LAS ORQUIDEAS,HUAWEI
SANTA MARIA # 3,APPLE
SANTA MARIA # 1,HUAWEI
SIMON BOLIVAR,HUAWEI
PARQUE PRINCIPAL,SAMSUNG
ESTACION VILLA C-10,HUAWEI
LA CANDELARIA C-10,SAMSUNG
SAN JAVIER 1 C-13,SAMSUNG
SIMON BOLIVAR C-12,ALCATEL
PRADO C-10,SAMSUNG
BELEN C-16,MOTOROLA
BELEN C-16,SAMSUNG
PARQUE NORTE C-4,MOTOROLA
MORAVIA  C-4,HUAWEI
LA ALPUJARRA C-10,MOTOROLA
LA PINHUELA  C-4,SAMSUNG
LA PINHUELA  C-4,MOTOROLA
CARLOS E. RESTREPO C-11,HUAWEI
PALO BLANCO  S.A.P.,HUAWEI
LA CANDELARIA C-10,SAMSUNG
LAS INDEPENDENCIAS C-13,HUAWEI
BATALLON GIRARDOT C-8,BLU
VDA. PANTANILLO STA. E.,SAMSUNG
ESTACION VILLA C-10,SAMSUNG
LA CANDELARIA C-10,HUAWEI
EL CHAGUALO C-10,SAMSUNG
LA CHAPA,SAMSUNG
PARQUE PRINCIPAL,SAMSUNG
LOS OLIVOS I,SAMSUNG
LAS TORRES,MOTOROLA
LA CHINITA,HUAWEI
PRADO,MOTOROLA
VILLA OLIMPICA,SAMSUNG
BOCAGRANDE,APPLE
CANDIDO QUINTERO,SAMSUNG
BARRIO CENTRO,LG
CENTRO,HUAWEI
CENTRO,SAMSUNG
CENTRO,SAMSUNG
PALOGRANDE,AVVIO
VEREDA CARTAGENA,SAMSUNG
JUAN XXIII,SAMSUNG
VILLA BENILDA,SAMSUNG
LAS PALMERAS,HUAWEI
JORGE ELIECER GAITAN,ALCATEL
VEREDA JULUMITO,HUAWEI
LAS AMERICAS,SAMSUNG
EL EMPEDRADO,SAMSUNG
EL EMPEDRADO,AVVIO
CENTRO,SAMSUNG
CENTRO,HUAWEI
VEREDA,NOKIA
VEREDA,BLU
NANDO MARIN,ALCATEL
NANDO MARIN,ALCATEL
NANDO MARIN,SAMSUNG
LA ESPERANZA,SAMSUNG
CENTRO,SAMSUNG
NARINHO,SAMSUNG
OLARTE E-7,-
MARIA PAZ E-8,SAMSUNG
SAN FELIPE E-12,-
VILLA DE LA LOMA E-8,HUAWEI
PRADO VERANIEGO E-11,-
LAS FLORES E-11,-
EL PINO E-11,-
