MUNICIPIO,MOVILVICTIMA
RETIRO,A PIE
RETIRO,A PIE
RIONEGRO,A PIE
URRAO,A PIE
ARAUCA (CT),A PIE
SARAVENA,A PIE
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),MOTOCICLETA
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),TRANSPORTE PUBLICO
BARRANQUILLA (CT),A PIE
MALAMBO,A PIE
SOLEDAD,MOTOCICLETA
SOLEDAD,A PIE
SOLEDAD,A PIE
CARTAGENA (CT),A PIE
CARTAGENA (CT),A PIE
CARTAGENA (CT),A PIE
MANIZALES (CT),A PIE
MANIZALES (CT),A PIE
MANIZALES (CT),A PIE
SAMANA,A PIE
AGUAZUL,A PIE
AGUAZUL,VEHICULO
YOPAL (CT),A PIE
MIRANDA,A PIE
POPAYAN (CT),A PIE
POPAYAN (CT),A PIE
AGUACHICA,A PIE
BOSCONIA,A PIE
BOSCONIA,MOTOCICLETA
BOSCONIA,MOTOCICLETA
CHIRIGUANA,A PIE
CURUMANI,A PIE
VALLEDUPAR (CT),A PIE
VALLEDUPAR (CT),A PIE
MONTELIBANO,A PIE
MONTERIA (CT),A PIE
MONTERIA (CT),MOTOCICLETA
MONTERIA (CT),MOTOCICLETA
MONTERIA (CT),A PIE
MONTERIA (CT),A PIE
MONTERIA (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),MOTOCICLETA
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
GIRARDOT,A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
FACATATIVA,A PIE
GIRARDOT,A PIE
MADRID,A PIE
TENA,A PIE
ZIPAQUIRA,A PIE
MAICAO,A PIE
MAICAO,A PIE
RIOHACHA (CT),A PIE
NEIVA (CT),MOTOCICLETA
NEIVA (CT),A PIE
NEIVA (CT),MOTOCICLETA
NEIVA (CT),A PIE
NEIVA (CT),A PIE
PITALITO,VEHICULO
PITALITO,BICICLETA
SAN AGUSTIN,A PIE
CIENAGA,A PIE
SANTA MARTA (CT),A PIE
SANTA MARTA (CT),A PIE
SANTA MARTA (CT),TRANSPORTE PUBLICO
PUERTO GAITAN,A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),MOTOCICLETA
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
IPIALES,A PIE
IPIALES,A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
TUQUERRES,A PIE
CUCUTA (CT),A PIE
ARMENIA (CT),MOTOCICLETA
ARMENIA (CT),A PIE
ARMENIA (CT),A PIE
ARMENIA (CT),A PIE
ARMENIA (CT),A PIE
ARMENIA (CT),A PIE
ARMENIA (CT),A PIE
ARMENIA (CT),A PIE
QUIMBAYA,A PIE
DOSQUEBRADAS,A PIE
PEREIRA (CT),TRANSPORTE PUBLICO
PEREIRA (CT),A PIE
PEREIRA (CT),A PIE
PEREIRA (CT),A PIE
PEREIRA (CT),A PIE
PEREIRA (CT),A PIE
PEREIRA (CT),A PIE
PEREIRA (CT),A PIE
PEREIRA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
FLORIDABLANCA,VEHICULO
FLORIDABLANCA,A PIE
PIEDECUESTA,A PIE
SINCELEJO (CT),A PIE
SINCELEJO (CT),A PIE
SINCELEJO (CT),A PIE
SINCELEJO (CT),A PIE
SINCELEJO (CT),A PIE
CHAPARRAL,A PIE
ESPINAL,A PIE
ESPINAL,A PIE
GUAMO,A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),TRANSPORTE PUBLICO
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
MELGAR,A PIE
ANDALUCIA,A PIE
BUENAVENTURA,A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),TRANSPORTE PUBLICO
CALI (CT),A PIE
CALI (CT),VEHICULO
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),MOTOCICLETA
CALI (CT),VEHICULO
CALI (CT),MOTOCICLETA
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),VEHICULO
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CARTAGO,A PIE
JAMUNDI,A PIE
PALMIRA,A PIE
PALMIRA,A PIE
PRADERA,A PIE
BELLO,A PIE
COPACABANA,A PIE
EL SANTUARIO,A PIE
ENVIGADO,A PIE
ENVIGADO,A PIE
ENVIGADO,A PIE
GUARNE,A PIE
MEDELLIN (CT),TRANSPORTE PUBLICO
MEDELLIN (CT),A PIE
MEDELLIN (CT),TRANSPORTE PUBLICO
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),VEHICULO
MEDELLIN (CT),VEHICULO
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
PUERTO BERRIO,A PIE
SABANETA,A PIE
SAN LUIS,A PIE
YOLOMBO,A PIE
ARAUCA (CT),A PIE
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),TRANSPORTE PUBLICO
BARRANQUILLA (CT),A PIE
SABANALARGA,A PIE
SABANALARGA,A PIE
TUBARA,A PIE
CARTAGENA (CT),A PIE
CARTAGENA (CT),A PIE
CHIQUINQUIRA,A PIE
GUATEQUE,A PIE
TUNJA (CT),A PIE
TUNJA (CT),A PIE
MANIZALES (CT),A PIE
MANIZALES (CT),A PIE
MANIZALES (CT),A PIE
MANIZALES (CT),A PIE
MANIZALES (CT),A PIE
MANIZALES (CT),TRANSPORTE PUBLICO
MANIZALES (CT),A PIE
MANIZALES (CT),A PIE
SAN VICENTE DEL CAGUAN,A PIE
MONTERREY,A PIE
TAURAMENA,A PIE
POPAYAN (CT),A PIE
POPAYAN (CT),A PIE
PUERTO TEJADA,BICICLETA
PUERTO TEJADA,VEHICULO
LA PAZ,A PIE
VALLEDUPAR (CT),A PIE
VALLEDUPAR (CT),A PIE
VALLEDUPAR (CT),A PIE
VALLEDUPAR (CT),A PIE
VALLEDUPAR (CT),A PIE
ATRATO,A PIE
LORICA,A PIE
MONTERIA (CT),A PIE
MONTERIA (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),BICICLETA
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
NEIVA (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
FACATATIVA,A PIE
FACATATIVA,A PIE
GIRARDOT,A PIE
PACHO,A PIE
ALBANIA,A PIE
RIOHACHA (CT),A PIE
LA PLATA,A PIE
NEIVA (CT),MOTOCICLETA
NEIVA (CT),A PIE
PITALITO,A PIE
CIENAGA,A PIE
SANTA MARTA (CT),A PIE
SANTA MARTA (CT),A PIE
SANTA MARTA (CT),A PIE
SANTA MARTA (CT),TRANSPORTE PUBLICO
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),MOTOCICLETA
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),MOTOCICLETA
VILLAVICENCIO (CT),A PIE
CHACHAGUI,A PIE
IPIALES,A PIE
IPIALES,A PIE
IPIALES,A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
OCANHA,A PIE
VILLA DEL ROSARIO,A PIE
VILLAGARZON,A PIE
ARMENIA (CT),A PIE
ARMENIA (CT),A PIE
CALARCA,A PIE
DOSQUEBRADAS,A PIE
PEREIRA (CT),MOTOCICLETA
PEREIRA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),TRANSPORTE PUBLICO
BUCARAMANGA (CT),TRANSPORTE PUBLICO
FLORIDABLANCA,A PIE
GIRON,A PIE
GIRON,A PIE
GIRON,A PIE
LEBRIJA,A PIE
PIEDECUESTA,A PIE
COVENHAS,A PIE
SAN ONOFRE,A PIE
SAN ONOFRE,A PIE
SINCELEJO (CT),A PIE
SINCELEJO (CT),MOTOCICLETA
SINCELEJO (CT),A PIE
SINCELEJO (CT),A PIE
SINCELEJO (CT),A PIE
SINCELEJO (CT),A PIE
SINCELEJO (CT),MOTOCICLETA
SINCELEJO (CT),MOTOCICLETA
CHAPARRAL,MOTOCICLETA
IBAGUE (CT),VEHICULO
IBAGUE (CT),VEHICULO
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),TRANSPORTE PUBLICO
IBAGUE (CT),A PIE
MELGAR,A PIE
PIEDRAS,A PIE
BUENAVENTURA,A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),VEHICULO
CALI (CT),A PIE
CALI (CT),TRANSPORTE PUBLICO
CALI (CT),BICICLETA
DAGUA,A PIE
GUACARI,A PIE
GUADALAJARA DE BUGA,MOTOCICLETA
PALMIRA,A PIE
LETICIA (CT),A PIE
APARTADO,A PIE
BELLO,A PIE
BELLO,A PIE
BELLO,A PIE
CALDAS,VEHICULO
COPACABANA,A PIE
ENVIGADO,TRANSPORTE PUBLICO
MEDELLIN (CT),A PIE
MEDELLIN (CT),VEHICULO
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),TRANSPORTE PUBLICO
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),VEHICULO
MEDELLIN (CT),A PIE
MEDELLIN (CT),TRANSPORTE PUBLICO
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),TRANSPORTE PUBLICO
MEDELLIN (CT),A PIE
ARAUCA (CT),A PIE
ARAUCA (CT),A PIE
SARAVENA,A PIE
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),TRANSPORTE PUBLICO
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),A PIE
MALAMBO,A PIE
SABANALARGA,MOTOCICLETA
SOLEDAD,A PIE
CARTAGENA (CT),A PIE
DUITAMA,A PIE
TUNJA (CT),BICICLETA
CHINCHINA,A PIE
MANIZALES (CT),A PIE
MANIZALES (CT),A PIE
MANIZALES (CT),A PIE
FLORENCIA (CT),A PIE
YOPAL (CT),A PIE
POPAYAN (CT),A PIE
POPAYAN (CT),A PIE
POPAYAN (CT),A PIE
POPAYAN (CT),TRANSPORTE PUBLICO
AGUACHICA,A PIE
BOSCONIA,A PIE
VALLEDUPAR (CT),A PIE
VALLEDUPAR (CT),A PIE
VALLEDUPAR (CT),A PIE
VALLEDUPAR (CT),MOTOCICLETA
VALLEDUPAR (CT),A PIE
MONTERIA (CT),A PIE
MONTERIA (CT),A PIE
MONTERIA (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
FUNZA,A PIE
MADRID,A PIE
SOACHA,MOTOCICLETA
SOACHA,A PIE
RIOHACHA (CT),A PIE
RIOHACHA (CT),A PIE
RIOHACHA (CT),A PIE
RIOHACHA (CT),A PIE
RIOHACHA (CT),A PIE
SAN JUAN DEL CESAR,A PIE
SAN JUAN DEL CESAR,A PIE
SAN JUAN DEL CESAR,A PIE
CAMPOALEGRE,MOTOCICLETA
NEIVA (CT),A PIE
NEIVA (CT),A PIE
NEIVA (CT),A PIE
NEIVA (CT),A PIE
NEIVA (CT),A PIE
NEIVA (CT),A PIE
NEIVA (CT),A PIE
PITALITO,A PIE
PITALITO,A PIE
SAN AGUSTIN,A PIE
SANTA MARTA (CT),A PIE
SANTA MARTA (CT),A PIE
SANTA MARTA (CT),VEHICULO
SANTA MARTA (CT),A PIE
SANTA MARTA (CT),A PIE
SANTA MARTA (CT),A PIE
SANTA MARTA (CT),VEHICULO
GRANADA,A PIE
GUAMAL,A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
IPIALES,A PIE
IPIALES,A PIE
OSPINA,MOTOCICLETA
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
CUCUTA (CT),A PIE
CUCUTA (CT),A PIE
CUCUTA (CT),A PIE
CUCUTA (CT),A PIE
CUCUTA (CT),A PIE
VILLA DEL ROSARIO,A PIE
ARMENIA (CT),A PIE
ARMENIA (CT),A PIE
CALARCA,A PIE
DOSQUEBRADAS,A PIE
PEREIRA (CT),A PIE
PEREIRA (CT),A PIE
PEREIRA (CT),VEHICULO
PEREIRA (CT),A PIE
PEREIRA (CT),A PIE
PEREIRA (CT),TRANSPORTE PUBLICO
SAN ANDRES (CT),VEHICULO
BARRANCABERMEJA,A PIE
BARRANCABERMEJA,A PIE
BUCARAMANGA (CT),TRANSPORTE PUBLICO
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
FLORIDABLANCA,A PIE
FLORIDABLANCA,A PIE
FLORIDABLANCA,A PIE
GIRON,A PIE
PIEDECUESTA,A PIE
SAN PEDRO,A PIE
SINCELEJO (CT),A PIE
SINCELEJO (CT),A PIE
SINCELEJO (CT),A PIE
CHAPARRAL,A PIE
ESPINAL,A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
LERIDA,A PIE
LERIDA,A PIE
ANDALUCIA,A PIE
BOLIVAR,A PIE
BUENAVENTURA,A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),VEHICULO
CALI (CT),A PIE
CALI (CT),MOTOCICLETA
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),MOTOCICLETA
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),TRANSPORTE PUBLICO
CALI (CT),A PIE
CALI (CT),MOTOCICLETA
CALI (CT),A PIE
CALI (CT),MOTOCICLETA
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),VEHICULO
CALI (CT),A PIE
CANDELARIA,BICICLETA
CARTAGO,A PIE
GUADALAJARA DE BUGA,A PIE
CALDAS,VEHICULO
ENVIGADO,A PIE
FREDONIA,A PIE
ITAGUI,A PIE
ITAGUI,A PIE
LA ESTRELLA,A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),VEHICULO
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),BICICLETA
MEDELLIN (CT),TRANSPORTE PUBLICO
MEDELLIN (CT),A PIE
MEDELLIN (CT),MOTOCICLETA
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),VEHICULO
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),VEHICULO
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
PUERTO TRIUNFO,A PIE
RIONEGRO,A PIE
SABANETA,A PIE
ARAUCA (CT),MOTOCICLETA
BARRANQUILLA (CT),A PIE
SOLEDAD,A PIE
CARTAGENA (CT),A PIE
FLORENCIA (CT),MOTOCICLETA
FLORENCIA (CT),MOTOCICLETA
FLORENCIA (CT),A PIE
SAN VICENTE DEL CAGUAN,A PIE
TRINIDAD,A PIE
YOPAL (CT),MOTOCICLETA
YOPAL (CT),A PIE
POPAYAN (CT),A PIE
VALLEDUPAR (CT),A PIE
VALLEDUPAR (CT),A PIE
VALLEDUPAR (CT),A PIE
QUIBDO (CT),A PIE
QUIBDO (CT),A PIE
MONTERIA (CT),A PIE
MONTERIA (CT),A PIE
MONTERIA (CT),A PIE
MONTERIA (CT),BICICLETA
MONTERIA (CT),A PIE
MONTERIA (CT),A PIE
MONTERIA (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
BOGOTA D.C. (CT),A PIE
MAICAO,A PIE
MAICAO,A PIE
RIOHACHA (CT),A PIE
RIOHACHA (CT),A PIE
NEIVA (CT),A PIE
NEIVA (CT),A PIE
NEIVA (CT),A PIE
NEIVA (CT),A PIE
RIVERA,A PIE
EL BANCO,A PIE
SANTA MARTA (CT),A PIE
SANTA MARTA (CT),A PIE
ZONA BANANERA,A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
VILLAVICENCIO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),A PIE
PASTO (CT),VEHICULO
CUCUTA (CT),A PIE
CUCUTA (CT),A PIE
ARMENIA (CT),A PIE
ARMENIA (CT),A PIE
ARMENIA (CT),A PIE
DOSQUEBRADAS,A PIE
DOSQUEBRADAS,A PIE
DOSQUEBRADAS,A PIE
DOSQUEBRADAS,A PIE
LA VIRGINIA,MOTOCICLETA
PEREIRA (CT),VEHICULO
PEREIRA (CT),VEHICULO
PEREIRA (CT),A PIE
SAN ANDRES (CT),A PIE
BARRANCABERMEJA,A PIE
BARRANCABERMEJA,A PIE
BARRANCABERMEJA,A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),TRANSPORTE PUBLICO
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),A PIE
BUCARAMANGA (CT),TRANSPORTE PUBLICO
FLORIDABLANCA,A PIE
FLORIDABLANCA,TRANSPORTE PUBLICO
FLORIDABLANCA,A PIE
FLORIDABLANCA,A PIE
GIRON,A PIE
GIRON,A PIE
GIRON,A PIE
PIEDECUESTA,A PIE
SINCELEJO (CT),A PIE
SINCELEJO (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
IBAGUE (CT),A PIE
LIBANO,A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),MOTOCICLETA
CALI (CT),A PIE
CALI (CT),MOTOCICLETA
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),VEHICULO
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CALI (CT),A PIE
CANDELARIA,A PIE
CANDELARIA,A PIE
CANDELARIA,A PIE
CARTAGO,A PIE
FLORIDA,A PIE
PALMIRA,A PIE
BELLO,A PIE
BELLO,A PIE
BELLO,A PIE
BELLO,A PIE
ITAGUI,A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),TRANSPORTE PUBLICO
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),TRANSPORTE PUBLICO
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),VEHICULO
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
MEDELLIN (CT),A PIE
NECOCLI,A PIE
RIONEGRO,A PIE
SABANETA,A PIE
SABANETA,VEHICULO
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),TRANSPORTE PUBLICO
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),A PIE
BARRANQUILLA (CT),A PIE
FLORENCIA (CT),A PIE
BARRANQUILLA (CT),A PIE
SABANALARGA,A PIE
SOLEDAD,A PIE
SOLEDAD,A PIE
SOLEDAD,A PIE
CARTAGENA (CT),A PIE
CARTAGENA (CT),A PIE
EL CARMEN DE BOLIVAR,A PIE
EL CARMEN DE BOLIVAR,A PIE
EL CARMEN DE BOLIVAR,A PIE
EL CARMEN DE BOLIVAR,A PIE
SOGAMOSO,A PIE
TUNJA (CT),A PIE
