DEPARTAMENTO,BARRIO
ANTIOQUIA,LA LOMA DE LOS BERNAL C-16
ANTIOQUIA,CORDOBA C-7
ANTIOQUIA,EL RODEO C-15
ANTIOQUIA,SEVILLA  C-4
ANTIOQUIA,GUAYAQUIL C-10
ANTIOQUIA,LA ESPERANZA C-6
ANTIOQUIA,SAN DIEGO C-10
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,BOSTON C-10
ANTIOQUIA,CASTILLA C-5
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,MARIA CANO - CARAMBOLAS  C-3
ANTIOQUIA,GUAYAQUIL C-10
ANTIOQUIA,PROGRESO C-5
ANTIOQUIA,PATIO BONITO C-14
ANTIOQUIA,CARIBE C-5
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,ESTADIO C-11
ANTIOQUIA,ALEJANDRO ECHAVARRIA  C-9
ANTIOQUIA,CALAZANS C-12
ANTIOQUIA,BOMBONA 1 C-10
ANTIOQUIA,EL PRADO
ANTIOQUIA,SAN JOSE
ANTIOQUIA,SAN ANTONIO
ARAUCA,SAN CARLOS
ATLANTICO,LA CHINITA
ATLANTICO,EL RECREO
ATLANTICO,ABAJO
ATLANTICO,CENTRO
ATLANTICO,ABAJO
ATLANTICO,ZONA RURAL
ATLANTICO,EL HIPODROMO
BOLIVAR,EL RECREO
BOYACA,BARRIO CENTRAL
BOYACA,BARRIO CIUDAD JARDIN
BOYACA,BARRIO JOSE JOAQUIN CAMACHO
CALDAS,CHAPATA
CALDAS,RINCON CAMPESTRE
CALDAS,LA ESTRELLA
CALDAS,LA ENEA
CALDAS,TRES CRUCES
CAQUETA,EL CENTRO
CASANARE,EL GAVAN
CASANARE,VILLA DEL PRADO
CAUCA,CENTRO
CAUCA,EL BAMBU
CAUCA,ALFONSO LOPEZ
CESAR,CENTRO
CESAR,CENTRO
CESAR,ARIZONA
CESAR,ARIZONA
CESAR,LOS CORTIJOS
CESAR,NOVALITO
CESAR,EL AMPARO
CESAR,SANTA ROSA
CHOCO,PORVENIR
CORDOBA,EDMUNDO LÒPEZ
CORDOBA,CASERÌO AGUAS NEGRAS
CORDOBA,LA SAMARIA
CUNDINAMARCA,LA GRANJAS
CUNDINAMARCA,ALAMOS SUR E-10
CUNDINAMARCA,LAS NIEVES E-3
CUNDINAMARCA,CAMPINHA E-11
CUNDINAMARCA,LA SOLEDAD E-13
CUNDINAMARCA,LAS FERIAS E-10
CUNDINAMARCA,EL TUNAL II E-6
CUNDINAMARCA,BELALCAZAR E-13
CUNDINAMARCA,MUZU E-16
CUNDINAMARCA,MONTEVIDEO E-9
CUNDINAMARCA,LA CALLEJA E-1
CUNDINAMARCA,LA CALLEJA E-1
CUNDINAMARCA,TEUSAQUILLO E-13
CUNDINAMARCA,CLASS E-8
CUNDINAMARCA,DIANA TURBAY E-18
CUNDINAMARCA,PIO XII E-8
CUNDINAMARCA,LA ESTANZUELA E-14
CUNDINAMARCA,MONTEBLANCO E-5
CUNDINAMARCA,URB. LA CORUNHA E-19
CUNDINAMARCA,SAN MARTIN E-3
CUNDINAMARCA,ONEIDA  E-8
CUNDINAMARCA,BUENA VISTA E-1
CUNDINAMARCA,RESTREPO E-15
CUNDINAMARCA,GRAN BRITALIA E-8
CUNDINAMARCA,EL RETIRO E-2
CUNDINAMARCA,SAN BLAS E-4
CUNDINAMARCA,LOMBARDIA II E-11
CUNDINAMARCA,VILLAS DE ARANJUEZ E-1
CUNDINAMARCA,LAS AMERICAS E-8
CUNDINAMARCA,VILLA LUZ E-10
CUNDINAMARCA,EL AMPARO E-8
CUNDINAMARCA,ROMA  E-8
CUNDINAMARCA,RICAURTE E-14
CUNDINAMARCA,VALBANERA E-15
CUNDINAMARCA,PERDOMO ALTO E-19
CUNDINAMARCA,POLICARPA SALAVARRIETA E-15
CUNDINAMARCA,CENTRO E-3
CUNDINAMARCA,NARINHO SUR E-4
CUNDINAMARCA,LA GIRALDA E-9
CUNDINAMARCA,GRAN COLOMBIANO E-8
CUNDINAMARCA,SERAFINA E-4
CUNDINAMARCA,LLANO GRANDE E-8
CUNDINAMARCA,VER. SUSAGUA
CUNDINAMARCA,SAN MIGUEL
GUAJIRA,MAXIMILIANO MOSCOTE
GUAJIRA,TRAMO DE VIA
GUAJIRA,COOPERATIVO
HUILA,EL OBRERO
HUILA,CENTRO
HUILA,CENTRO
HUILA,LA TOMA
HUILA,NUEVA GRANADA
HUILA,PARAISO
HUILA,SOLARTE
HUILA,POPULAR
MAGDALENA,CENTRO       (C-1)
MAGDALENA,EL CONGO
MAGDALENA,SAN JOSE
META,COOPERATIVO
META,VEGA ORIENTAL
META,LA ESPERANZA
META,CC. SAN NICOLAS
META,CATALUNHA
META,VILLA JULIA
META,EL EMPORIO
META,PORFIA
META,ANTONIO PINILLA
META,CENTRO
NARINHO,CAMILO TORRES
NARINHO,BELLA VISTA
NARINHO,AV. LAS AMERICAS
NARINHO,OBRERO
NARINHO,VILLA RECREO
NARINHO,CENTRO
NARINHO,FATIMA
NARINHO,SAN DIEGO
NARINHO,IDEMA
NORTE DE SANTANDER,BARRIO SAN LUIS
NORTE DE SANTANDER,BARRIO LATINO
NORTE DE SANTANDER,BARRIO BLANCO
NORTE DE SANTANDER,BARRIO ATALAYA 1 ETAPA
NORTE DE SANTANDER,BARRIO CENTRO
NORTE DE SANTANDER,BARRIO ANTONIO NARINHO
NORTE DE SANTANDER,BARRIO ANTONIO NARINHO
QUINDIO,GALAN
QUINDIO,SECTOR OCTAVA BRIGADA EJERCOL
QUINDIO,FUNDACIONES
QUINDIO,PARQUE PRINCIPAL
QUINDIO,PARQUE PRINCIPAL
QUINDIO,CIUDADELA EL ENSUENHO
RISARALDA,SECTOR PARQUE LA LIBERTAD
RISARALDA,EL PORVENIR DE CONSOTA
RISARALDA,CAIMALITO
SANTANDER,SANTA ANA
SANTANDER,POZO SIETE
SANTANDER,ANTONIA SANTOS
SANTANDER,CABECERA DEL LLANO
SANTANDER,MINUTO DE DIOS
SANTANDER,MEJORAS PUBLICAS
SANTANDER,BUGANVILLA
SANTANDER,EL CENTRO
SANTANDER,LOS COMUNEROS
SUCRE,CENTRO
SUCRE,PINAR
SUCRE,PINAR
TOLIMA,ISAIAS OLIVAR
TOLIMA,ISAIAS OLIVAR
TOLIMA,SANTA MARGARITA MARIA
TOLIMA,LIBERTADOR
TOLIMA,CENTRO
TOLIMA,VILLA DEL SOL
TOLIMA,LA POLA
TOLIMA,LA POLA
TOLIMA,CALAMBEO
TOLIMA,VRDA. LA LAGUNA
VALLE,TERRON COLORADO E1
VALLE,SAN VICENTE E2
VALLE,NUEVA GRANADA E19
VALLE,JOSE M. MARROQUIN II E14
VALLE,LOS CAMBULOS E19
VALLE,ALFONSO LOPEZ III E7
VALLE,SAN NICOLAS E3
VALLE,FEPICOL E7
VALLE,LILI E17
VALLE,SANTA MONICA RESIDENCIAL E2
VALLE,CANEY E17
VALLE,URBANIZACION BOYACA E11
VALLE,SAN FERNANDO VIEJO E19
VALLE,BELISARIO CAICEDO E20
VALLE,CALYPSO E13
VALLE,NUEVA TEQUENDAMA E19
VALLE,BENJAMIN HERRERA E8
VALLE,MUNICIPAL (23-1)
VALLE,JUAN PABLO (23-S-2-1)
VALLE,FUEN MAYOR
VALLE,LOS SAMANES
VALLE,SAN SEBASTIAN
VALLE,LA CONCORDIA
VALLE,VEGAS E25
VICHADA,EL CENTRO
AMAZONAS,LOS BAOS
ANTIOQUIA,NIQUIA BIFAMILIAR
ANTIOQUIA,SUAREZ
ANTIOQUIA,EL CONGOLO
ANTIOQUIA,VILLA ARABIA
ANTIOQUIA,SIMON BOLIVAR
ANTIOQUIA,ALCALA
ANTIOQUIA,SAN FERNANDO
ANTIOQUIA,SANTA MARIA # 1
ANTIOQUIA,BALCONES DE DITAIRES
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,VILLANUEVA C-10
ANTIOQUIA,FATIMA C-16
ANTIOQUIA,CUARTA BRIGADA C-11
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,ANTONIO NARINHO C-13
ANTIOQUIA,LAS MERCEDES C-16
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,ESTADIO C-11
ANTIOQUIA,CAMPO VALDES 2 C-3
ANTIOQUIA,SAN BERNARDO C-16
ANTIOQUIA,BARRIO COLON C-10
ANTIOQUIA,BARRIO COLON C-10
ANTIOQUIA,SURAMERICANA C-11
ANTIOQUIA,SURAMERICANA C-11
ANTIOQUIA,SURAMERICANA C-11
ANTIOQUIA,URB. VILLAS DEL CARMEN
ATLANTICO,VILLA COUNTRY
ATLANTICO,LA PLAYA
ATLANTICO,OLAYA
ATLANTICO,CENTRO
ATLANTICO,BOSTON
ATLANTICO,VILLA ENCANTO
ATLANTICO,CIUDADELA METROPOLITANA
BOLIVAR,SECTOR JUNCAL
BOLIVAR,ZARAGOCILLA
BOLIVAR,SECTOR GUARAMAL
BOYACA,BARRIO LOS SAUCES
BOYACA,BARRIO SUAMUX
CALDAS,VELEZ
CALDAS,VEREDA TRES PUERTAS
CALDAS,SECTOR PLAZA ALFONSO LOPEZ P.
CALDAS,PALERMO
CALDAS,EL PALMAR
CAQUETA,LAS TORRES
CAQUETA,20 DE JULIO
CASANARE,CARIBABARE
CASANARE,BELLO HORIZONTE
CASANARE,BELLO HORIZONTE
CAUCA,TULCAN
CAUCA,ANTIGUA
CAUCA,URB. CANADA
CAUCA,URB. CANADA
CESAR,CENTRO
CESAR,LA ESPERANZA
CUNDINAMARCA,GALERIAS E-13
CUNDINAMARCA,CHAPINERO CENTRAL E-2
CUNDINAMARCA,RESTREPO E-15
CUNDINAMARCA,BOSA CENTRO E-7
CUNDINAMARCA,GRANADA NORTE E-11
CUNDINAMARCA,EL CENTENARIO E-18
CUNDINAMARCA,SUBA CENTRO E-11
CUNDINAMARCA,CARVAJAL E-8
CUNDINAMARCA,BRASILIA I SECTOR E-7
CUNDINAMARCA,PATIO BONITO I E-8
CUNDINAMARCA,FERIAS E-10
CUNDINAMARCA,PRIMAVERA NORTE E-10
CUNDINAMARCA,SANTA LUCIA E-18
CUNDINAMARCA,CIUDAD KENNEDY CENTRAL E-8
CUNDINAMARCA,LAGO GAITAN E-2
CUNDINAMARCA,GALERIAS E-13
CUNDINAMARCA,PATIO BONITO I E-8
CUNDINAMARCA,MANDALAY I ETAPA E-8
CUNDINAMARCA,PRADO VERANIEGO E-11
CUNDINAMARCA,EL VIRREY ULTIMA ETAPA E-5
CUNDINAMARCA,MANDALAY
GUAJIRA,7 DE AGOSTO
GUAJIRA,CENTRO
HUILA,CENTRO
HUILA,ALFONSO LOPEZ
HUILA,CHAPINERO
HUILA,LAS GRANJAS
HUILA,ANTONIO NARINHO
HUILA,LOS ANDAQUIES
HUILA,VEREDA NUEVA ZELANDA
MAGDALENA,SAN MARTIN
MAGDALENA,GAIRA TRADICIONAL
MAGDALENA,SANTA ELENA
MAGDALENA,ALMENDROS
MAGDALENA,POSTOBON
MAGDALENA,POSTOBON
MAGDALENA,MAMATOCO
META,CENTRO
META,EL RETIRO
META,PRIMAVERA
META,SESQUICENTENARIO
META,TERMINAL TRASPORTES
META,RELIQUIA
META,AV. LOS MARACOS
META,GUAYABAL
META,REMANSO
NARINHO,CENTRO
NARINHO,MADRIGAL
NARINHO,ALTAMIRA
NARINHO,VDA EL PUERTO EL ENCANO
NARINHO,CAICEDONIA
NARINHO,SANTA CLARA
NARINHO,ANGANOY
NARINHO,VDA SAN FRANCISCO BUESAQUILLO
NARINHO,VDA SAN FRANCISCO BUESAQUILLO
NARINHO,NUEVO SOL
NORTE DE SANTANDER,BARRIO CARLOS RAMIREZ PARIS
NORTE DE SANTANDER,CORREGIMIENTO LA LAGUNA
NORTE DE SANTANDER,BARRIO EL HUMILLADERO
QUINDIO,SECTOR CAM
QUINDIO,SECTOR CAM
QUINDIO,ISABELA
QUINDIO,ISABELA
RISARALDA,CAMILO TORRES 1
RISARALDA,LA PRADERA
RISARALDA,GIRASOL
RISARALDA,LA ROSA
RISARALDA,SANTA MONICA
RISARALDA,GAMMA III
RISARALDA,SECTOR PARQUE LA LIBERTAD
RISARALDA,SECTOR GALERIA CENTRAL
RISARALDA,SECTOR PARQUE EL LAGO
RISARALDA,BRASILIA
SANTANDER,GALAN GOMEZ
SANTANDER,LA UNIVERSIDAD
SANTANDER,MEJORAS PUBLICAS
SANTANDER,LA AURORA
SANTANDER,LA JUVENTUD
SANTANDER,SAN FRANCISCO
SANTANDER,CABECERA DEL LLANO
SANTANDER,OLAS II
SANTANDER,LA INDEPENDENCIA
SANTANDER,COLORADOS
SANTANDER,LAGOS II
SANTANDER,CASCO ANTIGUO DE FLORIDABLANCA
SANTANDER,VDA. LOS CAUCHOS
SANTANDER,LOS ROSALES
SANTANDER,EL LLANITO
SANTANDER,EL CENTRO
SANTANDER,EL CENTRO
SUCRE,AV. LAS PENHITAS
SUCRE,SAN CARLOS
TOLIMA,PROTECHO (TOPACIO)
TOLIMA,ESTACION
TOLIMA,LA CAMPINHA
TOLIMA,VILLA DEL SOL
TOLIMA,SIMON BOLIVAR
TOLIMA,CONDOMINIO LINDAGUA
TOLIMA,VRDA. LA CAJITA
VALLE,GUAYAQUIL E9
VALLE,EL TREBOL E8
VALLE,SAN ANTONIO E3
VALLE,LOS ALCAZARES E6
VALLE,LOS ALCAZARES E6
VALLE,LA MERCED E3
VALLE,EL TRONCAL E8
VALLE,PRADOS DEL NORTE E2
VALLE,LOS ALCAZARES E6
VALLE,ALIRIO MORA BELTRAN E14
VALLE,ALIRIO MORA BELTRAN E14
VALLE,LOS ROBLES E13
VALLE,JORGE E. GAITAN (23-1)
VALLE,URB. PORTAL DE ALAMOS I
VALLE,SANTA RITA
VALLE,CAIMITOS
VALLE,PORVENIR
ANTIOQUIA,RIACHUELOS
ANTIOQUIA,LA CAMILA
ANTIOQUIA,AUTOPISTA NORTE
ANTIOQUIA,LAS VEGAS
ANTIOQUIA,LAS VEGAS
ANTIOQUIA,ZONA CENTRO
ANTIOQUIA,ZONA CENTRO
ANTIOQUIA,JARDIN BOTANICO  C-4
ANTIOQUIA,EL RODEO C-15
ANTIOQUIA,VILLA HERMOSA C-8
ANTIOQUIA,PRADO C-10
ANTIOQUIA,SANTA MARIA DE LOS ANGELES C-14
ANTIOQUIA,BOSTON C-10
ANTIOQUIA,SEVILLA  C-4
ANTIOQUIA,ARANJUEZ  C-4
ANTIOQUIA,GUAYABAL C-15
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,CARIBE C-5
ANTIOQUIA,CALLE NUEVA C-10
ANTIOQUIA,JESUS NAZARENO C-10
ANTIOQUIA,EL SALVADOR  C-9
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,ROBLEDO C-7
ANTIOQUIA,CARIBE C-5
ANTIOQUIA,EL POBLADO C-14
ANTIOQUIA,PICACHO C-6
ANTIOQUIA,PEDREGAL C-6
ANTIOQUIA,GUAYABAL C-15
ANTIOQUIA,NOEL C-15
ANTIOQUIA,VILLANUEVA C-10
ANTIOQUIA,TEJELO C-5
ANTIOQUIA,GERONA  C-9
ANTIOQUIA,LA GLORIA C-16
ATLANTICO,REBOLO
ATLANTICO,LAS ESTRELLAS
ATLANTICO,LA SIERRITA
BOLIVAR,EL RODEO
BOLIVAR,BARRIO FLORIDA UNO
BOYACA,BARRIO LAS LAJAS
BOYACA,BARRIO ALTAMIRA
BOYACA,BARRIO 20 DE JULIO
CASANARE,LA MANGA
CASANARE,ESPERANZA
CAUCA,LOMA DE LA VIRGEN
CAUCA,LA ESMERALDA
CAUCA,VEREDA DE TORRES
CAUCA,SAN JOSE
CAUCA,VDA SANJON RICO
CAUCA,VDA SANJON RICO
CESAR,VEREDA
CESAR,MARIA EUGENIA ALTO
CESAR,LOS CORTIJOS
CUNDINAMARCA,SUCRE E-2
CUNDINAMARCA,LA AURORA II SECTOR E-5
CUNDINAMARCA,SAN LUIS E-13
CUNDINAMARCA,EL TINTAL E-9
CUNDINAMARCA,VILLA MARIA I E-11
CUNDINAMARCA,PATIO BONITO I E-8
CUNDINAMARCA,BANDERAS E-8
CUNDINAMARCA,CANDELARIA III-IV E-19
CUNDINAMARCA,CENTRO E-3
CUNDINAMARCA,VILLA MAYOR E-15
MAGDALENA,SIMON BOLIVAR
CUNDINAMARCA,SUBA CENTRO E-11
CUNDINAMARCA,CASTILLA REAL     E-8
CUNDINAMARCA,FERROCAJA E-9
CUNDINAMARCA,LA CASTELLANA E-12
CUNDINAMARCA,CHICO NORTE II E-2
CUNDINAMARCA,URB. LA CAMPINHA I SECTOR E-11
CUNDINAMARCA,BELLO HORIZONTE E-4
CUNDINAMARCA,SANTA MARIA DEL LAGO E-10
CUNDINAMARCA,SALITRE PLAZA E-9
CUNDINAMARCA,RICAURTE E-14
CUNDINAMARCA,TORREMOLINOS E-16
CUNDINAMARCA,RESTREPO E-15
CUNDINAMARCA,CHAPINERO CENTRAL E-2
CUNDINAMARCA,LA FAVORITA E-14
CUNDINAMARCA,GRANADA NORTE E-11
CUNDINAMARCA,LA SOLEDAD E-13
CUNDINAMARCA,EL PORVENIR E-5
CUNDINAMARCA,AURES II E-11
CUNDINAMARCA,POLO CLUB E-12
CUNDINAMARCA,BELLAVISTA ALTA E-5
CUNDINAMARCA,CHICO I E-2
CUNDINAMARCA,QUIROGA IHS ETAPA E-18
CUNDINAMARCA,NARINHO SUR E-4
CUNDINAMARCA,PATIO BONITO I E-8
CUNDINAMARCA,EL AMPARO E-8
CUNDINAMARCA,ZONA INDUSTRIAL LA GRANJA E-9
CUNDINAMARCA,OLARTE E-7
CUNDINAMARCA,EL VERGEL E-14
CUNDINAMARCA,SAN DIEGO E-3
CUNDINAMARCA,LUCERO ALTO E-19
CUNDINAMARCA,ABRAHAM LINCON E-6
CUNDINAMARCA,LA MAGDALENA E-13
CUNDINAMARCA,OLAYA E-18
CUNDINAMARCA,ANTIGUO COUNTRY E-2
CUNDINAMARCA,NORMANDIA E-10
CUNDINAMARCA,CANAIMA E-1
GUAJIRA,LOS DIOSES
GUAJIRA,JOSE D BOSCAN
GUAJIRA,LIBERTADOR
GUAJIRA,31 DE OCTUBRE
HUILA,PUERTA DEL SOL
HUILA,CENTRO
HUILA,SAN ANTONIO
MAGDALENA,LA ESPERANZA
MAGDALENA,URBANIZACION CONCEPCION NO. 1-2-3-4-5
MAGDALENA,GALICIA
MAGDALENA,RODADERO TRADICIONAL
MAGDALENA,AEROMAR
MAGDALENA,SANTA CECILIA
META,LAS FERIAS
META,RODEO
META,DOS MIL
META,BARZAL BAJO
META,LLANO LINDO
META,VILLA BOLIVAR
META,AY MI LLANURA
META,CAMPINHA
NARINHO,VDA SALADADO
NARINHO,PANAMERICANO
NARINHO,LA LOMITA
NARINHO,CENTRO
NARINHO,MADRIGAL
NARINHO,INEM
NARINHO,SANTA BARBARA
NORTE DE SANTANDER,BARRIO SAN MARTIN
NORTE DE SANTANDER,BARRIO CECI
NORTE DE SANTANDER,BARRIO TUCUNARE
NORTE DE SANTANDER,BARRIO SAN JOSE (EL MERCADO)
NORTE DE SANTANDER,BARRIO TACALOA
QUINDIO,CENTRO
QUINDIO,CIUDADELA QUIMBAYA
QUINDIO,LA AVANZADA
QUINDIO,LA AVANZADA
RISARALDA,SECTOR PUENTES DE LA 9A CON 12
RISARALDA,LOS ALPES
RISARALDA,LA REBECA.
RISARALDA,CENTRO (A) PEREIRA
RISARALDA,CENTRO (A) PEREIRA
RISARALDA,INTERMEDIO (V/SANTANA)
SAN ANDRES,BARRIO COCAL
SAN ANDRES,SECTOR CURVA LA VIRGEN
SANTANDER,EL LLANITO
SANTANDER,EL LLANITO
SANTANDER,EL LLANITO
SANTANDER,SANTA ISABEL
SANTANDER,PLANADA DEL CERRO
SANTANDER,SANTA ISABEL
SANTANDER,NORTE BAJO
SANTANDER,LAGOS DEL CACIQUE
SANTANDER,CENTRO
SANTANDER,ALVAREZ
SANTANDER,EL ROCIO
SANTANDER,CIUDADELA REAL DE MINAS
SANTANDER,LA UNIVERSIDAD
SANTANDER,VILLA LUZ
SANTANDER,LOS ROSALES
SANTANDER,MOLINOS BAJOS
SANTANDER,LOS ROBLES
SANTANDER,ALTOS DE VILLABEL I
SANTANDER,CASCO ANTIGUO DE FLORIDABLANCA
SANTANDER,LAGOS II
SANTANDER,PORTAL CAMPESTRE
SUCRE,OLIMPICA CALLE EL CAUCA
SUCRE,PINAR
SUCRE,BOTERO
TOLIMA,RESTREPO
TOLIMA,ATOLSURE
TOLIMA,MORAVIA  C-4
TOLIMA,LA POLA
VALLE,LOS CHORROS E18
VALLE,SAN PASCUAL E3
VALLE,LA CASCADA E19
VALLE,EL PONDAJE E13
VALLE,REPUBLICA ISRAEL E16
VALLE,U.R. EL COLISEO E19
VALLE,LOS ALCAZARES E6
VALLE,POPULAR E4
VALLE,POPULAR E4
VALLE,LOS ROBLES E13
VALLE,SANTA ROSA E3
VALLE,MOJICA E15
VALLE,LA RIVERA I E6
VALLE,ALFONSO B. ARAGON E14
VALLE,CHAPINERO E8
VALLE,DESEPAZ INVICALI E21
VALLE,SIETE DE AGOSTO E7
VALLE,SIETE DE AGOSTO E7
VALLE,LA FORTALEZA E11
VALLE,OLAYA HERRERA E4
VALLE,LIBERTAD
VALLE,CENTRO
VALLE,LA MISERICORDIA
VALLE,LA ESPERANZA
VALLE,LA ESPERANZA
ANTIOQUIA,CIUDADELA DEL NORTE
ANTIOQUIA,NAVARRA
ANTIOQUIA,LAS BATATAS
ANTIOQUIA,AUTOPISTA NORTE
ANTIOQUIA,VILLAGRANDE
ANTIOQUIA,CENTRO
ANTIOQUIA,BOMBONA 1 C-10
ANTIOQUIA,CENTRO ADMINISTRATIVO C-10
ANTIOQUIA,LA ALPUJARRA C-10
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,CUARTA BRIGADA C-11
ANTIOQUIA,LA CASTELLANA C-11
ANTIOQUIA,CASTILLA C-5
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,PERPETUO SOCORRO C-10
ANTIOQUIA,VERSALLES 1 C-3
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,CENTRO S.C.
ANTIOQUIA,UINIVERSIDAD DE ANTIOQUIA  C-4
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,SAN DIEGO C-10
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,CENTRO  S.A.P.
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,SAN DIEGO C-10
ANTIOQUIA,LA CANDELARIA C-10
ANTIOQUIA,ESTACION VILLA C-10
ANTIOQUIA,LAURELES C-11
ANTIOQUIA,LAURELES C-11
ANTIOQUIA,FATIMA C-16
ANTIOQUIA,SANTA ANA
ANTIOQUIA,AVENIDA GALAN HOYO
ANTIOQUIA,AVENIDA GALAN HOYO
ANTIOQUIA,VIRGEN DEL CARMEN
ANTIOQUIA,VDA. LA DOCTORA
ATLANTICO,SAN VICENTE
ATLANTICO,LAS TORRES
ATLANTICO,LA ARBOLEDA
BOYACA,MANZANARES
BOYACA,BARRIO SANTA RITA
BOYACA,CENTRO
CALDAS,CONCORDIA
CALDAS,BARRIO SAN JOSE
CALDAS,CENTRO
CAQUETA,TORASSO
CAQUETA,LOS ANGELES
CASANARE,LAS FERIAS
CASANARE,CASIQUIARE
CAUCA,CENTRO
CAUCA,LA SAMARIA
CESAR,LOS MILAGROS
CESAR,LAS FLORES
CESAR,VILLA LUZ
CESAR,ICHAGUA
CORDOBA,SANTA TERESA
CORDOBA,EL SUCRE
CORDOBA,EL PRADO
CUNDINAMARCA,PATIO BONITO I E-8
CUNDINAMARCA,TIMIZA CELULA A LOTE RA-2 E-8
CUNDINAMARCA,ATAHUALPA E-9
CUNDINAMARCA,JUAN REY E-4
CUNDINAMARCA,EDUARDO SANTOS E-14
CUNDINAMARCA,MINUTO DE DIOS E-10
CUNDINAMARCA,VILLA LUZ E-10
CUNDINAMARCA,VILLAS DEL MADRIGAL E-10
CUNDINAMARCA,MEISSEN E-19
CUNDINAMARCA,SUCRE E-3
CUNDINAMARCA,PARQUE DE MILENTA II ETAPA E-16
CUNDINAMARCA,SAN DIEGO E-3
CUNDINAMARCA,GRANADA NORTE E-11
CUNDINAMARCA,LA CALLEJA E-1
CUNDINAMARCA,PRINCIPE DE BOCHICA E-18
CUNDINAMARCA,MINUTO DE DIOS E-10
CUNDINAMARCA,LOS LAURELES E-7
CUNDINAMARCA,ALAMEDA E-3
CUNDINAMARCA,SANTA MATILDE I SECTOR E-16
CUNDINAMARCA,PATIO BONITO I E-8
CUNDINAMARCA,KASANDRA E-9
CUNDINAMARCA,MINUTO DE DIOS E-10
CUNDINAMARCA,CHAPINERO NORTE E-2
CUNDINAMARCA,SANTA ANA OCCIDENTAL E-1
CUNDINAMARCA,CHICO NORTE I E-2
CUNDINAMARCA,CIUDAD DE CALI E-8
CUNDINAMARCA,RICAURTE E-14
CUNDINAMARCA,COLINA LINDA E-11
CUNDINAMARCA,SUBA CENTRO E-11
CUNDINAMARCA,SANTA MATILDE I SECTOR E-16
CUNDINAMARCA,SAMPER MENDOZA E-14
CUNDINAMARCA,"CHICO I, II, III"
HUILA,JORGE ELIECER GAITAN
HUILA,JORGE ELIECER GAITAN
HUILA,CANDIDO LEGUIZAMO
HUILA,LA VIRGINIA
HUILA,LA VIRGINIA
MAGDALENA,CENTRO
MAGDALENA,ALTOS DE BAHIA CONCHA
MAGDALENA,VILLA MARBELLA
MAGDALENA,LA ESPERANZA
META,MONTOYA PAVA
META,VILLA JULIA
META,JORDAN
META,CALAMAR
META,LA ESPERANZA IV ETAPA
NARINHO,CENTENARIO
NARINHO,SEMINARIO
NARINHO,CENTRO
NARINHO,VILLA DE LOS RIOS
NARINHO,VILLA DE LOS RIOS
NARINHO,RIO BLANCO
NARINHO,CHAMBU I
NARINHO,SANTA MONICA
NARINHO,EL PILAR
NARINHO,SANTIAGO
NARINHO,VILLA ROSARIO
NORTE DE SANTANDER,BARRIO CALLEJON
NORTE DE SANTANDER,BARRIO LA PLAYA
NORTE DE SANTANDER,BARRIO MOLINOS DEL NORTE
NORTE DE SANTANDER,SECTOR VILLA HISTORICA
QUINDIO,LA ESTACION
QUINDIO,CAFETERO
QUINDIO,CENTRO
QUINDIO,CENTRO
QUINDIO,CENTRO
RISARALDA,SANTA MONICA
RISARALDA,LA PRADERA
RISARALDA,LA BADEA
RISARALDA,SANTA ISABEL 1
RISARALDA,SECTOR PUENTES DE LA 9A CON 12
RISARALDA,CENTRO (B) PEREIRA
RISARALDA,SECTOR PARQUE LA LIBERTAD
RISARALDA,COROCITO
SAN ANDRES,SECTOR CENTRO
SAN ANDRES,FLOWER HILL
SANTANDER,SECTOR COMERCIAL
SANTANDER,PRIMERO DE MAYO
SANTANDER,PROVIVIENDA
SANTANDER,CENTRO
SANTANDER,CAFE MADRID
SANTANDER,MUTIS
SANTANDER,CENTRO
SANTANDER,LAGOS I
SANTANDER,PALERMO
SUCRE,CENTRO
SUCRE,LA BOMBA
SUCRE,LA BOMBA
SUCRE,CENTRO
SUCRE,ZONA RURAL
SUCRE,CGTO PUNTA DE BLANCO
SUCRE,SECTOR PLAZA DE MERCADO ELPAPAYO
SUCRE,SAN ROQUE
TOLIMA,CENTRO
