FECHA,DEPARTAMENTO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NORTE DE SANTANDER
ENERO,NORTE DE SANTANDER
ENERO,QUINDIO
ENERO,QUINDIO
ENERO,QUINDIO
ENERO,QUINDIO
ENERO,QUINDIO
ENERO,QUINDIO
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,RISARALDA
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,SANTANDER
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,TOLIMA
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,VALLE
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
MAYO,QUINDIO
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ANTIOQUIA
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,ATLANTICO
ENERO,BOYACA
ENERO,BOYACA
ENERO,BOYACA
ENERO,CALDAS
ENERO,CALDAS
ENERO,CALDAS
ENERO,CAQUETA
ENERO,CAQUETA
ENERO,CASANARE
ENERO,CASANARE
ENERO,CASANARE
ENERO,CASANARE
ENERO,CASANARE
ENERO,CASANARE
ENERO,CASANARE
ENERO,CASANARE
ENERO,CAUCA
ENERO,CAUCA
ENERO,CAUCA
ENERO,CAUCA
ENERO,CAUCA
ENERO,CAUCA
ENERO,CORDOBA
ENERO,CORDOBA
ENERO,CORDOBA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,CUNDINAMARCA
ENERO,GUAJIRA
ENERO,GUAJIRA
ENERO,GUAJIRA
ENERO,GUAJIRA
ENERO,HUILA
ENERO,HUILA
ENERO,HUILA
ENERO,HUILA
ENERO,MAGDALENA
ENERO,MAGDALENA
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,META
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NARINHO
ENERO,NORTE DE SANTANDER
ENERO,NORTE DE SANTANDER
ENERO,PUTUMAYO
ENERO,PUTUMAYO
ENERO,QUINDIO
