MUNICIPIO,BARRIO
TULUA,URBANIZACION BUENOS AIRES
TULUA,NUEVO FARFAN
TULUA,NUEVO FATIMA
YUMBO,ARROYOHONDO ZONA INDUSTRIAL (25-2)
YUMBO,BELALCAZAR E25
ANDES,SAN PEDRO
BARBOSA,VDA. TABLAZO HATILLO
BELLO,EL CONGOLO
BELLO,ACEVEDO
BELLO,CIUDADELA DEL NORTE
ENVIGADO,PRIMAVERA
ENVIGADO,EL DORADO
LA ESTRELLA,VDA. SIERRA MORENA
MARINILLA,BELLAVISTA
MEDELLIN (CT),SURAMERICANA C-11
MEDELLIN (CT),ESTACION VILLA C-10
MEDELLIN (CT),PARQUE NORTE C-4
MEDELLIN (CT),CASTILLA C-5
MEDELLIN (CT),EL CHAGUALO C-10
MEDELLIN (CT),LA FLORIDA C-14
MEDELLIN (CT),PALENQUE 1 C-7
MEDELLIN (CT),BARRIO CAYCEDO C-9
MEDELLIN (CT),BELLO HORIZONTE C-7
MEDELLIN (CT),BOMBONA 1 C-10
MEDELLIN (CT),CARIBE C-5
MEDELLIN (CT),EL RINCON C-16
MEDELLIN (CT),SEVILLA  C-4
MEDELLIN (CT),GUAYABAL C-15
MEDELLIN (CT),GRANADA C-16
MEDELLIN (CT),VILLANUEVA C-10
MEDELLIN (CT),SANTA CRUZ  C-2
MEDELLIN (CT),ESTACION VILLA C-10
MEDELLIN (CT),CATALUNHA  C-9
MEDELLIN (CT),SEVILLA  C-4
MEDELLIN (CT),CARIBE C-5
MEDELLIN (CT),EL CHAGUALO C-10
NECOCLI,CARIBE
RIONEGRO,SECTOR GALERIA
BARRANQUILLA (CT),EL CARMEN
BARRANQUILLA (CT),BELLA ARENA
LURUACO,SANTA CRUZ
SOLEDAD,LA ARBOLEDA
TURBACO,LA CRUZ
CHIQUINQUIRA,VDA. TENERIA
CHIQUINQUIRA,BARRIO LOS SAUCES
CHIQUINQUIRA,BARRIO POPULAR
MANIZALES (CT),CENTRO
MANIZALES (CT),CRISTO REY
MANIZALES (CT),CRISTO REY
MANIZALES (CT),LA ESTRELLA
VILLAMARIA,URAPANES
FLORENCIA (CT),LA AMAZONIA
