MUNICIPIO,EDAD
NEIVA (CT),ADULTO
NEIVA (CT),ANCIANO
NEIVA (CT),ADULTO
PALESTINA,ADULTOMAYOR
SAN AGUSTIN,ADULTOMAYOR
SANTA MARTA (CT),ADULTOJOVEN
SANTA MARTA (CT),ADULTOJOVEN
SANTA MARTA (CT),ADULTOJOVEN
SANTA MARTA (CT),ANCIANO
SANTA MARTA (CT),ADOLESCENTE
SANTA MARTA (CT),ADULTOJOVEN
SANTA MARTA (CT),ADULTOJOVEN
SANTA MARTA (CT),ADULTO
SANTA MARTA (CT),ADULTOJOVEN
SANTA MARTA (CT),ADULTOJOVEN
SANTA MARTA (CT),ADULTO
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTOMAYOR
VILLAVICENCIO (CT),ADULTO
IPIALES,ADULTO
IPIALES,ADULTO
IPIALES,ADULTO
PASTO (CT),ADULTO
PASTO (CT),ADULTO
TUQUERRES,ADULTOJOVEN
CUCUTA (CT),ADULTOJOVEN
CUCUTA (CT),ANCIANO
CUCUTA (CT),ADULTOJOVEN
CUCUTA (CT),ADULTOJOVEN
ARMENIA (CT),ADULTO
ARMENIA (CT),ADOLESCENTE
ARMENIA (CT),ADULTOJOVEN
ARMENIA (CT),ADOLESCENTE
ARMENIA (CT),ADULTOJOVEN
ARMENIA (CT),ADULTOJOVEN
SALENTO,ADULTOJOVEN
DOSQUEBRADAS,ADULTO
DOSQUEBRADAS,ADOLESCENTE
DOSQUEBRADAS,ADULTOJOVEN
DOSQUEBRADAS,ADULTOJOVEN
PEREIRA (CT),ADULTOJOVEN
PEREIRA (CT),ADOLESCENTE
PEREIRA (CT),ADULTOJOVEN
PEREIRA (CT),ADULTO
PEREIRA (CT),ADULTOJOVEN
BARRANCABERMEJA,ADULTO
BARRANCABERMEJA,ADULTO
BARRANCABERMEJA,ADULTOJOVEN
BARRANCABERMEJA,ADULTOJOVEN
BARRANCABERMEJA,ADULTOJOVEN
BUCARAMANGA (CT),ADULTOMAYOR
BUCARAMANGA (CT),ADULTOMAYOR
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ADULTO
FLORIDABLANCA,ADULTOJOVEN
FLORIDABLANCA,ADULTOJOVEN
FLORIDABLANCA,ADULTOJOVEN
GIRON,ADULTOJOVEN
GIRON,ADULTOJOVEN
GIRON,NINHO
COVENHAS,ADULTO
COVENHAS,ADULTO
SAN LUIS DE SINCE,ANCIANO
SINCELEJO (CT),ADULTOJOVEN
SINCELEJO (CT),ADULTOMAYOR
CHAPARRAL,ADULTO
CHAPARRAL,ADOLESCENTE
IBAGUE (CT),ADULTOJOVEN
IBAGUE (CT),ADULTO
IBAGUE (CT),ADULTO
IBAGUE (CT),ADULTO
IBAGUE (CT),ADULTOJOVEN
IBAGUE (CT),ADULTOJOVEN
IBAGUE (CT),ADULTO
IBAGUE (CT),ADULTOJOVEN
IBAGUE (CT),ADULTOMAYOR
LIBANO,ADULTO
BUENAVENTURA,ADULTOMAYOR
BUENAVENTURA,ADULTOMAYOR
CALI (CT),ADOLESCENTE
CALI (CT),ANCIANO
CALI (CT),ADULTO
CALI (CT),ADULTO
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOJOVEN
CALI (CT),ANCIANO
CALI (CT),ADULTOMAYOR
CALI (CT),ADULTO
CALI (CT),ADULTO
CALI (CT),ADULTO
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOMAYOR
CALI (CT),ADULTOMAYOR
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOJOVEN
CALI (CT),ADOLESCENTE
CALI (CT),ADULTO
GUACARI,ADULTOJOVEN
PALMIRA,ADULTO
PALMIRA,ADULTO
YUMBO,ADULTOJOVEN
PUERTO CARRENHO (CT),ADULTOJOVEN
BELLO,ADULTOJOVEN
BELLO,ADULTOJOVEN
ENVIGADO,ADULTOMAYOR
MEDELLIN (CT),ADULTOMAYOR
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ANCIANO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOMAYOR
MEDELLIN (CT),ADULTOMAYOR
MEDELLIN (CT),ANCIANO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOMAYOR
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOMAYOR
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOMAYOR
RIONEGRO,ADULTO
YONDO,ADULTOMAYOR
ARAUCA (CT),ADULTO
BARRANQUILLA (CT),ADULTO
PALMAR DE VARELA,ADOLESCENTE
SOLEDAD,ADULTO
SOLEDAD,ADULTO
CARTAGENA (CT),ADULTO
DUITAMA,ADOLESCENTE
SOGAMOSO,ADULTOJOVEN
TUNJA (CT),ADULTOJOVEN
TUNJA (CT),ADULTOJOVEN
CHINCHINA,ADULTO
CHINCHINA,ADULTO
MANIZALES (CT),ADULTOJOVEN
MANIZALES (CT),ADULTOMAYOR
MANIZALES (CT),ADULTOMAYOR
FLORENCIA (CT),ADULTOJOVEN
POPAYAN (CT),ADULTOJOVEN
POPAYAN (CT),ADULTOJOVEN
POPAYAN (CT),ADULTOMAYOR
POPAYAN (CT),ADULTOJOVEN
POPAYAN (CT),ADULTOJOVEN
POPAYAN (CT),ADULTOJOVEN
VALLEDUPAR (CT),ADULTO
VALLEDUPAR (CT),ADULTO
VALLEDUPAR (CT),ADULTOMAYOR
VALLEDUPAR (CT),ADULTOJOVEN
MONTERIA (CT),ADULTO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADOLESCENTE
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
CAQUEZA,ADULTO
SOACHA,ADULTO
TENJO,ADULTOJOVEN
RIOHACHA (CT),ADULTO
RIOHACHA (CT),ADULTO
GARZON,ADULTO
GARZON,ANCIANO
NEIVA (CT),ADULTO
NEIVA (CT),ADULTOJOVEN
NEIVA (CT),ADULTOMAYOR
PITALITO,ADULTOJOVEN
PITALITO,ADULTO
ARACATACA,ADULTOJOVEN
SANTA MARTA (CT),ADULTOMAYOR
SANTA MARTA (CT),ADULTO
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTOMAYOR
VILLAVICENCIO (CT),ADULTOJOVEN
VILLAVICENCIO (CT),ADULTOJOVEN
VILLAVICENCIO (CT),ADULTOJOVEN
VILLAVICENCIO (CT),ADULTOJOVEN
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTOJOVEN
VILLAVICENCIO (CT),ADULTOJOVEN
VILLAVICENCIO (CT),ADULTOJOVEN
VILLAVICENCIO (CT),ADULTOJOVEN
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTOJOVEN
VILLAVICENCIO (CT),ADULTOJOVEN
PASTO (CT),ADULTO
PASTO (CT),ADULTO
CUCUTA (CT),ADULTOJOVEN
CUCUTA (CT),OTRA
MOCOA (CT),ADULTO
MOCOA (CT),ADULTO
ARMENIA (CT),ANCIANO
ARMENIA (CT),ADULTOJOVEN
ARMENIA (CT),OTRA
ARMENIA (CT),ADULTOJOVEN
LA TEBAIDA,ADULTOMAYOR
DOSQUEBRADAS,ADULTOJOVEN
PEREIRA (CT),ADULTOJOVEN
PEREIRA (CT),ADULTOJOVEN
PEREIRA (CT),ADULTO
PEREIRA (CT),ADULTO
PEREIRA (CT),OTRA
PEREIRA (CT),ADULTOMAYOR
PEREIRA (CT),ADULTO
PEREIRA (CT),ADULTO
SANTA ROSA DE CABAL,ADULTO
BARRANCABERMEJA,ADULTO
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ADULTOMAYOR
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ADULTOJOVEN
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ADULTOJOVEN
BUCARAMANGA (CT),ADULTOJOVEN
BUCARAMANGA (CT),ADOLESCENTE
FLORIDABLANCA,ADULTO
GIRON,ADULTOJOVEN
GIRON,ADULTO
GIRON,ADULTOJOVEN
PIEDECUESTA,ADULTOJOVEN
PIEDECUESTA,ADULTOMAYOR
SAN GIL,ADULTOJOVEN
VELEZ,ADULTOJOVEN
COROZAL,ADULTOJOVEN
SINCELEJO (CT),ADULTOJOVEN
SINCELEJO (CT),ADULTOJOVEN
SINCELEJO (CT),ADULTOJOVEN
SINCELEJO (CT),ADULTOJOVEN
CHAPARRAL,ADULTO
HONDA,ADULTO
IBAGUE (CT),ADULTOJOVEN
IBAGUE (CT),ADULTOJOVEN
IBAGUE (CT),ADULTO
IBAGUE (CT),ADULTO
IBAGUE (CT),ADULTOJOVEN
IBAGUE (CT),OTRA
IBAGUE (CT),ADULTO
SANTA ISABEL,ADULTO
BUENAVENTURA,ADULTOMAYOR
CALI (CT),ADULTOMAYOR
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTO
CALI (CT),ADULTO
CALI (CT),ADULTOMAYOR
CALI (CT),ADULTO
CALI (CT),ADULTO
CALI (CT),ANCIANO
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTO
CALI (CT),ANCIANO
CALI (CT),ADULTO
CALI (CT),ADULTO
CALI (CT),ADULTO
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTO
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTO
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTO
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOMAYOR
CALI (CT),ADULTOJOVEN
EL CERRITO,ADULTO
GUACARI,ADULTO
PALMIRA,ADULTOJOVEN
PALMIRA,ADULTO
PALMIRA,ADULTOJOVEN
PALMIRA,ADULTO
PRADERA,ADULTO
SEVILLA,ADULTOJOVEN
YUMBO,ADULTOMAYOR
BELLO,ADULTOJOVEN
ENVIGADO,ADULTOJOVEN
GUARNE,ADULTOJOVEN
ITAGUI,ADULTOJOVEN
ITAGUI,ADULTOMAYOR
LA PINTADA,ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOMAYOR
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ANCIANO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOMAYOR
MEDELLIN (CT),ADULTOMAYOR
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADOLESCENTE
MEDELLIN (CT),ADULTO
RIONEGRO,ADULTOMAYOR
URRAO,ADULTO
BARRANQUILLA (CT),ADULTOMAYOR
BARRANQUILLA (CT),ADULTOMAYOR
BARRANQUILLA (CT),ADULTOMAYOR
BARRANQUILLA (CT),ADULTOJOVEN
SOLEDAD,ADULTO
CARTAGENA (CT),ADULTOJOVEN
CARTAGENA (CT),ADULTOJOVEN
CHIQUINQUIRA,ADOLESCENTE
TUNJA (CT),ADULTO
TUNJA (CT),ADULTOMAYOR
TUNJA (CT),ADOLESCENTE
TUNJA (CT),ADOLESCENTE
CHINCHINA,ADULTOJOVEN
LA DORADA,ANCIANO
MANIZALES (CT),ADULTOJOVEN
MANIZALES (CT),ADOLESCENTE
MANIZALES (CT),ADULTO
FLORENCIA (CT),ADULTOJOVEN
FLORENCIA (CT),ADULTOJOVEN
FLORENCIA (CT),ADULTO
FLORENCIA (CT),ADULTO
YOPAL (CT),ADULTO
POPAYAN (CT),ADULTOJOVEN
POPAYAN (CT),ADULTOJOVEN
SANTANDER DE QUILICHAO,ADULTOMAYOR
QUIBDO (CT),ADULTOJOVEN
MONTELIBANO,ADULTO
MONTELIBANO,ADULTO
MONTERIA (CT),ADULTOMAYOR
MONTERIA (CT),ANCIANO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ANCIANO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ANCIANO
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADOLESCENTE
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ANCIANO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADOLESCENTE
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
FUSAGASUGA,ADULTO
RIOHACHA (CT),ADULTO
RIOHACHA (CT),ADULTO
URUMITA,ADULTOJOVEN
GARZON,ADULTOJOVEN
NEIVA (CT),ADULTO
NEIVA (CT),ADULTOJOVEN
NEIVA (CT),ADULTOJOVEN
PITALITO,ADULTO
CIENAGA,ADULTOJOVEN
SANTA MARTA (CT),ADULTOMAYOR
SANTA MARTA (CT),ADULTO
SANTA MARTA (CT),ADULTOJOVEN
SANTA MARTA (CT),ADULTO
SANTA MARTA (CT),ADULTO
SANTA MARTA (CT),OTRA
SANTA MARTA (CT),OTRA
PUERTO LLERAS,ADULTOJOVEN
PUERTO LOPEZ,ADULTOJOVEN
PUERTO LOPEZ,ADULTOJOVEN
RESTREPO,ADULTO
RESTREPO,ADULTO
RESTREPO,ADULTO
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTO
IPIALES,ADULTOMAYOR
IPIALES,ADULTOJOVEN
IPIALES,ADULTOJOVEN
IPIALES,ADULTOJOVEN
PASTO (CT),ADOLESCENTE
PASTO (CT),ADULTOMAYOR
PASTO (CT),ADULTOJOVEN
TUQUERRES,ADULTOJOVEN
TUQUERRES,ADULTOJOVEN
CUCUTA (CT),ADULTOJOVEN
CUCUTA (CT),ADULTOJOVEN
CUCUTA (CT),ADULTO
ARMENIA (CT),ADULTOJOVEN
CALARCA,ADULTOJOVEN
CALARCA,ADULTOJOVEN
CALARCA,ADULTO
DOSQUEBRADAS,ADULTOJOVEN
PEREIRA (CT),ADULTOJOVEN
PEREIRA (CT),ADULTOJOVEN
PEREIRA (CT),ADULTOJOVEN
PEREIRA (CT),ADULTO
PEREIRA (CT),ADULTO
SAN ANDRES (CT),ANCIANO
BARRANCABERMEJA,ADULTO
BARRANCABERMEJA,ADULTOMAYOR
BARRANCABERMEJA,ADULTOMAYOR
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ANCIANO
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ADULTOJOVEN
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ADULTOJOVEN
BUCARAMANGA (CT),ADULTOJOVEN
BUCARAMANGA (CT),ADULTOJOVEN
BUCARAMANGA (CT),NINHO
BUCARAMANGA (CT),ADULTOJOVEN
FLORIDABLANCA,ADULTOMAYOR
FLORIDABLANCA,ADULTOMAYOR
FLORIDABLANCA,ADULTOMAYOR
FLORIDABLANCA,ADULTOMAYOR
GIRON,ADULTOMAYOR
SOCORRO,ADULTOJOVEN
SAN ONOFRE,ADULTOJOVEN
SINCELEJO (CT),ADULTO
IBAGUE (CT),ADULTO
IBAGUE (CT),ADULTOJOVEN
IBAGUE (CT),ADULTO
IBAGUE (CT),ADULTOJOVEN
IBAGUE (CT),ADULTOJOVEN
IBAGUE (CT),ADULTO
IBAGUE (CT),ADULTOJOVEN
MELGAR,ADULTO
ORTEGA,ADULTO
ORTEGA,ADOLESCENTE
VALLE DE SAN JUAN,ADULTOJOVEN
CALI (CT),ADULTO
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOMAYOR
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTO
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTO
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTO
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOMAYOR
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTO
CALI (CT),ADULTOMAYOR
CALI (CT),ADULTO
CALI (CT),ADULTO
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOJOVEN
CALI (CT),ADULTOJOVEN
GUADALAJARA DE BUGA,ADULTO
JAMUNDI,ADULTO
PALMIRA,ADOLESCENTE
PALMIRA,ADULTO
PALMIRA,ADULTO
PALMIRA,ADULTO
ZARZAL,OTRA
BELLO,ADULTO
BELLO,ADULTOJOVEN
BELLO,ADULTOMAYOR
EBEJICO,ADULTO
ENVIGADO,ADULTOMAYOR
ENVIGADO,ADULTOJOVEN
ENVIGADO,ADULTOJOVEN
ENVIGADO,ADOLESCENTE
GUARNE,ADOLESCENTE
ITAGUI,ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ANCIANO
MEDELLIN (CT),ADOLESCENTE
MEDELLIN (CT),ADOLESCENTE
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOMAYOR
MEDELLIN (CT),ADULTOMAYOR
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTO
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
MEDELLIN (CT),ADULTOJOVEN
PUERTO BERRIO,ADULTO
SANTA ROSA DE OSOS,ADULTOJOVEN
ARAUCA (CT),ADULTO
BARRANQUILLA (CT),ADULTOJOVEN
BARRANQUILLA (CT),ADULTO
BARRANQUILLA (CT),ADULTOMAYOR
BARRANQUILLA (CT),ADULTOJOVEN
SABANALARGA,OTRA
TUNJA (CT),ADULTO
TUNJA (CT),ADULTO
TUNJA (CT),ADULTO
LA DORADA,OTRA
MANIZALES (CT),ADULTOMAYOR
MANIZALES (CT),ADULTOJOVEN
MANIZALES (CT),ADULTO
NEIRA,ADULTOMAYOR
SUPIA,ADULTOJOVEN
FLORENCIA (CT),ADULTOJOVEN
SAN VICENTE DEL CAGUAN,ADULTOJOVEN
TRINIDAD,ADULTOJOVEN
POPAYAN (CT),ADULTOJOVEN
POPAYAN (CT),ADULTOMAYOR
POPAYAN (CT),ADULTOJOVEN
POPAYAN (CT),ADULTOJOVEN
VALLEDUPAR (CT),ADULTOJOVEN
VALLEDUPAR (CT),ADOLESCENTE
VALLEDUPAR (CT),ADULTO
VALLEDUPAR (CT),ADULTO
VALLEDUPAR (CT),ADULTOJOVEN
VALLEDUPAR (CT),ADULTO
VALLEDUPAR (CT),ADULTOJOVEN
MOMIL,ADULTO
MONTERIA (CT),ADULTOJOVEN
MONTERIA (CT),ADULTOJOVEN
MONTERIA (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ADOLESCENTE
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOMAYOR
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTO
BOGOTA D.C. (CT),ADULTOJOVEN
BOGOTA D.C. (CT),ADULTOMAYOR
FONSECA,ADULTOJOVEN
FONSECA,ADULTOJOVEN
MAICAO,ADULTOJOVEN
RIOHACHA (CT),ADULTO
RIOHACHA (CT),ADULTOMAYOR
RIOHACHA (CT),ADULTOMAYOR
RIOHACHA (CT),OTRA
RIOHACHA (CT),OTRA
CAMPOALEGRE,ADULTOJOVEN
GARZON,ADULTO
NEIVA (CT),ADULTOMAYOR
PITALITO,ADULTO
SANTA MARTA (CT),ADULTOMAYOR
SANTA MARTA (CT),ANCIANO
SANTA MARTA (CT),ANCIANO
SANTA MARTA (CT),ADULTOJOVEN
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTOJOVEN
VILLAVICENCIO (CT),ADULTO
VILLAVICENCIO (CT),ADULTOJOVEN
VILLAVICENCIO (CT),ADULTOMAYOR
PASTO (CT),ADULTOMAYOR
PASTO (CT),ADULTOJOVEN
PASTO (CT),ADULTOMAYOR
PASTO (CT),ADULTOJOVEN
PASTO (CT),ADULTOMAYOR
PASTO (CT),OTRA
CUCUTA (CT),ADOLESCENTE
CUCUTA (CT),ADULTO
ARMENIA (CT),ANCIANO
ARMENIA (CT),ADULTOMAYOR
CIRCASIA,ADULTOMAYOR
QUIMBAYA,ADULTO
QUIMBAYA,NINHO
QUIMBAYA,ADULTO
PEREIRA (CT),ADULTOJOVEN
PEREIRA (CT),ADULTO
PEREIRA (CT),ADULTOMAYOR
PEREIRA (CT),ADULTOJOVEN
PEREIRA (CT),ADULTOJOVEN
SANTA ROSA DE CABAL,ADULTOJOVEN
SAN ANDRES (CT),ADULTO
SAN ANDRES (CT),ADULTOJOVEN
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ADULTOJOVEN
BUCARAMANGA (CT),ADOLESCENTE
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ADULTOMAYOR
BUCARAMANGA (CT),ADULTOMAYOR
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ADULTO
BUCARAMANGA (CT),ADULTOJOVEN
BUCARAMANGA (CT),ADULTOJOVEN
BUCARAMANGA (CT),ADULTOJOVEN
FLORIDABLANCA,ADULTO
FLORIDABLANCA,ADULTO
FLORIDABLANCA,ADULTO
FLORIDABLANCA,ADULTOJOVEN
FLORIDABLANCA,ADULTO
FLORIDABLANCA,ADULTO
FLORIDABLANCA,ADULTO
GIRON,ADOLESCENTE
PIEDECUESTA,ADULTOJOVEN
PIEDECUESTA,ADOLESCENTE
SAN GIL,ADULTOJOVEN
SINCELEJO (CT),ADULTO
IBAGUE (CT),ADULTOMAYOR
IBAGUE (CT),ADULTOJOVEN
IBAGUE (CT),ADULTOJOVEN
IBAGUE (CT),ADULTO
IBAGUE (CT),ADULTOJOVEN
IBAGUE (CT),ADULTOJOVEN
