FECHA,MUNICIPIO
ENERO,PUERTO TEJADA
ENERO,VALLEDUPAR (CT)
ENERO,VALLEDUPAR (CT)
ENERO,VALLEDUPAR (CT)
ENERO,QUIBDO (CT)
ENERO,MONTERIA (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,BOGOTA D.C. (CT)
ENERO,MAICAO
ENERO,MAICAO
ENERO,VILLANUEVA
ENERO,SAN JOSE DEL GUAVIARE (CT)
ENERO,GARZON
ENERO,NEIVA (CT)
ENERO,NEIVA (CT)
ENERO,NEIVA (CT)
ENERO,SANTA MARTA (CT)
ENERO,SANTA MARTA (CT)
ENERO,SANTA MARTA (CT)
ENERO,SANTA MARTA (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,VILLAVICENCIO (CT)
ENERO,IPIALES
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,PASTO (CT)
ENERO,CUCUTA (CT)
ENERO,CUCUTA (CT)
ENERO,ARMENIA (CT)
ENERO,ARMENIA (CT)
ENERO,ARMENIA (CT)
ENERO,ARMENIA (CT)
ENERO,QUIMBAYA
ENERO,QUIMBAYA
ENERO,BELEN DE UMBRIA
ENERO,BELEN DE UMBRIA
ENERO,BELEN DE UMBRIA
ENERO,DOSQUEBRADAS
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,PEREIRA (CT)
ENERO,BARRANCABERMEJA
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,BUCARAMANGA (CT)
ENERO,FLORIDABLANCA
ENERO,FLORIDABLANCA
ENERO,ALVARADO
ENERO,CAJAMARCA
ENERO,ESPINAL
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CALI (CT)
ENERO,CANDELARIA
ENERO,CANDELARIA
ENERO,CANDELARIA
ENERO,GUADALAJARA DE BUGA
ENERO,JAMUNDI
ENERO,PALMIRA
ENERO,PALMIRA
ENERO,PALMIRA
ENERO,SEVILLA
ENERO,BARBOSA
ENERO,BELLO
ENERO,CAUCASIA
ENERO,CISNEROS
ENERO,COPACABANA
ENERO,ITAGUI
ENERO,ITAGUI
ENERO,ITAGUI
ENERO,ITAGUI
ENERO,MARINILLA
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
ENERO,MEDELLIN (CT)
