MUNICIPIO,HORA
MEDELLIN (CT),NOCHE
MEDELLIN (CT),MANHANA
MEDELLIN (CT),NOCHE
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),TARDE
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),MOVILIZACIONVESPERTINA
MEDELLIN (CT),NOCHE
MEDELLIN (CT),TARDE
MEDELLIN (CT),MOVILIZACIONVESPERTINA
NECOCLI,MOVILIZACIONVESPERTINA
RIONEGRO,TARDE
BARRANQUILLA (CT),MOVILIZACIONMATUTINA
BARRANQUILLA (CT),TARDE
LURUACO,MANHANA
SOLEDAD,ALMUERZO
TURBACO,MANHANA
CHIQUINQUIRA,MOVILIZACIONVESPERTINA
CHIQUINQUIRA,NOCHE
CHIQUINQUIRA,MADRUGADA
MANIZALES (CT),NOCHE
MANIZALES (CT),MADRUGADA
MANIZALES (CT),MADRUGADA
MANIZALES (CT),MOVILIZACIONVESPERTINA
VILLAMARIA,NOCHE
FLORENCIA (CT),NOCHE
FLORENCIA (CT),MOVILIZACIONVESPERTINA
SAN VICENTE DEL CAGUAN,TARDE
TAURAMENA,ALMUERZO
YOPAL (CT),NOCHE
PUERTO TEJADA,NOCHE
VALLEDUPAR (CT),MOVILIZACIONVESPERTINA
VALLEDUPAR (CT),MADRUGADA
VALLEDUPAR (CT),MADRUGADA
QUIBDO (CT),TARDE
MONTERIA (CT),MANHANA
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),ALMUERZO
BOGOTA D.C. (CT),TARDE
BOGOTA D.C. (CT),ALMUERZO
BOGOTA D.C. (CT),MANHANA
BOGOTA D.C. (CT),MANHANA
BOGOTA D.C. (CT),NOCHE
BOGOTA D.C. (CT),ALMUERZO
BOGOTA D.C. (CT),MADRUGADA
BOGOTA D.C. (CT),MADRUGADA
BOGOTA D.C. (CT),MANHANA
BOGOTA D.C. (CT),MOVILIZACIONVESPERTINA
BOGOTA D.C. (CT),NOCHE
MAICAO,TARDE
MAICAO,NOCHE
VILLANUEVA,MOVILIZACIONVESPERTINA
SAN JOSE DEL GUAVIARE (CT),MADRUGADA
GARZON,MOVILIZACIONVESPERTINA
NEIVA (CT),MADRUGADA
NEIVA (CT),MOVILIZACIONVESPERTINA
NEIVA (CT),MANHANA
SANTA MARTA (CT),MOVILIZACIONVESPERTINA
SANTA MARTA (CT),ALMUERZO
SANTA MARTA (CT),MANHANA
SANTA MARTA (CT),NOCHE
VILLAVICENCIO (CT),TARDE
VILLAVICENCIO (CT),MADRUGADA
VILLAVICENCIO (CT),TARDE
VILLAVICENCIO (CT),MOVILIZACIONVESPERTINA
VILLAVICENCIO (CT),NOCHE
IPIALES,NOCHE
PASTO (CT),MOVILIZACIONVESPERTINA
PASTO (CT),MOVILIZACIONVESPERTINA
PASTO (CT),MANHANA
PASTO (CT),MANHANA
PASTO (CT),NOCHE
PASTO (CT),MANHANA
PASTO (CT),MOVILIZACIONVESPERTINA
PASTO (CT),MANHANA
PASTO (CT),TARDE
PASTO (CT),TARDE
PASTO (CT),MOVILIZACIONMATUTINA
PASTO (CT),MOVILIZACIONMATUTINA
PASTO (CT),MOVILIZACIONVESPERTINA
PASTO (CT),ALMUERZO
PASTO (CT),NOCHE
PASTO (CT),MANHANA
PASTO (CT),MANHANA
CUCUTA (CT),MADRUGADA
CUCUTA (CT),NOCHE
ARMENIA (CT),NOCHE
ARMENIA (CT),ALMUERZO
ARMENIA (CT),NOCHE
ARMENIA (CT),ALMUERZO
QUIMBAYA,NOCHE
QUIMBAYA,NOCHE
BELEN DE UMBRIA,MADRUGADA
BELEN DE UMBRIA,MADRUGADA
BELEN DE UMBRIA,MADRUGADA
DOSQUEBRADAS,MOVILIZACIONVESPERTINA
PEREIRA (CT),ALMUERZO
PEREIRA (CT),ALMUERZO
PEREIRA (CT),MOVILIZACIONVESPERTINA
