MUNICIPIO,DIA
CHIQUINQUIRA,LUNES
MANIZALES (CT),LUNES
MANIZALES (CT),LUNES
MANIZALES (CT),LUNES
MANIZALES (CT),LUNES
VILLAMARIA,LUNES
FLORENCIA (CT),LUNES
FLORENCIA (CT),LUNES
SAN VICENTE DEL CAGUAN,LUNES
TAURAMENA,LUNES
YOPAL (CT),LUNES
PUERTO TEJADA,LUNES
VALLEDUPAR (CT),LUNES
VALLEDUPAR (CT),LUNES
VALLEDUPAR (CT),LUNES
QUIBDO (CT),LUNES
MONTERIA (CT),LUNES
BOGOTA D.C. (CT),LUNES
BOGOTA D.C. (CT),LUNES
BOGOTA D.C. (CT),LUNES
BOGOTA D.C. (CT),LUNES
BOGOTA D.C. (CT),LUNES
BOGOTA D.C. (CT),LUNES
BOGOTA D.C. (CT),LUNES
BOGOTA D.C. (CT),LUNES
BOGOTA D.C. (CT),LUNES
BOGOTA D.C. (CT),LUNES
BOGOTA D.C. (CT),LUNES
BOGOTA D.C. (CT),LUNES
BOGOTA D.C. (CT),LUNES
MAICAO,LUNES
MAICAO,LUNES
VILLANUEVA,LUNES
SAN JOSE DEL GUAVIARE (CT),LUNES
GARZON,LUNES
NEIVA (CT),LUNES
NEIVA (CT),LUNES
NEIVA (CT),LUNES
SANTA MARTA (CT),LUNES
SANTA MARTA (CT),LUNES
SANTA MARTA (CT),LUNES
SANTA MARTA (CT),LUNES
VILLAVICENCIO (CT),LUNES
VILLAVICENCIO (CT),LUNES
VILLAVICENCIO (CT),LUNES
VILLAVICENCIO (CT),LUNES
VILLAVICENCIO (CT),LUNES
IPIALES,LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
PASTO (CT),LUNES
CUCUTA (CT),LUNES
CUCUTA (CT),LUNES
ARMENIA (CT),LUNES
ARMENIA (CT),LUNES
ARMENIA (CT),LUNES
ARMENIA (CT),LUNES
QUIMBAYA,LUNES
QUIMBAYA,LUNES
BELEN DE UMBRIA,LUNES
BELEN DE UMBRIA,LUNES
BELEN DE UMBRIA,LUNES
DOSQUEBRADAS,LUNES
PEREIRA (CT),LUNES
PEREIRA (CT),LUNES
PEREIRA (CT),LUNES
PEREIRA (CT),LUNES
PEREIRA (CT),LUNES
PEREIRA (CT),LUNES
BARRANCABERMEJA,LUNES
BUCARAMANGA (CT),LUNES
BUCARAMANGA (CT),LUNES
BUCARAMANGA (CT),LUNES
BUCARAMANGA (CT),LUNES
BUCARAMANGA (CT),LUNES
BUCARAMANGA (CT),LUNES
BUCARAMANGA (CT),LUNES
FLORIDABLANCA,LUNES
FLORIDABLANCA,LUNES
ALVARADO,LUNES
CAJAMARCA,LUNES
ESPINAL,LUNES
CALI (CT),LUNES
CALI (CT),LUNES
CALI (CT),LUNES
CALI (CT),LUNES
CALI (CT),LUNES
CALI (CT),LUNES
CALI (CT),LUNES
CALI (CT),LUNES
CALI (CT),LUNES
CALI (CT),LUNES
CALI (CT),LUNES
CALI (CT),LUNES
CALI (CT),LUNES
CALI (CT),LUNES
CANDELARIA,LUNES
CANDELARIA,LUNES
CANDELARIA,LUNES
GUADALAJARA DE BUGA,LUNES
JAMUNDI,LUNES
PALMIRA,LUNES
PALMIRA,LUNES
PALMIRA,LUNES
SEVILLA,LUNES
BARBOSA,MARTES
BELLO,MARTES
CAUCASIA,MARTES
CISNEROS,MARTES
COPACABANA,MARTES
ITAGUI,MARTES
ITAGUI,MARTES
ITAGUI,MARTES
ITAGUI,MARTES
MARINILLA,MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
CALARCA,MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
MEDELLIN (CT),MARTES
RETIRO,MARTES
RIONEGRO,MARTES
RIONEGRO,MARTES
RIONEGRO,MARTES
RIONEGRO,MARTES
SABANETA,MARTES
SANTO DOMINGO,MARTES
SANTO DOMINGO,MARTES
BARRANQUILLA (CT),MARTES
BARRANQUILLA (CT),MARTES
BARRANQUILLA (CT),MARTES
BARRANQUILLA (CT),MARTES
BARRANQUILLA (CT),MARTES
BARRANQUILLA (CT),MARTES
BARRANQUILLA (CT),MARTES
BARRANQUILLA (CT),MARTES
DUITAMA,MARTES
SOGAMOSO,MARTES
TUNJA (CT),MARTES
LA DORADA,MARTES
MANIZALES (CT),MARTES
MANIZALES (CT),MARTES
FLORENCIA (CT),MARTES
FLORENCIA (CT),MARTES
MANI,MARTES
MANI,MARTES
MANI,MARTES
MANI,MARTES
MANI,MARTES
MONTERREY,MARTES
PAZ DE ARIPORO,MARTES
PAZ DE ARIPORO,MARTES
PATIA,MARTES
POPAYAN (CT),MARTES
POPAYAN (CT),MARTES
POPAYAN (CT),MARTES
POPAYAN (CT),MARTES
POPAYAN (CT),MARTES
AYAPEL,MARTES
MONTERIA (CT),MARTES
MONTERIA (CT),MARTES
BOGOTA D.C. (CT),MARTES
BOGOTA D.C. (CT),MARTES
BOGOTA D.C. (CT),MARTES
BOGOTA D.C. (CT),MARTES
BOGOTA D.C. (CT),MARTES
BOGOTA D.C. (CT),MARTES
BOGOTA D.C. (CT),MARTES
BOGOTA D.C. (CT),MARTES
BOGOTA D.C. (CT),MARTES
BOGOTA D.C. (CT),MARTES
BOGOTA D.C. (CT),MARTES
BOGOTA D.C. (CT),MARTES
BOGOTA D.C. (CT),MARTES
MAICAO,MARTES
RIOHACHA (CT),MARTES
RIOHACHA (CT),MARTES
VILLANUEVA,MARTES
NEIVA (CT),MARTES
NEIVA (CT),MARTES
PITALITO,MARTES
TIMANA,MARTES
SANTA MARTA (CT),MARTES
SANTA MARTA (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
VILLAVICENCIO (CT),MARTES
IPIALES,MARTES
IPIALES,MARTES
IPIALES,MARTES
IPIALES,MARTES
IPIALES,MARTES
