HORA,BARRIO
NOCHE,LA CASTELLANA C-11
TARDE,LA CANDELARIA C-10
MOVILIZACIONVESPERTINA,LA CANDELARIA C-10
TARDE,BARRIO COLOMBIA C-14
NOCHE,BELEN C-16
NOCHE,LA CANDELARIA C-10
NOCHE,SANTA CRUZ  C-2
MADRUGADA,CUARTA BRIGADA C-11
MADRUGADA,ESTACION VILLA C-10
NOCHE,LA CANDELARIA C-10
MOVILIZACIONVESPERTINA,CALLE NUEVA C-10
MOVILIZACIONVESPERTINA,LOS BALSOS 1 C-14
NOCHE,SAN ANTONIO C-8
MADRUGADA,GUAYABAL C-15
NOCHE,LA CANDELARIA C-10
NOCHE,SANTO DOMINGO  2 C-1
MANHANA,EL POBLADO C-14
MADRUGADA,GIRARDOT C-5
NOCHE,LA CANDELARIA C-10
MANHANA,SECTOR SAN ANTONIO
MOVILIZACIONVESPERTINA,CORDIALIDAD
NOCHE,CENTRO
NOCHE,SAN JUAN BOSCO
NOCHE,EL CENTRO
TARDE,SECTOR EL CENTRO
NOCHE,BARRIO REMPUJO
MADRUGADA,CENTRO
TARDE,VDA. CENTRO
MOVILIZACIONVESPERTINA,BARRIO LIBERTADOR
NOCHE,BENGALA
MANHANA,CENTRO
MOVILIZACIONMATUTINA,VILLA CARMENZA
MOVILIZACIONVESPERTINA,CENTRO
NOCHE,CENTRO
NOCHE,LAS MALVINAS
MOVILIZACIONVESPERTINA,LA NIATA
TARDE,LA FLORESTA
TARDE,LA ELISA
TARDE,LA ELISA
ALMUERZO,SANTA ELENA
MOVILIZACIONVESPERTINA,LA SOMBRILLA
MOVILIZACIONVESPERTINA,JOSE MARIA OBANDO
MOVILIZACIONVESPERTINA,SAN JOSE
MADRUGADA,EL RECUERDO
NOCHE,ALMENDROS
TARDE,FUNDADORES
TARDE,FUNDADORES
NOCHE,NOVALITO
NOCHE,NOVALITO
MANHANA,7 DE AGOSTO
ALMUERZO,CARACOLI
ALMUERZO,CARACOLI
MANHANA,EL CENTRO
MANHANA,URB. BELMIRA E-1
MOVILIZACIONVESPERTINA,LAS MARGARITAS E-8
MOVILIZACIONVESPERTINA,URB. GUACAMAYAS E-4
ALMUERZO,PATIO BONITO I E-8
ALMUERZO,RICAURTE E-14
TARDE,MARLY E-2
TARDE,RICAURTE E-14
TARDE,RICAURTE E-14
TARDE,RICAURTE E-14
MANHANA,MANDALAY I ETAPA E-8
NOCHE,POLO CLUB E-12
MANHANA,GORGONZOLA E-16
TARDE,JULIO FLOREZ E-11
TARDE,VILLA ROSITA E-4
MADRUGADA,EL RETIRO E-2
MADRUGADA,SAN DIEGO E-3
NOCHE,CARVAJAL E-8
NOCHE,SAN PABLO E-7
TARDE,LA FAVORITA E-14
MOVILIZACIONVESPERTINA,EL NOGAL E-2
MOVILIZACIONVESPERTINA,MARANDU E-19
TARDE,URB. CLARET EL CARMEN E-6
NOCHE,BACHUE E-10
NOCHE,VEINTE DE JULIO E-4
MADRUGADA,SAN MARTIN E-12
MADRUGADA,COLOMBIA E-12
MADRUGADA,CONJUNTO RESIDENCIAL LA PRADERA E-1
MADRUGADA,CONJUNTO RESIDENCIAL LA PRADERA E-1
MADRUGADA,MANDALAY I ETAPA E-8
MADRUGADA,EL RESTREPO E-15
MADRUGADA,CARVAJAL E-8
MADRUGADA,VENECIA E-6
TARDE,VILLA JAVIER E-4
TARDE,RICAURTE E-14
MADRUGADA,LOS CEDRITOS E-1
NOCHE,NORMANDIA E-10
NOCHE,LA ESTANCIA E-19
MADRUGADA,MARIA PAZ E-8
MANHANA,LA CAROLINA SUBA E-11
MADRUGADA,SANTA LIBRADA E-5
MANHANA,LA ESTRADA E-10
MOVILIZACIONVESPERTINA,ALTOS DE LA GLORIA E-4
TARDE,SAN BERNARDO E-3
NOCHE,SAN VICENTE FERRER E-6
NOCHE,URB. SANTA RITA I SECTOR E-16
MOVILIZACIONVESPERTINA,SAN MIGUEL
MADRUGADA,KENEDDY
ALMUERZO,SAN JUDAS
MADRUGADA,BARRIO MODELO
MOVILIZACIONVESPERTINA,LA RIVIERA
MADRUGADA,TIMANCO
NOCHE,LOS MARTIRES
MADRUGADA,LA RIOJA
ALMUERZO,AGUABLANCA
MANHANA,VEREDA EL GUADUAL
NOCHE,SAN FRANCISCO
NOCHE,SAN FRANCISCO
TARDE,OASIS
NOCHE,EL MAYOR
MOVILIZACIONVESPERTINA,PARQUE
TARDE,URBANIZACION LA GLORIA
TARDE,URBANIZACION LA GLORIA
MADRUGADA,MANACACIAS
MOVILIZACIONVESPERTINA,CAUDAL NORTE
MOVILIZACIONVESPERTINA,CENTRO
ALMUERZO,LA CEIBA
ALMUERZO,LA CEIBA
ALMUERZO,SERRAMONTE
NOCHE,C.C ALTAGRACIA
MADRUGADA,TOPACIO
MADRUGADA,VILLA JULIA
MOVILIZACIONVESPERTINA,MISTARES
NOCHE,SAN VICENTE
MANHANA,FATIMA
MOVILIZACIONVESPERTINA,NUEVA COLOMBIA
MOVILIZACIONVESPERTINA,SANTA ANA
MANHANA,CENTRO
MOVILIZACIONVESPERTINA,SANTIAGO
MANHANA,LA VEGA
TARDE,SANTA BARBARA
MADRUGADA,AVENIDA BOYACA
ALMUERZO,SANTIAGO
NOCHE,SAN ANDRESITO
MADRUGADA,TAMASAGRA I
TARDE,CENTRO
ALMUERZO,AV. ESTUDIANTES
MOVILIZACIONVESPERTINA,LORENZO
MANHANA,CENTRO
MANHANA,BARRIO CEIBA
MANHANA,BARRIO LA CONCORDIA
NOCHE,BARRIO CEIBA
ALMUERZO,LA PATRIA
MOVILIZACIONVESPERTINA,VDA.SAN JOSE
MADRUGADA,EL ROCIO
MANHANA,SANTA TERESITA
MANHANA,SAN ANTONIO
MANHANA,SECTOR PARQUE EL LAGO
MOVILIZACIONVESPERTINA,CUBA V-8
MANHANA,SECTOR PLAZA DE BOLIVAR
MOVILIZACIONVESPERTINA,MARAYA
TARDE,PORTALES DE BIRMANIA
NOCHE,S. COLISEO
NOCHE,BARRIO SALSIPUEDES
NOCHE,BARRIO SALSIPUEDES
ALMUERZO,BARRIO NUEVA GUINEA
MOVILIZACIONVESPERTINA,PUEBLO NUEVO
NOCHE,EL PARAISO
MANHANA,GARCIA ROVIRA
TARDE,INV. LUZ DE SALVACION
MOVILIZACIONVESPERTINA,URB. BRISAS DE PROVENZA
TARDE,ALFONSO LOPEZ
MOVILIZACIONVESPERTINA,CABECERA DEL LLANO
MADRUGADA,TERRAZAS
TARDE,ESPERANZA II
TARDE,TOLEDO PLATA
MOVILIZACIONVESPERTINA,LA CEIBA
NOCHE,KENNEDY
MOVILIZACIONVESPERTINA,CANHAVERAL
TARDE,SAN CARLOS
TARDE,FLORENCIA
MANHANA,TULUNI
TARDE,VARIANTE
NOCHE,LAS PALMAS
TARDE,NUEVA CASTILLA
MOVILIZACIONVESPERTINA,INTERLAKEN
MOVILIZACIONVESPERTINA,CENTRO
NOCHE,SICOMORO
TARDE,GALERIA DE PUEBLO NUEVO
NOCHE,ROCKEFELLER
MADRUGADA,BELLAVISTA
ALMUERZO,VERSALLES E2
MOVILIZACIONVESPERTINA,EL POBLADO II E13
MOVILIZACIONVESPERTINA,SANTA ELENA E10
MANHANA,MARROQUIN I E14
MANHANA,CALIMA E4
MOVILIZACIONVESPERTINA,EL PILOTO E3
MOVILIZACIONVESPERTINA,CALIMA E4
MANHANA,LA ESMERALDA E4
MANHANA,LOS ALCAZARES E6
TARDE,EL RETIRO E15
MOVILIZACIONMATUTINA,SAN JOAQUIN E17
MANHANA,MARIANO RAMOS E16
ALMUERZO,EL TRONCAL E8
NOCHE,EUCARISTICO E19
MADRUGADA,SUCRE E9
TARDE,LA FLORA E2
MOVILIZACIONVESPERTINA,EL POBLADO II E13
MADRUGADA,LA MERCED
MANHANA,EL PILOTO E24
ALMUERZO,LIBERTADORES
MOVILIZACIONVESPERTINA,EL CENTRO
MOVILIZACIONVESPERTINA,SECTOR INDUSTRIAL ACOPI  (25-2)
MOVILIZACIONVESPERTINA,BELALCAZAR E25
MANHANA,MARCELIANO CANYES
TARDE,LA MADERA
TARDE,SAN JOSE OBRERO
ALMUERZO,EL CARMELO
TARDE,VDA. PRIMAVERA
MOVILIZACIONVESPERTINA,ESMERALDA
NOCHE,CENTRO
MANHANA,ESTADIO C-11
ALMUERZO,EL CHAGUALO C-10
ALMUERZO,LA MILAGROSA  C-9
MADRUGADA,VILLANUEVA C-10
TARDE,EL CHAGUALO C-10
MOVILIZACIONMATUTINA,CASTILLA C-5
MADRUGADA,EL POBLADO C-14
NOCHE,BARRIO COLON C-10
MADRUGADA,EL CHAGUALO C-10
MADRUGADA,CASTROPOL C-14
MADRUGADA,LA CANDELARIA C-10
MADRUGADA,EL POBLADO C-14
MANHANA,CERRO EL VOLADOR C-7
TARDE,SEVILLA  C-4
MANHANA,LA PALMA C-16
MADRUGADA,EL RODEO C-15
ALMUERZO,OJO DE AGUA
TARDE,CUCHARITA
MANHANA,ALTO DEL MEDIO
MANHANA,CARLOS MEISEL
NOCHE,EL BOSQUE
ALMUERZO,SAN LUIS
MADRUGADA,SANTO DOMINGO DE GUZMAN
NOCHE,CORDIALIDAD
MOVILIZACIONVESPERTINA,MONTES
MADRUGADA,LA PACHITA
MOVILIZACIONVESPERTINA,URB LA CAROLINA
MOVILIZACIONVESPERTINA,SAN MARCOS
MANHANA,SUCRE
MANHANA,SUCRE
ALMUERZO,BARRIO SAN FRANCISCO
MANHANA,CENTRO
NOCHE,EL CONEJO
NOCHE,EL CONEJO
MADRUGADA,PIO XII
MANHANA,BARRIO LA ARGENTINA
TARDE,CENTRO
NOCHE,LOS ALAMOS
MANHANA,CENTRO
MOVILIZACIONVESPERTINA,OBRERO
MADRUGADA,LAS AVENIDAS
TARDE,      BARRIO LAS DAMAS
MADRUGADA,LA CAMPINHA
MOVILIZACIONVESPERTINA,ESPERANZA
TARDE,URB. LA RIVERA
MADRUGADA,EL ROSARIO
MOVILIZACIONVESPERTINA,EL TABLAZO
MANHANA,LAS VEGAS
TARDE,URBANIZACION CRUZ ROJA
TARDE,JOSE MARIA OBANDO
ALMUERZO,BOLIVAR
NOCHE,BELLO HORIZONTE
NOCHE,SITIO LADRILLERA MELENDEZ
NOCHE,SABANAS DEL VALLE
MOVILIZACIONVESPERTINA,FUNDADORES
MOVILIZACIONMATUTINA,LA ESPERANZA
MOVILIZACIONMATUTINA,LA ESPERANZA
MOVILIZACIONMATUTINA,LA ESPERANZA
NOCHE,SANTA ROSA
MADRUGADA,VILLA DEL ROSARIO
MADRUGADA,EL RECREO
MANHANA,LA FLORESTA
ALMUERZO,ATENAS E-4
MANHANA,INGEMAR E-2
MOVILIZACIONVESPERTINA,SAN LUIS 20 DE JULIO E-4
TARDE,ANTIGUO COUNTRY E-2
TARDE,URB. VILLAS DEL MEDITERRANEO E-1
ALMUERZO,BRASILIA I SECTOR E-7
ALMUERZO,EL PORVENIR E-5
TARDE,ANDALUCIA E-8
MOVILIZACIONMATUTINA,LA ESPERANZA E-7
MOVILIZACIONVESPERTINA,BOSA CENTRO E-7
MANHANA,EL CORTIJO E-10
ALMUERZO,CANDELARIA LA NUEVA I SECTOR E-19
TARDE,COUNTRY PLAZA E-1
NOCHE,GRANADA SUR E-4
MADRUGADA,NIZA NORTE E-11
MANHANA,MARIA PAZ E-8
MADRUGADA,LA CABRERA E-2
MANHANA,RESTREPO E-15
MOVILIZACIONVESPERTINA,PATIO BONITO I E-8
NOCHE,URB. MARRUECOS E-18
MANHANA,VEINTE DE JULIO E-4
MOVILIZACIONVESPERTINA,BELLA ESTANCIA E-19
MANHANA,URB. LA ALQUERIA E-16
MADRUGADA,VER. EL HOSPICIO
NOCHE,LAS DELICIAS
MANHANA,SIMON MEJIA
MADRUGADA,BARRIO EL DORADO
MOVILIZACIONVESPERTINA,EL BOSQUE
NOCHE,CUARTO CENTENARIO
MADRUGADA,EL JARDIN
MADRUGADA,EL JARDIN
MADRUGADA,VEREDA EL DINDE
MADRUGADA,LAS AMERICAS
NOCHE,LA MAGDALENA
MADRUGADA,TAGANGA
MADRUGADA,SANTA ANA
MANHANA,CENTRO
NOCHE,CENTRO
NOCHE,VEREDA VANGUARDIA
MADRUGADA,ANTONIO PINILLA
TARDE,SAN FELIPE
MANHANA,LAS MERCEDES
NOCHE,SAN MARTIN
TARDE,CGTO. ALTO DE DAZA
NOCHE,FATIMA
MADRUGADA,SANTA MATILDE
NOCHE,CORREGIMIENTO SANTANDER
TARDE,CORREGIMIENTO SANTANDER
MANHANA,SAN SEBASTIAN
MOVILIZACIONVESPERTINA,BARRIO SIGLO XXI
MANHANA,BARRIO TUCUNARE
ALMUERZO,BARRIO CAOBOS
MANHANA,RINCON SANTO
MOVILIZACIONVESPERTINA,SECTOR CENTRO COMERCIAL UNICENTRO
TARDE,SECTOR ESTADIO CENTENARIO
MADRUGADA,MARIA CRISTINA
NOCHE,LAS PALOMAS
MADRUGADA,FRAYLES
MOVILIZACIONVESPERTINA,BERLIN
MOVILIZACIONVESPERTINA,CORREG. (PTO CALDAS)
TARDE,CIUDAD BOQUIA
TARDE,SECTOR PARQUE LA LIBERTAD
TARDE,SECTOR PARQUE LA LIBERTAD
TARDE,VDA. NUEVO SOL
MANHANA,SECTOR CINCO ESQUINAS
MADRUGADA,BARRIO GAVIOTAS
MOVILIZACIONVESPERTINA,SECTOR CENTRO
TARDE,PALMIRA
TARDE,PALMIRA
MANHANA,VIA BUCARAMANGA
MANHANA,BUENOS AIRES
MADRUGADA,LA ESPERANZA
MOVILIZACIONMATUTINA,EL PALMAR
MOVILIZACIONVESPERTINA,CENTRO
TARDE,LAS DELICIAS
MADRUGADA,CABECERA DEL LLANO
MADRUGADA,MEJORAS PUBLICAS
MADRUGADA,CAMPO HERMOSO
TARDE,CENTRO
TARDE,TERMINAL DE TRANSPORTES
MANHANA,DIAMANTE I
TARDE,EL CARMEN I
NOCHE,CANHAVERAL
MANHANA,BARILOCHE
MADRUGADA,SANTA LUCIA
NOCHE,CABECERA DEL LLANO P/TA
TARDE,ZONA RURAL
NOCHE,COREA
MADRUGADA,AV. LAS PENHITAS
MADRUGADA,CENTRO
TARDE,LA SELVA
MADRUGADA,VRDA. LA ESTRELLA
MADRUGADA,VRDA. LA ESTRELLA
MOVILIZACIONVESPERTINA,LAS BRISAS
NOCHE,VRDA. BALCONES
TARDE,VRDA. CARDONA
MADRUGADA,LA CASCADA
MOVILIZACIONVESPERTINA,JORDAN IV ETAPA
MOVILIZACIONVESPERTINA,EL POBLADO
NOCHE,EL POBLADO
MANHANA,RINCON DE PIEDRAPINTADA
MANHANA,RINCON DE PIEDRAPINTADA
TARDE,AMBALA
NOCHE,SAN ANTONIO
MADRUGADA,SAN CARLOS
TARDE,JORDAN VII ETAPA
NOCHE,CENTENARIO
MOVILIZACIONVESPERTINA,EL DORADO
NOCHE,BELLAVISTA
ALMUERZO,PUEBLO NUEVO
TARDE,GUTIERREZ Y ARANGO
NOCHE,CIUDAD CORDOBA E15
MOVILIZACIONVESPERTINA,AGUACATAL E1
NOCHE,JUNIN E9
ALMUERZO,ALIRIO MORA BELTRAN E14
TARDE,JOSE M. MARROQUIN II E14
TARDE,SAN JUAN BOSCO E3
NOCHE,LOS NARANJOS I E14
TARDE,BRISAS DE LOS ALAMOS E2
MADRUGADA,LILI E17
MOVILIZACIONVESPERTINA,EL SENA E5
ALMUERZO,EL DORADO
MOVILIZACIONVESPERTINA,CORREGIMIENTO LA BUITRERA
NOCHE,PRIMERO DE MAYO
MANHANA,SAN JUAN
NOCHE,LA MADERA
MADRUGADA,GRAN AVENIDA
MADRUGADA,ACEVEDO
MADRUGADA,EL REMANZO
MOVILIZACIONVESPERTINA,CALAZANS C-12
MOVILIZACIONVESPERTINA,EL POBLADO C-14
ALMUERZO,LOS ALPES C-16
MOVILIZACIONVESPERTINA,ROBLEDO C-7
MANHANA,BELEN C-16
MANHANA,BELEN C-16
MANHANA,EL POBLADO C-14
MANHANA,EL SALVADOR  C-9
MANHANA,ESTACION VILLA C-10
TARDE,GUAYAQUIL C-10
TARDE,LA CANDELARIA C-10
MOVILIZACIONVESPERTINA,CARLOS E. RESTREPO C-11
MOVILIZACIONVESPERTINA,LA CANDELARIA C-10
NOCHE,CAMPO VALDES 1  C-4
NOCHE,LAS PLAYAS C-16
MANHANA,LA CANDELARIA C-10
MANHANA,CASTROPOL C-14
MANHANA,GUAYABAL C-15
MADRUGADA,BARRIO NUEVO S.C.
MADRUGADA,EL SALVADOR  C-9
NOCHE,LA ASOMADERA 1  C-9
TARDE,LA CANDELARIA C-10
MOVILIZACIONVESPERTINA,LA CANDELARIA C-10
MANHANA,CASTILLA C-5
MANHANA,LA AMERICA C-12
MADRUGADA,CERRO EL VOLADOR C-7
MADRUGADA,EL DIAMANTE C-7
NOCHE,LA FLORESTA C-12
ALMUERZO,GUAYAQUIL C-10
MOVILIZACIONVESPERTINA,ESTADIO C-11
MADRUGADA,LA CANDELARIA C-10
NOCHE,LOS CERROS EL VERGEL  C-9
MANHANA,LOS TRUPILLOS
ALMUERZO,JUAN MINA
TARDE,CENTRO
NOCHE,CORDIALIDAD
MADRUGADA,JOSE ANTONIO GALAN
MADRUGADA,LOS ROBLES
MADRUGADA,VIEJO PORVENIR
TARDE,GUANATA
MOVILIZACIONVESPERTINA,EL NEPAL
MOVILIZACIONVESPERTINA,SECTOR ANTIGUO TERMINAL
MOVILIZACIONVESPERTINA,SAUCES
MADRUGADA,SAN JOAQUIN
TARDE,EL CENTRO
MADRUGADA,JORGE ELIECER GAITAN
MOVILIZACIONVESPERTINA,LOS ALMENDROS
MANHANA,ESPERANZA
MANHANA,CASIMENA
MADRUGADA,PINAR DE LA VEGA
MANHANA,LOMA DE CARTAGENA
NOCHE,5 DE ENERO
NOCHE,MADRE BERNALDA
MOVILIZACIONVESPERTINA,PINHALITO
TARDE,CENTRO
MOVILIZACIONVESPERTINA,URB. MARRUECOS E-18
ALMUERZO,7 DE AGOSTO E-12
ALMUERZO,CARACOLI E-19
ALMUERZO,VILLA ELISA E-11
TARDE,VILLA GLADIS E-10
MOVILIZACIONVESPERTINA,LA CALLEJA E-1
ALMUERZO,CIUDAD DE CALI E-8
ALMUERZO,SAN FRANCISCO E-19
MANHANA,CIUDAD SALITRE II E-13
MANHANA,ROMA  E-8
MANHANA,LA CAPUCHINA E-3
MANHANA,SAN LUIS E-13
MANHANA,SANTA FE E-14
ALMUERZO,SOCIEGO SUR E-18
ALMUERZO,URB. MONTES I SECTOR E-16
TARDE,LA CONCEPCION E-12
MADRUGADA,SAN PABLO E-7
MADRUGADA,PATIO BONITO I E-8
NOCHE,LAS AMERICAS E-13
ALMUERZO,CIUDAD JARDIN SUR E-15
TARDE,QUINTA PAREDES E-13
MOVILIZACIONVESPERTINA,LA PRADERA NORTE E-16
MADRUGADA,PRADO VERANIEGO E-11
ALMUERZO,LA PATRIA E-12
NOCHE,SAMPER E-3
NOCHE,PIO XII E-8
MANHANA,LAS AGUAS E-3
NOCHE,INTERNACIONAL E-9
MADRUGADA,EL CARMEN E-9
MADRUGADA,SAMPER E-3
MADRUGADA,TURINGIA E-11
MADRUGADA,PARDO RUBIO E-2
TARDE,QUIROGA IHS ETAPA E-18
NOCHE,SINAY  E-8
MANHANA,EL RINCON E-11
ALMUERZO,LUJAN E-10
NOCHE,SIERRA MORENA E-19
MOVILIZACIONVESPERTINA,VER.FRANCIA
ALMUERZO,CASA BLANCA
MOVILIZACIONVESPERTINA,CENTRO
MANHANA,CIUDAD VERDE
MOVILIZACIONVESPERTINA,CORREGIMIENTO PORCIOSA
MOVILIZACIONVESPERTINA,CORREGIMIENTO PORCIOSA
MADRUGADA,BOSQUE
NOCHE,NAZARETH
MADRUGADA,JUAN ANTONIO ARAUJO
MADRUGADA,CORREGIMIENTO DEL CABO DE LA VELA
NOCHE,VEREDA SATIAS
TARDE,LA POLA
MADRUGADA,VEREDA LUCITANIA
MADRUGADA,LA FLORESTA
MADRUGADA,LA FLORESTA
MOVILIZACIONVESPERTINA,EL LIMONAR
MOVILIZACIONVESPERTINA,TERCER MILENIO
MANHANA,QUIRINAL
MADRUGADA,CENTRO
MOVILIZACIONVESPERTINA,VEREDA CAFARNAUN
MADRUGADA,SAN JOSE
MOVILIZACIONVESPERTINA,HONDAS DEL CARIBE
TARDE,TAGANGA
MANHANA,PESCAITO
NOCHE,RODADERO SUR
NOCHE,URBANIZACION CONCEPCION NO. 1-2-3-4-5
MADRUGADA,VILLA MARBELLA
NOCHE,TAGANGA
NOCHE,VILLA DEL RIO
NOCHE,LAS MALVINAS
NOCHE,LAS MALVINAS
MANHANA,CENTRO
ALMUERZO,PORFIA
MADRUGADA,SAN FERNANDO
MOVILIZACIONVESPERTINA,MORICHAL
MOVILIZACIONVESPERTINA,VILLA SUAREZ
TARDE,AVENIDA LAS LAJAS
TARDE,AVENIDA LAS LAJAS
TARDE,AVENIDA LAS LAJAS
TARDE,MIRAFLORES I
MANHANA,PANDIACO
TARDE,CENTRO
MOVILIZACIONVESPERTINA,BARRIO LATINO
MANHANA,BARRIO SAN LUIS
MADRUGADA,BARRIO ANIVERSARIO L
MOVILIZACIONVESPERTINA,URBANIZACION SAYAGO
MADRUGADA,CENTRO
MADRUGADA,CINCUENTENARIO
NOCHE,BOYACA
MADRUGADA,EL NIAGARA
TARDE,LIMONAR
TARDE,LIMONAR
NOCHE,VDA.CHAGUALA
MANHANA,LA ALAMEDA
ALMUERZO,GIRASOL
NOCHE,BUENOS AIRES
MOVILIZACIONVESPERTINA,CARLOS ENRIQUE SOTO JARAMILLO
NOCHE,PROVIDENCIA
ALMUERZO,LAS BRISAS  (V/SANTANA)
TARDE,SECTOR PUENTES DE LA 9A CON 12
NOCHE,CENTRO (A) PEREIRA
NOCHE,SAMARIA I
MOVILIZACIONVESPERTINA,EL DORADO
MANHANA,LA ESPERANZA
MANHANA,CIUDADELA PIPATON
ALMUERZO,ANTONIO NARINHO
NOCHE,EL CAMPIN
MOVILIZACIONVESPERTINA,CABECERA DEL LLANO
MANHANA,RICAURTE
MANHANA,CAFE MADRID
MOVILIZACIONVESPERTINA,OLAS ALTAS
MANHANA,RIO FRIO
MOVILIZACIONVESPERTINA,MOLINOS BAJOS
MOVILIZACIONVESPERTINA,GUANATA
ALMUERZO,VDA. RIO FRIO
ALMUERZO,VDA. RIO FRIO
ALMUERZO,RIO PRADO
MANHANA,LA MARTA
MANHANA,LA MARTA
MANHANA,LA ESMERALDA
MADRUGADA,EL EDEN
MOVILIZACIONVESPERTINA,URB. IPANEMA
NOCHE,LIBERTADOR
MADRUGADA,SANTA HELENA
MOVILIZACIONVESPERTINA,EL CARMEN
MOVILIZACIONVESPERTINA,JARDIN I ETAPA
NOCHE,LA REFORMA
MANHANA,CENTRO
MOVILIZACIONVESPERTINA,MODELIA
MANHANA,FUENTE LOS ROSALES II
MADRUGADA,CENTRO
MADRUGADA,PROTECHO (URB.) SALADO
TARDE,LA POLA
MADRUGADA,VRDA. EL BILLAR
ALMUERZO,PUENTE EL PINHAL
MANHANA,BELLAVISTA
MOVILIZACIONVESPERTINA,NAPOLES E18
MANHANA,CHIPICHAPE E2
MANHANA,LOS COMUNEROS I E15
MOVILIZACIONVESPERTINA,COLSEGUROS ANDES E10
ALMUERZO,PAMPA LINDA E19
MADRUGADA,CIUDAD UNIVERSITARIA E17
TARDE,BRISAS DE MAYO E20
ALMUERZO,JOSE M. MARROQUIN II E14
MADRUGADA,ALFEREZ REAL E18
MADRUGADA,LA HACIENDA E17
MADRUGADA,IGNACIO RENGIFO E4
NOCHE,EL JARDIN E11
MANHANA,EL PENHON E3
NOCHE,EL PILOTO E3
MOVILIZACIONVESPERTINA,SILOE E20
MANHANA,SAN LUIS E6
MANHANA,METROPOLITANO DEL NORTE E5
TARDE,LOS COMUNEROS I E15
NOCHE,LA ESMERALDA E4
MADRUGADA,LAS AMERICAS
TARDE,MARIA CANO
ALMUERZO,COLOMBIA
NOCHE,BUENOS AIRES E25
MOVILIZACIONVESPERTINA,ESPERANZA
MANHANA,CIUDADELA DEL NORTE
NOCHE,GUASIMALITO
MANHANA,LAS CASITAS
MANHANA,LA CANDELARIA C-10
MOVILIZACIONVESPERTINA,LA LOMA DE LOS BERNAL C-16
NOCHE,LA CANDELARIA C-10
MANHANA,BARRIO COLOMBIA C-14
MOVILIZACIONVESPERTINA,CAMPO VALDES 1  C-4
TARDE,BELEN C-16
MOVILIZACIONVESPERTINA,ESTADIO C-11
MOVILIZACIONVESPERTINA,LA CANDELARIA C-10
MOVILIZACIONVESPERTINA,LA CANDELARIA C-10
MOVILIZACIONVESPERTINA,PATIO BONITO C-14
TARDE,SANTA FE C-15
NOCHE,LA CANDELARIA C-10
NOCHE,LA PILARICA C-7
NOCHE,FLORIDA NUEVA C-11
MADRUGADA,GUAYAQUIL C-10
MANHANA,MANRIQUE 1  C-4
ALMUERZO,LA CANDELARIA C-10
MANHANA,ARANJUEZ  C-4
MOVILIZACIONVESPERTINA,CORDOBA C-7
MOVILIZACIONVESPERTINA,CUARTA BRIGADA C-11
MOVILIZACIONVESPERTINA,BARRIO COLOMBIA C-14
MADRUGADA,LA AGUACATALA C-14
MADRUGADA,BATALLON GIRARDOT C-8
MADRUGADA,ALEJANDRO ECHAVARRIA  C-9
MADRUGADA,EL PORVENIR
NOCHE,VDA. LA CONDOR
ALMUERZO,LA ESPERANZA
MANHANA,LAS DELICIAS
MADRUGADA,ALFONSO LOPEZ
MADRUGADA,LOS ROBLES
MOVILIZACIONVESPERTINA,EL TUCAN
MADRUGADA,LOS CARACOLES
MOVILIZACIONVESPERTINA,PANORAMA
MOVILIZACIONVESPERTINA,EL RECREO
TARDE,BARRIO POPULAR
TARDE,BARRIO POPULAR
NOCHE,LA FRONTERA
NOCHE,LA FRONTERA
MANHANA,SECTOR COLDEPORTES
MANHANA,EL CARMEN
NOCHE,CENTRO
MOVILIZACIONVESPERTINA,ATALAYA
MANHANA,LOMA DE LA VIRGEN
MADRUGADA,LOMA DE CARTAGENA
MANHANA,SAN CAMILO
TARDE,CENTRO
NOCHE,TULCAN
NOCHE,TULCAN
MOVILIZACIONVESPERTINA,VILLA MIRIAN
MOVILIZACIONVESPERTINA,MAREIGUA
ALMUERZO,DANGON
MADRUGADA,URB.DON ALBERTO
TARDE,MOGAMBITO
MOVILIZACIONVESPERTINA,URB. ELTEJAR E-16
MOVILIZACIONVESPERTINA,SANTA ISABEL E-14
MANHANA,CARVAJAL E-8
MANHANA,TEQUENDAMA   E-8
MOVILIZACIONVESPERTINA,LAS COLINAS E-18
MOVILIZACIONVESPERTINA,SOTAVENTO E-19
MOVILIZACIONVESPERTINA,TEJAR DEL ONTARIO E-6
ALMUERZO,LA CASTELLANA E-12
NOCHE,CALATRAVA E-11
ALMUERZO,ONEIDA  E-8
ALMUERZO,PATIO BONITO I E-8
MANHANA,ENTRERIOS E-12
MADRUGADA,POLO CLUB E-12
TARDE,ROMA  E-8
MOVILIZACIONVESPERTINA,CHAPINERO CENTRAL E-2
MOVILIZACIONVESPERTINA,CHICALA E-7
MOVILIZACIONVESPERTINA,COMPARTIR E-19
ALMUERZO,SAN CRISTOBAL NORTE E-1
TARDE,SAN LUIS E-13
MADRUGADA,RICAURTE E-14
MADRUGADA,LA PERSEVERANCIA E-3
MOVILIZACIONVESPERTINA,BELLAVISTA E-10
NOCHE,VEINTE DE JULIO E-4
NOCHE,SANTA ANA SUR E-4
MADRUGADA,EL RINCON E-11
TARDE,CHICO I E-2
MOVILIZACIONVESPERTINA,SANTA INES E-4
ALMUERZO,CONTADOR E-1
ALMUERZO,MARLY E-2
MADRUGADA,QUIRIGUA I E-10
MADRUGADA,SANTA BIBIANA E-1
MADRUGADA,ONASIS E-8
