HORA,BARRIO
MANHANA,PRIMAVERA
TARDE,EL DORADO
MOVILIZACIONVESPERTINA,VDA. SIERRA MORENA
MANHANA,BELLAVISTA
ALMUERZO,SURAMERICANA C-11
MOVILIZACIONVESPERTINA,ESTACION VILLA C-10
MOVILIZACIONVESPERTINA,PARQUE NORTE C-4
TARDE,CASTILLA C-5
TARDE,EL CHAGUALO C-10
TARDE,LA FLORIDA C-14
TARDE,PALENQUE 1 C-7
MANHANA,BARRIO CAYCEDO C-9
ALMUERZO,BELLO HORIZONTE C-7
ALMUERZO,BOMBONA 1 C-10
TARDE,CARIBE C-5
TARDE,EL RINCON C-16
NOCHE,SEVILLA  C-4
MANHANA,GUAYABAL C-15
NOCHE,GRANADA C-16
MOVILIZACIONVESPERTINA,VILLANUEVA C-10
TARDE,SANTA CRUZ  C-2
MOVILIZACIONVESPERTINA,ESTACION VILLA C-10
MOVILIZACIONVESPERTINA,CATALUNHA  C-9
NOCHE,SEVILLA  C-4
TARDE,CARIBE C-5
MOVILIZACIONVESPERTINA,EL CHAGUALO C-10
MOVILIZACIONVESPERTINA,CARIBE
TARDE,SECTOR GALERIA
MOVILIZACIONMATUTINA,EL CARMEN
TARDE,BELLA ARENA
MANHANA,SANTA CRUZ
ALMUERZO,LA ARBOLEDA
MANHANA,LA CRUZ
MOVILIZACIONVESPERTINA,VDA. TENERIA
NOCHE,BARRIO LOS SAUCES
MADRUGADA,BARRIO POPULAR
NOCHE,CENTRO
MADRUGADA,CRISTO REY
MADRUGADA,CRISTO REY
MOVILIZACIONVESPERTINA,LA ESTRELLA
NOCHE,URAPANES
NOCHE,LA AMAZONIA
MOVILIZACIONVESPERTINA,JORGE ELIECER GAITAN
TARDE,VIA PALESTRO
ALMUERZO,RAIZAL
NOCHE,ESPERANZA
NOCHE,LA ESPERANZA
MOVILIZACIONVESPERTINA,MAREIGUA
MADRUGADA,LAS FLORES
MADRUGADA,LAS FLORES
TARDE,EL JARDIN
MANHANA,LA FLORESTA
MOVILIZACIONVESPERTINA,VENECIA E-6
ALMUERZO,SUCRE E-2
TARDE,EL POA E-11
ALMUERZO,LA CATEDRAL E-3
MANHANA,SANTA FE E-14
MANHANA,SAN ISIDRO E-4
NOCHE,LA MACARENA E-3
ALMUERZO,SUBA CENTRO E-11
MADRUGADA,CHICO NAVARRA E-1
MADRUGADA,SUBA CENTRO E-11
MANHANA,LA PAZ E-3
MOVILIZACIONVESPERTINA,SANTA ISABEL E-14
NOCHE,SUBA CENTRO E-11
TARDE,ALTO PRADO
NOCHE,COLOMBIALIBRE
MOVILIZACIONVESPERTINA,EL CENTRO
MADRUGADA,BARRIO DIVINO NINHO
MOVILIZACIONVESPERTINA,VEREDA CLAROS
MADRUGADA,EL VERGEL
MOVILIZACIONVESPERTINA,LOS DUJOS
MANHANA,ENRIQUE OLAYA HERRERA
MOVILIZACIONVESPERTINA,REPOSO
ALMUERZO,ALCAZARES
MANHANA,CENTRO HISTORICO
NOCHE,RODADERO SUR
TARDE,CENTRO
MADRUGADA,ESTERO
TARDE,INDUSTRIAL
MOVILIZACIONVESPERTINA,SAN BENITO
NOCHE,BELLO HORIZONTE
NOCHE,BENJAMIN HERRERA
MOVILIZACIONVESPERTINA,RECUERDO
MOVILIZACIONVESPERTINA,CANTARANA
MANHANA,POTRERILLO
MANHANA,POTRERILLO
NOCHE,NUEVO SOL
MANHANA,CENTRO
MOVILIZACIONVESPERTINA,CHAPAL
MANHANA,CAICEDO ALTO
TARDE,AV. ESTUDIANTES
TARDE,CHILE
MOVILIZACIONMATUTINA,CENTRO
MOVILIZACIONMATUTINA,POTRERILLO
MOVILIZACIONVESPERTINA,MADRIGAL
ALMUERZO,NIZA II
NOCHE,CENTRO
